,status_changed,full_text_status,issn,ispublished,rev_number,publisher,publication,divisions,dir,volume,abstract,uri,date,subjects,date_type,creators,type,refereed,title,number,userid,documents,lastmod,official_url,eprintid,id_number,eprint_status,datestamp,pagerange,metadata_visibility,related_url,place_of_pub,event_type,event_title,event_dates,pres_type,event_location,corp_creators,isbn,pages,book_title,contact_email,referencetext
0,2018-05-14 07:20:57,public,ISSN 1410-3044 (Print) and ISSN 2302-4399 (Online),pub,9,Jurusan Teknologi Hasil Pertanian Unila,Jurnal Teknologi & IndustriHasil Pertanian,['FP19'],disk0/00/00/38/05,18.0,"This research was conducted to find out the effect of 
gelatin concentration on the sensory characteristic of goat milk jelly candy.  The research was designed using a Completely Randomized Block Design with gelatin concentration as a single factor consisting of five levels, namely 5%, 10%, 15%,20%, and 25%. The research was repeated 5 times.   Data were analyzed with Analysis of Varians to find out the treatment effects, then continued tested using Least Significant Difference (LSD) test to find out the best treatment which was determined by the highest score of flavor, elasticity, color, and overall acceptance. Chemical composition analysis was conducted on the best treatment product. The result showed that gelatin concentration had significant effect on flavor and highly significant effect on elasticity, color, and overall acceptance of the goat milk jelly candy.  The best treatment was gelatin addition at a concentration of 10%.  The candy had a flavor score of 3.35 (rather typical of goat milk), an elasticity score of 3.55 (elastic), and hedonic score for color of 3.66 (like) and an overall acceptance of 3.73 (like). Its water, ash,
reduced sugar, protein, and fat contents were 18.01%, 1.60%,
13.56%, 5.65%, and 0.21%, respectively. 
Keywords: gelatin, goat milk, jelly candy",http://repository.lppm.unila.ac.id/id/eprint/3805,2013-09-01 00:00:00.000000000,['S1'],published,"[{'id': None, 'name': {'honourific': None, 'family': 'Eletra', 'lineage': None, 'given': 'Yuka'}}, {'name': {'lineage': None, 'family': 'Susilawati', 'honourific': None, 'given': 'Susilawati'}, 'id': 'susilawati.1961@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Astuti', 'given': 'Sussi'}, 'id': 'sussi.astuti@fp.unila.ac.id'}]",article,TRUE,PENGARUH KONSENTRASI GELATIN TERHADAP SIFAT ORGANOLEPTIK PERMEN JELLY SUSU KAMBING,2.0,625,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 3667, 'main': 'Permen Jelly Susu Kambing.pdf', 'files': [{'hash': 'defb3a0282e271d6d25be4dc157f18c6', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 26661, 'mtime': '2017-08-09 04:27:11', 'hash_type': 'MD5', 'filename': 'Permen Jelly Susu Kambing.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26661', 'filesize': 211370, 'objectid': 3667}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3667', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3805}]",2018-05-14 07:20:57,http://jurnal.fp.unila.ac.id/index.php/JTHP/article/view/191/194,3805,ISSN 1410-3044 (Print) and ISSN 2302-4399 (Online),archive,2017-08-14 03:12:04,185-195,show,,,,,,,,,,,,,
1,2021-08-29 07:54:40,public,,unpub,7,,,['FP19'],disk0/00/03/37/17,,Hibah penelitian tahun 1 dari rencana 3 tahun yang dibiayai Dikti dengan nilai sebesar 40 juta,http://repository.lppm.unila.ac.id/id/eprint/33717,1970-01-01 00:00:00.000002013,['S1'],,"[{'name': {'family': 'Hidayati', 'lineage': None, 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",experiment,,Laporan penlitian tahun 2013:Optimasi Produksi Surfaktan Dari Cpo Parit Dan Minyak Jelantah Dari Sawitdan Uji Efektifitasnya Terhadap Pendesakan Minyak Bumi,,1027,"[{'eprintid': 33717, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153941', 'format': 'text', 'files': [{'objectid': 153941, 'filesize': 3133531, 'filename': 'laporan_akhir PENELITIAN 2013 OTIMASI SURFAKTAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/399418', 'hash_type': 'MD5', 'mtime': '2021-08-29 06:07:07', 'datasetid': 'document', 'fileid': 399418, 'hash': '741e2c82bc02a8ac649a5dd1f1c29923', 'mime_type': 'application/pdf'}], 'main': 'laporan_akhir PENELITIAN 2013 OTIMASI SURFAKTAN.pdf', 'docid': 153941, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-08-29 07:54:40,file:///C:/Users/UNILA/Downloads/laporan_akhir%20(11).pdf,33717,,archive,2021-08-29 07:54:40,,show,[{'url': 'https://simlitabmas.ristekbrin.go.id/main.aspx?page=23'}],,,,,,,,,,,,
2,2016-06-30 03:16:51,public,,pub,6,,JIIA,['FP19'],disk0/00/00/00/47,1.0,"The purposes of this research are to analyze the financial feasibility of nutmeg farming and the feasibility of 
its cultivation aspects, technical aspects, and market aspects. This research uses a census method.
Feasibility analysis is calculated by the ratio of revenue to cost (B/C), Payback Period (PP), Net Present
Value (NPV), Internal Rate of Return (IRR), sensitivity analysis, and analysis the feasibility of cultivation
aspects, technical aspects, and market aspects.  The results showed that at 15% of interest rate, the 25 years
long of intensive cultivation of nutmeg farming in Gisting of Tanggamus Regency deserved Net B/C Ratio
2.23; NPV of Rp125,574,036; IRR 20.98% and PP 10.01.  The effect of changes with the likely costsrose by
10%, decreased the production by 25%, or it  decreased the output prices by 10%, but the farm was still in
the state of intensive nutmeg feasible and profitable.  On the cultivation aspects, the climate and rain fall in
the district of Gisting Tanggamus was appropriated to nutmeg plants; on the technical aspects, the majority
of farmers still used traditional technology, particularly in post harvest technology such as processing of
nutmeg became essential oils or a variety of snacks. In fact, on the aspects of the market of nutmeg was very
good, in which the demand side was greater than the supply side so that the market opportunity for this
product was still very promising.

Keywords : B/C, IRR, NPV, PP, nutmeg",http://repository.lppm.unila.ac.id/id/eprint/47,1970-01-01 00:00:00.000002013,['AC'],published,"[{'name': {'honourific': None, 'family': 'Ismono', 'lineage': None, 'given': 'R Hanung'}}]",article,TRUE,"ANALISIS KELAYAKAN FINANSIAL BUDIDAYA INTENSIF TANAMAN PALA 
DI KECAMATAN GISTING KABUPATEN TANGGAMUS",3.0,1,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'filename': 'Publikasi_Jurnal(9).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/285', 'objectid': 70, 'filesize': 79735, 'mtime': '2016-06-30 03:08:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '33e9891150b2d822e92dd99db933d9ff', 'fileid': 285, 'datasetid': 'document'}], 'main': 'Publikasi_Jurnal(9).pdf', 'docid': 70, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/70', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47}]",2016-06-30 03:16:51,,47,,archive,2016-06-30 03:16:51,,show,,,,,,,,,,,,,
3,2017-06-02 02:25:05,none,0216 - 0455,pub,5,"Faculty of Agricultural Technology, Universitas Gadjah Mada, Yogyakarta",AGRITECH,['FP19'],disk0/00/00/22/73,33.0,"Rusip dapat dilakukan secara spontan dan tidak spontan. Pada rusip spontan tidak ditambahkan kultur, sedangkan pada
rusip tidak spontan ada penambahan kultur cair campuran bakteri asam laktat yaitu Streptococcus, Lactococcus dan
Leuconostoc sebanyak 2% (b/v). Penelitian ini bertujuan mengetahui perubahan sifat mikrobiologi dan kimiawi rusip
baik spontan maupun tidak spontan. Perlakuan diulang sebanyak tiga kali. Data yang diperoleh kemudian dianalisis
dengan menggunakan uji t student pada taraf alpha 5%. Pengamatan yang dilakukan meliputi total bakteri asam
laktat, total kapang, total mikroba, pH, total asam, gula reduksi dan total volatile nitrogen (TVN). Hasil pengamatan
menunjukkan bahwa sifat mikrobiologi dan kimiawi rusip tidak spontan lebih baik dibandingkan dengan rusip spontan
selama 14 hari fermentasi. Adapun kriterianya yaitu total bakteri asam laktat 12,37 log cfu/g; total mikroba 5,94 log
cfu/g; pH 5,69; total asam laktat 5,04%; kadar gula reduksi 1,29%; TVN 27,57 mg N/100g, sedangkan karakteristik
rusip secara spontan yaitu total bakteri asam laktat 10,40 log cfu/g; total mikroba 8,68 log cfu/g; total kapang 5,99 log
cfu/g; pH 5,98; total asam laktat 3,12 %; kadar gula reduksi 3,63% dan TVN 44, 98 mg N/100g.",http://repository.lppm.unila.ac.id/id/eprint/2273,2013-08-01 00:00:00.000000000,['S1'],,"[{'name': {'honourific': None, 'family': 'Koesoemawardani', 'lineage': None, 'given': 'Dyah'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Rizal', 'given': 'Samsul'}}, {'name': {'family': 'Tauhid', 'lineage': None, 'honourific': None, 'given': 'Moralita'}}]",article,TRUE,PERUBAHAN SIFAT MIKROBIOLOGI DAN KIMIAWI RUSIP SELAMA FERMENTASI,3.0,994,,2017-06-02 02:25:05,https://jurnal.ugm.ac.id/agritech/,2273,,archive,2017-06-02 02:25:05,265-272,show,,,,,,,,,,,,,
4,2020-09-08 07:03:43,public,,pub,7,"13th ASEAN Food Conference, 9-11 September 2013, Singapore Meeting Future Food Demands: Security & Sustainability, 9-11 September 2013, Singapore.",,['FP19'],disk0/00/02/39/29,,"Abstract The objective of this research was to analyze the physical, chemical, and microbiological quality
 of tempe treated with CO2 under 900 psi and 1100 psi. The treatment was designed as Randomized
 Completely Block Design with two factors as treatments and each treatment was repeated three times. The
 first factor was the pressure under 1100 psi and 900 psi, and the second factor was holding time for 5, 10, 15,
 and 20 minutes. The physical quality 
 (texture ), chemical quality  (water content and protein content ) and reduction number of microbial loads were determined in control and treated tempe. The result showed that at the different pressure, holding time and combination of both of the treatments were significantly affected the
 texture, protein and water content of tempe 
 (P<0.05 ). Tempe treated with CO2 under 1100 psi for 5 minutes had the highest hardness (314,73 gf )and water content  (39,9% ), but the lowest protein content
 (16,74% ). The reduction number of microbial load was 1 log cycle and less than 1 log cycle in tempe treated with CO2
 undert 1100 psi and 900psi for 20 minutes, respectively.
 Keywords: High pressure CO2, tempe, physical, chemical, microbiological.",http://repository.lppm.unila.ac.id/id/eprint/23929,2013-09-01 00:00:00.000000000,['S1'],published,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'family': 'Kustyawati', 'lineage': None, 'honourific': None, 'given': 'Maria Erna'}}, {'id': None, 'name': {'family': 'Pratama', 'lineage': None, 'honourific': None, 'given': 'Filli'}}, {'id': None, 'name': {'given': 'Daniel', 'family': 'Saputra', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Wijaya', 'given': 'Agus'}}]",other,,"The Physical, Chemical and Microbiological Quality of Tempe Treated with
 High Pressure of Carbon dioxide.",,1017,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 37609, 'main': 'The_Physical__Chemical_and_Microbiological_Quality.pdf', 'files': [{'objectid': 37609, 'filesize': 1623816, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218139', 'filename': 'The_Physical__Chemical_and_Microbiological_Quality.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-08 05:32:53', 'datasetid': 'document', 'fileid': 218139, 'hash': '4ab7f50ddd48c3a4065e40477f29240b', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37609', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23929}]",2020-09-08 07:03:43,http://repository.lppm.unila.ac.id/id/eprint/6431,23929,none,archive,2020-09-08 07:03:43,,show,,Singapore,,,,,,,,,,,
5,2018-04-25 02:31:02,public,,unpub,9,,,['FP19'],disk0/00/00/64/31,,"Abstract The objective of this research was to analyze the physical, chemical, and microbiological quality
of tempe treated with CO2 under 900 psi and 1100 psi. The treatment was designed as Randomized
Completely Block Design with two factors as treatments and each treatment was repeated three times. The
first factor was the pressure under 1100 psi and 900 psi, and the second factor was holding time for 5, 10, 15,
and 20 minutes. The physical quality 
(texture
), chemical quality 
(water content and protein content
) and
reduction number of microbial loads were determined in control and treated tempe. The result showed that at
the different pressure, holding time and combination of both of the treatments were significantly affected the
texture, protein and water content of tempe 
(P<0.05
). Tempe treated with CO2 under 1100 psi for 5 minutes
had the highest hardness
(314,73 gf
)and water content 
(39,9%
), but the lowest protein content
(16,74%
).
The reduction number of microbial load was 1 log cycle and less than 1 log cycle in tempe treated with CO2
undert 1100 psi and 900psi for 20 minutes, respectively.
Keywords: High pressure CO2, tempe, physical, chemical, microbiological.",http://repository.lppm.unila.ac.id/id/eprint/6431,2013-09-09 00:00:00.000000000,['S1'],completed,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Kustyawati', 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Pratama', 'given': 'Filli'}}, {'name': {'lineage': None, 'family': 'Saputra', 'honourific': None, 'given': 'Daniel'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Wijaya', 'given': 'Agus'}}]",conference_item,TRUE,"The Physical, Chemical and Microbiological Quality of Tempe Treated with
High Pressure of Carbon dioxide",,1017,"[{'main': 'Asean Conference 2013.pdf', 'docid': 19368, 'files': [{'objectid': 19368, 'filesize': 1061134, 'filename': 'Asean Conference 2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59603', 'hash_type': 'MD5', 'mtime': '2018-02-05 12:45:29', 'fileid': 59603, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3b1b183f1e074f635e83456045ed7082'}], 'format': 'text', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 6431, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19368', 'pos': 1, 'security': 'public'}]",2018-04-25 02:31:02,,6431,,archive,2018-04-25 02:31:02,,show,,,conference,"13th ASEAN Food Conference, 9-11 September 2013, Singapore Meeting Future Food Demands: Security & Sustainability",9-11 September 2013,paper,Singapore,,,,,,
6,2021-02-01 04:52:15,public,,pub,8,,AGRITECH,['FP19'],disk0/00/02/75/53,33.0,"Saccharomyces cerevisiae diketahui sebagai khamir penghasil enzim ekstraseluler. Penelitian ini bertujuan untuk
mengetahui peranan enzim ektraseluler S. cereviciae dalam pembuatan tapioka dengan mengamati perubahan biokimia
pati. Sebanyak 1010 sel ml-1 inokulum S.cerevisiae diinokulasikan ke dalam suspensi tapioka, kemudian difermentasi
selama 12 jam, 36 jam, dan 48 jam pada suhu ruang (30o
C). Hasil penelitian menunjukkan bahwa S.cerevisiae mampu
tumbuh selama fermentasi dan memperbaiki sifat biokimia tapioka. Tapioka hasil fermentasi dengan S.cerevisiae
memiliki kadar protein (2,17%) secara signifikan lebih tinggi dari kadar protein tapioka alami (0,28%). Sementara
itu, kadar amilosa tapioka terfermentasi (24,83%) lebih rendah dari amilosa tapioka alami (28,57%). Dilain pihak,
penambahan S.cerevsiae meningkatkan kadar Fe, Mg, dan Ca tapioka, tetapi kadar Zn nya menurun. Struktur granula
pati tapioka terfermentasi juga menunjukkan adanya erosi di bagian tepi granula. Penelitian ini menunjukkan bahwa
penambahan S.cerevisiae dapat digunakan sebagai agensia modifikasi tapioka untuk meningkatkan kadar protein dan
daya kelarutan.",http://repository.lppm.unila.ac.id/id/eprint/27553,2013-08-01 00:00:00.000000000,['S1'],published,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'honourific': None, 'lineage': None, 'family': 'Kustyawati'}}, {'name': {'given': 'Merlia', 'honourific': None, 'family': 'Sari', 'lineage': None}, 'id': None}, {'name': {'given': 'Teti', 'honourific': None, 'lineage': None, 'family': 'Haryati'}, 'id': None}]",article,TRUE,"EFEK FERMENTASI DENGAN Saccharomyces cerevisiae
TERHADAP KARAKTERISTIK BIOKIMIA TAPIOKA",3.0,1017,"[{'placement': 1, 'eprintid': 27553, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41566', 'security': 'public', 'main': '9549-17634-1-PB.pdf', 'files': [{'filename': '9549-17634-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/246190', 'objectid': 41566, 'filesize': 355407, 'mtime': '2021-01-30 06:02:44', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '57c786cef008865d082616d0f90ece13', 'fileid': 246190, 'datasetid': 'document'}], 'docid': 41566, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-02-01 04:52:15,,27553,,archive,2021-02-01 04:52:15,281-287,show,[{'url': 'https://jurnal.ugm.ac.id/agritech/index'}],,,,,,,['Maria Erna Kustyawati'],,,,,
7,2020-02-17 04:17:40,public,"p ISSN -1410-3044, e ISSN -2302-4399",pub,7,"Jurusan Teknologi Hasil Pertanian, Fakultas Pertanian  Unila",Jurnal Teknologi &Industri Hasil Pertanian,['FP19'],disk0/00/01/76/57,18.0,"The ripe muli banana is very sensitive to high temperatures, therefore this type banana cannot be fried at normal atmosphere pressur. Therefore , a frying process at low temperature and low pressureis needed. The objective of this research was to determine the best CaCl2 concentration, soaking time, and the interaction between  them in producing the best muli banana cracker using vacuum frying. The factorial experiment was arranged  in a complete randomized block design with three replications. The first factor was the CaCl2 (K) concentration and the second factor was soaking time (T). The CaCl2 concentration consisted of three levels: 1% (K1), 2% (K2), and 3% (K3). The soaking times were 10 minutes (T1), 20 minutes (T2), and 30 minutes (T3). Weight of each sample processed was 2 kg. The sensory evaluation data homogeneity  and additivity were  tested using Bartlet  and Tuckey tests.  Then the data were analyzed using ANOVA, and further analyzed using honest significant difference with significant level of 5%. The best organoleptic properties of vacuum fried muli banana cracker was found on the treatment of  1% CaCl2 soaked for10 minutes (K1L1) with characteristics of typical banana aroma, yellow brownish color, sweet and a little bit sour taste, no after taste, and crunchy. The overall acceptance was favorable.

Keywords: CaCl2, cracker, crunchiness, muli banana, vacuum frying",http://repository.lppm.unila.ac.id/id/eprint/17657,1970-01-01 00:00:00.000002013,['S1'],published,"[{'name': {'given': 'Fibra', 'family': 'Nurainy', 'lineage': None, 'honourific': None}, 'id': 'fibranurainy@gmail.com'}, {'id': 'siti.nurdjanah@fp.unila.ac.id', 'name': {'given': 'Siti', 'family': 'Nurdjanah', 'lineage': None, 'honourific': None}}, {'id': 'otiknawansih@yahoo.com', 'name': {'lineage': None, 'family': 'Nawansih', 'honourific': None, 'given': 'Otik'}}, {'id': None, 'name': {'family': 'Hidayat', 'lineage': None, 'honourific': None, 'given': 'Rahmat'}}]",article,TRUE,PENGARUH KONSENTRASI CaCl2 DAN LAMA PERENDAMAN TERHADAP SIFAT ORGANOLEPTIK KERIPIK PISANG MULI (Musa paradisiaca L.) DENGAN PENGGORENGAN VAKUM (VACUUM FRYING),1.0,961,"[{'main': '2013 Vol 1 JITHP.pdf', 'files': [{'fileid': 149067, 'datasetid': 'document', 'hash': '80103f5138d217b36b866b02cea0a36a', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-01-21 11:10:13', 'filesize': 100192, 'objectid': 30782, 'uri': 'http://repository.lppm.unila.ac.id/id/file/149067', 'filename': '2013 Vol 1 JITHP.pdf'}], 'docid': 30782, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 17657, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30782', 'security': 'public'}]",2020-02-17 04:17:40,https://jurnal.fp.unila.ac.id/index.php/JTHP/index,17657,,archive,2020-02-17 04:17:40,78-90,show,,,,,,,,,,,,,
8,2020-02-17 03:35:22,public,,pub,7,Patpi Cabang Jember,,['FP19'],disk0/00/01/77/90,,"Dietary fiber and antioxidants have received a lot of attention due to their ability to modulate health status. The aim of this research was to investigate physico-chemical and some functional properties and antioxidant capacity of dietary fiber-antioxidant extracted from Green cincauleafs (Premna oblongifolia Merr) using sodium hexamethaphosphate (SHMP) sequestering agent solution in different concentration. The results showed that increasing of SHMP concentrations increased the yield of dietary fiber-antioxidant and their pectin content. Degree of esterification (DE) of the pectin was in the range of 40 to 50 percent whereas increasing of SHMP increase the pectin DE. Water solubility and oil holding capacity were not affected by SHMP concentration but their viscosity reached maximum value when the SHMP concentration was 0.125%. All of the extract had free radicals scavenging activity but it was not affected by SHMP concentration. As the extract of green cincu leafs contains both high pectin concentration and antioxidant activity, it is worthwhile to develop it as a dietary fiber-antioxidant ingredient.",http://repository.lppm.unila.ac.id/id/eprint/17790,2013-08-01 00:00:00.000000000,['S1'],published,"[{'name': {'family': 'Nurdin', 'lineage': None, 'honourific': None, 'given': 'Samsu Udayana'}, 'id': 'samsu.udayana@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Zuidar', 'given': 'Ahmad Sapta'}, 'id': None}]",other,,EFFECT OF SODIUM HEXAMETHAPOSPHATE ON DIETARY FIBER-ANTIOXIDANT PROERTIES EXTRACTED FROM GREEN CINCAU (Premna oblongifolia Merr) LEAFS.,,871,"[{'main': 'EFFECT_OF_SODIUM_HEXAMETHAPOSPHATE_ON_DIETARY_FIBE.pdf', 'docid': 30905, 'files': [{'datasetid': 'document', 'fileid': 149929, 'hash': '237b168a40f2dfc0fe3ca5f6f253c4c1', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-01-30 03:26:02', 'objectid': 30905, 'filesize': 2830840, 'filename': 'EFFECT_OF_SODIUM_HEXAMETHAPOSPHATE_ON_DIETARY_FIBE.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/149929'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 17790, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30905', 'pos': 1, 'security': 'public'}]",2020-02-17 03:35:22,,17790,,archive,2020-02-17 03:35:22,,show,,,,,,,,,,,,,
9,2019-05-02 04:14:53,public,,pub,7,Patpi Cabang Jember,,['FP19'],disk0/00/01/13/27,,"Dietary fiber and antioxidants have received a lot of attention due to their ability to modulate health status.    The aim of this research was to investigate physico-chemical and some functional properties and antioxidant capacity of dietary fiber-antioxidant extracted from Green cincauleafs (Premna oblongifolia Merr) using sodium hexamethaphosphate (SHMP) sequestering agent solution in different concentration. The results showed that increasing of SHMP concentrations increased the yield of dietary fiber-antioxidant and their pectin content. Degree of esterification (DE) of the pectin was in the range of 40 to 50 percent whereas increasing of SHMP increase the pectin DE. Water solubility and oil holding capacity were not affected by SHMP concentration but their viscosity reached maximum value when the SHMP concentration was 0.125%.  All of the extract had free radicals scavenging activity but it was not affected by SHMP concentration.  As the extract of green cincu leafs contains both high pectin concentration and antioxidant activity,  it is worthwhile to develop it as a dietary fiber-antioxidant ingredient.",http://repository.lppm.unila.ac.id/id/eprint/11327,2013-08-29 00:00:00.000000000,['S1'],published,"[{'id': 'samsu.udayana@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Nurdin', 'lineage': None, 'given': 'Samsu Udayana'}}, {'id': 'sapta@yahoo.com', 'name': {'given': 'Ahmad Sapta', 'lineage': None, 'family': 'Zuidar', 'honourific': None}}]",book_section,TRUE,EFFECT OF SODIUM HEXAMETHAPOSPHATE ON DIETARY FIBER-ANTIOXIDANT PROERTIES EXTRACTED FROM GREEN CINCAU (Premna oblongifolia Merr) LEAFS.,,871,"[{'docid': 24325, 'main': 'Patpi prosiding Jember 2013_compressed.pdf', 'files': [{'datasetid': 'document', 'fileid': 103085, 'hash': '967e6a3d7856644970b1328b68219227', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-04-26 07:40:56', 'objectid': 24325, 'filesize': 1350121, 'uri': 'http://repository.lppm.unila.ac.id/id/file/103085', 'filename': 'Patpi prosiding Jember 2013_compressed.pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 11327, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24325', 'security': 'public'}]",2019-05-02 04:14:53,,11327,,archive,2019-05-02 04:14:53,168-173,show,,Jember,,,,,,,9786029030495.0,305.0,Prosiding Seminar nasional Patpi 2013,,
