,pagerange,metadata_visibility,id_number,eprint_status,eprintid,datestamp,documents,lastmod,official_url,number,userid,refereed,title,type,creators,subjects,date_type,uri,date,volume,abstract,publication,publisher,dir,divisions,ispublished,rev_number,status_changed,issn,full_text_status,corp_creators,contact_email,event_title,event_type,pres_type,event_dates,event_location,place_of_pub,contributors
0,164-173,show,"2252-6137(Print), 2302-3848 (Online)",archive,3829,2017-08-14 06:39:26,"[{'format': 'text', 'docid': 3689, 'main': 'BANANA CHIPS-APTA.pdf', 'files': [{'fileid': 26820, 'datasetid': 'document', 'hash': '1ce632d274da30bd4bf9ecce4b801aa1', 'mime_type': 'application/pdf', 'objectid': 3689, 'filesize': 267912, 'filename': 'BANANA CHIPS-APTA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26820', 'hash_type': 'MD5', 'mtime': '2017-08-13 07:27:04'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 3829, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3689', 'pos': 1}]",2017-08-14 06:39:26,https://journal.ugm.ac.id/agroindustrial/issue/view/2807,2.0,625,TRUE,"Analysis of Inventory Control and Banana Chips
Agroindustry Development Strategy in Bandar Lampung",article,"[{'id': 'irfanaffandi2006@yahoo.com', 'name': {'given': 'Muhammad Irfan', 'lineage': None, 'family': 'Affandi', 'honourific': None}}, {'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'given': 'Sussi', 'family': 'Astuti', 'lineage': None, 'honourific': None}}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/3829,1970-01-01 00:00:00.000002014,3.0,"The study aims to analyze the performance of the inventory control and agroindustry development strategy banana chips. Site selection was done in the chips industry center Bandar Lampung City. Sampling was done offender census on members of banana agroindustry business group. Data analysis methods used was the analysis of economic order quantity (EOQ), SWOT and AHP. The results showed that the control of inventory through the ordering of raw materials and production capacity adjusted to do with intersystem messaging. The production process is generally carried out
every 3 times a week with raw material price of Rp 3500,- per comb. Agroindustry development strategy banana chips were utilizing fabric of cooperation with other parties in the application of science and technology in order to produce quality products, banana chips, giving a sense of
innovation so that the amount of consumer interest and increasing demand for banana chip, and optimization of infrastructure and facilities wereowned agroindustries effective and efficient. 

Keywords : banana chips, inventory, strategy",Agroindustrial Journal,APTA,disk0/00/00/38/29,['FP19'],pub,6,2017-08-14 06:39:26,"2252-6137(Print), 2302-3848 (Online)",public,,,,,,,,,
1,46-68,show,,archive,6865,2018-05-28 03:40:12,"[{'main': 'Jurnal Kelitbangan 2014_Tempe Probiotik.PDF', 'files': [{'objectid': 19847, 'filesize': 728728, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63099', 'filename': 'Jurnal Kelitbangan 2014_Tempe Probiotik.PDF', 'hash_type': 'MD5', 'mtime': '2018-05-06 19:04:41', 'fileid': 63099, 'datasetid': 'document', 'hash': '397065a5d5cd3bd360e9981704ad43a6', 'mime_type': 'application/pdf'}], 'docid': 19847, 'format': 'text', 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 3, 'content': 'published', 'placement': 1, 'eprintid': 6865, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19847', 'security': 'public'}]",2018-05-28 03:40:12,,3.0,962,TRUE,"PENGARUH KONSENTRASI Lactobacillus acidophilus DAN TEPUNG
SAGU TERHADAP UMUR SIMPAN DAN SIFAT SENSORI TEMPE
KEDELAI",article,"[{'name': {'given': 'Febri', 'family': 'Hamzah', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'marrizal@yahoo.com', 'name': {'given': 'Samsul', 'honourific': None, 'lineage': None, 'family': 'Rizal'}}, {'name': {'given': 'marniza', 'honourific': None, 'lineage': None, 'family': 'marniza'}, 'id': 'marrizal@yahoo.com'}]","['Q1', 'QD', 'QR']",published,http://repository.lppm.unila.ac.id/id/eprint/6865,2014-11-01 00:00:00.000000000,2.0,"Penelitian ini bertujuan untuk menentukan konsentrasi Lactobacillus acidophilusdan tepung sagu yang memperpanjang umur simpan dan menjaga sifat sensori tempe kedelai. Penelitian ini menggunakan Rancangan Blok-Lengkap Teracak dengan dua faktor dan tiga ulangan. Faktor pertama adalah konsentrasi Lactobacillus acidophilusyang terdiri atas 3 level (1%, 1.5% dan 2%), sedangkan faktor kedua adalah konsentrasi konsentrasi tepung sagu yang terdiri atas 4 level (0%, 0.4%, 0.8% and 1,2%). Data dianalisis ragam dan pengujian lanjutan dilakukan menggunakan uji BNJ dengan 5 % batas kesalahan tipe α. Hasil penelitian bahwa konsentrasi 1.5% Lactobacillus acidophilusdan 0.4% tepung sagu memperpanjang umur simpan dan menjaga sifat sensori tempe kedelai. Umur simpan pada konsentrasi tersebut adalah 112 jam. Hasil ini menunjukkan bahwa penambahan 1.5% Lactobacillus acidophilusdan 0.4% tepung sagu pada tempe kedelai mampu meningkatkan umur simpan tempe kedelai sampai 58 jam.",Jurnal Kelitbangan Provinsi,Balitbangnovda,disk0/00/00/68/65,['FP19'],pub,10,2018-05-28 03:40:12,2354-5704,public,"['Alumni Universitas Lampung', 'Universitas Lampung', 'Universitas Bengkulu']",marrizal@yahoo.com,,,,,,,
2,49-58,show,ISSN : 2303-559x; E-ISSN : 2549-0818,archive,27871,2021-02-15 01:19:31,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 41848, 'main': 'fitfit, pengaruh rasio molar dan waktu reaksi, jurnal teknik pertanian,.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '875dd0e4087adf4031acabf2a716a384', 'datasetid': 'document', 'fileid': 248377, 'mtime': '2021-02-14 13:30:04', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/248377', 'filename': 'fitfit, pengaruh rasio molar dan waktu reaksi, jurnal teknik pertanian,.pdf', 'filesize': 806030, 'objectid': 41848}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41848', 'pos': 1, 'eprintid': 27871, 'placement': 1}]",2021-02-15 01:19:31,http://jurnal.fp.unila.ac.id/index.php/JTP/article/view/381/363,1.0,1027,TRUE,Pengaruh Rasio Molar dan waktu reaksi terhadap Hasil dan Mutu Biodiesel melalui reaksi Transesterifikasi dengan Gelombang Ultrasonik,article,"[{'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}, 'id': 'srihidayati.unila@gmail.com'}, {'name': {'family': 'Hidayati', 'lineage': None, 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}, {'id': None, 'name': {'given': 'vitfit', 'honourific': None, 'lineage': None, 'family': 'desiyana'}}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/27871,2014-04-01 00:00:00.000000000,3.0,"Biodiesel is alkyl esters that are produced through alcoholysis or (transesterification) process of triglycerides with methanol or ethanol in the presence of bases. The purpose of this study was to determine the effect of the molar ratio and reaction time on the yield and quality of biodiesel from used cooking oil through transesterification process assisted ultrasonic wave at a frequency of 42 kHz. This research was conducted using waste cooking oil obtained from the cracker factory in Sukarame, Bandar Lampung. The chemicals used are methanol and NaOH as catalyst (both are of technical grade).The experiment was arranged by two factors, namely the molar ratio and reaction time. Factor molar ratio of methanol the used cooking oil is composed of three levels, namely 3 : 1, 4,5 : 1, and 6 : 1. Reaction time factor consists of three levels, 5 minutes, 10 minutes, and 30 minutes. All treatments are carried out with three replications. The results showed that the presence of ultrasonic wave can eliminate the process of heating and stirring at conventional biodiesel transesterification process. Production of biodiesel produced in this reaction ranged from 55,67 to 70,67 % with the characteristics density of 0,86 to 0,94 kg/liter, acid number 0,09 to 0,15 %, and viscosity of 4,16 to 8,07 cSt. Statistically, molar ratio and reaction time significantly affect the yield and acid number of biodiesel but did not significantly affected the viscosity and density of biodiesel. Molar ratio and reaction time best obtained at a molar ratio of 6 : 1 with reaction time of 30 minutes. Biodiesel produced could potentially be used as a substitute fuelin kerosene stove.","Jurnal Teknik Pertanian Lampung Vol.3, No. 1: 49-  58",FP Unila,disk0/00/02/78/71,['FP19'],submitted,6,2021-02-15 01:19:31,2302 - 559X,public,,,,,,,,,
3,,show,,archive,10739,2019-02-11 12:19:29,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'agro2014FinalAnnouncement.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-02-11 12:10:49', 'filesize': 1262064, 'objectid': 23749, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99092', 'filename': 'agro2014FinalAnnouncement.pdf', 'datasetid': 'document', 'fileid': 99092, 'mime_type': 'application/pdf', 'hash': '12883c40fd839b5a8a77777a637cb95d'}], 'docid': 23749, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23749', 'security': 'public', 'placement': 1, 'eprintid': 10739}]",2019-02-11 12:19:29,,,379,TRUE,Sustainable Wastewater Treatment in Small Scale Tapioca Factory,conference_item,"[{'name': {'lineage': None, 'family': 'Hasanudin', 'honourific': None, 'given': 'Udin'}, 'id': 'udinha65@gmail.com'}, {'name': {'honourific': None, 'family': 'Utomo', 'lineage': None, 'given': 'tanto Pratondo'}, 'id': 'tanto.utomo@fp.unila.ac.id'}, {'id': 'erdi.suroso@fp.unila.ac.id', 'name': {'given': 'Erdi', 'honourific': None, 'lineage': None, 'family': 'Suroso'}}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/10739,1970-01-01 00:00:00.000002014,,"Abstract: Small scale tapioca factory usually located in nearby residential area; hence the wastewater has to treat properly to avoid environmental pollution. The objectives of this study are to estimate bioenergy potential from small scale tapioca factory and to evaluate the treated wastewater utilization as liquid fertilizer. Green House Gases (GHGs) emission reduction was also estimated. Wastewater generated from each ton of cassava was measured. COD, pH, TN, and TP concentration of fresh and treated wastewater were analyzed. Covered lagoon
system was implemented to treat the wastewater. About 2.75 m3 of wastewater with average COD concentration
9,648 mg/l was produced from each ton of cassava in small scale tapioca factory. During anaerobic digestion, 92% of COD was removed. Through this system, tapioca wastewater has potential to generate 27.76 kWh of renewable energy per ton of cassava. The treated wastewater contained about 1.15 kg of Nitrogen and 0.05 kg of Phosphorous per ton of Cassava with pH about 6.47. Tapioca wastewater treatment using covered lagoon system has successfully to reduced methane emission about 5.7 kg CH4 or 119.88 kg COe per each ton cassava. Utilization of tapioca wastewater for renewable energy and liquid fertilizer increased the sustainability of small scale tapioca industry. 
Keywords: tapioca, wastewater, bioenergy, greenhouse gases, liquid fertilizer",,,disk0/00/01/07/39,['FP19'],pub,7,2019-02-11 12:19:29,,public,['Universitas Lampung'],,9 th    IWA International Symposium on Waste Management Problems in Agro-Industries,conference,paper,24-26 November 2014,"Kochi, Japan",,
4,382-389,show,56/DIKTI/Kep/2012,archive,3802,2017-08-14 03:11:36,"[{'placement': 1, 'eprintid': 3802, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3664', 'security': 'public', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/26638', 'filename': 'KOMBUCHA TEH ROSELLA.pdf', 'filesize': 155298, 'objectid': 3664, 'mtime': '2017-08-09 02:39:58', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '67df49f4c77e647c34622d646cdb97fa', 'fileid': 26638, 'datasetid': 'document'}], 'main': 'KOMBUCHA TEH ROSELLA.pdf', 'docid': 3664, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2017-08-14 03:11:36,https://jurnal.ugm.ac.id/agritech/article/view/9432/7006,4.0,625,TRUE,"PENGARUH PEMBERIAN “KOMBUCHA” TEH ROSELLA TERHADAP PROFIL 
DARAH MENCIT (Mus musculus L)",article,"[{'name': {'given': 'Mukhani Dwi', 'lineage': None, 'family': 'Hidayanti', 'honourific': None}, 'id': None}, {'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'family': 'Astuti', 'lineage': None, 'honourific': None, 'given': 'Sussi'}}, {'id': None, 'name': {'given': 'Maria Erna', 'honourific': None, 'lineage': None, 'family': 'Kustyawati'}}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/3802,2014-11-01 00:00:00.000000000,34.0,"“Kombucha”  teh  rosella  merupakan  produk  minuman  fungsional  hasil  fermentasi  larutan  teh  dari  kelopak  bunga rosella dan gula menggunakan starter mikroba “Kombucha” (Acetobacter xylinum dan beberapa jenis khamir). Tujuan penelitian adalah untuk mengetahui pengaruh pemberian ”Kombucha” teh rosella terhadap profil darah mencit (Mus musculus  L). Penelitian disusun dalam Rancangan Acak Lengkap (RAL) dengan 4 perlakuan dosis ”Kombucha” teh rosella yaitu 0,73 ml/20g BB mencit (aquadest) (K), 0,36 ml/20 g BB (P1), 0,55 ml/20 g BB (P
2), dan 0,73 ml/20 g BB (P3).Setiap perlakuan terdiri dari 6 ulangan dengan lama perlakuan 30 hari secara oral.“Kombucha” teh rosella dibuat dari 5 g kelopak rosella dengan konsentrasi gula sebanyak 250 g dalam 1000 ml air, diinokulasi dengan kultur ”Kombucha”  induk  dan  lama  fermentasi  6  hari.  Hasil  penelitian  menunjukkan  bahwa  pemberian  “Kombucha”  teh rosella pada ketiga dosis menghasilkan jumlah eritrosit, leukosit dan kadar hemoglobin mencit pada kisaran normal. Tidak  terlihat  perbedaan  diferensiasi  butir  darah  putih  (monosit,  limfosit,  dan  neutrofil)  mencit  akibat  perlakuan 
“Kombucha” teh rosella pada ketiga dosis dengan kontrol. Terlihat adanya kecenderungan peningkatan jumlah eritrosit 
dan hemoglobin, serta penurunan jumlah leukosit mencit akibat perlakuan “Kombucha” teh rosella pada ketiga dosis 
dibanding kontrol.
Kata kunci : “Kombucha”, rosella, teh fermentasi, profil darah, mencit",AGRITECH,Fakultas Teknologi Pertanian UGM,disk0/00/00/38/02,['FP19'],pub,6,2017-08-14 03:11:36,0216-0455,public,,,,,,,,,
5,,show,0,archive,33577,2021-08-23 12:32:03,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'fileid': 398066, 'datasetid': 'document', 'hash': '2534166fba6698be60000ca779ce9902', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-08-23 10:00:49', 'objectid': 153699, 'filesize': 815379, 'filename': 'laporan_akhir (2) 2014 CPO parit.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/398066'}], 'main': 'laporan_akhir (2) 2014 CPO parit.pdf', 'docid': 153699, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/153699', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33577}]",2021-08-23 12:32:03,https://simlitabmas.ristekbrin.go.id/main.aspx?page=23,,1027,,"Laporan akhir penelitian:Optimasi Produksi Surfaktan Dari Cpo Parit Dan Minyak Jelantah Dari Sawitdan Uji Efektifitasnya Terhadap Pendesakan Minyak Bumi
 (Tahun I)",other,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'family': 'Hidayati', 'lineage': None, 'honourific': None, 'given': 'Sri'}}]",['S1'],,http://repository.lppm.unila.ac.id/id/eprint/33577,1970-01-01 00:00:00.000002014,,Penelitian Fundamental Tahun I dengan dana 40 juta oleh Dikti,,Ristekdikti,disk0/00/03/35/77,['FP19'],unpub,7,2021-08-23 12:32:03,,public,,,,,,,,Jakarta,
6,,show,0,archive,26964,2020-12-02 05:25:05,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2020-12-02 05:00:28', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/241924', 'filename': 'Turnitin 7. PENGARUH SUHU DAN LAMA NETRALISASI PADA PROSES PEMBUATAN METIL ESTER SULFONAT.pdf', 'objectid': 40979, 'filesize': 2548169, 'hash': '56f68539d17788573dad8d5bfbe71f4f', 'mime_type': 'application/pdf', 'fileid': 241924, 'datasetid': 'document'}], 'main': 'Turnitin 7. PENGARUH SUHU DAN LAMA NETRALISASI PADA PROSES PEMBUATAN METIL ESTER SULFONAT.pdf', 'docid': 40979, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40979', 'pos': 1, 'eprintid': 26964, 'placement': 1}]",2020-12-02 05:25:05,https://www.unila.ac.id/200-an-makalah-dipresentasikan-dalam-semirata-bks-b-2014/,,1027,,Similarity: Pengaruh Suhu dan Lama Netralisasi pada proses pembuatan metil ester sulfonat,other,"[{'name': {'lineage': None, 'family': 'Hidayati', 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}, {'id': None, 'name': {'given': 'Ahmad Sapta', 'family': 'Zuidar', 'lineage': None, 'honourific': None}}, {'name': {'given': 'mahbub', 'family': 'Sudrajat', 'lineage': None, 'honourific': None}, 'id': None}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/26964,1970-01-01 00:00:00.000002014,,Metil ester sulfonat merupakan salah satu surfaktan anionik yang beungsi sebagai bahan aktif penurun tegangan permukaan,,FP Unila,disk0/00/02/69/64,['FP19'],pub,7,2020-12-02 05:25:05,,public,,,,,,,,FP Unila,
7,168-176,show,,archive,2399,2017-06-02 02:55:28,"[{'format': 'text', 'main': '9108-25938-1-PB.pdf', 'docid': 2276, 'files': [{'filename': '9108-25938-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/16594', 'filesize': 586449, 'objectid': 2276, 'mtime': '2017-05-31 04:33:38', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'fe413949ea755890d660f2758721002f', 'fileid': 16594, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 2399, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2276'}]",2017-06-02 02:55:28,http://journal.ipb.ac.id/index.php/jtip,2.0,1017,TRUE,"Modifikasi warna, texture dan aroma tempe setelah diproses dengan karbon dioksida superkritik",article,"[{'name': {'honourific': None, 'family': 'Kustyawati', 'lineage': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/2399,1970-01-01 00:00:00.000002014,25.0,,J.Teknologi dan Industri Pangan,IPB-PATPI,disk0/00/00/23/99,['FP19'],pub,6,2017-06-02 02:55:28,1979-7788,public,,,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Maria Erna', 'family': 'Kustyawati', 'lineage': None, 'honourific': None}, 'id': 'maria.erna@fp.unila.ac.id'}]"
8,127-136,show,,archive,3596,2017-07-20 08:46:14,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3455', 'eprintid': 3596, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash': '7c452ea2072dd08bc6e152912f243e3d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 25152, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25152', 'filename': 'biskuit jagung417-1246-1-PB.pdf', 'objectid': 3455, 'filesize': 82299, 'mtime': '2017-06-15 03:21:41', 'hash_type': 'MD5'}], 'main': 'biskuit jagung417-1246-1-PB.pdf', 'docid': 3455}]",2017-07-20 08:46:14,http://jurnal.fp.unila.ac.id/index.php/JTHP/article,2.0,565,TRUE,SIFAT SENSORY BISKUIT BERBAHAN BAKU TEPUNG JAGUNG TERNIKSTAMALSASI DAN TERIGU,article,"[{'name': {'given': 'Siti', 'family': 'Nurdjanah', 'lineage': None, 'honourific': None}, 'id': 'siti.nurdjanah@fp.unila.ac.id'}, {'name': {'given': 'Sussi', 'honourific': None, 'lineage': None, 'family': 'Astuti'}, 'id': 'sussi.astuti@fp.unila.ac.id'}, {'name': {'family': 'Musita', 'lineage': None, 'honourific': None, 'given': 'Nanti'}, 'id': None}, {'name': {'given': 'Tri', 'honourific': None, 'family': 'Febriyaningsih', 'lineage': None}, 'id': None}]",['S1'],,http://repository.lppm.unila.ac.id/id/eprint/3596,2014-07-01 00:00:00.000000000,19.0,"The objective of this research was to find the  the best ratio between nixtamalized corn flour and wheat flour to produce biscuits with the best sensory properties.  The experiment was a single factor, arranged in a complete randomized block design  with five replications.  The the treatment was the formulation nixtamalized of corn flour and wheat flour, consisted of 5 levels: 100:0 (F1), 90:10 (F2), 80:20 (F3), 70:30 (F4), and 60:40 (F5).  The data were analyzed using ANOVA and further tested with LSD at 5% level of significance. The results showed that the proportion of nixtamalized corn flour and wheat flour significanly influenced the flavor, color, texture, and overall acceptance of biscuits.  The best treatment was found biscuits in the produced from 100% nixtamalized corn flour (F1) with flavor score of 3.67 (typical corn), color score of 4.30 (yellow), texture score of 3.94 (compact), and overall acceptance score at 3:58 (like). These results indicated that nixtamalized corn flour could be used  to replace 100% of wheat flour in the manufacture of biscuits.
Keywords: biscuits, nixtamalized corn flour",Jurnal Teknologi Industri & Hasil Pertanian,Jurusan Teknologi Hasil Pertanian Unila,disk0/00/00/35/96,['FP19'],pub,7,2017-07-20 08:46:14,ISSN 1410-3044 (print) and ISSN 2304-4399 (online),public,,,,,,,,,
9,,show,,archive,43835,2022-08-03 01:21:43,"[{'main': '23_21%SIFAT SENSORY BISKUIT BERBAHAN BAKU TEPUNG JAGUNG TERNIKSTAMALSASI DAN TERIGU.pdf', 'docid': 165792, 'files': [{'datasetid': 'document', 'fileid': 477418, 'mime_type': 'application/pdf', 'hash': '7d9e60b3ea971628652923b5cd53e734', 'objectid': 165792, 'filesize': 143421, 'filename': '23_21%SIFAT SENSORY BISKUIT BERBAHAN BAKU TEPUNG JAGUNG TERNIKSTAMALSASI DAN TERIGU.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/477418', 'hash_type': 'MD5', 'mtime': '2022-08-02 15:22:03'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 43835, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165792', 'security': 'public'}]",2022-08-03 01:21:43,,,565,,Similarity: SIFAT SENSORY BISKUIT BERBAHAN BAKU TEPUNG JAGUNG TERNIKSTAMALSASI DAN TERIGU,other,"[{'name': {'given': 'Siti', 'honourific': None, 'lineage': None, 'family': 'Nurdjanah'}, 'id': 'siti.nurdjanah@fp.unila.ac.id'}, {'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'given': 'Sussi', 'honourific': None, 'family': 'Astuti', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Musita', 'lineage': None, 'given': 'Nanti'}, 'id': 'nantimusita@gmail.com'}, {'name': {'family': 'Febriyaningsih', 'lineage': None, 'honourific': None, 'given': 'Tri'}, 'id': None}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/43835,1970-01-01 00:00:00.000002014,,"The objective of this research was to find the the best ratio between nixtamalized corn flour and wheat flour to produce biscuits with the best sensory properties. The experiment was a single factor, arranged in a complete randomized block design with five replications. The the treatment was the formulation nixtamalized of corn flour and 
wheat flour, consisted of 5 levels: 100:0 (F1), 90:10 (F2), 80:20 (F3), 70:30 (F4), and 60:40 (F5). The data were analyzed using ANOVA and further tested with LSD at 5% level of significance. The results showed that the proportion of nixtamalized corn flour and wheat flour significanly influenced the flavor, color, texture, and overall acceptance of biscuits. The best treatment was found biscuits in the produced from 100% nixtamalized corn flour (F1) with flavor score of 3.67 (typical corn), color score of 4.30 (yellow), texture score of 3.94 (compact), and overall acceptance score at 3:58 (like). These results indicated that nixtamalized corn flour could be used to replace 100% of wheat flour in the manufacture of biscuits.",,Jurnal Teknologi Industri dan Hasil Pertanian Volume 19 No.2.,disk0/00/04/38/35,['FP19'],pub,7,2022-08-03 01:21:43,,public,,,,,,,,,
