,metadata_visibility,pagerange,datestamp,eprint_status,eprintid,lastmod,official_url,documents,userid,title,refereed,creators,type,place_of_pub,book_title,date_type,subjects,uri,abstract,corp_creators,divisions,publisher,dir,rev_number,ispublished,full_text_status,status_changed,number,volume,related_url,publication,issn,id_number,contributors,isbn
0,show,206-216,2018-06-26 08:07:27,archive,7880,2018-06-26 08:07:27,http://publikasi.ubl.ac.id/index.php/Monograf/catalog/view/13/17/129-1,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/20910', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 7880, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Harun Bunga Rampai.pdf', 'docid': 20910, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/70323', 'filename': 'Harun Bunga Rampai.pdf', 'objectid': 20910, 'filesize': 322209, 'mtime': '2018-06-26 07:25:48', 'hash_type': 'MD5', 'hash': '8b71ff074bee094e29e67457fd1dac7f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 70323}], 'format': 'text'}]",288,"PEMBANGUNAN AGROINDUSTRI PEDESAAN
DAN BERAS SIGER DI PROPINSI LAMPUNG
MENUJU KESEJAHTERAAN PETANI",TRUE,"[{'name': {'given': 'Harun', 'honourific': None, 'family': 'Al Rasyid', 'lineage': None}, 'id': 'harun.alrasyid@fp.unila.ac.id'}]",book_section,Bandar Lampung,Bunga Rampai Pemikiran Anggota Dewan Riset Daerah (DRD) Provinsi Lampung,published,"['S1', 'T1']",http://repository.lppm.unila.ac.id/id/eprint/7880,"Tulisan ini secara umum membahas pentingnya pengembangan
agroindustri di pedesaan dan secara khusus pengembangan industri beras
siger. Agroindustri adalah kegiatan mengubah atau mentransformasi
bahan baku hasil pertanian menjadi produk yang siap diperdagangkan dan
dikonsumsi guna menghasilkan nilai tambah (Added Value).
Agroindustri merupakan generasi ketiga pembangunan pertanian,
sehingga peranannya sangat penting sebagai pasar bagi produk-produk
pertanian dan memacu pembangunan pertanian menuju kesejahteraan
petani. Salah satu agroindustri yang potensial untuk dikembangkan di Provinsi Lampung adalah agroindustri beras siger. Hal ini bertitiktolak dari keadaan bahwa: (1) Lampung merupakan penghasil ubi kayu terbesar di Indonesia, (2) agroindustri berbasis ubikayu didominasi oleh industri tapioka, sehingga agribisnis ubikayu sangat rentan, (3) sebagai usaha pengawetan ubi kayu, dan (4) tidak semua petani di lampung menghasikan beras padi, sehingga memproduksi beras siger dapat dijadikan sebagai
alternatif guna memenuhi kebutuhan bahan pangan pokok.",['Universitas Lampung'],['FP22'],Universitas Bandar Lampung,disk0/00/00/78/80,8,pub,public,2018-06-26 08:07:27,,,,,,,,
1,show,1-6,2019-05-16 03:46:26,archive,12940,2019-05-16 03:46:26,https://iopscience.iop.org,"[{'main': 'Kamahara_2018_IOP_Conf._Ser.%3A_Mater._Sci._Eng._334_012009.pdf', 'docid': 25923, 'files': [{'fileid': 114066, 'datasetid': 'document', 'hash': '4e15aeb538656f8c5ad4d3aed40e0c2f', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-05-15 08:33:36', 'objectid': 25923, 'filesize': 537482, 'uri': 'http://repository.lppm.unila.ac.id/id/file/114066', 'filename': 'Kamahara_2018_IOP_Conf._Ser.%3A_Mater._Sci._Eng._334_012009.pdf'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 12940, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25923', 'pos': 1, 'security': 'public'}]",1048,"Material flow analysis for resource management
towards resilient palm oil production",TRUE,"[{'id': 'udinha65@gmail.com', 'name': {'family': 'Hasanudin', 'lineage': None, 'honourific': None, 'given': 'Udin'}}]",article,,,published,['TD'],http://repository.lppm.unila.ac.id/id/eprint/12940,"Abstract. Biomass waste generated from palm oil mill can be considered not only as the
feedstock of renewable energy but also as the nutrient-rich resources to produce organic
fertilizer. This study explored the appropriate resource management towards resilient palm oil
production by applying material flow analysis. This study was conducted based on two palm
oil mills in Lampung, Indonesia. The results showed that the empty fruit bunch (EFB) has the
largest potential in terms of amount and energy among the biomass waste. The results also
showed that the palm oil mills themselves had already self-managed their energy consumption
thatwas obtained from palm kernel shell and palm press fiber. Finally, this study recommended
the several utilization options of EFB for improvement of soil sustainability to contribute
towards resilient palm oil production.",,['FP22'],IOP Publishing,disk0/00/01/29/40,6,pub,public,2019-05-16 03:46:26,12009.0,334.0,[{'url': 'https://iopscience.iop.org/article/10.1088/1757-899X/334/1/012009'}],IOP Conference Series: Materials Science and Engineering,,,,
2,show,,2022-09-12 01:13:42,archive,44862,2022-09-12 01:13:42,,"[{'format': 'text', 'main': 'jpg2pdf (3) (1).pdf', 'files': [{'datasetid': 'document', 'fileid': 484177, 'mime_type': 'application/pdf', 'hash': '848fdecd4de5825ff460d0e19029fd62', 'objectid': 166769, 'filesize': 393001, 'uri': 'http://repository.lppm.unila.ac.id/id/file/484177', 'filename': 'jpg2pdf (3) (1).pdf', 'hash_type': 'MD5', 'mtime': '2022-09-09 04:06:40'}], 'docid': 166769, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 44862, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166769', 'pos': 1}]",306,Peer Rivew pendugaan umur simpan coklat instan kemasan plastik propilen menggunakan pendekatan model arhenius,,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'family': 'Hidayati', 'lineage': None, 'honourific': None, 'given': 'Sri'}}, {'name': {'given': 'Dewi', 'lineage': None, 'family': 'Sartika', 'honourific': None}, 'id': 'dewikincai@yahoo.com'}, {'id': None, 'name': {'given': 'Suharyono', 'family': 'Suharyono', 'lineage': None, 'honourific': None}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/44862,,,['FP22'],JTIHP Universitas Lampung,disk0/00/04/48/62,7,pub,public,2022-09-12 01:13:42,,,,,,,,
3,show,,2021-09-20 01:06:08,archive,33954,2021-09-20 01:06:08,,"[{'format': 'text', 'main': 'Berita acara ujian terbuka samsul Rizal.pdf', 'docid': 154196, 'files': [{'filesize': 412020, 'objectid': 154196, 'filename': 'Berita acara ujian terbuka samsul Rizal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401252', 'hash_type': 'MD5', 'mtime': '2021-09-17 04:55:32', 'fileid': 401252, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'eaaf44a58c7d61bfeeea370fcb6d37f8'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 33954, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154196'}]",1017,"Bukti Persyaratan Tambahan sebagai CoPromotor S3 :Berita Acara Ujian Terbuka, September 2021",,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'lineage': None, 'family': 'Kustyawati', 'honourific': None}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33954,,,['FP22'],LPPM Unila,disk0/00/03/39/54,7,unpub,public,2021-09-20 01:06:08,,,,,,,,
4,show,,2021-10-07 00:53:34,archive,34364,2021-10-07 00:53:34,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'BUKTI PROMOTOR.pdf', 'docid': 154877, 'files': [{'filename': 'BUKTI PROMOTOR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/404721', 'filesize': 1374918, 'objectid': 154877, 'mtime': '2021-10-06 14:08:59', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '51c338d84bb561181b66ee577f599603', 'fileid': 404721, 'datasetid': 'document'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154877', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 34364}]",1017,"Bukti Sebagai Co_Promotor S3: Judul, Lembar Pengesahan, SK Penugasan",,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'honourific': None, 'lineage': None, 'family': 'Kustyawati'}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/34364,,,['FP22'],LPPM Unila,disk0/00/03/43/64,7,unpub,public,2021-10-07 00:53:34,,,,,,,,
5,show,,2021-09-28 04:43:14,archive,34192,2021-09-28 04:43:14,,"[{'main': 'Klarifikasi_Karil_Efek fermenentasi...pdf', 'files': [{'datasetid': 'document', 'fileid': 403304, 'mime_type': 'application/pdf', 'hash': 'cf90c48763ea93f2b3dab0020eaa9c91', 'filesize': 1087589, 'objectid': 154692, 'uri': 'http://repository.lppm.unila.ac.id/id/file/403304', 'filename': 'Klarifikasi_Karil_Efek fermenentasi...pdf', 'hash_type': 'MD5', 'mtime': '2021-09-28 04:22:25'}], 'docid': 154692, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 34192, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154692', 'security': 'public'}]",1017,"Klarifikasi Karya Ilmiah, Judul: Efek fermentasi dengan Saccharomyces cerevisiae terhadap karakterisitik biokimia tapioka.",,"[{'name': {'honourific': None, 'family': 'Kustyawati', 'lineage': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/34192,,,['FP22'],LPPM Unila,disk0/00/03/41/92,8,unpub,public,2021-09-28 04:43:14,,,,,,,,
6,show,,2021-09-22 01:04:52,archive,34061,2021-09-22 01:04:52,,"[{'eprintid': 34061, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154495', 'pos': 1, 'format': 'text', 'docid': 154495, 'main': 'Review_AJFAR_72577.pdf', 'files': [{'filesize': 292285, 'objectid': 154495, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402160', 'filename': 'Review_AJFAR_72577.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-22 00:38:58', 'datasetid': 'document', 'fileid': 402160, 'hash': 'abc6fe7d3f09589de56ea5fea2f51867', 'mime_type': 'application/pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",1017,Komunikasi Review Manuscript AJFAR_72577,,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'family': 'Kustyawati', 'lineage': None, 'honourific': None}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/34061,,,['FP22'],LPPM Unila,disk0/00/03/40/61,7,unpub,public,2021-09-22 01:04:52,,,,,,,,
7,show,,2021-09-16 09:08:24,archive,33937,2021-09-16 09:08:24,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/154176', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33937, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Komunikasi_Hindawi_TheGrowth.pdf', 'docid': 154176, 'files': [{'mime_type': 'application/pdf', 'hash': 'bec25f0b2749502e8124c194c1b14b4c', 'datasetid': 'document', 'fileid': 401116, 'mtime': '2021-09-16 08:25:27', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401116', 'filename': 'Komunikasi_Hindawi_TheGrowth.pdf', 'objectid': 154176, 'filesize': 203207}], 'format': 'text'}]",1017,"Komunikasi dengan Intern J of Food Sci: The growth of yeast and fungi, the formation of beta-glucan, and the antibacterial activities during soybean fermentation in producing tempeh",,"[{'name': {'given': 'Maria Erna', 'lineage': None, 'family': 'Kustyawati', 'honourific': None}, 'id': 'maria.erna@fp.unila.ac.id'}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33937,,,['FP22'],LPPM Unila,disk0/00/03/39/37,7,unpub,public,2021-09-16 09:08:24,,,,,,,,
8,show,,2021-09-20 01:06:13,archive,33956,2021-09-20 01:06:13,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Komunikasi dengan J Food Quality.pdf', 'files': [{'mtime': '2021-09-17 07:12:50', 'hash_type': 'MD5', 'filename': 'Komunikasi dengan J Food Quality.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401266', 'filesize': 630864, 'objectid': 154198, 'hash': 'b697d5d033017166bd846d0120d6b06b', 'mime_type': 'application/pdf', 'fileid': 401266, 'datasetid': 'document'}], 'docid': 154198, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154198', 'security': 'public', 'placement': 1, 'eprintid': 33956}]",1017,Komunikasi dengan J of Food Quality: Quality and Shelf Life of White Shrimp (Litopenaeus vannamei) Processed with High-Pressure Carbon Dioxide (HPCD) at Subcritical and Supercritical States,,"[{'name': {'given': 'Maria Erna', 'honourific': None, 'lineage': None, 'family': 'Kustyawati'}, 'id': 'maria.erna@fp.unila.ac.id'}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33956,,,['FP22'],LPPM Unila,disk0/00/03/39/56,7,unpub,public,2021-09-20 01:06:13,,,,,,,,
9,show,,2021-09-16 09:08:38,archive,33943,2021-09-16 09:08:38,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/154182', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33943, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 154182, 'main': 'Komunikasi_Agritech2013.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-09-16 09:03:58', 'objectid': 154182, 'filesize': 299592, 'filename': 'Komunikasi_Agritech2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401159', 'datasetid': 'document', 'fileid': 401159, 'mime_type': 'application/pdf', 'hash': '60c2e8bbe16278ebffe8800420aebc88'}], 'format': 'text'}]",1017,"Komunikasi dengan Jurnal AGRITECH, 2013: Efek fermentasi dengan Saccharomyces cerevisiae terhadap karakteristik biokimia tapioka.",,"[{'name': {'lineage': None, 'family': 'Kustyawati', 'honourific': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33943,,,['FP22'],LPPM Unila,disk0/00/03/39/43,7,unpub,public,2021-09-16 09:08:38,,,,,,,,
