,type,pres_type,creators,title,refereed,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,lastmod,documents,divisions,dir,event_type,full_text_status,status_changed,rev_number,ispublished,date_type,event_title,subjects,abstract,date,uri,event_location,id_number,official_url,contributors,publisher,publication,related_url,issn,volume,number,corp_creators,event_dates,contact_email
0,conference_item,paper,"[{'id': 'henrie.buchari@fp.unila.ac.id', 'name': {'given': 'Henrie', 'honourific': None, 'family': 'Buchari', 'lineage': None}}]","KAJIAN P0TENSI LAHAN ALANG-ALANG (Imperata cyrindrica(L) Beauv) TELAAH SIFAT FISTK, KIMIA DAN BIOLOGT",FALSE,2022-01-17 01:33:01,archive,37922,show,270-278,691,2022-01-17 01:33:01,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 158861, 'main': 'Prosiding UNSRI 2011.pdf', 'files': [{'mtime': '2022-01-15 14:58:20', 'hash_type': 'MD5', 'filename': 'Prosiding UNSRI 2011.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/431515', 'objectid': 158861, 'filesize': 4483820, 'mime_type': 'application/pdf', 'hash': 'b113c71dcd1756bc52a25283a2e9ba4b', 'fileid': 431515, 'datasetid': 'document'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158861', 'pos': 1, 'eprintid': 37922, 'placement': 1}]",['FP23'],disk0/00/03/79/22,conference,public,2022-01-17 01:33:01,7,pub,published,Prosiding Seminar Nasional dan Rapat Tahunan Dekan Bidang Ilmu-ilmu Pertanian  (May 2011),['S1'],"The land problems that were covered by alang-alang (Imperata cylindrica (L) Beauv) is how to manage them to become a productive agricultural land and to make them sustainable for agriculture. The main problem in land covered by alang-alang ere poorly in soil physical, chemical and biological properties. This experiment aims were to study the changes in soil physical, chemical and biological properies at different ages of growth alang-alang in its land. The experiment was arranged by split plots in a randomized block design. The min plot was the age of alang-alang (1,5 and >10 years) and the sub-plot were  depth of soil (0-5, 5-15 and 15-30 cm). The results showed that the age of covered alang-alang have a capability to improve physical, chemical and biological soil properties of soil. Magnesium increased up to 239% (5 years) and 71% (age >10 years) compared to land covered by alang-alang at the age of 1 year. For biological properties, land covered by alang-alang increased of earthworm population up to 66,45% (5 YARS) AND 56% (age > 10 years) higher than land that od the age of 1 year.",2011-05-25,http://repository.lppm.unila.ac.id/id/eprint/37922,,,,,,,,,,,,,
1,conference_item,paper,"[{'name': {'honourific': None, 'family': 'Buchari', 'lineage': None, 'given': 'Henrie'}, 'id': 'henrie.buchari@fp.unila.ac.id'}, {'id': 'muhajir.utomo@fp.unila.ac.id', 'name': {'family': 'Utomo', 'lineage': None, 'honourific': None, 'given': 'Muhajir'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Banuwa', 'given': 'Irwan Sukri'}, 'id': 'irwanbanuwa@yahoo.com'}]",Pengaruh Olah Tanah Konservasi Jangka Panjang terhdap Emisi CO2 Tanah,TRUE,2022-01-17 01:32:57,archive,37919,show,157-163,691,2022-01-17 01:32:57,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158857', 'pos': 1, 'eprintid': 37919, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'hash': '953e8707a47664cedbbe49f1fc088c04', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 431490, 'mtime': '2022-01-15 13:22:03', 'hash_type': 'MD5', 'filename': 'document.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/431490', 'objectid': 158857, 'filesize': 2066554}], 'main': 'document.pdf', 'docid': 158857}]",['FP23'],disk0/00/03/79/19,conference,public,2022-01-17 01:32:57,7,pub,published,Seminar Nasional  dalam rangka menyambut hari lingkungan hidup sedunia tahun 2011,['S1'],"Sistem olah tanah konservasi merupakan suatu sistem persiapan lahan yang bertujuan untuk menyiapkan lahan agar tanaman dapat tumbuh dan berproduksi optimum, dengan tetap memperhatikan konservasi tanah dan air. Pada sistem OTK tanah diolah seperlunya saja dan mulsa dari residu tanaman sebelumnya dibiarkan menutupi permukaan lahan. Dengan memanfaatkan residu tanaman dan mengurangi manipulasi
mekanis permukaan tanah, pertanian OTK mempunyai potensi dalam membantu mengurangi pemanasan global melalui penyerapan C dalam tanah dan penguraogin emisi CO2. Percobaan ini bertujuan mempelajari peran olah tanah konservasi dalam mengurangi emisi CO2-sebagai salah
satu gas rumah kaca. Percobaan dirancang secara faktorial dalam RAK. Faktor pertama adalah perlakuan sistem olah tanah, yaitu olah tanah intensif (OTI), olah tanah minimum (OTM) dan tanpa olah tanah (TOT),dan faktor kedua pemupukan N dengan dosis O, 100 dan 200 kg N ha-1. Hasil penelitian menunjukkan emisi gas CO2 pada pertanian jagung OTI dengan pemupukan 200 kg N/ha pada hari ke-l setelah pengolahan
tanah mencapai 59,89 kg co2lha/hari, 3,8 kali emisi gas co2 ToT. Emisi gas CO2 OTI hari kedua dan ketiga setelah pengolahan berturut-turut mencapai 52.8 dan 44,1 kg CO2/ha/hari; 5,1 dan 3,8 kali emisi CO2 TOT. Emisi total CO2 pada OTI mencapai 1,17 ton/ha selama musim tanam jagung, setara dengan 4,3 kali emisi TOT dan 2,7 kali OTM.",2011-06-05,http://repository.lppm.unila.ac.id/id/eprint/37919,Universitas SUmatera Utara,,,,,,,,,,,,
2,article,,"[{'id': 'dermiyati.1963@fp.unila.ac.id', 'name': {'family': 'Dermiyati', 'lineage': None, 'honourific': None, 'given': '-'}}]",Study on the Suspension Extract of Agro-industrial Plant Waste and the Compost Type on the Change of Soil Chemical Properties and the Yields of Shallot (Allium ascalonicum L.),TRUE,2021-06-16 01:00:54,archive,32586,show,225-233,1045,2021-06-16 01:00:54,"[{'main': '125957718_PAPER ISOPRELOCAL_ATLANTIS PRESS.pdf', 'docid': 148036, 'files': [{'filename': '125957718_PAPER ISOPRELOCAL_ATLANTIS PRESS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/385667', 'filesize': 226739, 'objectid': 148036, 'mtime': '2021-06-15 09:54:06', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '57cf9d103c015c80ba58d11e09eb1c27', 'datasetid': 'document', 'fileid': 385667}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 32586, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148036', 'pos': 1, 'security': 'public'}]",['FP23'],disk0/00/03/25/86,,public,2021-06-16 01:00:54,10,pub,published,,['S1'],"Shallot cultivation has constraints in regarding less fertile soil and lacking of soil nutrients. This study aimed to determine the effect of suspension extracts of the agro-industrial plant wastes (banana weevil, pineapple rhizome, and oil palm empty fruit bunches) and the type of compost (solid and liquid compost) on the soil chemical properties and the yields of shallot. The study used a Completely Randomized Block Design arranged in a factorial treatment. The first factor was the type of suspension extract of agro-industrial plant wastes, namely banana weevil (P1), pineapple rhizome (P2), and oil palm empty fruit bunches (P3). The second factor was the type of compost, namely without compost (K0), solid compost (K1), and liquid compost (K2). Data were analyzed by analysis of variance and followed by a Duncan Multiple Range Test at 5% level. The results showed that the suspension extract type of agro-industrial plant wastes and the compost type increased the pH, available-P, and organic-C of soil, but they did not affect the total-N and exchangeable-K of soil. The application suspension extract of oil palm empty fruit bunch significantly increased the volume of the bulb of shallot compared to the suspension extract of pineapple rhizome and banana weevil. Moreover, the application of compost (either solid or liquid) significantly increased the volume of the bulb of shallot compared to without compost. The application of suspension extract of oil palm empty fruit bunch with solid compost significantly increased the weight of the wet and dried bulbs compared to the suspension extracts of banana weevil and pineapple rhizomes. Also, the application of solid compost with suspension extract of oil palm empty fruit bunch significantly increased the weight of wet bulbs and dried bulbs of shallot compared to without compost and liquid compost. Therefore, the suspension extract of agro-industrial plant wastes has a potential to be used as liquid organic fertilizers.",2011-06-11,http://repository.lppm.unila.ac.id/id/eprint/32586,,https://doi.org/10.2991/absr.k.210609.036,https://www.atlantis-press.com/proceedings/isplrsad-20/125957718,"[{'name': {'given': '-', 'honourific': None, 'lineage': None, 'family': 'Dermiyati'}}, {'name': {'given': 'Irwan Sukri', 'lineage': None, 'family': 'Banuwa', 'honourific': None}}, {'name': {'given': 'Slamet Budi', 'honourific': None, 'family': 'Yuwono', 'lineage': None}}, {'name': {'given': 'Ainin', 'family': 'Niswati', 'lineage': None, 'honourific': None}}]",ATLANTIS PRESS B.V.,Study on the Suspension Extract of Agro-industrial Plant Waste and the Compost Type on the Change of Soil Chemical Properties and the Yields of Shallot (Allium ascalonicum L.),[{'url': 'https://www.atlantis-press.com/proceedings/isplrsad-20/125957718'}],2468-5747,13.0,,,,
3,article,,"[{'name': {'given': '-', 'lineage': None, 'family': 'Dermiyati', 'honourific': None}, 'id': 'dermiyati.1963@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Eva', 'family': 'Firdaus', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Utomo', 'lineage': None, 'given': 'Muhajir'}, 'id': 'muhajir.utomo@fp.unila.ac.id'}, {'name': {'given': 'Mas Achmad Syamsul', 'family': 'Arif', 'lineage': None, 'honourific': None}, 'id': 'abimasyarif@gmail.com'}, {'name': {'honourific': None, 'family': 'Nugroho', 'lineage': None, 'given': 'Ghani Sutopo'}, 'id': None}]","Soil Microbial Biomass Carbon under Rhizosphere and  on Rhizosphere of Maize after a Long-Term Nitrogen Fertilization
and Tillage Systems",TRUE,2016-10-28 07:00:04,archive,853,show,63-68,1045,2016-10-28 07:00:04,"[{'placement': 1, 'eprintid': 853, 'uri': 'http://repository.lppm.unila.ac.id/id/document/862', 'pos': 1, 'security': 'public', 'files': [{'hash_type': 'MD5', 'mtime': '2016-10-27 08:56:58', 'filesize': 119241, 'objectid': 862, 'uri': 'http://repository.lppm.unila.ac.id/id/file/6181', 'filename': 'Dermiyati-1-63.pdf', 'fileid': 6181, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '76b22e429b5fd2163ce2a3f155edb537'}], 'main': 'Dermiyati-1-63.pdf', 'docid': 862, 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published'}]",['FP23'],disk0/00/00/08/53,,public,2016-10-28 07:00:04,8,pub,published,,['S1'],"This research aimed to study the soil microbial biomass carbon (SMBC) under maize plant after a long-term application of nitrogen fertilizer and tillage systems (at the 37th growing season). The treatments were arranged in a factorial (3x3) in a randomized completely block design with 3 replications. The first factor was tillage systems, namely intensive tillage (IT) system, minimum tillage (MT) system, and no tillage (NT) system, and the second factor was the long-term application of nitrogen fertilizer, namely 0, 100, and 200 kg N ha-1. Data were analyzed using an orthogonal contrast test and a correlation test between SMBC and organic-C, total-N, and pH of the soil. The results showed that, in the rhizosphere and non-rhizosphere of maize plant, MT system increased the SMBC compared to NT and IT systems. However, application of long-term application of nitrogen fertilizer did not increase the SMBC. Nevertheless, fertilizer application of 100 kg N ha-1 increased the SMBC compare to 200 kg N ha-1. Furthermore, the combination of MT system and 100 kg N ha-1 could increase the SMBC compared to the other combined treatment between tillage systems and N fertilization doses. The SMBC was higher in the rhizosphere than in non-rhizosphere of maize plant.",2011-01-01,http://repository.lppm.unila.ac.id/id/eprint/853,,10.5400/jts.2011.16.1.63,http://journal.unila.ac.id/index.php/tropicalsoil/index,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],University of Lampung,Journal of Tropical Soils,,0852-257X,16.0,1.0,['University of Lampung'],,
4,article,,"[{'name': {'given': '.', 'lineage': None, 'family': 'Fahri', 'honourific': None}, 'id': None}, {'id': 'tamaluddin.syam@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Syam', 'given': 'Tamaluddin'}}]","Coastline Change Surround Sekampung River Estuary Estimated
by Geographic Information System Technique",TRUE,2016-10-17 14:29:01,archive,807,show,169-174,935,2016-10-17 14:29:01,"[{'placement': 1, 'eprintid': 807, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/701', 'security': 'public', 'main': 'Tamal -655-1861-1-PB.pdf', 'docid': 701, 'files': [{'mtime': '2016-10-15 01:09:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/4798', 'filename': 'Tamal -655-1861-1-PB.pdf', 'filesize': 552211, 'objectid': 701, 'hash': '4b20e32608aea3b203e7b4e4394c741c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 4798}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'content': 'published'}]",['FP23'],disk0/00/00/08/07,,public,2016-10-17 14:29:01,10,pub,published,,['S1'],"Surround a big river estuary coastline has a dynamic characteristic and change along a period of time, because of a natural process and/or it is accelerated by human activities. The surround Sekampung river estuary coastline located in Rawa Sragi area is one of the most dynamic coastlines in southern Lampung Province that has changed significantly from 1959 (as a natural process) to year 1987 (as an accelerated process by human activities) since the government of Indonesia has applied swamp drainage system for Rawa Sragi area. It is likely that the coastline has changed significantly in the period of 1987 to 2009 (as an increasing intensity of the human activities in the surrounding Rawa Sragi land). The objective of this research was to analyze the coastline change in the surrounding of Sekampung river estuary in two periods of time: (1) the change of the 1959 – 1987 period coastlines; and (2) the change of the 1987 – 2009 period coastlines. The method of this research was a GIS technique, the implementation was divided into three main steps: (1) the first analysis was conducted in laboratory include raster data source analysis and registration, coastline digitations, and overlaying and analysis of the coastline data; (2) field observation (ground check) was conducted to observe and verify the ground existing coastline; and (3) the last analysis was conducted after ground check activity to improve and to verify the first coastline analysis results. The result of this research indicated that coastline change in the period of 1959 to 1987 increased the coast land as much as 717.19 hectares, but decreased the coast land as much as 308.51 hectares. Furthermore the coastline change in the period of 1987 to 2009 increased the coast land as much as 162.504 hectares, but decreased the coast land as much as 492.734 hectares. The 1959 – 1987 coastline change was a coast land increasing period, but the 1987 – 2009 coastline change was a coast land decreasing period.",2011-05-01,http://repository.lppm.unila.ac.id/id/eprint/807,,10.5400/jts.2011.16.2.169,http://journal.unila.ac.id,,University of Lampung,Journal of Tropical Soils,,0852-257X,16.0,2.0,['Fakultas Pertanian Universitas Lampung'],,
5,conference_item,paper,"[{'name': {'honourific': None, 'family': 'Isnaini', 'lineage': None, 'given': 'Soni'}, 'id': 'sonisnaini@yahoo.co.id'}, {'name': {'given': 'Ainin', 'honourific': None, 'family': 'Niswati', 'lineage': None}, 'id': 'ainin.niswati@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Maryati', 'given': '.'}, 'id': None}]",Respon Padi Sawah dan Kandungan N-total Tanah serta Serapannya yang Diaplikasi dengan Azolla,TRUE,2016-11-17 03:51:07,archive,1193,show,23-25,1055,2016-11-17 03:51:07,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1071', 'eprintid': 1193, 'placement': 1, 'content': 'published', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Ainin - 2011 Prosising Semirata Unsri Anggota - 2011.pdf', 'files': [{'mtime': '2016-11-16 15:36:31', 'hash_type': 'MD5', 'filename': 'Ainin - 2011 Prosising Semirata Unsri Anggota - 2011.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/7943', 'filesize': 12539479, 'objectid': 1071, 'mime_type': 'application/pdf', 'hash': '2e0da862984b72f596836798880f31e7', 'fileid': 7943, 'datasetid': 'document'}], 'docid': 1071}]",['FP23'],disk0/00/00/11/93,conference,public,2016-11-17 03:51:07,8,pub,published,"Seminar Nasional dan Rapat Tahunan Dekan Bidang Ilmu-Ilmu Pertanian Badan Kerjasama Perguruan Tinggi Negeri (BKS-PTN) Wilayah Barat, Volume III",['S1'],"The purpose growth af this study was to obtain the best of dosage Azolla pinnata to support the and yield of rice, as well as content of total-N and its uptake Research Carried out by using the method single  factor  in the design of complete randomized groups with .treatments (without A. pinnata, 2.5, 5, 7.5 and I0 ton A.pinnata/ha) with 5 replications. Field trials on land owned by  farmers  in Kedaloman village, Gunung Alip sub-district, district Tanggamus since June 2009 – September 2009. The results showed that application A. pinnata  between 5 ond 7-5 ton A. pinnata  was higher than the other treatment.",2011-05-24,http://repository.lppm.unila.ac.id/id/eprint/1193,"Universitas Sriwijaya, Palembang",,,,,,,,,,['University of Lampung'],23-25 May 2011,
6,conference_item,paper,"[{'id': 'ainin.niswati@fp.unila.ac.id', 'name': {'given': 'Ainin', 'family': 'Niswati', 'lineage': None, 'honourific': None}}]",Perubahan Kandungan NH4+ pada Tanah Sawah Diberi Pupuk Berbeda,TRUE,2016-11-16 03:13:10,archive,1169,show,131-136,1055,2016-11-16 03:13:10,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1047', 'security': 'public', 'placement': 1, 'eprintid': 1169, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'files': [{'hash_type': 'MD5', 'mtime': '2016-11-15 16:18:25', 'objectid': 1047, 'filesize': 10072941, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7794', 'filename': 'Ainin - 2011 Prosiding Semirata Unsri Ketua - 2011.pdf', 'datasetid': 'document', 'fileid': 7794, 'mime_type': 'application/pdf', 'hash': '16878fe15115a07415314027fb64978e'}], 'main': 'Ainin - 2011 Prosiding Semirata Unsri Ketua - 2011.pdf', 'docid': 1047, 'format': 'text'}]",['FP23'],disk0/00/00/11/69,conference,public,2016-11-16 03:13:10,8,pub,published,Prosiding Semirata Bidang Ilmu-ilmu Pertanian BKS-PTN Wilayah Barat Tahun 2011,['S1'],"The use of Azolla in paddy field has been suggested because of various advantages, such as nitrogen source. A greenhouse experiment was conducted to study the effect of singly nitrogen, phosphorus, and potassium or their combination on soil ammonia (NH4+) content that was treated by Azolla, and to study Azolla decomposition in paddy soils. The experiment was arranged by randomized completely block design with three replications. The treatments in soil were control (without NPK), fertilizers), four nitrogen-phosphorus-potassium PK, NP, and NK with each dosage at 100 kg ha-1.  The observations were conducted at 3, 5, 7, 14, and 2l days after treated. ""The results showed that fertilization with N, P, or K and their combination give significantly effect on NH4+ content in soil. NH4+ content was higher in soil treated with NPK, NP, or NK than that in control or PK at 3, 7, and 14 days after.treatment. The NH4+  content in soil increased with the time of incorporated of Azolla in paddy soil. Dffirences in soil nutrient were not significantly effect on N and C content of Azolla as well as decomposition rate of Azolla. However, N- total of Azolla increased and C-total of Azolla decreased along with decomposition of Azolla in paddy soil.",2011-05-24,http://repository.lppm.unila.ac.id/id/eprint/1169,"Universitas Sriwijaya, Palembang",,,,,,,,,,['University of Lampung'],23-25 Mei 2011,
7,conference_item,paper,"[{'name': {'given': 'Ainin', 'honourific': None, 'lineage': None, 'family': 'Niswati'}, 'id': 'ainin.niswati@fp.unila.ac.id'}]",Soil Biodiversity Approach for Reducing Land Degradation,TRUE,2016-11-08 08:23:17,archive,1082,show,23-30,1055,2016-11-08 08:23:17,"[{'placement': 1, 'eprintid': 1082, 'uri': 'http://repository.lppm.unila.ac.id/id/document/972', 'pos': 1, 'security': 'public', 'main': 'Ainin -Unila-YNU 2011.pdf', 'files': [{'hash': '727788a135125fb41660a9465849d24d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 7174, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7174', 'filename': 'Ainin -Unila-YNU 2011.pdf', 'objectid': 972, 'filesize': 1348971, 'mtime': '2016-11-08 06:14:06', 'hash_type': 'MD5'}], 'docid': 972, 'format': 'text', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}]",['FP23'],disk0/00/00/10/82,workshop,public,2016-11-08 08:23:17,9,pub,published,International Workshop on Environmental Protection and Regional Development,['S1'],"Indonesia is one of the most important areas of tropical forests worldwide that have great potential for the future development of agriculture. However, most of these soils have low inherent fertility and many have become degraded. Land degradation has been a problem because of its adverse impact on agronomic productivity, the environment, and its effect on food security and the quality of life.  Factors affecting the degradation are agricultural activities, deforestation and removal of natural vegetation, over-exploitation of vegetation for domestic use, overgrazing, and industrial activities. Productivity of soil decrease because of lack of physical, chemical, and biological properties of soil.  One of important approach that can be done is by biological management such as, utilization of plant biomass either as mulch or mixed into the soil, reduce tillage, cover crop, or crop rotation that can enhance soil biodiversity.  Soil biota is powerful for many kind of agro ecosystem process such as chemical engineers, biological regulators, and ecosystem engineers.  Moreover, soil biodiversity will service many things in below and above ground such as soil structure, soil organic matter and fertility, regulation of carbon flux and climate control, regulation of the water cycle, decontamination and bioremediation, pest control, and human health.",2011-02-21,http://repository.lppm.unila.ac.id/id/eprint/1082,Yokohama National University,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Ainin', 'honourific': None, 'lineage': None, 'family': 'Niswati'}, 'id': 'ainin.niswati@fp.unila.ac.id'}]",,,,,,,['University of Lampung'],21 February 2011,
8,other,,"[{'name': {'lineage': None, 'family': 'Niswati', 'honourific': None, 'given': 'Ainin'}, 'id': 'ainin.niswati@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sucipto', 'given': '.'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Yusnaini', 'given': 'Sri'}, 'id': 'sri.yusnaini@fp.unila.ac.id'}, {'id': 'dermiyati.1963@fp.unila.ac.id', 'name': {'family': 'Dermiyati', 'lineage': None, 'honourific': None, 'given': '-'}}]","Soil Microbial Biomass Carbon from the First
Year of the Application of No-Tillage and
Mulching on Sugarcane Plantation",,2016-10-13 15:41:46,archive,785,show,,1055,2016-10-13 15:41:46,"[{'security': 'public', 'formatdesc': 'Poster presentation', 'uri': 'http://repository.lppm.unila.ac.id/id/document/681', 'pos': 1, 'eprintid': 785, 'placement': 1, 'content': 'presentation', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'other', 'main': 'poster Ainin.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '6852da304cc01962c1b94e298fcacad7', 'datasetid': 'document', 'fileid': 4594, 'mtime': '2016-10-12 14:31:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/4594', 'filename': 'poster Ainin.pdf', 'filesize': 1039678, 'objectid': 681}], 'docid': 681}]",['FP23'],disk0/00/00/07/85,,public,2016-10-13 15:41:46,11,pub,published,,['S1'],"oil microbial biomass carbon (SMBC) is one of the most important soil biological properties. It
regulates many critical processes in ecosystems such as carbon cycle of the terrestrial ecosystem.
Carbon is a main component of organic matter and microbial cell. Soil which has a variety of soil microorganisms generally indicate that such soil have a good in physical and chemical properties. Sugarcane is a long duration, nutrient exhaustive crop, and has been found to meet its nutrient requirement through microbial mediation. Soils rich in organic carbon content favour the activity of microbes leading to mineralization and availability of nutrients to crops. This research aimed to study the
effect no-till (reduce tillage) and bagasse mulch on the SMBCin sugarcane plantation.",2011-12-01,http://repository.lppm.unila.ac.id/id/eprint/785,,,,,"Department of Soil Science, University of Lampung",,,,,,,,
9,article,,"[{'id': None, 'name': {'family': 'Weng', 'lineage': None, 'honourific': None, 'given': 'Liping'}}, {'name': {'lineage': None, 'family': 'Vega', 'honourific': None, 'given': 'Flora Alonso'}, 'id': None}, {'name': {'lineage': None, 'family': 'Supriatin', 'honourific': None, 'given': 'Supriatin'}, 'id': 'supriatin.1979@fp.unila.a.c.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Bussink', 'given': 'Wim'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Van Riemsdijk', 'given': 'Willem H.'}}]",Speciation of Se and DOC in soil solution and their relation to Se bioavailability.,TRUE,2017-08-14 01:31:05,archive,1270,show,262-267,5,2017-08-14 01:31:05,"[{'files': [{'fileid': 8515, 'datasetid': 'document', 'hash': '9a2ebd033808398ff3d25e847f687dec', 'mime_type': 'application/pdf', 'filesize': 293372, 'objectid': 1146, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8515', 'filename': 'Supriatin 2011 EST.pdf', 'hash_type': 'MD5', 'mtime': '2016-11-29 04:34:13'}], 'main': 'Supriatin 2011 EST.pdf', 'docid': 1146, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'content': 'published', 'placement': 1, 'eprintid': 1270, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1146', 'security': 'validuser'}]",['FP23'],disk0/00/00/12/70,,restricted,2017-08-14 01:31:05,9,pub,published,,['S1'],"A 0.01 M CaCl(2) extraction is often used to asses the bioavailability of plant nutrients in soils. However, almost no correlation was found between selenium (Se) in the soil extraction and Se content in grass. The recently developed anion Donnan membrane technique was used to analyze chemical speciation of Se in the 0.01 M CaCl(2) extractions of grassland soils and fractionation of DOC (dissolved organic carbon). The results show that most of Se (67-86%) in the extractions (15 samples) are colloidal-sized Se. Only 13-34% of extractable Se are selenate, selenite and small organic Se (<1 nm). Colloidal Se is, most likely, Se bound to or incorporated in colloidal-sized organic matter. The dominant form of small Se compounds (selenate, selenite/small organic compounds) depends on soil. A total of 47-85% of DOC is colloidal-sized and 15-53% are small organic molecules (<1 nm). In combination with soluble S (sulfur) and/or P (phosphor), concentration of small DOC can explain most of the variability of Se content in grass. The results indicate that mineralization of organic Se is the most important factor that controls Se availability in soils. Competition with sulfate and phosphate needs to be taken into account. Further research is needed to verify if concentration of small DOC is a good indicator of mineralization of soil organic matter.",2011-01-01,http://repository.lppm.unila.ac.id/id/eprint/1270,,10.1021/es1016119,https://www.ncbi.nlm.nih.gov/pubmed/21141820,,ASC Publications,Environmental Science & Technology,,0013-936X,45.0,1.0,['University of Lampung'],,supriatin_sp@yahoo.com
