,place_of_pub,refereed,title,type,creators,isbn,documents,pages,lastmod,userid,pagerange,metadata_visibility,editors,eprint_status,eprintid,datestamp,ispublished,rev_number,status_changed,full_text_status,divisions,publisher,dir,uri,date,abstract,book_title,subjects,date_type,event_location,pres_type,event_dates,contributors,official_url,event_type,corp_creators,event_title,patent_applicant,id_number,volume,issn,publication,number
0,Surakarta,FALSE,"Pattern of  Soil Organic Carbon in Pineapple Estate   after  Rotation with Cassava and King Grass under Marginal Tropical Soil  of Lampung, Indonesia",book_section,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Afandi', 'given': '.'}, 'id': 'afandi.1964@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Priyo', 'honourific': None, 'family': 'Cahyono', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Purwito', 'lineage': None, 'given': '-'}, 'id': None}]",978-979-498-838-1,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '11.Afandi ICSAE 2013.pdf', 'files': [{'datasetid': 'document', 'fileid': 54971, 'mime_type': 'application/pdf', 'hash': 'b4c3008e7c593592709a5182d6d178db', 'objectid': 18834, 'filesize': 1679789, 'uri': 'http://repository.lppm.unila.ac.id/id/file/54971', 'filename': '11.Afandi ICSAE 2013.pdf', 'hash_type': 'MD5', 'mtime': '2017-11-17 09:52:45'}], 'docid': 18834, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18834', 'pos': 1, 'eprintid': 5916, 'placement': 1}]",574.0,2018-04-25 04:22:27,718,133-136,show,"[{'name': {'family': 'Setyono', 'lineage': None, 'honourific': None, 'given': 'Prabang'}}, {'name': {'lineage': None, 'family': 'Komariah', 'honourific': None, 'given': '-'}}, {'name': {'honourific': None, 'family': 'Dewi', 'lineage': None, 'given': 'Widyatmani Sih'}}]",archive,5916,2018-04-25 04:22:27,pub,8,2018-04-25 04:22:27,public,['FP23'],UNS Press,disk0/00/00/59/16,http://repository.lppm.unila.ac.id/id/eprint/5916,2013-06-01 00:00:00.000000000,"A soil survey was conducted to see the  pattern of soil carbon organic in pineapple estate during pineapple growth after rotation with cassava (Manihot esculenta Crantz)  and king grass (Pennisetum purpureum). This research was conducted in PT.GGP, Central Lampung, Indonesia. The soil organic carbon was observed (a) after the harvesting of the rotated crop, (b) before planting of new crop of pineapple, and (c) 4 , 6, 8 months after planting. The soil organic carbon was initially increased after rotation, from 0,96% C  in king grass and 1,02% C in cassava, to almost 1,2 % after 4 months, but decreased 1,06 % and 1,1 % C in cassava and king grass after 8 months. The low of soil organic carbon indicated that the fertility of the soil is very low, and the addition of soil organic carbon through crop rotation is not enough for pineapple cultivation. 

Keywords: pineapple, crop rotation, cassava, king grass, tropical soil",Proceeding Internastional Conference on Sustainable Agriculture and Environment,['S1'],published,,,,,,,,,,,,,,
1,,TRUE,Peningkatan P-larut dari Batuan Fosfat dengan Campuran Limbah Cair Tahu dan Asam Sulfat,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Aini', 'given': 'Septi Nurul'}, 'id': None}, {'name': {'given': 'Ainin', 'honourific': None, 'lineage': None, 'family': 'Niswati'}, 'id': 'ainin.niswati@fp.unila.ac.id'}, {'name': {'given': '.', 'lineage': None, 'family': 'Sarno', 'honourific': None}, 'id': 'sarno.1957@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Yusnaini', 'honourific': None, 'given': 'Sri'}, 'id': 'sri.yusnaini@fp.unila.ac.id'}]",,"[{'security': 'public', 'formatdesc': 'Prosiding', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/961', 'eprintid': 1071, 'placement': 1, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'format': 'text', 'main': 'AininSepti Satek 2013.pdf', 'docid': 961, 'files': [{'mime_type': 'application/pdf', 'hash': 'da72bed8a4605f33c33ec2e4bf166266', 'datasetid': 'document', 'fileid': 7074, 'mtime': '2016-11-06 12:31:32', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/7074', 'filename': 'AininSepti Satek 2013.pdf', 'objectid': 961, 'filesize': 625564}]}]",,2016-11-07 01:17:29,1055,848-860,show,,archive,1071,2016-11-07 01:17:29,pub,9,2016-11-07 01:17:29,public,['FP23'],,disk0/00/00/10/71,http://repository.lppm.unila.ac.id/id/eprint/1071,2013-11-19 00:00:00.000000000,"The main material in phosphate fertilizer industry is phosphate rock.  The principle of the superphosphate fertilizer process is changing from tricalcium phosphate into phosphoric monocalsium by acidulation using sulfuric acid.  This process requires a high cost, causing fertilizer prices in the market become more expensive.  Therefore, an alternative is needed to produce P fertilizer at a low cost by utilizing tofu liquid waste that has a low pH to dissolve rock phosphate.  The combination between sulfuric acid and tofu liquid waste is expected increasing for solubility phosphate. This research aimed to explore combination of tofu liquid waste and sulfuric acid as well as the long incubation with the best P solubility of rock phosphate. The research was conducted at the Laboratory of Soil Science and Agro Waste Laboratory Lampung University from August to September 2013. The research was designed with factorial  5x4 in randomized block design with three replications. The first factor is the ratio of tofu liquid waste mixture and sulfuric acid (100%:0%; 95%:5%; 85%:15%; 75%:25%; 0%: 100%) and the second factor is the time of incubation of phosphate rock (1,3,7, and 14 days). The results showed that the highest P-soluble in a combination (0%:100%) with 7 days incubation is 10,80% P2O5. However, the best combination ratio is (85%:15%) with 7 days incubation is 10,48% P2O5 because the combination (85%:15%) is likely to (0%:100%). P solubility using a combination of (0%:100), and (85%:15%) incubation was suitable for a quality P-natural fertilizer for agricultural (SNI 02-3776-2005) on the category A.",,['S1'],published,Bandar Lampung,speech,19--20 November 2013,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],http://satek.unila.ac.id/2013,conference,['University of Lampung'],Seminar Nasional Sains & Teknologi V,,,,,,
2,Jakarta,TRUE,Erosi,book,"[{'name': {'family': 'Banuwa', 'lineage': None, 'honourific': None, 'given': 'Irwan Sukri'}, 'id': 'irwanbanuwa@yahoo.com'}]",978-6027985025,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1040', 'security': 'public', 'placement': 1, 'eprintid': 1161, 'mime_type': 'image/jpeg', 'language': 'en', 'rev_number': 2, 'content': 'coverimage', 'main': 'Buku Erosi- ISB.JPG', 'files': [{'mtime': '2016-11-14 07:49:34', 'hash_type': 'MD5', 'filename': 'Buku Erosi- ISB.JPG', 'uri': 'http://repository.lppm.unila.ac.id/id/file/7720', 'filesize': 20403, 'objectid': 1040, 'hash': '4a5f63cc119a7ea1fa4a21caad83c861', 'mime_type': 'image/jpeg', 'datasetid': 'document', 'fileid': 7720}], 'docid': 1040, 'format': 'image'}]",226.0,2016-11-14 09:18:00,1074,,show,,archive,1161,2016-11-14 09:18:00,pub,8,2016-11-14 09:18:00,public,['FP23'],Prenada Media Group,disk0/00/00/11/61,http://repository.lppm.unila.ac.id/id/eprint/1161,1970-01-01 00:00:00.000002013,"Proses erosi secara berurutan akan menimbulkan akibat pada tempat kejadian erosi (on site) dan pada tempat erosi diendapkan di bagian hilir (off site). Dampak erosi tersebut - baik secara on site maupun off site - berperan signifikan dalam hal menimbulkan degradasi lahan serta menurunkan kualitas lahan (pertanian). Erosi juga erat kaitannya dengan aliran permukaan (run off) dan sedimentasi. Secara garis besar, buku ini menyajikan erosi dengan berbagai aspeknya. Aspek penting buku ini cukup representatif, mulai dari aliran permukaan sebagai agen pembawa erosi, proses terjadinya erosi, macam dan bentuk erosi, faktor yang mempengaruhi erosi, erosi yang dapat ditoleransi, penetapan erosi baik melalui pengukuran maupun prediksi beserta contoh perhitungan dan hasil-hasil penelitian, upaya pencegahan erosi, sifat selektif erosi, dampak ekonomi erosi, peran erosi terhadap karbon tersimpan, hingga proses sedimentasinya",,['S1'],published,,,,,http:www.prenadamediagroup.com,,['Universitas Lampung'],,,,,,,
3,,,Erosi,patent,"[{'id': 'irwanbanuwa@yahoo.com', 'name': {'family': 'Banuwa', 'lineage': None, 'honourific': None, 'given': 'Irwan Sukri'}}]",,"[{'placement': 1, 'eprintid': 5160, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18082', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '21b3c4d561202d664a05df5adc5b0c7e', 'fileid': 49144, 'datasetid': 'document', 'filename': 'Irwan SB_2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/49144', 'filesize': 190932, 'objectid': 18082, 'mtime': '2017-11-10 10:33:31', 'hash_type': 'MD5'}], 'main': 'Irwan SB_2.pdf', 'docid': 18082, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,2017-11-10 14:16:03,1074,,show,,archive,5160,2017-11-10 14:16:03,pub,7,2017-11-10 14:16:03,public,['FP23'],,disk0/00/00/51/60,http://repository.lppm.unila.ac.id/id/eprint/5160,2013-05-07 00:00:00.000000000,,,['S1'],published,,,,,,,,,Irwan Sukri Banuwa,4511,,,,
4,,TRUE,Pengaruh Sistem Olah Tanah dan Aplikasi Mulsa Bagas Terhadap Populasi dan Biomassa Cacing Tanah pada Pertanaman Tebu (Saccharum Officinarum L.) Tahun ke- 2,article,"[{'id': None, 'name': {'honourific': None, 'family': 'Batubara', 'lineage': None, 'given': 'Mones Hendri'}}, {'id': 'ainin.niswati@fp.unila.a.c.id', 'name': {'lineage': None, 'family': 'Niswati', 'honourific': None, 'given': 'Ainin'}}, {'name': {'given': 'Sri', 'lineage': None, 'family': 'Yusnaini', 'honourific': None}, 'id': 'sri.yusnaini@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Arif', 'honourific': None, 'given': 'Mas Achmad Syamsul'}, 'id': 'abimasyarif@gmail.com'}]",,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/697', 'security': 'public', 'placement': 1, 'eprintid': 799, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2016-10-14 05:19:53', 'filesize': 185964, 'objectid': 697, 'uri': 'http://repository.lppm.unila.ac.id/id/file/4766', 'filename': 'Ainin - JAT 2013.pdf', 'fileid': 4766, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '78a8c1cb7f1e9e99e0f58d2df89bd257'}], 'main': 'Ainin - JAT 2013.pdf', 'docid': 697, 'format': 'text'}]",,2016-10-17 14:28:52,1055,107-112,show,,archive,799,2016-10-17 14:28:52,pub,6,2016-10-17 14:28:52,public,['FP23'],Jurusan Agroteknologi FP Unila,disk0/00/00/07/99,http://repository.lppm.unila.ac.id/id/eprint/799,2013-01-01 00:00:00.000000000,"GMP adalah pengolahan tanah secara intensif.  Penelitian ini bertujuan untuk mempelajari pengaruh sistem olah tanah dan aplikasi mulsa bagas pada lahan pertanaman tebu (Saccharum officinarum L.) terhadap jumlah dan biomassa cacing tanah di PT Gunung Madu Plantations, Lampung Tengah. Penelitian ini dirancang menggunakan RAK dan disusun secara split plot dengan 5 kali ulangan.  Petak utama yaitu sistem olah tanah, yang terdiri dari tanpa olah tanah (T0) dan olah tanah intensif (T). Anak petak adalah aplikasi mulsa bagas, yang terdiri dari tanpa  mulsa bagas (M0) dan mulsa bagas 80 tha ). Adapun kombinasi perlakuan yang diterapkan adalah sebagai berikut: T0M0 = tanpa olah tanah + tanpa  mulsa bagas, T= tanpa olah tanah + mulsa bagas 80 t ha-1, T1M0 = olah tanah intensif + tanpa  mulsa bagas, dan T1M= olah tanah intensif + mulsa bagas 80 t ha-1.  Semua perlakuan diaplikasikan pupuk Urea dengan dosis 300 kg ha-1, pupuk TSP 200 kg ha1, dan aplikasi bagas, blotong, dan abu (BBA) segar (5:3:1) 80 t ha.  Data yang diperoleh diuji homogenitasnya dengan UjiBartlet dan aditivitasnya dengan Uji Tukey, serta uji lanjut dengan Uji BNT. Hasil penelitian menunjukkan bahwa belum adanya pengaruh perlakuan sistem olah tanah dan aplikasi mulsa bagas terhadap populasi dan biomassa cacing tanah pada
pengambilan sampel 9 BSP dan 12 BSP. Terdapat 2 genus cacing tanah yang didapat dari hasil identifikasi, yaitu Pheretima dan Pontoscolex",,['S1'],published,,,,,,,['University of Lampung'],,,,1.0,2337-4993,Jurnal Agrotek Tropika,1.0
5,Surakarta,FALSE,"Effects of Several Types of Rotated Crops  on Soil Chemical properties in Pineapple Cultivation  in  Lampung, Indonesia",book_section,"[{'name': {'given': 'Priyo', 'honourific': None, 'lineage': None, 'family': 'Cahyono'}, 'id': None}, {'id': None, 'name': {'given': '-', 'lineage': None, 'family': 'Purwito', 'honourific': None}}, {'id': None, 'name': {'given': 'Didik F.', 'lineage': None, 'family': 'Pangarso', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Afandi', 'lineage': None, 'given': '.'}, 'id': 'afandi.1964@fp.unila.ac.id'}]",978-979-498-838-1,"[{'eprintid': 5919, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18838', 'format': 'text', 'main': '13.Priyo Afandi ICSAE 2013.pdf', 'files': [{'fileid': 54988, 'datasetid': 'document', 'hash': '4bf285fa9cee2960aacc847953a47ed5', 'mime_type': 'application/pdf', 'objectid': 18838, 'filesize': 1366993, 'uri': 'http://repository.lppm.unila.ac.id/id/file/54988', 'filename': '13.Priyo Afandi ICSAE 2013.pdf', 'hash_type': 'MD5', 'mtime': '2017-11-17 10:03:15'}], 'docid': 18838, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",574.0,2018-04-25 04:22:14,718,137-139,show,"[{'name': {'given': 'Prabang', 'honourific': None, 'family': 'Setyono', 'lineage': None}}, {'name': {'given': '-', 'lineage': None, 'family': 'Komariah', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Dewi', 'honourific': None, 'given': 'Widyatmani Sih'}}]",archive,5919,2018-04-25 04:22:14,pub,7,2018-04-25 04:22:14,public,['FP23'],UNS Press,disk0/00/00/59/19,http://repository.lppm.unila.ac.id/id/eprint/5919,2013-06-01 00:00:00.000000000,"A field  research was conducted in pineapple estate to evaluate  several cover which used as crop rotation on selected soil chemical properties (pH, C, N,P,K, Exch Al). The treatments were as follows :bare condition, cassava (Manihot esculenta Crantz), roselle  (Hibiscus sabdarifa), king grass (Pennisetum purpureum) and  butterfly pea ( Centrosema pubescens),  and observed six month after planting.  The results showed that  all the treatment could be used as rotation, even the land was in bare condition. The treatments did not change the soil chemical significantly, excepts for K and Exch Al which was highest in cassava treatment.",Proceeding International Conference on Sustainable Agriculture and Environment,['S1'],published,,,,,,,,,,,,,,
6,,TRUE,Effect of Shrimp  Head Waste on pH and Qualyti Of Tofu Liquid Waste as an Material Basis Liquid Organicfertilizer,conference_item,"[{'id': None, 'name': {'lineage': None, 'family': 'Igunsyah', 'honourific': None, 'given': 'Topan R.'}}, {'id': 'sri.yusnaini@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Yusnaini', 'lineage': None, 'given': 'Sri'}}, {'id': 'sarno.1957@fp.unila.ac.id', 'name': {'given': '-', 'honourific': None, 'family': 'Sarno', 'lineage': None}}, {'id': 'ainin.niswati@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Niswati', 'honourific': None, 'given': 'Ainin'}}]",,"[{'main': 'Aini Sri Topan 2013.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2016-11-06 13:08:07', 'filesize': 436352, 'objectid': 962, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7082', 'filename': 'Aini Sri Topan 2013.pdf', 'fileid': 7082, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'a1de4484418421f4c0f782d4a40fbdca'}], 'docid': 962, 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'placement': 1, 'eprintid': 1023, 'uri': 'http://repository.lppm.unila.ac.id/id/document/962', 'pos': 1, 'formatdesc': 'Prosiding', 'security': 'public'}]",,2016-11-07 01:16:44,1053,892-900,show,,archive,1023,2016-11-07 01:16:44,pub,8,2016-11-07 01:16:44,public,['FP23'],,disk0/00/00/10/23,http://repository.lppm.unila.ac.id/id/eprint/1023,2013-11-19 00:00:00.000000000,"Indonesianis an agricultural countryneeded much fertilizer in big quantity ever y year. However, now fertilizersbecome scarceandhigh prices. The improvement of  fertilizer production is needed from agro-industrialwastes like organie liquid from tofu poductoin.The purposeof this researchto evaluate effect of shrimp head waste on pH,  and quality of tofuliquid waste as an liquid organic fertilizer.The study was designed by RCBD with 10 treatment sand 3 replications. The treatment were : K (tofu liquid wastewithoutshrimp head waste), K1B1 (15% of refined grain), K (15% of medium grain), K1B3 (15% of coarse grain), K2B1 (30% of refined grain), K (30% of medium grain), K2B3 (30% of coarse grain), K3B1 (45% of refined grain), K (45% of medium grain), K3B (45% of coarse grain).All the treatment are mix by 24 hours shaker, and then the filtrat was separately by 30 minute centrifuge with 6000 rpm, than filtered with a whatman paper no 24.  Filtrat analyzed forpH, N, P, and K. The results showed that, thecoarse grainsizeof shrimp head waste bettercapable to increase the content ofpH, N, PandK of tofu liquid waste thenrefinedgrains(0.5 mm) andmedium(1mm). The higherlevel concentration of the mixtureshrimp head wasteandtofu liquid wastegrain (45%) washigher in pH andnutrient content (N, P, K) than of 0, 15%, and 30% consentration.",,['S1'],published,Bandar Lampung,paper,19--20 November 2013,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],http://satek.unila.ac.id/2013,conference,['University of Lampung'],Seminar Nasional Sains & Teknologi V,,,,,,
7,,TRUE,"No tillage and bagasse mulching alter fungal biomass and community structure during decomposition of sugarcane leaf litter in Lampung Province, Sumatra, Indonesi",article,"[{'id': 't.miura716@gmail.com', 'name': {'honourific': None, 'family': 'Miura', 'lineage': None, 'given': 'Toshiko'}}, {'id': 'ainin.niswati@fp.unila.a.c.id', 'name': {'given': 'Ainin', 'honourific': None, 'lineage': None, 'family': 'Niswati'}}, {'id': None, 'name': {'given': 'I Gede', 'honourific': None, 'family': 'Swibawa', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Haryani', 'lineage': None, 'given': 'Sri'}}, {'name': {'given': 'Heru', 'honourific': None, 'lineage': None, 'family': 'Gunito'}, 'id': None}, {'id': 'kanekono@ynu.ac.jp', 'name': {'family': 'Kaneko', 'lineage': None, 'honourific': None, 'given': 'Nobuhiro'}}]",,"[{'placement': 1, 'eprintid': 728, 'uri': 'http://repository.lppm.unila.ac.id/id/document/628', 'pos': 1, 'security': 'validuser', 'main': 'Ainin - SBB 2013-asli.pdf', 'docid': 628, 'files': [{'datasetid': 'document', 'fileid': 4198, 'mime_type': 'application/pdf', 'hash': '9abb6cb8efe3e73df74d5d1270bd197f', 'filesize': 465249, 'objectid': 628, 'uri': 'http://repository.lppm.unila.ac.id/id/file/4198', 'filename': 'Ainin - SBB 2013-asli.pdf', 'hash_type': 'MD5', 'mtime': '2016-10-07 14:47:00'}], 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf'}]",,2016-10-11 03:39:41,1055,27-35,show,,archive,728,2016-10-11 03:39:41,pub,8,2016-10-11 03:39:41,restricted,['FP23'],"Elsevier, Science Direct",disk0/00/00/07/28,http://repository.lppm.unila.ac.id/id/eprint/728,2013-03-01 00:00:00.000000000,"Soil fungi are the predominant decomposers of soil organic matter (SOM). To manage SOM in tropical agricultural soils, it is important to understand the effects of agricultural management on fungal communities and their decomposition of organic matter. Our study site was located in a sugarcane plantation in Lampung Province, Sumatra, Indonesia. The objectives of this study were to determine the following: (1) the effect of conversion from conventional tillage to no-tillage farming and the application of bagasse mulch on fungal biomass, community structure, and the relative ratio of fungal to bacterial biomass (F:B); (2) the combination effect of no-tillage with bagasse mulch on these fungal parameters; and (3) possible links between these fungal parameters and the decomposition rate of sugarcane leaf litter. We measured fungal biomass and F:B by phospholipid fatty acid (PLFA) analysis, and we evaluated fungal molecular diversity and community structure by modified terminal restriction fragment length polymorphism (T-RFLP) profiling. Fungal biomass was 2-fold greater with no-tillage and 2.5-fold greater with added bagasse mulch relative to conventional (tillage without mulch) plots. On the other hand, no-tillage also increased bacterial biomass and fungal OTU (operational taxonomic unit) richness, whereas bagasse mulch increased the F:B and inhibited a specific fungal OTU. Under a combination of no-tillage and bagasse mulch, the fungal biomass was 1.7-fold greater than in conventional plots, indicating that the combination did not have an additive effect on fungal biomass. The litter mass loss rate was negatively correlated with fungal biomass, and bagasse mulch suppressed the mass loss approximately 20% less than in the conventional plots. However, the mass loss rate in no-tillage plots did not differ from that in conventional plots. Overall, our results indicated that no-tillage and bagasse much increased litter fungal biomass and altered the fungal communities, and these changes were reflected in the litter decomposition and soil C dynamics. Further studies are needed to clarify the relationship between litter decomposition and fungal species identity.",,['S1'],published,,,,,,,,,,http://dx.doi.org/10.1016/j.soilbio.2012.10.042,58.0,0038-0717,Soil Biology and Biochemistry,
8,,TRUE,"A SOIL RESPIRATION ON CASSAVA PLANTATION SUBJECTED BY SOIL AMENDMENT AND ANTAGONIST PLANT FOR WHITE ROT FUNGI ON ULTISOLS TULANG BAWANG, LAMPUNG",conference_item,"[{'name': {'family': 'Niswati', 'lineage': None, 'honourific': None, 'given': 'Ainin'}, 'id': 'ainin.niswati@fp.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Oktia', 'lineage': None, 'given': 'Dayana'}}, {'name': {'given': 'Sri', 'lineage': None, 'family': 'Yusnaini', 'honourific': None}, 'id': 'sri.yusnaini@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Nugroho', 'honourific': None, 'given': 'Ghani Sutopo'}, 'id': None}]",,"[{'main': 'Ainin- ESAFS 11 2013.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-10-15 16:29:14', 'filesize': 940062, 'objectid': 16913, 'filename': 'Ainin- ESAFS 11 2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/41331', 'fileid': 41331, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e1a6be4c3b69dabb6f830fa0b9c72393'}], 'docid': 16913, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'content': 'published', 'placement': 1, 'eprintid': 4050, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/16913', 'security': 'public'}]",,2017-11-01 05:33:34,1055,262-263,show,,archive,4050,2017-11-01 05:33:34,pub,9,2017-11-01 05:33:34,public,['FP23'],,disk0/00/00/40/50,http://repository.lppm.unila.ac.id/id/eprint/4050,2013-10-21 00:00:00.000000000,-,,['S1'],published,"IPB ICC, Botani Square. Bogor, Indonesia",paper,21-24 October 2013,,,conference,,11th International Conference The East and Southeast Asia Federation of Soil Science Societies,,,,,,
9,,TRUE,"Populasi, Biomassa dan Keanekaragaman Cacing Tanah pada Bekas Lahan Alang-Alang (Imperata Cylindrica L. ) yang Diperlakukan Tanpa Olah Tanah",conference_item,"[{'name': {'family': 'Niswati', 'lineage': None, 'honourific': None, 'given': 'Ainin'}, 'id': 'ainin.niswati@fp.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Sari', 'lineage': None, 'given': 'Ni Nyoman Liong Harum'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Buchari', 'given': 'Henrie'}, 'id': 'henrie.buchari@fp.unila.ac.id'}]",,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published', 'main': 'Ainin - 2013 Prosiding Semirata Pontianak - Ketua 2013.pdf', 'docid': 1048, 'files': [{'fileid': 7802, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '5b6c202eff2b83d9b456d4426b2ebe43', 'hash_type': 'MD5', 'mtime': '2016-11-15 16:31:54', 'filesize': 13608851, 'objectid': 1048, 'filename': 'Ainin - 2013 Prosiding Semirata Pontianak - Ketua 2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/7802'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1048', 'security': 'public', 'placement': 1, 'eprintid': 1170}]",,2016-11-16 03:12:54,1055,677-688,show,,archive,1170,2016-11-16 03:12:54,pub,9,2016-11-16 03:12:54,public,['FP23'],,disk0/00/00/11/70,http://repository.lppm.unila.ac.id/id/eprint/1170,2013-03-01 00:00:00.000000000,"Cacing tanah merupakan salah satu indikator kualitas tanah yang mudah, cepat, murah dan cukup akurat. Pembukaan lahan alang-alang untuk dijadikan tanah pertanian telah dilakukan dengan tujuan untuk mempelajari pengaruh sistem olah tanah  terhadap populasi, biomassa dan keanekaragaman cacing tanah pada bekas lahan alang-alang (Imperata cylindrica L.)  berusia lebih dari 10 tahun.  Penelitian  dilakukan dengan rancangan acak kelompok. Perlakuan yang diterapkan di lapang yaitu: olah tanah intensif, olah tanah minimum, dan tanpa olah tanah dengan 6 ulangan. Pengamatan cacing tanah dengan metode monolit dan pemilihan dengan tangan (handshorting) pada kedalaman 0-10, 10-20, dan 20-0 cm dilakukan pada satu minggu sebelum penanaman, saat fase vegetatif maksimum, dan satu hari sebelum tanaman jagung dipanen. Hasil penelitian menunjukkan bahwa populasi, biomassa, dan keanekaragaman cacing tanah pada sistem tanpa olah tanah dan olah tanah minimum lebih tinggi daripada olah tanah intensif pada fase vegetative dan sebelum panen jagung, namun tidak berbeda nyata pada pengamatan sebelum tanam. Populasi dan biomassa cacing tanah lebih tinggi pada kedalaman 0-10 cm dibandingkan dengan pada kedalaman lain. Hasil identifikasi cacing tanah menunjukkan bahwa Genus Pontoscolex sp. mendominasi kelimpahan diikuti oleh Eiseniella sp., Dendrobaena sp. dan Pheretima sp. Populasi dan biomassa cacing tanah berkorelasi negatif dengan pH, C-organik, N-total, suhu dan kelembaban tanah.",,['S1'],published,Pontianak,paper,Maret 2013,,,conference,['University of Lampung'],Prosiding Seminar Nasional dan Rapat Tahunan Dekan Bidang Ilmu-Ilmu Pertanian BKS-Barat,,,,,,
