,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,type,creators,title,refereed,date_type,subjects,abstract,volume,uri,date,publisher,divisions,publication,dir,full_text_status,issn,status_changed,ispublished,rev_number,id_number,related_url,projects,funders,editors,pages,book_title,corp_creators,place_of_pub,succeeds,isbn,contact_email,event_title,event_type,event_location,event_dates,pres_type
0,2017-06-08 02:48:43,archive,3231,show,24-32,1006,1.0,http://jptonline.or.id/index.php/ojs-jpt/article/view/32/24,2017-06-08 02:48:51,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/3123', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3231, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published', 'main': 'Jurnal Penelitian Pertanian Terapan Vol. 13 (1) 24-32.pdf', 'files': [{'filesize': 162073, 'objectid': 3123, 'uri': 'http://repository.lppm.unila.ac.id/id/file/22498', 'filename': 'Jurnal Penelitian Pertanian Terapan Vol. 13 (1) 24-32.pdf', 'hash_type': 'MD5', 'mtime': '2017-06-03 02:51:16', 'datasetid': 'document', 'fileid': 22498, 'hash': 'b7b33cd1ecec83b7346d1950cc621cd6', 'mime_type': 'application/pdf'}], 'docid': 3123, 'format': 'text'}]",article,"[{'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Ardian'}}]","Perbanyakan Tanaman Melalui Stek Batang Mini Tanaman
Singkong (Manihot esculenta Crantz.) untuk Pemulia Tanaman
dan Produsen Benih",TRUE,published,['SB'],"Cassava plant breeders and seed producers need a method of plant propagation through a semi-conventional ways to be able to supply rapidly the needs of seed varieties before and after the release of government. The purpose of this study was to determine the effect of various concentrations of indole-3-butyric acid and a number of nodes of cuttings on the growth of new shoots and roots of cassava cuttings. Plant material used in the form of cassava stems, which comes from a plant of 10 months old. This experiment used a randomized complete treatment is the number of the nodes: 1, 2, and 3 nodes with indole-3-butyric acid: 0; 500; 1000, and 2000 ppm. Each treatment was repeated 10 times with the experimental unit consists of 2 cuttings. Treatment of cuttings 3 nodes increase speed germinate, sprout cuttings
percentage, number of shoots, number of leaves, number of nodes of new shoot and number of roots. The treatment of indole-3-butyric acid 2000 ppm increased growth in the number of shoots, number of leaves, number of nodes and number of roots. Interaction cuttings 3 nodes by giving indole-3-butyric acid 2000 ppm increased growth in the number of shoots, number of leaves, number of nodes and number of roots.",13.0,http://repository.lppm.unila.ac.id/id/eprint/3231,1970-01-01 00:00:00.000002013,UPPM Polinela,['FP25'],Jurnal Penelitian Pertanian Terapan,disk0/00/00/32/31,public,1410-5020,2017-06-08 02:48:51,pub,11,,,,,,,,,,,,,,,,,
1,2016-11-10 07:15:28,archive,1121,show,42-51,53,1.0,http://journal.unila.ac.id/index.php/jhtrop,2016-11-10 07:15:28,"[{'main': 'Agustiansyah_JHPT_2013.pdf', 'files': [{'mtime': '2016-11-10 05:06:41', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/7419', 'filename': 'Agustiansyah_JHPT_2013.pdf', 'objectid': 1003, 'filesize': 237607, 'hash': '4ff135179df08a20aa6073bf5c045d99', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 7419}], 'docid': 1003, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 1121, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1003', 'pos': 1, 'security': 'public'}]",article,"[{'name': {'honourific': None, 'family': 'Agustiansyah', 'lineage': None, 'given': 'Agustiansyah'}, 'id': 'agustiansyah.1972@fp.unila.ac.id'}, {'id': None, 'name': {'family': 'Ilyas', 'lineage': None, 'honourific': None, 'given': 'S'}}, {'name': {'given': 'Sudarsono', 'family': 'Sudarsono', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'family': 'Machmud', 'lineage': None, 'honourific': None, 'given': 'M'}, 'id': None}]","KARAKTERISASI RIZOBAKTERI YANG BERPOTENSI
MENGENDALIKAN BAKTERI XANTHOMONAS ORYZAE PV. ORYZAE
DAN MENINGKATKAN PERTUMBUHAN TANAMAN PADI",TRUE,published,['S1'],"ABSTRACT
Characterization of rhizobacteri having potential to control Xanthomonas oryzae pv. oryzae and increase plant growth of
rice. Rhizobacteria which are isolated from root could produce HCN, siderophore, and plant growth regulator, induce systemic
resistance, and are increase uptake of plant nutrition such as phosphate. The objective of this research was to characterize
rhizobacteri as controling agent for Xanthomonas oryzae pv.oryzae (Xoo) and as plant growth promoter. The results show
that the isolates of P. diminuta A6, P. aeruginosa A54, B.subtilis 11 /C, and B. subtilis 5/B inhibited the growth of Xoo. B.
subtilis 5/B isolate produced the highest siderophore activity, followed by of P. aeruginosa A54, P. diminuta A6 and B.
subtilis 11/C. Only P. diminuta A6 isolate produced HCN. The results also showed that all rhizobacteri produced IAA i.e.
B.subtilis 5/B (22.10 μg/ml), B. subtilis 11/C (19.05 μg/ml), P. diminuta A6 (8.68 ug/ml), and P. aeruginosa A54 (2.95 μg/ml). The
content of phosphatase enzyme was as folows B.subtilis 5/B (2.78 units/ ml), B.subtilis 11/C (5.7 units/ml), P. diminuta A6
(2.25 units/ml), and P. aeruginosa A54 (5.71 units / ml). Content of peroxidase enzymes in plants that were treated by using
isolates was as follows B.subtilis 5/B (1.30 x 10-3 units/mg protein), P. aeruginosa A6 (1.20 x 10-3 units/mg protein), B.subtilis
11/C (1.15 x 10-3 units/mg protein), and P. aeruginosa A54 (1.05 x 10-3 units/mg protein).
Key words: biological control, bacterial leaf bligth, phytostimulator, plant growth regulator.",13.0,http://repository.lppm.unila.ac.id/id/eprint/1121,2013-03-01 00:00:00.000000000,Jurusan HPT Unila,['FP25'],KARAKTERISASI RIZOBAKTERI YANG BERPOTENSI MENGENDALIKAN BAKTERI XANTHOMONAS ORYZAE PV. ORYZAE DAN MENINGKATKAN PERTUMBUHAN TANAMAN PADI,disk0/00/00/11/21,public,1411-7525,2016-11-10 07:15:28,pub,9,http://journal.unila.ac.id/index.php/jhtrop,[{'type': 'pub'}],['Dikti'],['Dikti'],,,,,,,,,,,,,
2,2017-07-20 09:11:45,archive,3700,show,98-104,53,2.0,,2017-07-20 09:11:45,"[{'main': 'Jurnal 1_agustiansyah_Agronomi Indonesia.pdf', 'files': [{'mtime': '2017-07-18 07:25:38', 'hash_type': 'MD5', 'filename': 'Jurnal 1_agustiansyah_Agronomi Indonesia.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/25813', 'filesize': 264316, 'objectid': 3563, 'mime_type': 'application/pdf', 'hash': '5403a482696af82b5dca7bcb16decd13', 'datasetid': 'document', 'fileid': 25813}], 'docid': 3563, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 3700, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3563', 'security': 'public'}]",article,"[{'id': 'agustiansyah.1972@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustiansyah', 'honourific': None, 'given': 'Agustiansyah'}}, {'name': {'given': 'S', 'lineage': None, 'family': 'Ilyas', 'honourific': None}, 'id': None}, {'name': {'given': 'Sudarsono', 'honourific': None, 'family': 'Sudarsono', 'lineage': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Machmud', 'lineage': None, 'given': 'M'}}]","Perlakuan Benih dengan Agen Hayati dan Pemupukan P untuk
Meningkatkan Pertumbuhan Tanaman, Hasil, dan Mutu Benih Padi",TRUE,,['S1'],"The objective of the study was to determine the effect of seed treatment on growth, seed quality, P fertilizer utilization,
and rice production in the glasshouse. The experiment was conducted in a split plot design with three replications from
January to June 2010.The main plots were P fertilizer rates (0, 50, and 100 kg SP-36 ha-1), and sub plots were (1) negative
control (seeds were not inoculated by Xanthomonas oryzae pv. oryzae (Xoo) and without seed treatment); (2) positive control
(seeds were inoculated by Xoo); (3) seeds were inoculated by Xoo and immersed in Pseudomonas diminuta A6 suspension;
(4) seeds were inoculated by Xoo and immersed in Bacillus subtilis 5/B suspension; (5) seeds were inoculated by Xoo and
immersed in P. diminuta A6 + B. subtilis 5/B suspension; (6) matriconditioning + P. diminuta A6, (7) matriconditioning
+ B. subtilis 5/B, and (8) matriconditioning + P. diminuta A6 + B. subtilis 5/B. The results showed that seed treatment
with biological agents P. diminuta A6, seed treatment with P. diminuta A6 + B. subtilis 5/B were the best seed treatments to
improve plant growth and yield of rice. Treatment with matriconditioning + P. diminuta A6 + B. subtilis 5/B was the best
treatment to enhance seed germination. Soaking the seeds in B. subtilis 5/B suspension or P. diminuta A6 + B. subtilis 5/B
suspension reduced the use of P fertilizer, based on the number of grain, total number of grain, percentage of grain per
panicle. The highest seed yield obtained from both treatments was with the application of P fertilizer 50 kg ha-1.",41.0,http://repository.lppm.unila.ac.id/id/eprint/3700,1970-01-01 00:00:00.000002013,"Department of Agronomy and Horticulture Faculty of Agriculture, Bogor Agricultural University Jl Meranti, Kampus IPB Dramaga, Bogor 16680",['FP25'],Jurnal Agronomi Indonesia,disk0/00/00/37/00,public,Print ISSN: 2085-2916 e-ISSN: 2337-3652,2017-07-20 09:11:45,pub,6,,,,,,,,,,,,,,,,,
3,2016-10-19 01:57:38,archive,825,show,,1078,,,2016-10-19 01:57:38,,book_section,"[{'name': {'given': 'Pil Son', 'lineage': None, 'family': 'Choi', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Utomo', 'lineage': None, 'given': 'Setyo Dwi'}, 'id': 'setyo.dwiutomo@fp.unila.ac.id'}]",Corn biotechnology,FALSE,,['Q1'],,,http://repository.lppm.unila.ac.id/id/eprint/825,2013-01-01 00:00:00.000000000,Nova Science Publ,['FP25'],,disk0/00/00/08/25,none,,2016-10-19 01:57:38,pub,7,,,,,"[{'name': {'honourific': None, 'family': 'Carbone', 'lineage': None, 'given': 'Katya'}}]",0.0,"Cultivars: Chemical Properties, Antioxidant Activities and Health Benefits","['Nambu University', 'University of Lampung']",,,,,,,,,
4,2020-06-15 07:59:00,archive,22475,show,,978,,,2020-06-15 07:59:00,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Review b3b Etnoagronomi Pengelolaan.pdf', 'docid': 35888, 'files': [{'mime_type': 'application/pdf', 'hash': '8ca8f3fa5091df5a65fed1e2676eb61f', 'fileid': 206094, 'datasetid': 'document', 'mtime': '2020-06-15 07:43:23', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/206094', 'filename': 'Review b3b Etnoagronomi Pengelolaan.pdf', 'objectid': 35888, 'filesize': 596564}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35888', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22475}]",other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Evizal', 'given': 'Rusdi'}, 'id': 'rusdi.evizal@fp.unila.ac.id'}]","Review ""Etno-agronomi Pengelolaan Perkebunan Kopi di Sumberjaya Kabupaten Lampung Barat""",,published,['SB'],"Study of ethno-agronomy is important for policy making to support sustainable coffee plantation and ecological services in cathment area. This paper reviewed tradition across ethnic in Sumberjaya, West Lampung on coffee plantation management. It showed that the ethno-agronomy of coffee plantations in Sumberjaya was a unique local wishdom. Coffee agronomic practices in Sumberjaya were evoluting and integrating with shifting cultivation system. Coffee treeswere rotated with vegetables crop or shrub. In Sumberjaya, land uses were dynamic between forests, coffee field, crop field, and shrubs. Precropping and inter-cropping ofvegetables in coffee fieldwas source of income for farmers before coffee had attainedphase of yielding. So far coffee plantations in Sumberjaya were managed by traditional and less intensive practices including by planting shade trees, timber and multi-purposes treespecies. Coffee agroforestry was alocal wishdom that impotant for land conservation of the catchment area.",,http://repository.lppm.unila.ac.id/id/eprint/22475,2013-11-01 00:00:00.000000000,Universitas Udayana,['FP25'],,disk0/00/02/24/75,public,,2020-06-15 07:59:00,pub,7,,,,,,,,,Denpasar,,,,,,,,
5,2020-06-15 07:58:56,archive,22474,show,,978,,,2020-06-15 07:58:56,"[{'placement': 1, 'eprintid': 22474, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35887', 'pos': 1, 'security': 'public', 'main': 'Review b3a Status Fitofarmaka.pdf', 'docid': 35887, 'files': [{'hash': '8c35150c90d6044f89593acf53e35e96', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 206087, 'filename': 'Review b3a Status Fitofarmaka.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/206087', 'filesize': 587641, 'objectid': 35887, 'mtime': '2020-06-15 07:37:40', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",other,"[{'name': {'given': 'Rusdi', 'honourific': None, 'lineage': None, 'family': 'Evizal'}, 'id': 'rusdi.evizal@fp.unila.ac.id'}]","Review ""Status fitofarmaka dan perkembangan agroteknologi cabe jawa (Piper retrofractum Vahl.)""",,published,['SB'],"Java long pepper is a native of Southeast Asia, cultivated in Indonesia as spice and medicinal plant. As traditional medicine, its fruits are used as aphrodisiac, carminative, expectorant, laxative, digestive, anti-amoebic, anti-asthma, anti-septic and also have activity against several infection bacterial diseases. Recent clinical studies have reported that extract of java long pepper bean has androgenic effect and others pharmacological activity such as antioxidant, anti-cancer, and anti-diabetic. Java long pepper bean is commonly produced in the dryest land of Java dan Sumatera Island. The development of pharmacognosy of java long pepper and agrotechnology of cultivation in Indonesia was reviewed.",,http://repository.lppm.unila.ac.id/id/eprint/22474,2013-01-01 00:00:00.000000000,Universitas Lampung,['FP25'],,disk0/00/02/24/74,public,,2020-06-15 07:58:56,pub,7,,,,,,,,,Bandar Lampung,,,,,,,,
6,2017-08-14 01:32:13,archive,3746,show,1-7,842,,http://lppm.unila.ac.id/#,2017-08-14 01:32:13,"[{'placement': 1, 'eprintid': 3746, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3602', 'pos': 1, 'security': 'public', 'main': 'Darwin H Pangaribuan Pengabdian MOL Sidomulyo OK.pdf', 'files': [{'mtime': '2017-08-02 07:06:42', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26304', 'filename': 'Darwin H Pangaribuan Pengabdian MOL Sidomulyo OK.pdf', 'filesize': 522183, 'objectid': 3602, 'hash': '164dc6bacfae4cd79b0bfdf80901e0e5', 'mime_type': 'application/pdf', 'fileid': 26304, 'datasetid': 'document'}], 'docid': 3602, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",article,"[{'id': 'darwin.pangaribuan@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Pangaribuan', 'lineage': None, 'given': 'Darwin H'}}]",Demplot Penerapan Pupuk Organik dan Mikroorganisme Lokal (MOL) untuk Meningkatkan Produksi Tanaman Pangan Padi di Desa Sidowaluyo Kecamatan Sidomulyo Kabupaten Lampung Selatan,TRUE,published,['S1'],"Tujuan kegiatan pengabdian ini adalah (1) meningkatkan pengetahuan para petani tentang manfaat dan teknik pembuatan pupuk organik dan mikroorganisme lokal (MOL) (2) meningkatkan keterampilan petani dalam menerapkan teknologi pemanfaatan pupuk organik dan mikroorganisme lokal. Kegiatan telah dilaksanakan sejak 29 November 2012 sampai 5 Desember 2012 di Desa Sidowaluyo, Kecamatan Sidomulyo, Kabupaten Lampung Selatan.  Metode kegiatan yang telah dilaksanakan adalah 4 tahapan pekerjaan, yaitu (1) pengenalan materi dalam bentuk ceramah (2) pembuatan demplot bokashi pupuk kandang dan demplot padi organik (3) kunjungan lapang (anjang karya) dan ke rumah (anjang sana). (4) diskusi dan evaluasi program.  Hasil pengabdian adalah (1) setelah penyuluhan ternyata pengetahuan petani sasaran tentang manfaat kompos dan mikroorganisme lokal telah meningkat 55-70%. (2) tanggapan  petani terhadap kegiatan penyuluhan positif dan antusias. (3) tanggapan petani terhadap kegiatan demonstrasi plot pengomposan dan pembuatan mikroorganisme lokal cukup baik dan positif serta petani ingin mencoba melaksanakannya pada musim tanam sebelumnya",,http://repository.lppm.unila.ac.id/id/eprint/3746,1970-01-01 00:00:00.000002013,Lembaga Penelitian dan Pengabdian Kepada Masyarakata LPPM Unila,['FP25'],Prosiding Seminar Hasil Pengabdian Kepada Masyarakat Universitas Lampung,disk0/00/00/37/46,public,978-602-99908-0-5,2017-08-14 01:32:13,pub,6,,,,,,,,,,,,,,,,,
7,2017-07-20 08:47:37,archive,1559,show,300-306,842,,http://perhorti.or.id/front,2017-07-20 08:47:37,"[{'format': 'text', 'main': 'perhorti 2012.pdf', 'files': [{'objectid': 3562, 'filesize': 250354, 'filename': 'perhorti 2012.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/25810', 'hash_type': 'MD5', 'mtime': '2017-07-18 07:11:38', 'fileid': 25810, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f66b92f39ac96ef6f8622665f9958fa2'}], 'docid': 3562, 'content': 'accepted', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'eprintid': 1559, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3562', 'pos': 1}]",article,"[{'name': {'given': 'Darwin H', 'honourific': None, 'lineage': None, 'family': 'Pangaribuan'}, 'id': 'darwin.pangaribuan@fp.unila.ac.id'}]","PENGARUH  PUPUK ORGANIK CAIR TERHADAP PERTUMBUHAN DAN 
PRODUKSI SAYURAN KANGKUNG, BAYAM DAN CAISIM",TRUE,published,['S1'],"This experiment was conducted from January to May to November 2012 in farmer field 
located in Bandar Lampung. The purpose of research is to study the effectiveness of liquid organic fertilizer to the growth of kangkung, bayam (spinach) and caisim plants . The  experiment  design using Completely Randomized Design (CRD) comprised of seven treatments with three  replications. Treatments  consisted of  P0 no fertilizer  added (Control), P1 100% chemical or standard NPK fertilizer (500 kg NPK/ha),  P2 50% chemical or standard fertilizer (250 kg/NPK/ha); P3 50%  standard +  Liquid Organic fertilizer (POC) “SN” , P4  50%  standard + POC “MT” , P5 50%  standard + POC “BT”, P6 50%  standard + POC “BT”.  The  results  showed that  the  effect  of  chemical  (standard)  fertilizer  or  a combination of  50% chemical  fertilizer  and liquid organic  fertilizer  on the  growth , yield parameters  and relative agronomic efficiency value  were  significantly  higher  than  control. Generally, liquid organic fertilizer showed the effectiveness if it was combined with 50% recomended fertilizer.",,http://repository.lppm.unila.ac.id/id/eprint/1559,1970-01-01 00:00:00.000002013,Perhimpunan Hortikultura Indonesia (Perhorti),['FP25'],Prosiding Seminar Nasional Perhimpunan Hortikultura Indonesia (Perhorti),disk0/00/00/15/59,public,978-979-25-1265-6,2017-07-20 08:47:37,pub,7,,,,,,,,,,,,,,,,,
8,2017-07-20 09:06:03,archive,3655,show,47-53,842,,http://lppm.unila.ac.id/#,2017-07-20 09:06:03,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3522', 'eprintid': 3655, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mtime': '2017-07-17 04:04:36', 'hash_type': 'MD5', 'filename': 'Darwin H Pangaribuan Pengab Kopi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/25569', 'objectid': 3522, 'filesize': 442808, 'hash': 'c66782e45b3a22f12a3f99e28665b700', 'mime_type': 'application/pdf', 'fileid': 25569, 'datasetid': 'document'}], 'main': 'Darwin H Pangaribuan Pengab Kopi.pdf', 'docid': 3522}]",article,"[{'id': 'darwin.pangaribuan@fp.unila.ac.id', 'name': {'given': 'Darwin H', 'honourific': None, 'family': 'Pangaribuan', 'lineage': None}}]",Pemberdayaan Petani Kopi melalui Sertifikasi Kopi Lestari di Kabupaten Tanggamus,TRUE,published,['S1'],"Lampung sebagai produsen kopi terbesar di Indonesia yang sebagian besar kopinya diekspor ke berbagai negara.  Indonesia perlu mempersiapkan diri menghadapi tuntutan konsumen kopi dunia akan kopi bersertifikat  lestari.  Tujuan dari kegiatan pemberdayaan dan pengabdian ini adalah mempersiapkan petani kopi khususnya di Kabupaten Tanggamus untuk mengikuti proses sertifikasi kopi lestari.  Kegiatan dilakukan secara bertahap mulai dari survey lokasi dan penentuan kelompok tani, sosialisasi program sertifikasi, pelatihan pelatihan bidang konservasi, budidaya, pengendalian hama penyakit, panen, pascapanen, mutu, pengelolaan limbah serta kelembagaan kelompok serta pendampingan.  Hasil kegiatan ini dapat meningkatkan pengetahuan dan ketrampilan petani kopi (4 Gapoktan dengan anggota sekitar 1650 petani, luas lahan sekitar  1800 Ha) akan berbagai hal terkait dengan usaha produksi kopi yang diharapkan secara bertahap akan meningkatkan produksi dan mutunya sehingga bisa meningkatkan kesejahteraannya. Gapoktan termasuk pedagang pengumpul di dalamnya bisa bermitra langsung dengan eksportir dalam satu rantai produksi sehingga bisa memotong rantai perdagangan kopi, terjadi transparasi harga dna penghargaan terhadap mutu sehingga petani merasakan perbedaan pendapatan yang mereka peroleh dari penjualan kopinya dibanding sebelum program.  Sampai laporan ini dibuat tiga Gapoktan telah mendapat sertifikat kopi lestari satu dari Rainforest Alliance dan dua dari 4C.  Satu Gapoktan terakhir dalam proses.",,http://repository.lppm.unila.ac.id/id/eprint/3655,1970-01-01 00:00:00.000002013,Lembaga Penelitian dan Pengabdian Kepada Masyarakat LPPM,['FP25'],Prosiding Seminar Nasional Pengabdian Kepada Masyarakat Universitas Lampung,disk0/00/00/36/55,public,978-602-700500-0-6,2017-07-20 09:06:03,pub,6,,,,,,,,,,,,,,,,,
9,2017-08-14 03:10:00,archive,3785,show,264-269,842,,http://lppm.unila.ac.id/#,2017-08-14 03:10:00,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'filesize': 350313, 'objectid': 3643, 'filename': 'Darwin H Pangaribuan Pengabdian di Kb Damar.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26511', 'hash_type': 'MD5', 'mtime': '2017-08-04 05:13:06', 'fileid': 26511, 'datasetid': 'document', 'hash': '7f53737bae3d64f163ec4f498b2ec7df', 'mime_type': 'application/pdf'}], 'main': 'Darwin H Pangaribuan Pengabdian di Kb Damar.pdf', 'docid': 3643, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3643', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3785}]",article,"[{'id': 'darwin.pangaribuan@fp.unila.ac.id', 'name': {'given': 'Darwin H', 'honourific': None, 'family': 'Pangaribuan', 'lineage': None}}]","Penyuluhan Kompos Bokashi Untuk Meningkatkan Produksi Tanaman Sayuran  dan  Tanaman Obat pada Lahan Pekarangan di Desa Kebun Damar, Kecamatan  Mataram  Baru, Kabupaten Lampung Timur",TRUE,published,['S1'],"Tujuan penyuluhan pertanian ini adalah (1) meningkatkan pengetahuan petani dalam membuat pupuk organik kompos bokashi (2) meningkatkan pemahaman petani dalam memanfaatkan lahan pekarangan dengan menerapkan teknologi budidaya sayuran dan tanaman obat yang ramah lingkungan secara organik.   Kegiatan telah dilaksanakan pada bulan September 2013.  Kegiatan penerapan iptek bagi masyarakat ini dilaksanakan di Desa Kebun Damar, Kecamatan Mataram, Lampung Timur.  Metode kegiatan yang dilaksanakan adalah (1) Pengenalan materi, dalam bentuk ceramah.  (2) Diskusi dan (3) Evaluasi program.   Hasil pengabdian ini adalah 1. Pengetahuan petani tentang manfaat kompos bokashi untuk budidaya sayuran dan tanaman obat di pekarangan mereka meningkat sampai rata-rata 70%.  2.  Tanggapan petani terhadap kegiatan demonstrasi cara membuat kompos bokashi positif serta petani ingin mencoba melaksanakannya pada musim tanam selanjutnya. 3.  Petani berencana untuk membuat kompos bokashi sendiri dan menerapkannya pada tanaman sayuran dan tanaman obat-obatan di sekitar pekarangan mereka.",,http://repository.lppm.unila.ac.id/id/eprint/3785,1970-01-01 00:00:00.000002013,Lembaga Penelitian dan Pengabdian Kepada Masyarakat (LPPM) Unila,['FP25'],Prosiding Seminar Nasional Pengabdian Kepada Masyarakat,disk0/00/00/37/85,public,978-602-70050-0-6,2017-08-14 03:10:00,pub,6,,,,,,,,,,3714.0,,,,,,,
