,pagerange,metadata_visibility,eprint_status,eprintid,datestamp,documents,official_url,lastmod,number,userid,refereed,title,creators,type,subjects,date,uri,volume,abstract,divisions,publisher,publication,dir,related_url,rev_number,ispublished,status_changed,issn,full_text_status,date_type,corp_creators,pages,place_of_pub,isbn
0,130-139,show,archive,28182,2021-03-04 08:03:46,"[{'docid': 42231, 'main': '1031-2681-1-SM[2].pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'a234a1cea31dbe5b6276cfe398121d6b', 'fileid': 250820, 'datasetid': 'document', 'filename': '1031-2681-1-SM[2].pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/250820', 'objectid': 42231, 'filesize': 133163, 'mtime': '2021-03-04 07:31:02', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28182, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42231', 'pos': 1, 'security': 'public'}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1031,2021-03-04 08:03:46,2.0,301,TRUE,"ANALISIS KELAYAKAN FINANSIAL DAN EFISIENSI PEMASARAN LADA
DI KECAMATAN GUNUNG LABUHAN KABUPATEN WAY KANAN","[{'name': {'given': 'ALD', 'family': 'Ade Lia Delita', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Fembriarti Erry Prasmatiwi', 'given': 'FEP'}}, {'name': {'given': 'HY', 'honourific': None, 'family': 'Helvi Yanfika', 'lineage': None}, 'id': 'helviyanfika@yahoo.co.id'}]",article,['S1'],2015-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28182,3.0,"Penelitian ini bertujuan untuk mengetahui: kelayakan keuangan pertanian lada dan efisiensi pemasaran lada. Penelitian ini dilakukan di dua sentra produksi lada, Desa Gunung Labuhan dan Bengkulu Desa Tengah, Kecamatan Gunung Labuhan Kabupaten Way Kanan. Responden terdiri dari lima puluh lada petani dipilih secara acak dengan menggunakan stratified random sampling dan enam pedagang lada yang ditentukan dengan menggunakan pengambilan sampel bola salju. Tujuan pertama dianalisis menggunakan kriteria investasi dan tingkat sensitivitas. Yang kedua tujuan dianalisis menggunakan margin pemasaran, korelasi harga, dan elastisitas transmisi harga. Hasilnya menunjukkan bahwa pertanian lada layak untuk dicoba berdasarkan nilai kriteria investasi dan sensitivitas terhadap perubahan yang mungkin terjadi. Perubahan tersebut adalah kenaikan biaya produksi sebesar 8,38% penurunan kuantitas produksi sebesar 30%, dan penurunan harga produksi sebesar 13 %. Struktur pasar-pasar oligopsonistik dengan nilai koefisien korelasi harga 0,47, yang berarti pasar lada tidak kompetitif sempurna, dan nilai elastisitas transmisi harga 1,74, yang berarti tingkat perubahan harga konsumen lebih besar dari tingkat perubahan harga produsen.",['FP26'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,Jurnal Ilmu-Ilmu Agribisnis,disk0/00/02/81/82,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1031'}],14,pub,2021-03-04 08:03:46,2337 7070,public,,,,,
1,,show,archive,29186,2021-04-13 01:10:50,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Nasional_Analisis Kelayakan Finansial dan Efisiensi Pemasaran Lada di Kecamatan Gunung Labuhan Kabupaten Way Kanan.pdf', 'files': [{'hash': '22343108fb0d409ada9c18db1d86356f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 258729, 'mtime': '2021-04-12 06:31:34', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/258729', 'filename': 'Nasional_Analisis Kelayakan Finansial dan Efisiensi Pemasaran Lada di Kecamatan Gunung Labuhan Kabupaten Way Kanan.pdf', 'objectid': 43294, 'filesize': 1966063}], 'docid': 43294, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43294', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29186}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1031,2021-04-13 01:10:50,,301,,Hasil Review_Analisis Kelayakan Finansial dan Efisiensi Pemasaran Lada di Kecamatan Gunung Labuhan Kabupaten Way Kanan,"[{'id': None, 'name': {'given': 'ALD', 'honourific': None, 'family': 'Ade Lia Delita', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Fembriarti Erry Prasmatiwi', 'given': 'FEP'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None}}]",other,['S1'],2015-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29186,,Hasil Review Jurnal Ilmu-Ilmu Agribisnis,['FP26'],Jurnal Ilmu-Ilmu Agribisnis,,disk0/00/02/91/86,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1031'}],7,pub,2021-04-13 01:10:50,,public,,,,,
2,235-242,show,archive,28183,2021-03-04 08:03:54,"[{'main': '1047-2713-1-SM[1].pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '9f261445ba19bac579a448fcd83e4447', 'datasetid': 'document', 'fileid': 250830, 'mtime': '2021-03-04 07:37:59', 'hash_type': 'MD5', 'filename': '1047-2713-1-SM[1].pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/250830', 'objectid': 42233, 'filesize': 115567}], 'docid': 42233, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28183, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42233', 'pos': 1, 'security': 'public'}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1047,2021-03-04 08:03:54,3.0,301,TRUE,"ANALISIS HARGA POKOK PRODUKSI, LABA USAHA, DAN PERMINTAAN AYAM
RAS PEDAGING PROBIOTIK DI KOTA METRO","[{'name': {'given': 'AFH', 'honourific': None, 'lineage': None, 'family': 'Andini Fitria Hadi'}, 'id': None}, {'id': None, 'name': {'family': 'Hanung', 'lineage': None, 'honourific': None, 'given': 'Ismono'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'family': 'Helvi Yanfika', 'lineage': None, 'honourific': None, 'given': 'HY'}}]",article,['S1'],2015-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28183,3.0,"Penelitian ini bertujuan untuk menganalisis biaya produksi utama ayam pedaging probiotik dan non probiotik, keuntungan
bisnis ayam pedaging probiotik dan non probiotik, dan faktor-faktor yang mempengaruhi permintaan probiotik
ayam pedaging. Data penelitian dikumpulkan pada September 2014. Penelitian dilakukan di Metro Tengah
dan Kecamatan Metro Utara Kota Metro. Lokasi-lokasi ini dipilih secara purposif dan sampelnya
digambar dengan metode purposive sampling. Sampel terdiri dari delapan peternak ayam pedaging dan 33 konsumen
ayam pedaging probiotik. Data dianalisis secara kuantitatif dengan biaya penuh dan metode biaya variabel ke
biaya dan laba produksi utama, dan beberapa analisis regresi linier untuk faktor-faktor yang mempengaruhi
Permintaan. Hasil penelitian ini menunjukkan bahwa biaya produksi utama ayam pedaging probiotik lebih tinggi
daripada ayam pedaging non probiotik. Metode biaya penuh menunjukkan bahwa biaya produksi utama probiotik
ayam pedaging dan ayam pedaging non probiotik sebesar Rp16.329,06 dan Rp15.824,37. Metode biaya variabel
menunjukkan bahwa biaya produksi utama ayam pedaging probiotik dan ayam pedaging non probiotik adalah Rp15.409,74 dan Rp14.932,55. Keuntungan ayam pedaging probiotik lebih rendah daripada ayam pedaging non probiotik, yang probiotik
ayam pedaging Rp922.542,19 dan ayam pedaging non probiotik Rp1.238.754,05. Faktor-faktor yang mempengaruhi permintaan
ayam pedaging probiotik adalah harga ayam pedaging probiotik, harga ayam pedaging non probiotik, harga kisaran
ayam, jumlah anggota keluarga, dan pengetahuan kesehatan.",['FP26'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,Jurnal Ilmu-Ilmu Agribisnis,disk0/00/02/81/83,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1047'}],9,pub,2021-03-04 08:03:54,2337 7070,public,,,,,
3,308-314,show,archive,48566,2023-02-27 01:01:55,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187879', 'pos': 1, 'eprintid': 48566, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '26ce86647dedcf7d68e486205a71aa48', 'fileid': 529619, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529619', 'filename': 'PROGRAM PENGEMBANGAN USAHA MINA PEDESAAN (PUMP) BIDANG PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN (P2HP) DAN PENDAPATAN PELAKU USAHA BIDANG PERIKANAN DI WILAYAH PESISIR KOTA BANDAR LAMPUNG.pdf', 'filesize': 72286, 'objectid': 187879, 'mtime': '2023-02-25 08:17:05', 'hash_type': 'MD5'}], 'main': 'PROGRAM PENGEMBANGAN USAHA MINA PEDESAAN (PUMP) BIDANG PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN (P2HP) DAN PENDAPATAN PELAKU USAHA BIDANG PERIKANAN DI WILAYAH PESISIR KOTA BANDAR LAMPUNG.pdf', 'docid': 187879}]",,2023-02-27 01:01:55,3.0,930,TRUE,PROGRAM PENGEMBANGAN USAHA MINA PEDESAAN (PUMP) BIDANG PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN (P2HP) DAN PENDAPATAN PELAKU USAHA BIDANG PERIKANAN DI WILAYAH PESISIR KOTA BANDAR LAMPUNG,"[{'name': {'given': 'dias sinta', 'honourific': None, 'family': 'Dewantary', 'lineage': None}, 'id': None}, {'name': {'given': 'Tubagus', 'honourific': None, 'family': 'Hasanuddin', 'lineage': None}, 'id': 'tb_sijati@yahoo.com'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Viantimala', 'given': 'Begem'}}]",article,['S1'],2015-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48566,3.0,"The purposes of this research are to analyze the performance of PUMP program in Bandar Lampung, the 
revenue of fisheries businessmen before and after implementing PUMP program in Bandar Lampung, and
the constraint of PUMP program in Bandar Lampung. This research was conducted in Bumi Waras Sub�district of Bandar Lampung. This research applied census method by involving 77 fisheries businessmen as 
the subject of PUMP program. The research data was analyzed by descriptive and statistics comparative 
test. The results of this research showed that the performance of PUMP program in Bandar Lampung was
good. The income of fisheries businessmen before taking the program was Rp5,094,759.70 and the income 
of fisheries businessmen after taking the program became Rp5,067,661.89. a There were some problems 
during the implementation of the PUMP program in Bandar Lampung, such as some of the program’s target 
was less appropriate, less assistants, and the program’s target was lack of guidance.
Key words: fisheries, performance, PUMP, revenue",['FP26'],Universitas Lampung,JIIA (Jurnal Ilmu-Ilmu Agribisnis),disk0_bak/00/04/85/66,,6,pub,2023-02-27 01:01:55,2337-7070,public,published,"['universitas lampung', 'universitas lampung', 'universitas lampung']",,,
4,,show,archive,29173,2021-04-13 01:10:48,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 43282, 'main': 'Nasional_Analisis harga pokok produksi , laba usaha, dan permintaan ayam ras pedaging probiotik di kota Metro.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '7ed59cf4a4f0edec8645268c3f7735b7', 'fileid': 258634, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/258634', 'filename': 'Nasional_Analisis harga pokok produksi , laba usaha, dan permintaan ayam ras pedaging probiotik di kota Metro.pdf', 'filesize': 1976207, 'objectid': 43282, 'mtime': '2021-04-12 06:02:41', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43282', 'security': 'public', 'placement': 1, 'eprintid': 29173}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1047,2021-04-13 01:10:48,,301,,"Hasil Review_Analisis Harga Pokok Produksi, Laba Usaha, dan Permintaan Ayam Ras Pedaging Probiotik di Kota Metro","[{'id': None, 'name': {'lineage': None, 'family': 'Erisa Widyanti', 'honourific': None, 'given': 'EW'}}, {'id': None, 'name': {'given': 'SG', 'honourific': None, 'lineage': None, 'family': 'Sumaryo Gitosaputro'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None}}]",other,['S1'],2015-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29173,,Hasil Review Jurnal Ilmu-Ilmu Agribisnis,['FP26'],Jurnal Ilmu-Ilmu Agribisnis,,disk0/00/02/91/73,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1047'}],7,pub,2021-04-13 01:10:48,,public,,,,,
5,,show,archive,29190,2021-04-13 01:10:53,"[{'main': 'Nasional_Kebutuhan dan Partisipasi Masyarakat dalam Program Kemitraan dan Bina Lingkungan (PKBL) PTPN VII Unit Usaha Rejosari Kecamatan Natar Kabupaten Lampung Selatan.pdf', 'files': [{'hash': '1b52bcdb35c139a1043fd2fb2c79ca8d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 258748, 'filename': 'Nasional_Kebutuhan dan Partisipasi Masyarakat dalam Program Kemitraan dan Bina Lingkungan (PKBL) PTPN VII Unit Usaha Rejosari Kecamatan Natar Kabupaten Lampung Selatan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/258748', 'objectid': 43297, 'filesize': 1996770, 'mtime': '2021-04-12 06:37:38', 'hash_type': 'MD5'}], 'docid': 43297, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 29190, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43297', 'pos': 1, 'security': 'public'}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1039,2021-04-13 01:10:53,,301,,Hasil Review_Kebutuhan dan Partisipasi Masyarakat dalam Program Kemitraan dan Bina Lingkungan (PKBL) PTPN VII Unit Usaha Rejosari Kecamatan Natar Kabupaten Lampung Selatan,"[{'name': {'given': 'EW', 'lineage': None, 'family': 'Erisa Widyanti', 'honourific': None}, 'id': None}, {'name': {'given': 'SG', 'honourific': None, 'lineage': None, 'family': 'Sumaryo Gitosaputro'}, 'id': None}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None, 'given': 'HY'}}]",other,['S1'],2015-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29190,,Hasil Review Jurnal Ilmu-Ilmu Agribisnis,['FP26'],Jurnal Ilmu-Ilmu Agribisnis,,disk0/00/02/91/90,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1039'}],7,pub,2021-04-13 01:10:53,,public,,,,,
6,195-202,show,archive,28181,2021-03-04 08:03:50,"[{'docid': 42226, 'main': '1039-2697-1-SM[1].pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/250800', 'filename': '1039-2697-1-SM[1].pdf', 'objectid': 42226, 'filesize': 125519, 'mtime': '2021-03-04 07:20:07', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '2ac17c84cb87db05f658bdf469308d0e', 'datasetid': 'document', 'fileid': 250800}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 28181, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42226', 'security': 'public'}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1039,2021-03-04 08:03:50,2.0,301,TRUE,"KEBUTUHAN DAN PARTISIPASI MASYARAKAT
DALAM PROGRAM KEMITRAAN DAN BINA LINGKUNGAN (PKBL) PTPN VII
UNIT USAHA REJOSARI KECAMATAN NATAR KABUPATEN LAMPUNG SELATAN","[{'id': None, 'name': {'lineage': None, 'family': 'Erisa Widyanti', 'honourific': None, 'given': 'EW'}}, {'id': None, 'name': {'family': 'Sumaryo Gitosaputro', 'lineage': None, 'honourific': None, 'given': 'SG'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Helvi Yanfika', 'given': 'HY'}}]",article,['S1'],2015-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28181,3.0,"Penelitian ini menganalisis kebutuhan masyarakat akan PKBL dalam rangka merumuskan strategi PKBL
kebutuhan masyarakat dan lingkungannya, tingkat partisipasi masyarakat dalam PKBL, dan
berkorelasi dengan faktor partisipasi masyarakat dalam PKBL. Penelitian ini dilakukan di Desa Rejosari,
Kecamatan Natar, Kabupaten Lampung Selatan. Sampel dalam penelitian ini adalah 84 rumah tangga yang dipilih
Secara acak. Data dianalisis oleh analisis kualitatif deskriptif, tabulasi, dan Rank Spearman
Korelasi. Hasil penelitian menunjukkan bahwa kebutuhan masyarakat akan PKBL termasuk aspek ekonomi: aset
pinjaman tanpa bunga bagi masyarakat di tiga subvillages, pelatihan produksi biogas di Banjar
subvillage, pelatih kelompok peternak sapi di subvillages Titirante Utara dan Selatan, pelatihan keterampilan,
penyediaan pasardan promosi produk; b) aspek sosial: pengembangan kegiatan kelembagaan,
melengkapi fasilitas pendidikan di tiga subvillages, dan pembangunan gedung SMA di
Desa Rejosari; c) aspek lingkungan: jalan aspal dan perbaikan jembatan. Selain d) kesehatan
aspek: program peningkatan kesehatan masyarakat melalui layanan medical check up gratis atau infrastruktur kesehatan
Perbaikan. Tingkat partisipasi masyarakat dalam PKBL rendah. Faktor-faktor yang berkorelasi dengan komunitas
PKBL PTPN VII adalah angkatan pendidikan, jumlah anggota keluarga, dan lamanya
Tinggal.",['FP26'],"Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung",Jurnal Ilmu-Ilmu Agribisnis (JIIA),disk0/00/02/81/81,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1039'}],11,pub,2021-03-04 08:03:50,2337-7070,public,,,,,
7,,show,archive,29234,2021-04-13 01:10:59,"[{'main': 'NASIONAL_Efektivitas program pengembangan BP3K sebagai model center of excelence (CoE) dalam peningkatan kinerja penyuluh di Kecamatan Batanghari Kabupaten Lampung Timur.pdf', 'docid': 43341, 'files': [{'filesize': 1914715, 'objectid': 43341, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259069', 'filename': 'NASIONAL_Efektivitas program pengembangan BP3K sebagai model center of excelence (CoE) dalam peningkatan kinerja penyuluh di Kecamatan Batanghari Kabupaten Lampung Timur.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-12 08:36:25', 'fileid': 259069, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e017b1e9cfdb41a73e6f6936ab679d40'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 29234, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43341', 'security': 'public'}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1037/942,2021-04-13 01:10:59,,609,,Hasil Review_Efektivitas Program Pengembangan BP3K sebagai Model Center of Excelence (CoE) Dalam Peningkatan Kinerja Penyuluh Di Kecamatan Batanghari Kabupaten Lampung Timur,"[{'name': {'lineage': None, 'family': 'Fitriansyah Bakti Praja', 'honourific': None, 'given': 'FBP'}, 'id': None}, {'id': None, 'name': {'given': 'SG', 'honourific': None, 'family': 'Sumaryo Gitosaputro', 'lineage': None}}, {'id': 'indahlistiana@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Listiana', 'given': 'Indah'}}]",other,['S1'],2015-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29234,,Hasil Review Jurnal Ilmu-Ilmu Agribisnis,['FP26'],Jurnal Ilmu-Ilmu Agribisnis,,disk0/00/02/92/34,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1037/942'}],7,pub,2021-04-13 01:10:59,,public,,,,,
8,,show,archive,29200,2021-04-13 01:10:55,"[{'eprintid': 29200, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43305', 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-12 07:08:41', 'objectid': 43305, 'filesize': 1926540, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258811', 'filename': 'Nasional_Persepsi Petani Terhadap Kinerja Penyuluh dalam Pengembangan Padi Organik di Kecamatan Pagelaran Kabupaten Pringsewu.pdf', 'fileid': 258811, 'datasetid': 'document', 'hash': '1827b7e45a1bed871b3a1585b8d892fe', 'mime_type': 'application/pdf'}], 'main': 'Nasional_Persepsi Petani Terhadap Kinerja Penyuluh dalam Pengembangan Padi Organik di Kecamatan Pagelaran Kabupaten Pringsewu.pdf', 'docid': 43305, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1094,2021-04-13 01:10:55,,301,,Hasil Review_Persepsi Petani Terhadap Kinerja Penyuluh dalam Pengembangan Padi Organik di Kecamatan Pagelaran Kabupaten Pringsewu,"[{'name': {'given': 'JS', 'lineage': None, 'family': 'Juwita Sari', 'honourific': None}, 'id': None}, {'name': {'given': 'IN', 'honourific': None, 'lineage': None, 'family': 'Indah Nurmayasari'}, 'id': 'indahnurma1@gmail.com'}, {'name': {'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}]",other,['S1'],2015-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29200,,Hasil Review Jurnal Ilmu-Ilmu Agribisnis,['FP26'],Jurnal Ilmu-Ilmu Agribisnis,,disk0/00/02/92/00,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1094'}],7,pub,2021-04-13 01:10:55,,public,,,,,
9,432-439,show,archive,28184,2021-03-04 08:03:57,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 250840, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'a6021c1c0b3816d8a4086566caba75de', 'objectid': 42235, 'filesize': 113926, 'uri': 'http://repository.lppm.unila.ac.id/id/file/250840', 'filename': '1094-2839-1-SM[1].pdf', 'hash_type': 'MD5', 'mtime': '2021-03-04 07:44:16'}], 'main': '1094-2839-1-SM[1].pdf', 'docid': 42235, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42235', 'pos': 1, 'eprintid': 28184, 'placement': 1}]",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1094,2021-03-04 08:03:57,4.0,301,TRUE,PERSEPSI PETANI TERHADAP KINERJA PENYULUH DALAM PENGEMBANGAN PADI ORGANIK DI KECAMATAN PAGELARAN KABUPATEN PRINGSEWU,"[{'id': None, 'name': {'given': 'JS', 'honourific': None, 'lineage': None, 'family': 'Juwita Sari'}}, {'id': 'indahnurma1@gmail.com', 'name': {'lineage': None, 'family': 'Indah Nurmayasari', 'honourific': None, 'given': 'IN'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None, 'given': 'HY'}}]",article,['S1'],2015-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28184,3.0,"Penelitian ini bertujuan untuk menganalisis tingkat persepsi petani terhadap kinerja penyuluh dipengembangan padi organik, faktor-faktor yang terkait dengan persepsi petani terhadap kinerja, dan perbedaan persepsi antara petani padi organik dan petani padi nonorganik penyuluh dalam pengembangan padi organik di Kecamatan Pagelaran, Kabupaten Pringsewu. Penelitian ini dilakukan di Desa Pagelaran dan Desa Gemah Ripah di Kecamatan Pagelaran, Kabupaten Pringsewu. Responden adalah 48 petani yang terdiri dari semua 24 petani padi organik dan 24 sawah nonorganik petani yang diambil secara acak. Data dianalisis menggunakan Rank Spearman dan Mann Whitney. Hasil menunjukkan bahwa persepsi petani terhadap kinerja penyuluh dalam pengembangan padi organik termasuk dalam klasifikasi sedang. Faktor-faktor yang berkaitan dengan persepsi petani terhadap kinerja penyuluhan dalam pengembangan padi organik adalah usia, pengetahuan, durasi mereka sebagai petani dan interaksi. Tidak ada perbedaan antara persepsi petani padi organik dan padi nonorganik
persepsi petani terhadap kinerja penyuluhan dalam pengembangan padi organik. Kedua padi organik petani dan petani sawah nonorganik memberikan penilaian yang cukup baik terhadap kinerja pengembangan padi organik.",['FP26'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,Jurnal Ilmu-Ilmu Agribisnis,disk0/00/02/81/84,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1094'}],6,pub,2021-03-04 08:03:57,2337 7070,public,,,,,
