,uri,date,corp_creators,volume,abstract,subjects,date_type,rev_number,ispublished,status_changed,issn,full_text_status,publication,publisher,dir,divisions,documents,lastmod,number,userid,pagerange,metadata_visibility,eprintid,eprint_status,datestamp,refereed,title,type,creators,event_title,event_type,funders,official_url,pres_type,event_dates,event_location,referencetext,related_url,id_number,place_of_pub
0,http://repository.lppm.unila.ac.id/id/eprint/28357,2018-05-01 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",6.0,"Abstract

This research aimed to determine factors that related to the role of BUM Pekon Mandiri Bersatu manager, the changes of customer’s income before and after being a member of BUM Pekon Mandiri Bersatu, and obstacles were impression by BUM Pekon Mandiri Bersatu manager to carry out their duties. The research was conducted on Gisting Bawah Village of Gisting Subdistrict, Tanggamus Regency purposively. The samples of this research were 10 persons of BUM Pekon Mandiri Bersatu manager and 46 customers who is the members of BUM Pekon Mandiri Bersatu. The research data collection was conducted from March 2017 until April 2017. The research data was analyzed descriptively, by Rank Spearman and t test difference. The results showed that: there is definite relationship between human resource quality variable and work environment with the role of manager of BUM Pekon Mandiri Bersatu and there is no definite relationship between customers’ support and wage or salary with the role of manager of BUM Pekon Mandiri Bersatu; there is a change in the customers income level who are members’ of BUM Pekon Mandiri Bersatu between before and after being a members of BUM Pekon Mandiri Bersatu, and obstacles were impression by BUM Pekon Mandiri Bersatu manager were capital and customer complaint problem.
Key words: BUM Pekon Mandiri Bersatu, customer, income, management, role",['S1'],published,6,pub,2021-03-15 01:42:28,2337 7070,public,Jurnal Ilmu-Ilmu Agribisnis,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,disk0/00/02/83/57,['FP26'],"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2021-03-14 07:38:19', 'hash_type': 'MD5', 'filename': '(8) HASIL PENILAIAN KARYA ILMIAH PERANAN PENGURUS BUM Pekon.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/252064', 'filesize': 2372236, 'objectid': 42396, 'mime_type': 'application/pdf', 'hash': '172f09e0d6fd661ddab421f2b51db861', 'fileid': 252064, 'datasetid': 'document'}], 'main': '(8) HASIL PENILAIAN KARYA ILMIAH PERANAN PENGURUS BUM Pekon.pdf', 'docid': 42396, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42396', 'eprintid': 28357, 'placement': 1}]",2021-03-15 01:42:28,2.0,930,214-221,show,28357,archive,2021-03-15 01:42:28,TRUE,"FAKTOR-FAKTOR YANG BERHUBUNGAN DENGAN PERANAN PENGURUS BADAN USAHA MILIK PEKON DI PEKON GISTING BAWAH
Bella Aldila, Dewangga Nikmatullah, Tubagus Hasanuddin",article,"[{'name': {'family': 'Aldila', 'lineage': None, 'honourific': None, 'given': 'Bella'}}, {'name': {'given': 'Dewangga', 'family': 'Nikmatullah', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Tubagus', 'family': 'Hasanuddin', 'lineage': None, 'honourific': None}}]",,,,,,,,,,,
1,http://repository.lppm.unila.ac.id/id/eprint/28356,2018-02-01 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",6.0,"Abstract

This study aims to find out the implementation of PPMK programme in Margodadi Subdistrict Metro City, to find out whether the PPMK programme has been effective in improving the income of KSM members in Metro City, and to find out the factors related to the effectiveness of PPMK Programme in Metro City.  The location of this study was chosen purposively in Non-Governmental Organization (NGO) Margodadi Sub District, South Metro District, Metro City.  The respondents of this research are 25 members of Kelompok Swadaya Masyarakat (KSM) who got capital loans in PPMK Programme.  Data of this research was collected in August-September 2016.  The research method used case method in which data was analyzed by descriptive and tabulation analysis to test the hypothesists.  The results of the research showed that the implementation of PPMK Programme had been running well . PPMK Program was effective on improving the income of KSM members, and the factors that related to the effectiveness of PPMK Programme were human resource quality, sosial capital condition, and finance resource quality.
Key words:  effectiveness, LKM, PPMK Programme",['S1'],published,6,pub,2021-03-15 01:42:24,2337 7070,public,Jurnal Ilmu-Ilmu Agribisnis,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,disk0/00/02/83/56,['FP26'],"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '2568201a1b15e13c7349fadd291e0bfa', 'fileid': 252058, 'datasetid': 'document', 'filename': '(7) HASIL PENILAIAN KARYA ILMIAH EFEKTIVITAS PROGRAM PPMK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/252058', 'objectid': 42395, 'filesize': 2425188, 'mtime': '2021-03-14 07:32:50', 'hash_type': 'MD5'}], 'main': '(7) HASIL PENILAIAN KARYA ILMIAH EFEKTIVITAS PROGRAM PPMK.pdf', 'docid': 42395, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42395', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28356}]",2021-03-15 01:42:24,1.0,930,49-56,show,28356,archive,2021-03-15 01:42:24,TRUE,"EFEKTIVITAS PROGRAM PENINGKATAN PENGHIDUPAN MASYARAKAT BERBASIS KOMUNITAS (PPMK) DALAM MENINGKATKAN PENDAPATAN DI LEMBAGA KESWADAYAAN MASYARAKAT (LKM) MARGODADI JAYA KOTA METRO
Indah Ayu Dianti, Tubagus Hasanuddin, Begem Viantimala",article,"[{'name': {'given': 'Indah Ayu', 'lineage': None, 'family': 'Dianti', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Hasanuddin', 'honourific': None, 'given': 'Tubagus'}, 'id': 'tb_sijati@yahoo.com'}, {'id': None, 'name': {'given': 'Begem', 'honourific': None, 'lineage': None, 'family': 'Viantimala'}}]",,,,,,,,,,,
2,http://repository.lppm.unila.ac.id/id/eprint/12051,2018-12-05 00:00:00.000000000,,,"The use of information and communication technology (ICT) in agriculture (cyber extension) can accelerate the process of innovation by farmers. But in developing countries its success depends on its supporting factor. This paper reviews a study that aims to analyze the availability of supporting environmental factors in the use of cyber extensions and their relation to communication behavior of horticultural farmers in accessing ICT-based information sources. The research design used is quantitative research. The research was conducted in Lampung Selatan and Metro municipalities. The study was conducted in July 2017 to November 2017. The study population is farmers of food crops and horticulture. A sample of 207 people was taken at random. Data were analyzed descriptively and inferentially with Rank Spearman Test. As a result, there is no significant relationship between supporting environmental factors and communication behavior of horticultural farmers. Conversely there is a significant relationship between the level of availability of information access facilities and the level of availability of conventional information sources in accordance with access to agricultural information based on ICT. The authors describe the implications of this research, particularly on the policy of cyber extension for agriculture.

Keywords: cyber extension, support factor, communication behavior, information access, horticulture",['HE'],published,8,pub,2019-05-09 03:11:13,,public,,,disk0/00/01/20/51,['FP26'],"[{'content': 'published', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Proceeding International Conf(8). on  Cassava 2017-1.PDF', 'docid': 25037, 'files': [{'mtime': '2019-05-08 07:11:06', 'hash_type': 'MD5', 'filename': 'Proceeding International Conf(8). on  Cassava 2017-1.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/107853', 'objectid': 25037, 'filesize': 17465602, 'hash': '74346a467822c6e7d0bd56d0c9cb7a26', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 107853}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25037', 'pos': 1, 'eprintid': 12051, 'placement': 1}]",2019-05-09 03:11:13,,719,60-64,show,12051,archive,2019-05-09 03:11:13,TRUE,THE ROLE OF SUPPORTING  ENVIRONMENTAL  FACTORS  ON  THE USE OF CYBER  EXTENSION  BY   FARMERS  OF  FOOD CROPS  AND   HORTICULTURE  IN  LAMPUNG  PROVINCE,conference_item,"[{'id': 'trully.dame@yahoo.co.id', 'name': {'family': 'Gultom', 'lineage': None, 'honourific': None, 'given': 'Dame Trully'}}, {'name': {'given': 'Sumaryo', 'honourific': None, 'family': 'Gitosaputro', 'lineage': None}, 'id': None}]",Seminar Internasional Cassava,conference,['Simlibtamas 2017'],file:///D:/File%20mama/Proceeding%20International%20Conf(8).%20on%20%20Cassava%202017-1.PDF,paper,23-24 November 2017,Bandar Lampung,,,,
3,http://repository.lppm.unila.ac.id/id/eprint/10439,2018-09-25 00:00:00.000000000,,,"Mechanism of development of information network system of agricultural development through cyber extension need to be developed by extension workers so that farmer requirement of agriculture information can be fulfilled. This study aims to analyze (1) the role of extension workers  involvement in agriculture development information network system through cyber extension, (2) Factors related to extension workers involvement in information network system of agricultural development through cyber extension. The research was conducted in areas with potential to develop food crops and horticulture, namely in South Lampung District and Metro District. The study was conducted in four sub-districts and eight villages. The research was conducted by census, all of the extension workers which have the target area in Jati Agung Sub District, Natar Sub District, Metro South Sub District and West Metro District. The number of respondents are 44 people. Data were analyzed descriptively and inferentially by Mann Whitney's different test and Rank Spearman correlation test. The results of the research show (1) The involvement of extension workers in agricultural information network system through cyber extension is characterized by different age, extension workers income, and the use of cyber extension between extension workers which is civil servant and extension workers  which is still  honour, (2) Factors related to the involvement of extension workers in information systems of agricultural development through cyber extension are age, extension workers income, motivation, level of cosmopoli and extension workers performance.",['H1'],submitted,7,submitted,2019-01-02 08:01:17,,public,,,disk0/00/01/04/39,['FP26'],"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'format': 'text', 'main': 'NASKAH JURNALbogor  29-10-2018.docx', 'docid': 23459, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'efa650db87d7cb129327c6adea989970', 'fileid': 97031, 'datasetid': 'document', 'filename': 'NASKAH JURNALbogor  29-10-2018.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/97031', 'objectid': 23459, 'filesize': 82650, 'mtime': '2018-11-28 05:04:16', 'hash_type': 'MD5'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23459', 'eprintid': 10439, 'placement': 1}]",2019-01-02 08:01:17,,719,,show,10439,archive,2019-01-02 08:01:17,TRUE,The Role Of Extension Workerss In The Development Of Agriculture  Information Network Through Cyber Extension In Lampung Province,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Gultom', 'given': 'Dame Trully'}, 'id': 'trully.dame@yahoo.co.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Gitosaputro', 'honourific': None, 'given': 'Sumaryo'}}]",Bogor Internasional  Conference Social Science,conference,,,paper,25-26 September 2018,Bogor,"Adekoya AE.2007. Cyber ExtensionCommunication.A Strategic Model for Agricultural and Rural Transformation in Nigeria. Journal of   Food,Agricultures and Environment.5(1):366-368
Alampay E. 2009.Living  the Information Society in Asia.  Singapore (SG):ISEAS Publishing.Institute of Southeast Asian Studies.
Arja K,Marjaana S.2014. Information Technology and Everyday Life in Ageing Rural Villages.Journal of Rural Studies 33:1-8
Asngari. 2001 Peran Agen Pembaharuan/Penyuluh Dalam Usaha Memberdayakan (Empowerment) Sumberdaya Manusia Pengelola Agribisnis.  Orasi Ilmiah Guru Besar Tetap Ilmu Sosial Ekonomi. Fakultas Peternakan, Institut Pertanian Bogor. 
Badan Koordinasi Penyuluhan Pertanian, Perikanan dan Kehutanan (BKP3K) 2012. Buku Data Base Ketenagaan Penyuluhan Pertanian, Perikanan dan Kehutanan Provinsi Lampung. Bandar Lampung.
Dahlan Sopiyudin M. 2008. Statistik untuk Kedokteran dan Kesehatan. Deskriptif bivariate dan multivariate dilengkapi Aplikasi Dengan Menggunakan SPSS. Penerbit Salemba Medika. Jakarta
Darojad, P. 2016. Penguatan Peranan kelembagaan petani dalam peningkatan kapabilitas petani mengelola inovasi bertaniteknologi informasi (Kasus Petani sayuran di Dataran Tinggi Jawa Barat). Disertasi. Bogor. Institut Pertanian Bogor
Gultom.2016. The  Roles of Cyber Extension Communication Media  in Strengthening Horticulture Farmers in Facing Globalization in Lampung Province, Indonesia. International Journal of Sciences Basic and Applied Research (IJSBAR).
Gultom  Dame Trully, Sumardjo, Sarwititi dan Pudji Mulyono. 2017. Strategi Pemenuhan  Kebutuhan Informasi  Pertanian Melalui Pemanfaatan Cyber  Extension  di Propinsi Lampung.  Jurnal Sosiohumaniora. Universitas  Padjadjaran, Bandung.
Helmi Z. 2013. Cyber Extension dalam Penguatan Kesiapan Penyuluhan Pertanian di Kabupaten Bekasi Provinsi Jawa Barat. Disertasi. Bogor. Institut Pertanian Bogor.
Lionberger HF,Gwin P. 1982. Technology Transfer. Danville (US): Illinois: The Interstate orientersand Publisher,Inc
Sian LC, WatsonMB, Manheim, ChudobaKM.2014. Investigating the Relationship  between Perceived Risk ini communication and  ICT Enabled Communicative Behavior. Journalof Information and Management. 51:688-699
Sumandjo, Baga LM, Mulyandari RSH. 2010. Cyber Extension. Peluang dan Tantangannya dalam Revitaliasi Penyuluhan Pertanian. Bogor. IPB Press.
Sugiyono. 2013. Metode Penelitian Kombinasi (Mixed Methode). Bandung. Penerbit Alfabeta. Ind.
Ridwan, Akdon. 2007. Rumus dan Data dalam Analisis Statistika untuk Penelitian. Jakarta. Penerbit Alfabeta.
Vivek A.2011. Cyber Extension. A Convergence of ICT and Agricultural  Development. Pradesh:Amity University Uttar Pradesh, Noida Uttar.
Yegane Madadi, Iravani Hooshang, dan Nooghabi Nazari Saeede. Factors Effective on familiarity and  Usage of Information and Communication Technology (ICT).  University College of Agriculture and Natural resources.  University of Tehran.  Iran. Procedia Social and Behavioral Sciences 15 (2011) 3625-3632. 2011.",,,
4,http://repository.lppm.unila.ac.id/id/eprint/12064,2018-08-10 00:00:00.000000000,,6.0,"The study aims to know the level of Information and Communication Technology (ICT) usage, the level of
Extension Workers’ performance, the relation between the use of ICT and the performance of Extension
Workers, and factors related to the use of ICT in Agricultural Extension Centers, Fisheries and Forestry
(BP3K) Jati Agung, South Lampung District. This study was conducted at BP3K Jati Agung Regency, South
Lampung District in 2017 with 17 respondents of Extension Workers. The research method used is a survey
method. Methods of analysis used were descriptive analysis and Rank Spearman correlation. The results
showed that Extension Workers have a high rate of ICT utilization and a high performance level. The use of
ICT has a significant relationship with the performance of Extension Workers and factors related to the use
of ICT are age, education, income, and cosmopolitan characteristics.
Key words: extension workers, ICT, performance",['HE'],published,6,pub,2019-05-09 02:47:44,,public,Jurnal Ilmu-Ilmu Agribisnis,,disk0/00/01/20/64,['FP26'],"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2019-05-08 07:57:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/108044', 'filename': 'jurnal nuzul.pdf', 'filesize': 108313, 'objectid': 25050, 'hash': '49ce26438c7e7439a4d849dffb38a4dd', 'mime_type': 'application/pdf', 'fileid': 108044, 'datasetid': 'document'}], 'main': 'jurnal nuzul.pdf', 'docid': 25050, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25050', 'pos': 1, 'eprintid': 12064, 'placement': 1}]",2019-05-09 02:47:44,3.0,719,1-8,show,12064,archive,2019-05-09 02:47:44,TRUE,HUBUNGAN PENGGUNAAN TIK DENGAN KINERJA PPL DI BP3K JATI AGUNG KABUPATEN LAMPUNG SELATAN,article,"[{'name': {'honourific': None, 'family': 'Gultom', 'lineage': None, 'given': 'Dame Trully'}, 'id': 'trully.dame@yahoo.co.id'}, {'name': {'given': 'Suarno', 'lineage': None, 'family': 'Sadar', 'honourific': None}, 'id': None}]",,,,file:///C:/Users/USER/Downloads/3030-7376-1-SM.pdf,,,,,,,
5,http://repository.lppm.unila.ac.id/id/eprint/12065,2018-08-11 00:00:00.000000000,,6.0,"This study aims to examine the farmers' response to Legowo Row Planting System in Tumijajar Subdistrict of
West Tulang Bawang Regency and factors related to farmers' responses to the Legowo Row Planting System.
This research was conducted in Tumijajar subdistrict, West Tulang Bawang Regency. Data collection was
conducted in May - August 2017. This research method used a survey method and using questionnaire as
primary instrument of data collection. Data analysis used quantitative descriptive analysis to answer the first
goal and Rank Spearman test to answer second goal. The results showed that farmers’ response to Legowo
Row Planting System was relatively low. Factors related to farmer's response to Legowo Row Planting
System are farmer’s age, formal education, length of farming experience, land size, motivation, and Sistem
Tanam Jajar Legowo’s innovation characteristics.
Key words: response, planting system, plant spacing",['S1'],published,6,pub,2019-05-09 02:47:45,,public,Jurnal Imlu-Ilmu Agribisnis,,disk0/00/01/20/65,['FP26'],"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 25051, 'main': 'jurnal erica.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'e2df6431825d5afd97ab5f6431fd612a', 'datasetid': 'document', 'fileid': 108054, 'mtime': '2019-05-08 08:06:27', 'hash_type': 'MD5', 'filename': 'jurnal erica.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/108054', 'objectid': 25051, 'filesize': 152341}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25051', 'eprintid': 12065, 'placement': 1}]",2019-05-09 02:47:45,3.0,719,1-8,show,12065,archive,2019-05-09 02:47:45,TRUE,RESPON PETANI TERHADAP SISTEM TANAM JAJAR LEGOWO DI KECAMATAN TUMIJAJAR KABUPATEN TULANG BAWANG BARAT,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Gultom', 'given': 'Dame Trully'}, 'id': 'trully.dame@yahoo.co.id'}, {'name': {'given': 'Yuniar Aviati', 'family': 'Syarief', 'lineage': None, 'honourific': None}, 'id': 'yuniarafiati@yahoo.com'}]",,,,file:///C:/Users/USER/Downloads/3028-7372-1-SM.pdf,,,,,,,
6,http://repository.lppm.unila.ac.id/id/eprint/39362,2018-12-01 00:00:00.000000000,,,Hasil Review Proceedings of The 3rd Annual International Seminar on Transformative Education and Educational Leadership,['S1'],,8,pub,2022-02-17 01:15:41,,public,,Proceedings of The 3rd Annual International Seminar on Transformative Education and Educational Leadership,disk0/00/03/93/62,['FP26'],"[{'eprintid': 39362, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160645', 'pos': 1, 'format': 'text', 'main': 'Fix_Peer Review_ Motivation of Farmers in Ggroup Management009.pdf', 'docid': 160645, 'files': [{'datasetid': 'document', 'fileid': 442701, 'hash': '13fa9c639e9869159f89e2d4abdbdd32', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-16 00:01:40', 'objectid': 160645, 'filesize': 1323501, 'filename': 'Fix_Peer Review_ Motivation of Farmers in Ggroup Management009.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442701'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-02-17 01:15:41,,609,,show,39362,archive,2022-02-17 01:15:41,,Hasil Review_Motivation of Farmers in Group Management to Develop Maize Cultivation,other,"[{'name': {'family': 'Harahap', 'lineage': None, 'honourific': None, 'given': 'Nurliana'}}, {'name': {'given': 'Mahendra', 'honourific': None, 'family': 'Ginting Manik', 'lineage': None}}, {'name': {'given': 'Indah', 'honourific': None, 'lineage': None, 'family': 'Listiana'}}]",,,,http://repository.lppm.unila.ac.id/id/eprint/28189,,,,,,,
7,http://repository.lppm.unila.ac.id/id/eprint/29208,2018-11-01 00:00:00.000000000,,,Hasil Review Young Scholar Symposium on Transdisciplinary in Education and Environment (YSSTEE),['S1'],,8,pub,2021-04-13 01:11:12,,public,,"Faculty of Tarbiyah and Teacher Training, Universitas Islam Negeri Raden Intan, Lampung, Indonesia",disk0/00/02/92/08,['FP26'],"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/43314', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29208, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Prosiding_Linkages Between Extension and Stakeholders in The Development of Sustainable Fisheries In Lampung Province.pdf', 'docid': 43314, 'files': [{'fileid': 258875, 'datasetid': 'document', 'hash': 'c32a7e6e9c96fd3dd8bcc6191f7a0cd6', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-12 07:34:45', 'filesize': 1947525, 'objectid': 43314, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258875', 'filename': 'Prosiding_Linkages Between Extension and Stakeholders in The Development of Sustainable Fisheries In Lampung Province.pdf'}], 'format': 'text'}]",2021-04-13 01:11:12,,301,,show,29208,archive,2021-04-13 01:11:12,,Hasil Review_Linkages Between Extension Institutions and Stakeholders in The Development of Sustainable Fisheries in Lampung Province,other,"[{'name': {'given': 'HY', 'family': 'Helvi Yanfika', 'lineage': None, 'honourific': None}, 'id': 'helviyanfika@yahoo.co.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Indah Listiana', 'given': 'IL'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Abdul Mutolib', 'given': 'Mutolib, Abdul'}}, {'name': {'lineage': None, 'family': 'Ali Rahmat', 'honourific': None, 'given': 'Rahmat, Ali'}, 'id': None}]",,,,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012014,,,,,[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012014'}],,
8,http://repository.lppm.unila.ac.id/id/eprint/28216,2018-11-01 00:00:00.000000000,,,"Demand for animal food consumption, particularly fish, is quite high. This fact
shows that fish is still the main source of animal protein in Indonesian society. Fish is a source
of unsaturated fatty acids, taurine, and omega-3 fatty acids which are good for the human body,
thus many people increase the consumption of protein derived from fish compared to livestock
source meat. Given the important role of fish for human resource quality, it is necessary to
have sufficient stock of fish to be consumed. Therefore, sustainable fishery business is needed
from its aspects of economic, social and environmental and the role of extension agents and
stakeholders in supporting sustainable fisheries. The aim of this study is how to support
extension institutions and stakeholders in supporting sustainable fisheries business in Lampung
Province. The method used a qualitative research approach. This research was carried out in
Lampung Province, particularly in Pringsewu District, East Lampung and Tanggamus in JulyAugust 2018. The number of research respondents was 235 fish processors. The type of data
collected includes primary data and secondary data. Data collected through in-depth interviews
and questionnaires were then analyzed using a qualitative descriptive approach. The results of
the study revealed that the role of extension institutions needs to be improved, through the
intensity of extension activities with an appropriate method, the extension media conducted by
extension agents visiting fish processing sites. Fisheries extension institutions can coordinate
with universities, the Directorate General of Marine and Fisheries Product Improvement
Competitiveness of Ministry of Marine Affairs and Fisheries, Ministry of Tourism, Ministry of
Industry, Ministry of Trade, and collaborate with hoteliers, culinary companies and retail gift
companies in the regions for the development of sustainable fisheries",['S1'],,7,pub,2021-03-07 11:04:32,,public,,,disk0/00/02/82/16,['FP26'],"[{'format': 'text', 'main': 'Art_P3_Semilaritas_Helvi_Linkages between Extension Institutions and Stakeholders in the Development of Sustainable Fisheries in Lampung Province.pdf', 'docid': 42262, 'files': [{'datasetid': 'document', 'fileid': 251057, 'hash': 'cf252ab30e9bd27382ac03ff59d760d5', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-05 09:37:26', 'filesize': 2353585, 'objectid': 42262, 'filename': 'Art_P3_Semilaritas_Helvi_Linkages between Extension Institutions and Stakeholders in the Development of Sustainable Fisheries in Lampung Province.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/251057'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 28216, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42262'}]",2021-03-07 11:04:32,,301,1-9,show,28216,archive,2021-03-07 11:04:32,TRUE,"Linkages between Extension Institutions and
Stakeholders in the Development of Sustainable
Fisheries in Lampung Province",conference_item,"[{'id': 'helviyanfika@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Helvi Yanfika', 'given': 'HY'}}, {'name': {'given': 'IL', 'honourific': None, 'family': 'Indah Listiana', 'lineage': None}, 'id': None}, {'name': {'given': 'Mutolib, Abdul', 'honourific': None, 'family': 'Abdul Mutolib', 'lineage': None}, 'id': None}, {'name': {'given': 'Rahmat, Ali', 'lineage': None, 'family': 'Ali Rahmat', 'honourific': None}, 'id': None}]",Faculty of Tarbiyah and Teacher Training,conference,,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012014,paper,,,,[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012014'}],,
9,http://repository.lppm.unila.ac.id/id/eprint/29201,2018-09-01 00:00:00.000000000,,,Hasil Review Jurnal Penyuluhan,['S1'],,7,pub,2021-04-13 01:11:07,,public,,Jurnal Penyuluhan,disk0/00/02/92/01,['FP26'],"[{'placement': 1, 'eprintid': 29201, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43306', 'security': 'public', 'main': 'Nasional_Strategy to Develop Traditional Fishery in Implementing the Principle of Sustainable.pdf', 'docid': 43306, 'files': [{'datasetid': 'document', 'fileid': 258819, 'hash': '52cb737996e63f09d8205ff284363fde', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-12 07:15:58', 'filesize': 1918862, 'objectid': 43306, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258819', 'filename': 'Nasional_Strategy to Develop Traditional Fishery in Implementing the Principle of Sustainable.pdf'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-04-13 01:11:07,,301,,show,29201,archive,2021-04-13 01:11:07,,Hasil Review_Strategy to Develop Traditional Fishery Business in Implementing the Principle of Sustainable Business,other,"[{'name': {'family': 'Helvi Yanfika', 'lineage': None, 'honourific': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Siti Amanah', 'honourific': None, 'given': 'Amanah'}}, {'name': {'lineage': None, 'family': 'Anna Fatchiya', 'honourific': None, 'given': 'Anna'}, 'id': None}, {'id': None, 'name': {'given': 'PSA', 'lineage': None, 'family': 'Pang S. Asngari', 'honourific': None}}]",,,,http://journal.ipb.ac.id/index.php/jupe/article/view/20162,,,,,[{'url': 'http://journal.ipb.ac.id/index.php/jupe/article/view/20162'}],,
