,creators,type,title,place_of_pub,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,publisher,divisions,dir,status_changed,full_text_status,ispublished,rev_number,subjects,date_type,date,uri,related_url,event_type,event_title,abstract,pres_type,refereed,pagerange,official_url,issn,publication,corp_creators,volume,number,id_number,contributors,contact_email,institution,monograph_type,pages,event_location,event_dates
0,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">helviyanfika@yahoo.co.id</font></font>'}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>'}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">beggem_vh@yahoo.com</font></font>'}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">indahlistiana@yahoo.com</font></font>'}, {'id': None, 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}, {'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': None}]",other,Hasil Reviewer : Evaluation Of The Success of Program and Strategy for Sustainable Coastal Community Development in  Tanggamus Regency,Universitas Lampung,archive,26543,2020-11-22 11:48:06,show,966,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '12. Evaluation of the Success of Programs and Strategy for Sustainable.pdf', 'docid': 40438, 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-21 11:03:43', 'objectid': 40438, 'filesize': 863368, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238717', 'filename': '12. Evaluation of the Success of Programs and Strategy for Sustainable.pdf', 'datasetid': 'document', 'fileid': 238717, 'mime_type': 'application/pdf', 'hash': '13304f690ee64258cb3ae968329e6e20'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40438', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26543}]",2020-11-22 11:48:06,Journal of Physics: Conference Series 1467,['FP26'],disk0/00/02/65/43,2020-11-22 11:48:06,public,pub,8,['S1'],published,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/26543,,,,,,,,,,,,,,,,,,,,,
1,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>'}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">irwaneffendi@gmail.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': None}, {'id': None, 'name': {'family': 'doni', 'lineage': None, 'honourific': None, 'given': 'pranata'}}]",other,Hasil reviewer : Hubungan Kepemimpinan Ketua Kelompok dengan Keefektifan Kelompok Tani Padi Sawah di Kecamatan Sukoharjo Kabupaten Pringsewu,,archive,26542,2020-11-22 11:47:26,show,966,"[{'placement': 1, 'eprintid': 26542, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40437', 'pos': 1, 'security': 'public', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-21 10:55:11', 'objectid': 40437, 'filesize': 877583, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238710', 'filename': '10. HUBUNGAN KEPEMIMPINAN KETUA KELOMPOK DENGAN.pdf', 'fileid': 238710, 'datasetid': 'document', 'hash': 'd60168d8d35be7b38ee7b15740d659e0', 'mime_type': 'application/pdf'}], 'main': '10. HUBUNGAN KEPEMIMPINAN KETUA KELOMPOK DENGAN.pdf', 'docid': 40437, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-11-22 11:47:26,"Balai Besar Pengkajian dan Pengembangan Teknologi Pertanian, Kementerian Pertanian Indonesia",['FP26'],disk0/00/02/65/42,2020-11-22 11:47:26,public,pub,7,['S1'],published,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/26542,,,,,,,,,,,,,,,,,,,,,
2,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Abdul Mutolib', 'given': 'Mutolib, Abdul'}, 'id': None}, {'name': {'given': 'Yonariza', 'family': 'Yonariza', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'Rahmat, Ali', 'honourific': None, 'family': 'Ali Rahmat', 'lineage': None}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Helvi Yanfika', 'given': 'HY'}}]",conference_item,"Competition among actors and challenges of production forest
management in Dharmasraya, West Sumatera",,archive,28215,2021-03-07 11:02:18,show,301,"[{'placement': 1, 'eprintid': 28215, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42261', 'security': 'public', 'files': [{'hash_type': 'MD5', 'mtime': '2021-03-05 09:33:34', 'filesize': 2271531, 'objectid': 42261, 'filename': 'Art_P2_Semilaritas_Helvi_Competition among actors and challenges of production forest management in Dharmasraya, West Sumatera.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/251050', 'datasetid': 'document', 'fileid': 251050, 'mime_type': 'application/pdf', 'hash': '09b0cf10eb93f583e5c541375bf683d3'}], 'main': 'Art_P2_Semilaritas_Helvi_Competition among actors and challenges of production forest management in Dharmasraya, West Sumatera.pdf', 'docid': 42261, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-03-07 11:02:18,,['FP26'],disk0/00/02/82/15,2021-03-07 11:02:18,public,pub,7,['S1'],,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/28215,[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/399/1/012074/meta'}],conference,IPB University Natural Resource and Environmental Management Study Program,"Management of production forest in Production Forest Management Unit
Dharmasraya (PFMU), West Sumatra Province is very complicated. That is due to the many
stakeholders involved in forest management and different interests. The research location was
conducted in PFMU Dharmasraya and used a qualitative research approach. Data collection was
carried out from January to April 2018 using key informant interview techniques. Data analysis
used interactive models through three activity lines, namely: 1) data reduction, 2) data display,
and 3) conclusion/verification. This study aims to see the interaction between stakeholders and
the impact of competition of stakeholders on forest conditions in PFMU Dharmasraya. Results
of research identified at least four stakeholders are directly involved in forest management in
PFMU Dharmasraya. PFMU Dharmasraya as representatives of Government, Local community
(Adat Community), the industrial timber plantation company (HTI), and forest encroachers who
bought the forest from Local community/customary authorities. There are three types of
interaction in the management of PFMU Dharmasraya, including cooperation, neutral, and
competition. The result of the stakeholder competition occurred in the conflicts of forest
ownership. Forest ownership conflict triggers each of the stakeholders to cut and claim the forest.
As a result, deforestation occurred very fast in the last 15 years in PFMU Dharmasraya",paper,TRUE,1-9,https://iopscience.iop.org/article/10.1088/1755-1315/399/1/012074/meta,,,,,,,,,,,,,
3,"[{'id': None, 'name': {'lineage': None, 'family': 'Abdul Mutolib', 'honourific': None, 'given': 'Mutolib, Abdul'}}, {'id': None, 'name': {'given': 'Yonariza', 'lineage': None, 'family': 'Yonariza', 'honourific': None}}, {'id': None, 'name': {'given': 'Rahmat, Ali', 'honourific': None, 'lineage': None, 'family': 'Ali Rahmat'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Helvi Yanfika', 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}]",other,"Hasil Review_Competition among actors and challenges of production forest management in Dharmasraya, West Sumatera",,archive,29204,2021-04-13 01:09:05,show,301,"[{'placement': 1, 'eprintid': 29204, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43310', 'security': 'public', 'docid': 43310, 'main': 'Prosiding_Competition among actors and challenges of production forest management in Dharmasraya west sumatera.pdf', 'files': [{'objectid': 43310, 'filesize': 1987039, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258844', 'filename': 'Prosiding_Competition among actors and challenges of production forest management in Dharmasraya west sumatera.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-12 07:25:56', 'datasetid': 'document', 'fileid': 258844, 'hash': '239f23e67ac2ef6bb3038e93210d9b25', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-04-13 01:09:05,IPB University Natural Resource and Environmental Management Study Program,['FP26'],disk0/00/02/92/04,2021-04-13 01:09:05,public,pub,8,['S1'],,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/29204,[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/399/1/012074/meta'}],,,Hasil Review Earth and Environmental Science,,,,https://iopscience.iop.org/article/10.1088/1755-1315/399/1/012074/meta,,,,,,,,,,,,,
4,"[{'id': None, 'name': {'lineage': None, 'family': 'Anggraini', 'honourific': None, 'given': 'Resti'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Rangga', 'given': 'Kordiyana K'}}, {'id': 'tb_sijati@yahoo.com', 'name': {'family': 'Hasanuddin', 'lineage': None, 'honourific': None, 'given': 'Tubagus'}}]",article,"PARTISIPASI PETANI DAN KEBERHASILAN PROGRAM PENGEMBANGAN USAHA PANGAN MASYARAKAT (PUPM) DI KECAMATAN PALAS KABUPATEN LAMPUNG SELATAN
Resti Anggraini, Kordiyana K Rangga, Tubagus Hasanuddin",,archive,28360,2021-03-15 01:42:37,show,930,"[{'placement': 1, 'eprintid': 28360, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42399', 'security': 'public', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/252082', 'filename': '(11) HASIL PENILAIAN KARYA ILMIAH PARTISIPASI PETANI DALAM PROGRAM PUPM.pdf', 'filesize': 2302452, 'objectid': 42399, 'mtime': '2021-03-14 07:53:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '4e39f758f1bd51fe0db53fb444876e93', 'datasetid': 'document', 'fileid': 252082}], 'main': '(11) HASIL PENILAIAN KARYA ILMIAH PARTISIPASI PETANI DALAM PROGRAM PUPM.pdf', 'docid': 42399, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-03-15 01:42:37,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,['FP26'],disk0/00/02/83/60,2021-03-15 01:42:37,public,pub,6,['S1'],published,2019-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28360,,,,"Abstract

The purpose of this research is to know the level of farmers’ participation, the factors associated with the level of farmers’ participation and the relationship between the level of farmers’ participation and the success of the program.  Data of this research were collected in February-March 2018.  The respondents are 66 rice farmers members of farmer groups joining the program who are chosen randomly  The research is a survey and data are analyzed using Rank Spearman and descriptively.  The results showed that the level of farmers’ participation is in a low catergory.  Factors related to the level of farmers’ participation in PUPM program are farmers’ knowledge on the program, frequency of their participation in extension activities, and level of farmers’ cosmopolitan character.  There is a significant relationship between farmers’ participation and the success of PUPM program in Palas Subdistrict of South Lampung Regency.
Key words: farmer, participation, program, PUPM",,TRUE,113-119,,2337 7070,Jurnal Ilmu-Ilmu Agribisnis,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",7,1.0,,,,,,,,
5,"[{'id': None, 'name': {'given': 'Rahmawati', 'honourific': None, 'lineage': None, 'family': 'Aprilia Rahmawati'}}, {'id': None, 'name': {'given': 'Sukmayanto', 'honourific': None, 'family': 'Muher Sukmayanto', 'lineage': None}}, {'name': {'given': 'HY', 'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None}, 'id': 'helviyanfika@yahoo.co.id'}]",other,Hasil Review_Mediasi sebagai Upaya Penyelesaian Masalah Antara PT. Aneka Sumber Bumi Jaya dengan Warga Desa Bumi Sari Kecamatan Natar Lampung Selatan,,archive,29196,2021-04-13 01:12:03,show,301,"[{'placement': 1, 'eprintid': 29196, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43302', 'security': 'public', 'docid': 43302, 'main': 'Nasional_Mediasi sebagai Upaya Pelestarian Masalah Antara PT Aneka Sumber Bumi Jaya dengan Warga Desa Bumisari Kecamatan Natar Kabupaten Lampung Selatan.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-12 06:57:04', 'filesize': 1910252, 'objectid': 43302, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258787', 'filename': 'Nasional_Mediasi sebagai Upaya Pelestarian Masalah Antara PT Aneka Sumber Bumi Jaya dengan Warga Desa Bumisari Kecamatan Natar Kabupaten Lampung Selatan.pdf', 'datasetid': 'document', 'fileid': 258787, 'hash': '7599343704daa0c8f9e5a097fe50a7c1', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-04-13 01:12:03,Mimbar Agribisnis Jurnal Pemikiran Masyarakat Ilmiah Berwawasan Agribisnis,['FP26'],disk0/00/02/91/96,2021-04-13 01:12:03,public,pub,8,['S1'],,2019-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29196,[{'url': 'https://jurnal.unigal.ac.id/index.php/mimbaragribisnis/article/view/1916'}],,,Hasil Review Mimbar Agribisnis Jurnal Pemikiran Masyarakat Ilmiah Berwawasan Agribisnis,,,,https://jurnal.unigal.ac.id/index.php/mimbaragribisnis/article/view/1916,,,,,,,,,,,,,
6,"[{'name': {'family': 'Dermawan', 'lineage': None, 'honourific': None, 'given': 'Imam Sugiharto'}, 'id': None}, {'id': None, 'name': {'family': 'Efendi', 'lineage': None, 'honourific': None, 'given': 'Irwan'}}, {'id': 'korrangga@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Rangga', 'given': 'Kordiyana'}}]",article,"PERANAN FIELD OFFICER PT VASHAM KOSA SEJAHTERA DALAM PROGRAM KEMITRAAN DENGAN PETANI JAGUNG DI KECAMATAN KETAPANG
KABUPATEN LAMPUNG SELATAN",,archive,22275,2020-06-11 07:40:36,show,966,"[{'format': 'text', 'docid': 35691, 'main': 'JURNAL.pdf', 'files': [{'datasetid': 'document', 'fileid': 204858, 'hash': 'b790d4f97ee1a7e9e5d4c0b408813097', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-11 07:24:13', 'objectid': 35691, 'filesize': 294691, 'filename': 'JURNAL.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204858'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 22275, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35691'}]",2020-06-11 07:40:36,JIIA,['FP26'],disk0/00/02/22/75,2020-06-11 07:40:36,public,pub,7,['S1'],published,2019-05-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22275,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3387'}],,,"This study aims to determine the partnership patterns that are applied and analyze the roles of facilitators in partnership programs, the relationship between the roles of the facilitators and the productivity of farmer partners, the relationship between production and income of farmer partners, and the differences in productivity and income of farmer partners of PT Vasham Kosa Sejahtera and non-partners. This location was chosen purposively with consideration that South Lampung Regency is the largest corn production center in Lampung Province and Ketapang District, where there are most partner farmers of PT Vasham Kosa Sejahtera in South Lampung Regency. Respondents were 50 partner farmers and 50 non-partner farmers. This research method uses a survey method, descriptive analysis and rank Spearman correlation test. The results showed that the partnership pattern that was established with partner corn farmers belonged to the pattern of Agribusiness Operational Cooperation (KOA). The role of Field Officers PT Vasham Kosa Sejahtera in the partnership program as a whole is quite a role. There is no significant relationship beetwen role of field officer and productivity of partner farmer corn farming. There is significant relationship between production and income of partner farmers corn farming. There is diferenece productivity of partner farmers and non-partner farmers corn farming and no difference between income of partner farmers and non-partner farmers corn farming.",,TRUE,242-246,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3387,,Peranan Field Officer PT Vasham Kosa Sejahtera Dalam Program Kemitraan Dengan Petani Jagung di Kecamatan Ketapang Kabupaten Lampung Selatan,,7,2.0,,,,,,,,
7,"[{'id': 'dewangganikmatullah@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Dewangga Nikmatullah', 'given': 'DN'}}, {'name': {'honourific': None, 'family': 'Begem Viantimala', 'lineage': None, 'given': 'BV'}, 'id': 'beggem_vh@yahoo.com'}]",article,KOMPETENSI PPL DAN KEMAMPUAN KELOMPOK TANI DALAM MENUNJANG BP3KBERPRESTASI DI KECAMATAN RAMAN UTARA KABUPATEN LAMPUNG TIMUR,,archive,16577,2019-11-18 05:10:51,show,828,"[{'placement': 1, 'eprintid': 16577, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29650', 'security': 'public', 'main': 'JIIA Februari 2019 (1).pdf', 'files': [{'datasetid': 'document', 'fileid': 141366, 'mime_type': 'application/pdf', 'hash': 'ee43f26b73ce92d9fe9ee3af39337744', 'objectid': 29650, 'filesize': 688712, 'uri': 'http://repository.lppm.unila.ac.id/id/file/141366', 'filename': 'JIIA Februari 2019 (1).pdf', 'hash_type': 'MD5', 'mtime': '2019-11-15 07:38:56'}], 'docid': 29650, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-11-18 05:10:51,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,['FP26'],disk0/00/01/65/77,2019-11-18 05:10:51,public,pub,6,['AC'],,2019-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16577,,,,"The research is to analyze competence of Agricultural Extension Workers (AEWs), ability of farmer groups, and analyze relationship between the AEWs’ competence and the ability of farmer groups to support the distinguished North Raman BP3K. The research method used is a survey carried out in North Raman subdistrict of East Lampung. Data were collected in March - July 2017. The data are analyzed descriptively and using Kruskals Wallis test. Respondents are 77 people consisting of three AEWs’ and 74 rice farmers in North Raman subdistrict specified using a purposive sampling method. The results showed the Competence of the AEWs’ is in medium category and the ability of farmer groups is in medium category. There is relationship between the competence of the AEW’s and the ability of farmer groups to support the distinguished BP3K in North Raman subdistrict. Key words: AEWs’ Competence, BP3K, farmer groups’ capability",,TRUE,106-112,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3338,2337 7070,Jurnal Ilmu-Ilmu Agribisnis,"['Universitas Lampung', 'Universitas Lampung']",7,1.0,,,,,,,,
8,"[{'id': 'dewangganikmatullah@yahoo.com', 'name': {'honourific': None, 'family': 'Dewangga Nikmatullah', 'lineage': None, 'given': 'DN'}}, {'name': {'given': 'KKR', 'honourific': None, 'family': 'Kordiyana K Rangga', 'lineage': None}, 'id': 'korrangga@yahoo.com'}]",article,HUBUNGAN TINGKAT PARTISIPASI ANGGOTA KELOMPOK TANI DENGAN DINAMIKA KELOMPOK TANI SERTA PENINGKATAN PRODUKSI PADI DI DESA CINTAMULYA KECAMATAN CANDIPURO KABUPATEN LAMPUNG SELATAN,,archive,16574,2019-11-18 05:10:47,show,828,"[{'files': [{'hash_type': 'MD5', 'mtime': '2019-11-15 07:31:46', 'filesize': 485838, 'objectid': 29647, 'filename': 'JIIA Mei 2019 (Miftah).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/141353', 'fileid': 141353, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c864a93c3c7550dbe90f5202f0171667'}], 'main': 'JIIA Mei 2019 (Miftah).pdf', 'docid': 29647, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 16574, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29647', 'security': 'public'}]",2019-11-18 05:10:47,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,['FP26'],disk0/00/01/65/74,2019-11-18 05:10:47,public,pub,6,['AC'],,2019-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16574,,,,"This study aims to examine participation level of farmer group members, farmer group dynamics, rice production increase, and the relationship between the the participation, group dynamics and rice production increase in Cintamulya Village, Candipuro District, South Lampung Regency. Respondents in this study were 85 farmers. The study was conducted in August - September 2017. The research method used was a survey method using a quantitative descriptive analysis method. The relationship among variables are analyzed using nonparametric statistics Spearman rank correlation test. The results showed that the participation rate of farmer group members is in a low category, group dynamics is in less dynamic category, and increase production is included in a low category. There are significant relationships between the level of participation of members of farmer groups and farmer group dynamics, the level of participation and production increase, and group dynamics and production increase. Key words: group dynamics, production increase, participation",,TRUE,219-224,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3384/2585,2337 7070,Jurnal Ilmu-Ilmu Agribisnis,"['Universitas Lampung', 'Universitas Lampung']",7,2.0,,,,,,,,
9,"[{'name': {'lineage': None, 'family': 'EFFENDI', 'honourific': None, 'given': 'IRWAN'}, 'id': None}, {'id': 'indahlistiana@yahoo.com', 'name': {'given': 'Indah', 'honourific': None, 'lineage': None, 'family': 'Listiana'}}]",article,Effect of infrastructure development in the program of simultaneous movement for village development on economic growth,,archive,15394,2019-11-05 10:49:54,show,609,"[{'eprintid': 15394, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28517', 'pos': 1, 'format': 'text', 'files': [{'mtime': '2019-11-04 11:05:07', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/132815', 'filename': 'document-2.pdf', 'objectid': 28517, 'filesize': 245138, 'hash': 'a0bad2effefb20dd6abfdc1a217d0be1', 'mime_type': 'application/pdf', 'fileid': 132815, 'datasetid': 'document'}], 'main': 'document-2.pdf', 'docid': 28517, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2019-11-05 10:49:54,Research in Business & Social Science,['FP26'],disk0/00/01/53/94,2019-11-05 10:49:54,public,pub,7,['H1'],published,2019-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15394,"[{'type': 'author', 'url': 'https://www.ssbfnet.com/ojs/index.php/ijrbs/article/view/505/464'}]",,,"he  Regency  of  Tulang  Bawang  develops program  called  Simultaneous  Movement  for  Village Development (Gerakan Serentak Membangun Kampung), that is a movement carried out by, from, and for  the  community  of  Tulang  Bawang  to  do  the  right  thing  together  in  an  effort  to  accelerate  the development of village infrastructure for economic development of village community.Infrastructure limitation leads to the high poverty rate in rural area. The study of Simultaneous Movement for Village Development Program or Gerakan Serentak Membangun Kampung (GSMK) aims  to  assess the  effect of Direct Cash Transfer for Community (BLM, Dana Bantuan Langsung Masyarakat), and community initiative in GSMK Program on economic growth of the community in Tulang Bawang Regency. The type of research applied wasquantitative research using multiple regression analysis. This study was conducted using secondary data in 2011-2016 sourced from Lampung dalam angka, result of previous studies, and other supporting data. Moreover, the data required in this study included total amount of BLM and  community  initiative  in  GSMK  Program  conducted  in Tulang  Bawang Regency,  and community  initiative. The study  conducted  in  Tulang  Bawang  Regency showed  that:  (1)  There wassignificant  correlation  between  Direct  Cas  Transfer  for  Community and Community  Initiative on Economic Growth Rate of Community; (2) Direct Cash Transfer for Community significantly affected the  Gross  Regional  Domestic  Product  (PDRB)at  confidence  level  of 99%,  and(3) Community Initiative  did  not  significantly  affect  economic  growth rate of community since confidence level only reached a value of 11.5%",,TRUE,25-30,https://www.ssbfnet.com/ojs/index.php/ijrbs/article/view/505/464,2147-4478,Research in Business & Social Science,,8,6.0,https://www.ssbfnet.com/ojs/index.php/ijrbs/article/view/505/464,,,,,,,
