,userid,number,lastmod,official_url,documents,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,type,creators,title,refereed,abstract,volume,date,uri,date_type,subjects,full_text_status,issn,status_changed,ispublished,rev_number,related_url,divisions,publisher,publication,dir,corp_creators,id_number,event_title,event_type,event_location,event_dates,pres_type
0,609,2.0,2021-11-06 13:59:35,http://jayapanguspress.penerbit.org/index.php/ganaya,"[{'main': '1320-Article Text-1710-1-10-20210910_4.pdf', 'docid': 156130, 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-06 12:29:27', 'filesize': 223428, 'objectid': 156130, 'uri': 'http://repository.lppm.unila.ac.id/id/file/412318', 'filename': '1320-Article Text-1710-1-10-20210910_4.pdf', 'fileid': 412318, 'datasetid': 'document', 'hash': '518e2bdb371ae0c0026f74a2ce1759e5', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 35328, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156130', 'security': 'public'}]",2021-11-06 13:59:35,archive,35328,show,326-338,article,"[{'id': None, 'name': {'given': 'Kiki', 'honourific': None, 'family': 'Ambarwati', 'lineage': None}}, {'name': {'given': 'Indah', 'family': 'Listiana', 'lineage': None, 'honourific': None}, 'id': 'indahlistiana@yahoo.com'}, {'id': None, 'name': {'family': 'Nikmatullah', 'lineage': None, 'honourific': None, 'given': 'Dewangga'}}]","Dana Desa Dan Pengaruhnya Terhadap Pendapatan Asli Desa 
Di Kabupaten Pesawaran",TRUE,"The Birth of the Village Law No. 6 of 2014 concerning Villages makes villages have an important role for regional autonomy, and village fund policies. With the existence of village funds as a source of village income originating from APBN transfers, sources of village original income (PADes) can be optimally supported if management is carried out properly. This study aims to determine the effect of village funds on PADes and analyze the use of village funds for village development activities. The study was conducted in a survey in 12 villages using descriptive analysis and paired sample T test. The results showed that there was no difference in PADes before and after village funds were 
given. This means that the presence or absence of village funds given to villages does not affect the increase in PADes received. 70 percent of villages in Pesawaran Regency the amount of PADes received is still zero or even decreased from the previous year. The management of village funds still has many shortcomings, both in the form of transparency to orderly rules ranging from independent villages to underdeveloped villages. 90 percent of villages utilize village funds for physical development activities and only Sukaraja Village (independent villages) which is larger utilize village funds for community development/ empowerment activities.",4.0,2021-09-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/35328,published,['H1'],public,2615-0913 (E),2021-11-06 13:59:35,pub,6,"[{'type': 'pub', 'url': 'http://jayapanguspress.penerbit.org/index.php/ganaya'}]",['FP26'],Ganaya,Jurnal Ilmu Sosial dan Humaniora,disk0/00/03/53/28,,,,,,,
1,609,,2022-02-19 10:24:41,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/160823', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39544, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'FIX PENILAIAN DANA DESA.pdf', 'docid': 160823, 'files': [{'datasetid': 'document', 'fileid': 444100, 'mime_type': 'application/pdf', 'hash': '24cc23b941b4be53732053f2e2ac1b7b', 'hash_type': 'MD5', 'mtime': '2022-02-18 22:00:39', 'filesize': 2654032, 'objectid': 160823, 'filename': 'FIX PENILAIAN DANA DESA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/444100'}], 'format': 'text'}]",2022-02-19 10:24:41,archive,39544,show,,other,"[{'id': None, 'name': {'given': 'Kiki', 'honourific': None, 'lineage': None, 'family': 'Ambarwati'}}, {'id': 'dewangga.nikmatullah@fp.unila.ac.id', 'name': {'given': 'Dewangga', 'honourific': None, 'family': 'Nikmatullah', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Listiana', 'given': 'Indah'}, 'id': 'indahlistiana@yahoo.com'}]","FIX PEER REVIEW_Dana Desa Dan Pengaruhnya Terhadap Pendapatan Asli Desa 
Di Kabupaten Pesawaran",,FIX PEER REVIEW Jurnl Ilmu Sosial dan Humaniora,,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/39544,,['S1'],public,,2022-02-19 10:24:41,pub,7,,['FP26'],Jurnal Ilmu Sosial dan Humaniora,,disk0/00/03/95/44,,,,,,,
2,930,1.0,2022-12-19 07:17:26,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185647', 'security': 'public', 'placement': 1, 'eprintid': 46734, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Kondisi Sosial Ekonomi Buruh Pengrajin Batu Bata Di Kelurahan Campang Raya Kecamatan Sukabumi Kota B.pdf', 'files': [{'objectid': 185647, 'filesize': 782592, 'uri': 'http://repository.lppm.unila.ac.id/id/file/514719', 'filename': 'Kondisi Sosial Ekonomi Buruh Pengrajin Batu Bata Di Kelurahan Campang Raya Kecamatan Sukabumi Kota B.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-18 05:41:54', 'fileid': 514719, 'datasetid': 'document', 'hash': '9185b50f8f440bca2c6e4ae0df18726c', 'mime_type': 'application/pdf'}], 'docid': 185647, 'format': 'text'}]",2022-12-19 07:17:26,archive,46734,show,218-231,article,"[{'name': {'honourific': None, 'family': 'Aroem', 'lineage': None, 'given': 'ghietha putri'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Hasanuddin', 'given': 'Tubagus'}, 'id': 'tb_sijati@yahoo.com'}]","KONDISI SOSIAL EKONOMI
BURUH PENGRAJIN BATU BATA
DI KELURAHAN CAMPANG RAYA
KECAMATAN SUKABUMI
KOTA BANDAR LAMPUNG",TRUE,"The limited job field encourages the society to look for other alternatives by
utilizing the existing environmental conditions to satisfy the needs of their
families. One of the work as a brick worker. Research aims to know the
socioeconomic conditions of brick workers from November- Desember
2019. This research used qualitatif descriptive methods. The respondents
were bricker workers which was determined purposively amounted to 15
people. The results of this research show that bricker workers have a
productive age (100%) ,the formal education is still low(67%), the average
household net income per month of Rp 3.320.000,- − Rp 3.433.000,- with
per-capital income per month of Rp 1.106.000,- −Rp 1.147.000,- has not
fulfilled the standard UMR in Bandar Lampung city.of Rp 2.445.141,-.
Qualitatively, based on perceptions, 66.7% of bricker workers said that the
income they earned was still insufficient to fulfill their daily needs. The
conditions and housing facilities are still inadequate.

Keywords: Brick Worker, household, income",10.0,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/46734,published,"['H1', 'S1']",public,2615-0778,2022-12-19 07:17:26,pub,7,[{'url': 'https://jurnal.uns.ac.id/jas/article/view/42172'}],['FP26'],Universitas Sebelas Maret,Jurnal Analisa Sosiologi,disk0/00/04/67/34,"['Universitas Lampung', 'Universitas Lampung']",,,,,,
3,930,1.0,2022-12-19 07:17:41,,"[{'main': 'The Performance of Kerupuk Bawang Agroindustry.pdf.pdf', 'docid': 185652, 'files': [{'mtime': '2022-11-18 06:18:53', 'hash_type': 'MD5', 'filename': 'The Performance of Kerupuk Bawang Agroindustry.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/514744', 'filesize': 851707, 'objectid': 185652, 'hash': 'bd89464db537000b9d36f0a04104eb18', 'mime_type': 'application/pdf', 'fileid': 514744, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 46739, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185652', 'security': 'public'}]",2022-12-19 07:17:41,archive,46739,show,1-5,article,"[{'name': {'lineage': None, 'family': 'Ayu Nirmala Lutfi Syarief', 'honourific': None, 'given': 'ANLS'}, 'id': None}, {'name': {'given': 'Tubagus', 'honourific': None, 'family': 'Hasanuddin', 'lineage': None}, 'id': 'tb_sijati@yahoo.com'}]","THE PERFORMANCE OF KERUPUK BAWANG AGROINDUSTRY IN
BANDARLAMPUNG CITY
(CASE STUDY OF ONION CRACKER WINDA PUTRI IN BANDARLAMPUNG CITY)",TRUE,"The purposes of this research are to analyze :1) the performance of agribusiness system of onion cracker
household agroindustry , 2) the production process, added value and income of agroindustry onion cracker 3)
marketing of product onion cracker and 4) the role of support services facilities. this research used to case study at
onion cracker agroindustry in tanjung senang sub-district bandar lampung city. the research was conducted in
january - february 2018 and data analysis used to qualitative and quantitative method. the results showed that the
procurement of raw materials had not fulfilled price component. (1) the performance of the agroindustry was not
good because it had not fulfilled the flexibility component. (2) the production process is going well and agroindustry
revenue was considered good because the value of r/c ratio was > 1 and given added value and income was positive.
(3) the marketing strategy of the agroindustry has used the 4p marketing mix component, which is the product, price
is good, while for the place and promotion component, it has not been used optimally. the marketing chains consisted
of two channels. (4) the provided support services of this agroindustry were bank, information and communication
technology, transportation, and market procurement process of raw materials that correspond to six right on (time,
place, quality, quantity, type, and price).
Keywords: agroindustry, onion cracker, performance",4.0,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/46739,published,['S1'],public,26156873,2022-12-19 07:17:41,pub,6,[{'url': 'https://ijebe.feb.unila.ac.id/index.php/ijebe/article/download/77/60'}],['FP26'],Fakultas Ekonomi dan Bisnis Universitas Lampung,IJEBE,disk0/00/04/67/39,"['Universitas Lampung', 'Universitas Lampung']",,,,,,
4,301,,2021-06-18 07:58:34,https://elearning2.unisba.ac.id/index.php/ethos/article/view/6433,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148456', 'security': 'public', 'placement': 1, 'eprintid': 32676, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Jurnal Nasional_Pemahaman dan Persepsi Penyuluh Perikanan Terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Penyuluhan di Kota Bandar Lampung.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-18 05:44:37', 'filesize': 2283564, 'objectid': 148456, 'uri': 'http://repository.lppm.unila.ac.id/id/file/386605', 'filename': 'Jurnal Nasional_Pemahaman dan Persepsi Penyuluh Perikanan Terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Penyuluhan di Kota Bandar Lampung.pdf', 'fileid': 386605, 'datasetid': 'document', 'hash': 'e76343721828238b7bfd51b376e3c42f', 'mime_type': 'application/pdf'}], 'docid': 148456, 'format': 'text'}]",2021-06-18 07:58:34,archive,32676,show,,other,"[{'id': None, 'name': {'honourific': None, 'family': 'Ayu Nirmala Lutfi Syarief', 'lineage': None, 'given': 'ANLS'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Helvi Yanfika', 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}, {'name': {'lineage': None, 'family': 'Abdul Mutolib', 'honourific': None, 'given': 'Mutolib, Abdul'}, 'id': None}]",Hasil Review_Pemahaman dan Persepsi Penyuluh Perikanan Terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Penyuluhan di Kota Bandar Lampung,,Hasil Review Jurnal Penelitian dan Pengabdian Kepada Masyarakat,,2021-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32676,,['S1'],public,,2021-06-18 07:58:34,pub,8,[{'url': 'https://elearning2.unisba.ac.id/index.php/ethos/article/view/6433'}],['FP26'],Jurnal Penelitian dan Pengabdian Kepada Masyarakat,,disk0/00/03/26/76,,,,,,,
5,301,1.0,2021-06-17 08:04:55,https://elearning2.unisba.ac.id/index.php/ethos/article/view/6433,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '6433-27697-1-PB.pdf', 'files': [{'mtime': '2021-06-16 07:28:56', 'hash_type': 'MD5', 'filename': '6433-27697-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386097', 'filesize': 186513, 'objectid': 148244, 'hash': '8f0c5a620220a65972be6162f1b0d9c7', 'mime_type': 'application/pdf', 'fileid': 386097, 'datasetid': 'document'}], 'docid': 148244, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148244', 'eprintid': 32623, 'placement': 1}]",2021-06-17 08:04:55,archive,32623,show,53-62,article,"[{'id': None, 'name': {'given': 'ANLS', 'honourific': None, 'lineage': None, 'family': 'Ayu Nirmala Lutfi Syarief'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'honourific': None, 'family': 'Helvi Yanfika', 'lineage': None}}, {'name': {'given': 'Mutolib, Abdul', 'family': 'Abdul Mutolib', 'lineage': None, 'honourific': None}, 'id': None}]",Pemahaman dan Persepsi Penyuluh Perikanan Terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Penyuluhan di Kota Bandar Lampung,TRUE,"Penelitian ini bertujuan untuk mengetahui ketenagaan penyuluh perikanan, pemahaman internet oleh penyuluh dan persepsi penyuluh perikanan terhadap penggunaan teknologi informasi dan komunikasi dalam penyuluhan. Penelitian ini dilakukan di Kota Bandar Lampung. Pengambilan sampel dalam penelitian ini
menggunakan teknik purposive sampling. Penyuluh perikanan yang ada di Kota Bandar Lampung berjumlah 12 orang. Jenis data yang digunakan dalam penelitian ini adalah data primer dan sekunder. Metode yang digunakan dalam penelitian ini
adalah metode analisis deskriptif kualitatif. Hasil penelitian diperoleh bahwa ketenagaan penyuluh masih belum memenuhi idealnya di setiap kecamatan yang ada di Kota Bandar Lampung. Pemahaman internet penyuluh perikanan di Kota Bandar Lampung masih cukup rendah. Begitu pula persepsi penyuluh terhadap penggunaan teknologi informasi dan komunikasi dilihat dari tujuan penggunann TIK dalam kategori baik. Persepsi penyuluh terhadap penggunaan teknologi informasi dan komunikasi dilihat dari manfaat TIK dalam kegiatan penyuluhan
dikategorikan baik. Lain halnya dengan persepsi penyuluh terhadap penggunaan teknologi informasi dan komunikasi dilihat dari pelaksanaan penyuluhan menggunakan TIK dalam kategori kurang baik.",9.0,2021-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32623,,['S1'],public,1693-699x,2021-06-17 08:04:55,pub,6,[{'url': 'https://elearning2.unisba.ac.id/index.php/ethos/article/view/6433'}],['FP26'],Universitas Islam Bandung,Ethos: Jurnal Penelitian dan Pengabdian Masyarakat,disk0/00/03/26/23,,,,,,,
6,609,,2022-05-30 01:44:01,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'c016ec42cfd53ff33900f580acfc2416', 'fileid': 462173, 'datasetid': 'document', 'mtime': '2022-05-25 23:55:01', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/462173', 'filename': '10007-Article Text-47480-1-10-20211229.pdf', 'filesize': 314320, 'objectid': 163533}], 'main': '10007-Article Text-47480-1-10-20211229.pdf', 'docid': 163533, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163533', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41865}]",2022-05-30 01:44:01,archive,41865,show,436-450,article,"[{'name': {'given': 'Shely', 'honourific': None, 'family': 'Cathrin', 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Reno', 'family': 'Wikandaru', 'lineage': None, 'honourific': None}}, {'id': 'indahlistiana@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Listiana', 'given': 'Indah'}}, {'id': None, 'name': {'given': 'Devi', 'family': 'Ratnasari', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Warsidah', 'lineage': None, 'family': 'Warsidah', 'honourific': None}}, {'id': None, 'name': {'given': 'Widyoningsih', 'honourific': None, 'lineage': None, 'family': 'Widyoningsih'}}, {'id': None, 'name': {'lineage': None, 'family': 'Arif', 'honourific': None, 'given': 'M. Bahtiar'}}, {'name': {'honourific': None, 'family': 'Indah', 'lineage': None, 'given': 'Astrid Veranita'}, 'id': None}]","Harmonization of the Education Curriculum at
Pesantren Al Falah Gorontalo: An Educational
Philosophy Study",TRUE,"Pesantren (Islamic boarding schools) have become character-building institutions trusted by the Indonesian people; however, as educational institutions, pesantren must adapt to the national education curriculum which can be challenging. The purpose of this study was to critically identify and analyze the implementation of the educational curriculum at the pesantren Al Falah Gorontalo, based on the educational philosophy point of view. A qualitative approach was employed, using the hermeneutics method. Interpretation, description, synthetic analysis, internal coherence, holistic, reflection, and heuristics were used. The results indicated that the pesantren Al Falah Gorontalo combined two educational curriculums. Analysis from the educational philosophy perspective found that the implementation of education was based on essentialism educational philosophical ideas, which assume that education is full of flexibility and helps students to adhere to noble values, spiritual characteristics, and human guidance to achieve a more noble life.",,2021-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/41865,,['S1'],public,,2022-05-30 01:44:01,pub,11,,['FP26'],,KnE Social Sciences,disk0/00/04/18/65,,,,,,,
7,719,,2022-05-11 07:29:30,,"[{'placement': 1, 'eprintid': 41466, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163100', 'pos': 1, 'security': 'public', 'main': 'Preview Penilaian_Keikutsertaan Prog AUTP.pdf', 'docid': 163100, 'files': [{'mime_type': 'application/pdf', 'hash': '00fb67350145d46df4a81c3c95ea7b73', 'fileid': 459282, 'datasetid': 'document', 'filename': 'Preview Penilaian_Keikutsertaan Prog AUTP.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/459282', 'objectid': 163100, 'filesize': 323278, 'mtime': '2022-04-26 14:46:57', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-05-11 07:29:30,archive,41466,show,,other,"[{'id': '-', 'name': {'given': 'Maria', 'family': 'Ditha', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Gultom', 'lineage': None, 'honourific': None, 'given': 'Dame Trully'}, 'id': 'trully.dame@yahoo.co.id'}, {'name': {'lineage': None, 'family': 'Gitosaputro', 'honourific': None, 'given': 'Sumaryo'}, 'id': 'sumaryo.gitosaputro@fp.unila.ac.id'}]",Hasil Peer Review_Keikutsertaan Program Asuransi Usaha Tani Padi (AUTP) di Pekon Tulung Agung Kecamatan Gading Rejo Kabupaten Pringsewu,,Hasil Peer Review Jurnal Komunikasi dan Penyuluhan Pertanian,,2021-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/41466,,['S1'],public,,2022-05-11 07:29:30,pub,7,,['FP26'],Jurnal Komunikasi dan Penyuluhan Pertanian,,disk0/00/04/14/66,,,,,,,
8,930,1.0,2023-02-27 01:01:39,,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 529583, 'mime_type': 'application/pdf', 'hash': '37e53e367c3fc057163debf58920f5dd', 'hash_type': 'MD5', 'mtime': '2023-02-25 07:46:50', 'objectid': 187873, 'filesize': 76238, 'filename': 'Hubungan Performa Kerja Petani Dengan Produktivitas Padi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529583'}], 'main': 'Hubungan Performa Kerja Petani Dengan Produktivitas Padi.pdf', 'docid': 187873, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 48560, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187873'}]",2023-02-27 01:01:39,archive,48560,show,28-35,article,"[{'id': None, 'name': {'given': 'Surya', 'honourific': None, 'family': 'Fajar', 'lineage': None}}, {'id': 'tb_sijati@yahoo.com', 'name': {'honourific': None, 'family': 'Hasanuddin', 'lineage': None, 'given': 'Tubagus'}}, {'name': {'given': 'Indah', 'honourific': None, 'family': 'Listiana', 'lineage': None}, 'id': 'indahlistiana@yahoo.com'}]","Hubungan Performa Kerja Petani Dengan Produktivitas Padi     
di Desa Sidosari Kecamatan Natar Kabupaten Lampung Selatan",TRUE,"Penelitian ini bertujuan untuk mengetahui hubungan performa kerja petani dan produktivitas
masyarakat petani di Kecamatan Natar Kabupaten Lampung Selatan. Penelitian ini dilakukan di Desa
Sidosari Kecamatan Natar Kabupaten Lampung Selatan pada bulan Oktober 2020 sampai Januari
2021. Dua puluh petani sebagai responden dipilih dengan metode Accidental sampling. Metode
analisis yang digunakan dalam penelitian ini adalah metode analisis  deskriptif kuantitatif, sedangkan
pengujian hipotesis dilakukan menggunakan uji statistik non parametrik korelasi Rank Spearman.
Hasil penelitian menunjukkan bahwa Terdapat hubungan yang nyata antara performa kerja dengan
produktivitas pada masyarakat petani di Desa Sidosari Kecamatan Natar Kabupaten Lampung Selatan
dengan nilai koefisien korelasi 0,503*, memiliki tingkat korelasi yang kuat dengan arah hubungan
positif dan signifikan. Jika performa kerja petani meningkat maka produktivitas masyarakat petani
padi di Desa Sidosari Kecamatan Natar Kabupaten Lampung Selatan juga meningkat.
 
Kata kunci: petani, performa kerja petani, produktivitas",3.0,2021-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48560,published,['S1'],public,ISSN (online) 2686-1488,2023-02-27 01:01:39,pub,6,,['FP26'],"Magister Penyuluhan dan Komunikasi Pertanian, Fakultas Pertanian Universitas Lampung",Suluh Pembangunan: Journal of Extension and Development,disk0_bak/00/04/85/60,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,
9,494,1.0,2021-11-14 02:05:41,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '71-Article Text-309-1-10-20211010.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'd5d4a9956c399b749532b955683c05c0', 'fileid': 422412, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/422412', 'filename': '71-Article Text-309-1-10-20211010.pdf', 'objectid': 157592, 'filesize': 156476, 'mtime': '2021-11-13 13:39:42', 'hash_type': 'MD5'}], 'docid': 157592, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/157592', 'pos': 1, 'eprintid': 36675, 'placement': 1}]",2021-11-14 02:05:41,archive,36675,show,44-52,article,"[{'name': {'given': 'Rabyatul', 'family': 'Hadawiyah', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Nurmayasari', 'honourific': None, 'given': 'Indah'}, 'id': 'indahnurma1@gmail.com'}, {'name': {'given': 'Begem', 'family': 'Viantimala', 'lineage': None, 'honourific': None}, 'id': None}]","Motivasi Pemuda Tani Bekerja di Sektor Pertanian
di Pekon Padang Cahya Kecamatan Balik Bukit
Kabupaten Lampung Barat
Motivation of Youth Farmers to Work in Agricultural Sector in Padang
Cahaya Village, Balik Bukit Sub-district, West Lampung Regency",TRUE,"Menurunnya jumlah tenaga kerja di sektor pertanian merupakan ancaman bagi keberlangsungan
pembangunan pertanian. Partisipasi pemuda di bidang pertanian sangat dibutuhkan. Tujua penelitian ini
adalah mengetahui tingkat motivasi pemuda tani untuk bekerja di sektor pertanian dan faktoR apa saja
yang berhubungan dengan motivasi mereka. Penelitian dilakukan di Desa Padang Cahaya Kecamatan
Balik Bukit Kabupaten Lampung Barat. Ada 72 responden pemuda yang bekerja di bidang pertanian
dan diwawancarai menggunakan kuesioner terstruktur. Data dianalisis secara deskriptif. Berdasarkan
penelitian tingkat motivasi pemuda tani untuk bekerja di sektor pertanian termasuk dalam kategori
tinggi. Faktor yang berhubungan dengan motivasi mereka bekerja di bidang pertanian adalah
pendidikan, pendapatan, dan luas lahan.
Kata kunci: Motivasi, Pemuda tani, Pendidikan",3.0,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/36675,published,['H1'],public,,2021-11-14 02:05:41,pub,6,,['FP26'],,Suluh Pembangunan : Journal of Extension and Development,disk0/00/03/66/75,,,,,,,
