,dir,publisher,publication,divisions,full_text_status,issn,status_changed,rev_number,ispublished,date_type,subjects,abstract,corp_creators,volume,uri,date,type,creators,title,refereed,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,id_number,patent_applicant,pres_type,event_dates,event_location,contact_email,event_title,projects,event_type,funders,related_url,pages,place_of_pub,institution,monograph_type,department
0,disk0/00/04/47/80,"Jurusan Budidaya Perairan, Fakultas Pertanian Universitas Lampung",E-JURNAL REKAYASA DAN TEKNOLOGI BUDIDAYA PERAIRAN,['FP3'],public,2302-3600,2022-09-05 10:00:29,8,pub,published,['SH'],"Shrimp cultured in Purworejo Village begun in the 1980s. Productivity of shrimp farming in this region, had experienced a peak of success in 1998 with an average production of 200 kg / ha with black tiger shrimp (Penaeus monodon) as the main commodity. Productivity decreases to 120kg / ha then occur due to decreasing environmental quality and susceptible post larvae to disease infections. One effort to increase the productivity of ponds can be done by switching the cultivation of black tiger shrimp to Pacific white leg (Litopenaeus vannamei) shrimp. The purpose of this study was to study the feasibility of semiintensive Pacific whiteleg shrimp cultured. This research was carried out in two shrimp farmer groups namely Sido Makmur and Lestari Gemilang located in Purworejo Village, Pasir Sakti District, East Lampung Regency. The type of research used is a case study and uses descriptive tests. The results showed that Pacific white leg shrimp cultured can produce 10,804,45 kg/3 ha and achieve a profit of Rp. 407.025.500 with a net B/C of 1,7. Moreover, black tiger shrimp culturehas reached 725 kg/5 ha with a profit of Rp. 13.660.000 with net B/C of 1,2. This study concluded semiintensive Pacific whiteleg shrimp is profitable compared toblack tiger shrimp cultured. It is also feasible to be developed by the village community.",['Universitas Lampung'],7,http://repository.lppm.unila.ac.id/id/eprint/44780,1970-01-01 00:00:00.000002019,article,"[{'id': 'yudha.trinoegraha@fp.unila.ac.id', 'name': {'given': 'Y. T.', 'family': 'Adiputra', 'lineage': None, 'honourific': None}}]","KELAYAKAN USAHA BUDIDAYA UDANG VANAME (LITOPENAEUS VANNAMEI) DI DESA PURWOREJO, KECAMATAN PASIR SAKTI KABUPATEN LAMPUNG TIMUR",TRUE,2022-09-05 10:00:29,archive,44780,show,881-888,405,2.0,https://jurnal.fp.unila.ac.id/index.php/bdpi,2022-09-05 10:00:29,"[{'format': 'text', 'main': 'Publikasi 20.pdf', 'docid': 166668, 'files': [{'datasetid': 'document', 'fileid': 483448, 'mime_type': 'application/pdf', 'hash': '0c70e9fccfb3064c33e5c0bb7ec0f43f', 'objectid': 166668, 'filesize': 201929, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483448', 'filename': 'Publikasi 20.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-05 08:47:16'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 44780, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166668'}, {'language': 'en', 'mime_type': 'application/xml', 'rev_number': 3, 'main': 3577, 'files': [{'datasetid': 'document', 'fileid': 483451, 'hash': '44a7c01bc774502c1443df9bb29c4e05', 'mime_type': 'application/xml', 'filesize': 31014, 'objectid': 166669, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483451', 'filename': 3577, 'hash_type': 'MD5', 'mtime': '2022-09-05 08:48:01'}], 'docid': 166669, 'format': 'other', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166669', 'security': 'public', 'formatdesc': 'Publication', 'placement': 2, 'eprintid': 44780}]",,,,,,,,,,,,,,,,
1,disk0/00/01/25/05,"Jurusan Perikanan dan Kelautan, Fakultas Pertanian",Jurnal Ilmu Perikanan dan Sumberdaya Perairan,['FP3'],restricted,p-ISSN: 2301-816X,2019-05-14 07:55:23,8,pub,,['SH'],"Vaname shrimp (Litopenaeus vannamei) is one of the main aquaculture commodities in Indonesia because it has high economic value. But in the aquaculture it is known that there are diseases that cause death in shrimp before harvest time. Vibriosis is a disease caused by the Vibrio parahaemolyticus, bacteria which often attacks shrimp culture. Population control of Vibrio sp. done by giving immunostimulants and vaccines, as well as giving feed plus antibiotics. However, continuous use of antibiotics and improper doses will cause bacteria to become resistant and cause residues in the tissues. This study aims to examine the effect of Avicennia sp. fruit extract in preventing the infection of Vibrio parahae-molyticus in vaname shrimp on a laboratory scale. This study used the experimental method Complete Random Design (CRD), which consisted of five treatments with different concentrations of Avi-cennia sp. fruit extracts and three replications of individuals in the population. The results showed that Avicenniasp. fruit extract Avicennia sp. able to influence the inhibition of the growth of Vibrio parahaemolitycus bacteria and prevent the occurrence of vibriosis disease . This can be seen by the value of Relative Percent Survival (RPS) which is limitited to 50%, can slow down the time of death of the shrimp seen from the Mean Time to Death (MTD), and followed by a high  Survival Rate (SR). The concentration that most affected the treatment was the concentration of 350 mg/l.
Keywords: Avicennia sp extract, vaname shrimp, Vibrio parahaemolyticus","['Jurusan Perikanan dan Kelautan, UNILA', 'Jurusan Perikanan dan Kelautan, UNILA', 'Jurusan Perikanan dan Kelautan, UNILA']",VII,http://repository.lppm.unila.ac.id/id/eprint/12505,2019-11-01 00:00:00.000000000,article,"[{'name': {'honourific': None, 'family': 'Fitri', 'lineage': None, 'given': 'Fadhilah Amalia'}}, {'name': {'given': 'Rara', 'honourific': None, 'lineage': None, 'family': 'Diantari'}}, {'name': {'given': 'Wardiyanto', 'honourific': None, 'family': 'Wardiyanto', 'lineage': None}}]",EFFECT OF Avicennia sp. FRUIT EXTRACT IN PREVENTION OF THE SPREAD OF Vibrio parahaemolyticus BACTERIA IN VANAME SHRIMP (Litopenaeus vannamei),TRUE,2019-05-14 07:55:23,archive,12505,show,,218,2.0,http://jurnal.fp.unila.ac.id/index.php/JPBP/index,2019-05-14 07:55:23,"[{'format': 'text', 'files': [{'mime_type': 'application/xml', 'hash': '92bc0ea1051564e6c1795fa2f01d0b97', 'datasetid': 'document', 'fileid': 111087, 'uri': 'http://repository.lppm.unila.ac.id/id/file/111087', 'filename': 2902, 'filesize': 28072, 'objectid': 25485, 'mtime': '2019-05-10 05:14:58', 'hash_type': 'MD5'}], 'main': 2902, 'docid': 25485, 'content': 'published', 'language': 'id', 'mime_type': 'application/xml', 'rev_number': 3, 'eprintid': 12505, 'placement': 1, 'security': 'staffonly', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25485', 'pos': 1}]",,,,,,,,,,,,,,,,
2,disk0/00/01/25/04,IOP Conference Series: Earth and Environmental Science,"Abstract This experiment was aimed to understand the effect of partial replacement of fish meal with Spirulina meal in percula clownfish Amphiprion percula diet on its growth, survival, and color enhancement. One control (A) and three Spirulina dosage wer",['FP3'],public,,2019-05-14 07:54:43,7,pub,published,['SH'],"Abstract
This experiment was aimed to understand the effect of partial replacement of fish meal with Spirulina meal in percula clownfish Amphiprion percula diet on its growth, survival, and color enhancement. One control (A) and three Spirulina dosage were used in this 60-day experiment: 0.9% (B), 1.2% (C), and 1.5% (D) with three replicates for a total of 12 aquariums. During the experiment, the clownfish were fed 4 times daily with 5% FR and periodic sampling for growth monitoring. No significant difference was found in the color intensity, absolute length, and absolute weight among all treatments. On the other hand, survival was the highest on 1.2% Spirulina meal addition to feeding.",,236,http://repository.lppm.unila.ac.id/id/eprint/12504,2019-03-01 00:00:00.000000000,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hudaidah', 'given': 'Siti'}}, {'name': {'given': 'Berta', 'family': 'Putri', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Syifania Samara', 'family': 'Samara', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Adiputra', 'lineage': None, 'honourific': None, 'given': 'Yudha Tri Nograha'}}]","Effect of partial replacement of fish meal with Spirulina platensis meal in practical diets and culture location on growth, survival, and color enhancement of percula clownfish Amphiprion percula",TRUE,2019-05-14 07:54:43,archive,12504,show,,142,1.0,https://iopscience.iop.org/article/10.1088/1755-1315/236/1/012073/meta,2019-05-14 07:54:43,"[{'eprintid': 12504, 'placement': 3, 'security': 'public', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25511', 'format': 'text', 'main': 'IOP_Conf._Ser.__Earth_Environ._Sci._236_012073.pdf', 'docid': 25511, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/111241', 'filename': 'IOP_Conf._Ser.__Earth_Environ._Sci._236_012073.pdf', 'objectid': 25511, 'filesize': 655073, 'mtime': '2019-05-10 05:48:00', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '0265d66d3a8c8a0f4958ea71d7eb8674', 'datasetid': 'document', 'fileid': 111241}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,,,,,,,,,,,,,,,
3,disk0/00/02/00/91,,,['FP3'],public,,2020-05-19 06:43:08,7,pub,published,['SH'],"Buku Diatom Epipelic merupakan buku ajar yang membahas tentang diatom terutama yang hidup di substrat (epipelic Diatom), jenis, dan metode sampling, serta manfaatnya dalam manajemen lingkungan budidaya perairan",,,http://repository.lppm.unila.ac.id/id/eprint/20091,2019-12-01 00:00:00.000000000,patent,"[{'id': None, 'name': {'given': 'Siti', 'lineage': None, 'family': 'Hudaidah', 'honourific': None}}, {'id': 'supono_unila@yahoo.com', 'name': {'given': 'Supono', 'family': 'Supono', 'lineage': None, 'honourific': None}}]",Epipelic Diatom,,2020-05-19 06:43:08,archive,20091,show,,333,,,2020-05-19 06:43:08,"[{'format': 'text', 'files': [{'fileid': 189757, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '84804e118459c72d8052411cf8d6ad15', 'hash_type': 'MD5', 'mtime': '2020-05-19 05:52:10', 'objectid': 33430, 'filesize': 772000, 'filename': 'HaKI Buku Diatom.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/189757'}], 'main': 'HaKI Buku Diatom.pdf', 'docid': 33430, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 20091, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33430'}]",168647,C 00201987009,,,,,,,,,,,,,,
4,disk0/00/01/91/02,"Department of Marine Sciences, Trunojoyo University of Madura, Indonesia",Jurnal Kelautan: Indonesian Journal of Marine Science and Technology,['FP3'],public,2476-991,2020-04-13 02:02:26,6,pub,published,['SH'],"Salinitas merupakan salah satu parameter yang penting selama proses budidaya ikan hias air laut. Ikan badut sendiri memerlukan salinitas yang cukup tinggi dalam budidaya serta pemeliharaannya. Hal ini juga merupakan masalah tersendiri untuk penghobiis ikan hias khususnya yang tinggal di daerah perkotaan. Tujuan dari penelitian ini adalah untuk mengetahui pertumbuhan benih ikan badut dengan salinitas media yang berbeda. Rancangan percobaan yang digunakan adalah RAL. Parameter yang diukur selama penelitian adalah survival rate, pertumbuhan berat dan panjang mutlak, laju pertumbuhan harian, dan kualitas air. Penelitian dilakukan selama 40 hari. Hasil penelitian menunjukkan bahwa adanya perbedaan yang nyata terhadap sintasan benih ikan badut.   
 Kata Kunci: survival rate, salinitas, ikan badut, pertumbuhan, media","['Lampung University', 'lampung university', 'Lampung University']",12,http://repository.lppm.unila.ac.id/id/eprint/19102,2019-12-01 00:00:00.000000000,article,"[{'name': {'given': 'M.D', 'family': 'Johan', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'Supono', 'lineage': None, 'family': 'Supono', 'honourific': None}, 'id': 'supono_unila@yahoo.com'}, {'name': {'given': 'Suparmono', 'family': 'Suparmono', 'lineage': None, 'honourific': None}, 'id': None}]","Kajian Sintasan dan Pertumbuhan Benih Ikan Badut Amphiprion percula (Bloch,1801) yang Dipelihara Pada Media Salinitas yang Berbeda",TRUE,2020-04-13 02:02:26,archive,19102,show,175-182,333,2.0,,2020-04-13 02:02:26,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32342', 'eprintid': 19102, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'full artikel.pdf', 'docid': 32342, 'files': [{'fileid': 160137, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7be07e6ae39a38645d6b6a46ae5992b6', 'hash_type': 'MD5', 'mtime': '2020-04-10 05:37:52', 'objectid': 32342, 'filesize': 688988, 'filename': 'full artikel.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/160137'}]}]",,,,,,,,,,,,,,,,
5,disk0/00/01/24/91,"Jurusan Perikanan dan Kelautan, Fakultas Pertanian",Jurnal Ilmu Perikanan dan Sumberdaya perairan,['FP3'],public,p-ISSN: 2301-816X,2019-05-14 07:53:42,7,pub,published,['SH'],"Vaname shrimp (L. vannamei)
has high economical value as an export
commodity However, there are obstacles
that cause a decline in the level of
shrimp exports in the world. One of the
obstacle is shrimp disease which is treated
using antibiotics. This method might
caused pathogenic resistance and
become a residue when consumed by
humans. A. alba fruit extracthas benefits
as natural antibacterial ingredient
that are safe to treat the shrimp which
is infected by the V. parahaemolyticus.
In this study, shrimp is infected with
Vibrio parahaemo-lyticus immersed
using A. alba with a concentration of
300 mg L-1, 350 mg L-1, and 400 mg
L-1 for 21 days plus the control treatment.
The concentration of 400 mg
L-1 showed better results compare to
other concentration on all observed parameters;
faster recovery time, higher
survival rate and relative percent survival
(RPS), also mild damage on hepatopancreas
test.","['Jurusan Perikanan dan Kelautan, UNILA', 'Jurusan Perikanan dan Kelautan, UNILA', 'Jurusan Perikanan dan Kelautan, UNILA']",VII,http://repository.lppm.unila.ac.id/id/eprint/12491,2019-11-01 00:00:00.000000000,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Mufidah', 'given': 'Dwi Arum'}}, {'name': {'honourific': None, 'family': 'Wardiyanto', 'lineage': None, 'given': 'Wardiyanto'}}, {'name': {'honourific': None, 'family': 'Diantari', 'lineage': None, 'given': 'Rara'}}]","Avicennia alba FRUIT EXTRACT AS A NATURAL
ANTIBACTERIAL TREATMENT OF Vibrio
parahaemolyticus INFECTION IN VANAME SHRIMP
(Litopenaeus vannamei Boone, 1931)",TRUE,2019-05-14 07:53:42,archive,12491,show,665-672,218,2.0,http://jurnal.fp.unila.ac.id/index.php/JPBP/index,2019-05-14 07:53:42,"[{'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'files': [{'mtime': '2019-05-10 04:48:39', 'hash_type': 'MD5', 'filename': '2890-7544-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/111034', 'filesize': 169590, 'objectid': 25479, 'hash': '9855c4fd4025acb6410bbfc9bd169538', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 111034}], 'main': '2890-7544-1-PB.pdf', 'docid': 25479, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25479', 'pos': 1, 'security': 'public', 'formatdesc': 'Journal', 'placement': 1, 'eprintid': 12491}]",,,,,,,,,,,,,,,,
6,disk0/00/01/48/21,,,['FP3'],restricted,,2019-11-04 08:23:07,12,pub,,['SH'],"Channa striata growth is very slow and the histological gonadal differentiation during juvenile is still unknown. Then, the aims were to investigate the effect of recombinant Epinephelus lanceolatus growth hormone (r-ElGH) on growth performance and gonadal differentiation in Channa striata. The r-ElG treatments were conducted in two experiments. Two weeks larvae with average initial weight 0,08 ± 0,01 g (same in both experiments) and average initial length 1,75 ± 0,18 cm and 2,30 + 0,13 cm, respectively, were treated two time/weeks for six weeks. In the first experiment, four kinds of treatments were used: one was without salinity shocked and no hormone treatments (negative control); and the others were with salinity shocked and hormone treatments (0 mg/L (positive control), 2 mg/L (P1), 20 mg/L (P2)), with three replications. While, in the second experiment, five kinds of treatments were used: one was artemia without r-ElGH, BSA and NaCl (negative control), and the others were artemia with r-ElGH, BSA and NaCl (0 mg/L (positive control), 2 mg/L (P1), 4 mg/L(P2), and 6 mg/L(P3)), with three replications. Sampling was performed monthly between 1 and 5 months for the analyses of growth parameter by measuring body length and weight, and the onset of histological gonadal differentiation by light microscopic histology. The results showed that specific growth rate was significance increase while feed efficiency was significance decrease compared to control negative groups in both experiments. Based on histological examination, the first sign on female sex differentiation was observed at 6 weeks old and was found that 35-36% of gonad have been differentiated as females in five months.  In resume, both experiments of the r-ElGH show that the growth were due to a specific action of r-ElGH and gonadal differentiation was not affected.",,,http://repository.lppm.unila.ac.id/id/eprint/14821,2019-10-04 00:00:00.000000000,conference_item,"[{'name': {'family': 'Munti', 'lineage': None, 'honourific': None, 'given': 'Sarida'}, 'id': 'munti.sarida@fp.unila.ac.id'}, {'id': 'azkhadwivahira@gmail.com', 'name': {'given': 'Azkha Dwi', 'family': 'Vahira', 'lineage': None, 'honourific': None}}, {'id': 'agungharits@gmail.com', 'name': {'given': 'Agung Harits', 'lineage': None, 'family': 'Riadin', 'honourific': None}}, {'id': 'deny.utomo@fp.unila.ac.id', 'name': {'given': 'Deny Sapto Chondro', 'lineage': None, 'family': 'Utomo', 'honourific': None}}, {'id': 'dwi.mulyasih29@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Mulyasih', 'given': 'Dwi'}}, {'id': 'wawan.a.setiawan@gmail.com', 'name': {'given': 'Wawan Setiawan', 'lineage': None, 'family': 'Abdullah', 'honourific': None}}]","SPECIFIC GROWTH RATE, FEED EFFICIENCY AND OVARIAN HISTOLOGICAL OBSERVATIONS OF JUVENILE Channa striata TREATED BY RECOMBINANT GROWTH HORMONE",FALSE,2019-11-04 08:23:07,archive,14821,show,,234,,,2019-11-04 08:23:07,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/27947', 'pos': 1, 'formatdesc': 'SPECIFIC GROWTH RATE, FEED EFFICIENCY AND OVARIAN HISTOLOGICAL OBSERVATIONS OF JUVENILE Channa striata TREATED BY RECOMBINANT GROWTH HORMONE', 'security': 'staffonly', 'placement': 1, 'eprintid': 14821, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'presentation', 'main': 'Sarida et al., 2019.pdf', 'files': [{'datasetid': 'document', 'fileid': 128098, 'mime_type': 'application/pdf', 'hash': '20bc4abd54ab8d4c1b96f7209e3eaab3', 'hash_type': 'MD5', 'mtime': '2019-10-31 01:48:39', 'objectid': 27947, 'filesize': 796259, 'uri': 'http://repository.lppm.unila.ac.id/id/file/128098', 'filename': 'Sarida et al., 2019.pdf'}], 'docid': 27947, 'format': 'slideshow'}, {'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash': 'cd1b98126972e66b39b34da77d378d5b', 'mime_type': 'application/pdf', 'fileid': 129047, 'datasetid': 'document', 'mtime': '2019-11-01 23:39:20', 'hash_type': 'MD5', 'filename': 'Seminar International MS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/129047', 'objectid': 28092, 'filesize': 2696700}], 'main': 'Seminar International MS.pdf', 'docid': 28092, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28092', 'eprintid': 14821, 'placement': 2}]",,,speech,3-5 Oktober 2019,Surabaya,munti.sarida@fp.unila.ac.id,9th International Conference o Aquaculture 2019,['Hibah Unggulan'],conference,['LPPM Unila'],,,,,,
7,disk0/00/01/75/52,"Jurusan Budidaya Perairan, Fakultas Pertanian Universitas Lampung",E-JURNAL REKAYASA DAN TEKNOLOGI BUDIDAYA PERAIRAN,['FP3'],public,2302-3600,2020-02-17 03:50:22,6,pub,published,['SH'],"Anesthetic method is an important component to support the activities of transporting live fish from one place to another for a long period of time. Cost efficiency and effectiveness of anesthetic ingredients that not cause residues in fish are factors to beconsidered as an anesthetic. Aim of this research is to study the effect of subletal concentration of amethyst leaf extract on the hematological conditions of tilapia fry after transporting on wet transportation systems. The research procedure was through the amethyst leaf extract toxicity test series (LC50 96 hours) todetermine its sublethal concentration by 20% (0,297ml/l),30%(0,445ml/l) and 40% (0,594ml/l) of the LC50 value. The measured parameters are clinical symptoms, period of fainting and conscious recovery, hematological analysis, survival rate, and water quality. The results showed the concentration of amethyst leaf extract had an effect (P<0,05) on the period of fainting and the hematological component after transportation simulation. Results of water quality measurement showed the parameters of pH at 6 and ammonia 0,04 mg/l are not at the optimum value when fish transportation occur. The recommended concentration of amethyst leaf extract for use as an anesthetic agent is 0,445 ml/l.",,8,http://repository.lppm.unila.ac.id/id/eprint/17552,2019-10-01 00:00:00.000000000,article,"[{'id': 'revitaspalmi@gmail.com', 'name': {'given': 'Revita Syefti', 'honourific': None, 'lineage': None, 'family': 'Palmi'}}, {'id': 'indra.yudha@fp.unila.ac.id', 'name': {'given': 'Indra Gumay', 'family': 'Yudha', 'lineage': None, 'honourific': None}}, {'id': 'wardiyanto.1969@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Wardiyanto', 'honourific': None, 'given': 'Wardiyanto'}}]","The effects of amethyst Datura metel (linn, 1753) leaves extract as an anesthetic agent on haematological condition of tilapia Oreochromis niloticus (Linn, 1758) fry",TRUE,2020-02-17 03:50:22,archive,17552,show,897-908,509,1.0,https://jurnal.fp.unila.ac.id/index.php/bdpi,2020-02-17 03:50:22,"[{'main': 'Revita Syefti Palmi (Vol 8 no 1 Okt 2019).pdf', 'docid': 30681, 'files': [{'hash': '2b6ea3bbc3b95b27e2f83e1b5a47cc22', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 148330, 'filename': 'Revita Syefti Palmi (Vol 8 no 1 Okt 2019).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148330', 'objectid': 30681, 'filesize': 251150, 'mtime': '2020-01-13 04:08:56', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 17552, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30681', 'security': 'public'}]",,,,,,,,,,,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/bdpi/article/view/3611/2694'}],,,,,
8,disk0/00/01/75/51,"Jurusan Budidaya Perairan, Fakultas Pertanian Universitas Lampung",E-JURNAL REKAYASA DAN TEKNOLOGI BUDIDAYA PERAIRAN,['FP3'],public,2302-3600,2020-02-17 03:50:20,7,pub,published,['SH'],"Tiger barb (Puntigrus tetrazona) is one of the ornamental freshwater fish which has unique body shape and color compare to another ornamental fish. Fish color quality is caused by chromatophore pigmen cells in the epidermis layer. Increasing of color quality in fish can be reach through the addition of indigofera leaf meal that contain carotenoid. The aim of this research to study the effect of the addition meal of Indigofera zollingeriana leaf on colour quality and growth of the tiger barb. The experimental design used a completely randomized design with 5 treatments i.e 0%, 5%, 10%, 15%, 20% of I. zollingeriana meal added in fish feed. The results showed that the addition of I. zollingeriana meals could increase tiger barb color quality. The addition of 15% I. zollingeriana meal was the best treatment.",,7,http://repository.lppm.unila.ac.id/id/eprint/17551,2019-02-01 00:00:00.000000000,article,"[{'id': 'rizkienggi@gmail.com', 'name': {'honourific': None, 'family': 'Pratama', 'lineage': None, 'given': 'Enggi Rizki'}}, {'id': 'berta.putri@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Putri', 'honourific': None, 'given': 'Berta'}}, {'id': None, 'name': {'given': 'Luki', 'lineage': None, 'family': 'Abdullah', 'honourific': None}}, {'name': {'given': 'Indra Gumay', 'family': 'Yudha', 'lineage': None, 'honourific': None}, 'id': 'indra.yudha@fp.unila.ac.id'}, {'id': 'dwi.mulyasih29@gmail.com', 'name': {'family': 'Mulyasih', 'lineage': None, 'honourific': None, 'given': 'Dwi'}}]","PENAMBAHAN TEPUNG PUCUK Indigofera zollingeriana (Miquel, 1855) DALAM PAKAN UNTUK MENINGKATKAN KUALITAS WARNA IKAN SUMATRA Puntigrus tetrazone (Bleeker, 1855)",TRUE,2020-02-17 03:50:20,archive,17551,show,889-895,509,2.0,https://jurnal.fp.unila.ac.id/index.php/bdpi,2020-02-17 03:50:20,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30680', 'security': 'public', 'placement': 1, 'eprintid': 17551, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Enggi Rizki Pratama (Vol 7 no 2 Feb 2019).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-01-13 03:55:17', 'filesize': 430061, 'objectid': 30680, 'filename': 'Enggi Rizki Pratama (Vol 7 no 2 Feb 2019).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148319', 'datasetid': 'document', 'fileid': 148319, 'hash': '2aa1c82900c2e32a4c1e8d1f04e024c0', 'mime_type': 'application/pdf'}], 'docid': 30680, 'format': 'text'}]",,,,,,,,,,,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/bdpi/article/view/3578/2665'}],,,,,
9,disk0/00/01/75/49,"Jurusan Budidaya Perairan, Fakultas Pertanian Universitas Lampung",E-JURNAL REKAYASA DAN TEKNOLOGI BUDIDAYA PERAIRAN,['FP3'],public,2302-3600,2020-02-17 03:50:16,6,pub,published,['SH'],"Eel is one of the fisheries commodity that have not been rearing widelyin Indonesia. Constraint that occured in rearing eel is slow growth. A way to accelerate eel growth isfeeding with enrichment by using an amino acids. An amino acids can be used directly by eel for cell growth and the formation of body tissue. An amino acid that is used from the stingrays are not utilized by people  because it has no economic value to production activities. This research was aimed to study the growth rate of eel whichis fed with enrichment of an amino acids derived from stingray extract. The method in this research used completely randomized design (CRD) with 3 treatments and 3 replications. The measure of eel that usedare 26-28 cm, the average weight is 28 grams and an amino acids dosage that used are 0 ml, 0.5 ml and 1 ml. It use FR 3% which is given at night to support the characteristic of eel that is nocturnal (active at night). The analyze result from the parameters that observed, there was not a significant effect (P> 0.05) and the fed with enrichment by using an amino acids with the dosage used hadn't be able to be utilized as fish feed mixture to increase growth rate.",,7,http://repository.lppm.unila.ac.id/id/eprint/17549,2019-02-01 00:00:00.000000000,article,"[{'id': 'rickyhadip@gmail.com', 'name': {'given': 'Ricky Hadi', 'honourific': None, 'family': 'Pratama', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Tarsim', 'lineage': None, 'given': 'Tarsim'}, 'id': 'tarsimlampung@gmail.com'}, {'name': {'given': 'Indra Gumay', 'lineage': None, 'family': 'Yudha', 'honourific': None}, 'id': 'indra.yudha@fp.unila.ac.id'}]","EFEKTIFITAS PENAMBAHAN ASAM AMINO PADA PAKAN UNTUK PERTUMBUHAN IKAN SIDAT, Anguilla bicolor (McCelland, 1844)",TRUE,2020-02-17 03:50:16,archive,17549,show,835-843,509,2.0,https://jurnal.fp.unila.ac.id/index.php/bdpi,2020-02-17 03:50:16,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Ricky Hadi Pratama (vol  7 no2_Feb 2019).pdf', 'docid': 30677, 'files': [{'datasetid': 'document', 'fileid': 148308, 'mime_type': 'application/pdf', 'hash': 'f03c955f81237758ea1d90ad32857a1e', 'objectid': 30677, 'filesize': 178507, 'uri': 'http://repository.lppm.unila.ac.id/id/file/148308', 'filename': 'Ricky Hadi Pratama (vol  7 no2_Feb 2019).pdf', 'hash_type': 'MD5', 'mtime': '2020-01-13 03:42:59'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30677', 'security': 'public', 'placement': 1, 'eprintid': 17549}]",,,,,,,,,,,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/bdpi/article/view/3571/2659'}],,,,,
