,divisions,publisher,dir,rev_number,ispublished,full_text_status,status_changed,date_type,subjects,date,uri,abstract,corp_creators,title,type,creators,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,documents,contributors,userid,related_url,issn,refereed,pagerange,id_number,official_url,number,publication,volume,contact_email,succeeds,pres_type,event_type,event_title,event_location
0,['FP3'],Fakultas Pertanian Unila,disk0/00/03/91/55,8,pub,public,2022-02-13 07:33:24,published,['QH301'],2021-12-29 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/39155,"Penilaian Peer Review Jurnal ""Kajian Pemanfaatan Hipofisa dari Limbah Kepala Patin dalam Peningkatan Performa Pemijahan Ikan Lele Mutiara (Clarias gariepinus)""",['Universitas Lampung'],"Penilaian Peer Review Jurnal ""Kajian Pemanfaatan Hipofisa dari Limbah Kepala Patin dalam Peningkatan Performa Pemijahan Ikan Lele Mutiara (Clarias gariepinus)""",other,"[{'name': {'honourific': None, 'family': 'Elisdiana', 'lineage': None, 'given': 'Yeni'}, 'id': 'yeni.elisdiana@fp.unila.ac.id'}]",show,2022-02-13 07:33:24,archive,39155,2022-02-13 07:33:24,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 441299, 'datasetid': 'document', 'hash': 'f6feec2931325f632144d997cc58d08d', 'mime_type': 'application/pdf', 'filesize': 322498, 'objectid': 160447, 'filename': 'Penilaian Peer Review dan Rekapitulasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/441299', 'hash_type': 'MD5', 'mtime': '2022-02-11 11:41:55'}], 'main': 'Penilaian Peer Review dan Rekapitulasi.pdf', 'docid': 160447, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160447', 'security': 'public', 'placement': 1, 'eprintid': 39155}]",[{'type': 'http://www.loc.gov/loc.terms/relators/CRE'}],1236,,,,,,,,,,,,,,,
1,['FP3'],Jurusan Perikanan dan Kelautan FP Unila,disk0/00/03/45/54,10,pub,public,2021-10-19 01:20:50,published,['SH'],2021-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/34554,"One of the problems in North African Catfish (Clarias gariepinus) breeding
is the inability to spawn spontaneously due to a specific spawning season. This
happens due to reproductive dysfunction resulting in a slow development of gonads
in catfish broodstock. This research aimed to study the effect of injection of pituitary
gland extract from Striped Catfish head waste on the spawning performance of
North Africans Catfish. This study used a completely randomized design (CRD)
with 4 treatments and 3 replications. The treatments were A (pituitary gland 0
mg/kg broodstock), B (pituitary gland 200 mg/kg broodstock), C (pituitary gland
300 mg/kg broodstock), and D (pituitary gland 400 mg/kg broodstock). The
spawning process was performed with a ratio of 1:1 between male and female
broodstock. The pituitary gland was injected into the head of female catfish at 07:30
pm and at 04:00 am. The research parameters observed were relative fecundity,
fertilization rate (FR), hatching rate (HR), and survival rate (SR). The results
showed that injection of the pituitary gland from Striped Catfish head waste could
increase spawning performance with relative fecundity reaching of 31,357±12,265
eggs/ kg of female broodstock, FR 65±4%, HR 74±14%, and SR 81±10%.
Therefore, hypophysation by utilizing Striped Catfish head waste is effectively
increases the spawning performance of North African Catfish (Clarias gariepinus)
seen from the high values of relative fecundity, FR, HR, and SR of larvae in
treatment B (200 mg/kg broodstock).

Keywords: North African Catfish, Hypophysation, Pituitary gland, Catfish head
waste","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","STUDY OF PITUITARY GLAND EXTRACT UTILIZATION FROM 
STRIPED CATFISH WASTE FOR REPRODUCTION PERFORMANCE
IMPROVEMENT OF NORTH AFRICAN CATFISH (Clarias gariepinus)",article,"[{'id': 'yeni.elisdiana@fp.unila.ac.id', 'name': {'given': 'Yeni', 'honourific': None, 'lineage': None, 'family': 'Elisdiana'}}, {'id': None, 'name': {'family': 'Aquardo', 'lineage': None, 'honourific': None, 'given': 'Dio Vinski'}}, {'id': 'munti.sarida@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Sarida', 'honourific': None, 'given': 'Munti'}}, {'name': {'lineage': None, 'family': 'Hudaidah', 'honourific': None, 'given': 'Siti'}, 'id': 'siti.hudaidah@fp.unila.ac.id'}, {'name': {'given': 'Oktora', 'honourific': None, 'lineage': None, 'family': 'Susanti'}, 'id': 'oktora.susanti@fp.unila.ac.id, oktorasusanti@gmail.com'}, {'id': 'maulid.wahid@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Yusuf', 'lineage': None, 'given': 'Maulid Wahid'}}]",show,2021-10-19 01:20:50,archive,34554,2021-10-19 01:20:50,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Jurnal Dio STUDY OF PITUITARY GLAND EXTRACT UTILIZATION FROM.pdf', 'files': [{'filename': 'Jurnal Dio STUDY OF PITUITARY GLAND EXTRACT UTILIZATION FROM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406276', 'filesize': 299303, 'objectid': 155095, 'mtime': '2021-10-18 10:48:23', 'hash_type': 'MD5', 'hash': 'e489feaeea65ee0be27c295761302242', 'mime_type': 'application/pdf', 'fileid': 406276, 'datasetid': 'document'}], 'docid': 155095, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155095', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 34554}]",,1236,"[{'url': 'http://jurnal.fp.unila.ac.id/index.php/bdpi/index', 'type': 'pub'}]",2302-3600,TRUE,1109-1115,10.23960/jrtbp.v9i2.p1109-1116,http://jurnal.fp.unila.ac.id/index.php/bdpi/article/view/5367,2.0,STUDY OF PITUITARY GLAND EXTRACT UTILIZATION FROM STRIPED CATFISH WASTE FOR REPRODUCTION PERFORMANCE IMPROVEMENT OF NORTH AFRICAN CATFISH (CLARIAS GARIEPINUS),9.0,yeni.elisdiama@fp.unila.ac.id,,,,,
2,['FP3'],Universitas Sriwijaya,disk0/00/03/68/80,6,pub,public,2021-11-15 10:33:57,published,['SF'],1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/36880,"The problem in Mutiara strain of North African catfish Clarias gariepinus
culture is that the production of both larvae and seeds is still inhibited by the seasonal 
reproductive cycle where the catfish only spawn once during the spawning season. The 
purposes of this study were to evaluate the effect of administration of oodev and
estradiol-17ß on the maturity process and to determine the best doses in accelerating the 
maturion of female Mutiara strain. This study used a Completely Randomized Design 
with 5 treatments and 3 individual replications. The treatments were combination 
between dose Oodev (PMSG and Anti-Dopamine) and dose Estradiol-17ß in feed (both 
doses in ml/kg feed):A(0+0), B(0.5+0), C(0+0.6), D(0.5+0,6), E(1+1). The results of 
this study showed that the administration of Oodev and Estradiol-17ß significant affect 
on gonadal maturity index about 82.21% compared to control and acclerating 
maturation of female mutiara strain with doses the best is the treatment E (oodev 1
ml/kg feed+estradiol-17ß 1 ml/kg feed).",,"MATURASI LELE MUTIARA Clarias gariepinus BETINA MELALUI 
PENAMBAHAN HORMON OODEV DAN ESTRADIOL-17ß PADA PAKAN",article,"[{'name': {'given': 'Oktavia Rugus Ayu', 'family': 'Enditha', 'lineage': None, 'honourific': None}, 'id': 'oktaviaenditha26@gmail.com'}, {'name': {'family': 'Utomo', 'lineage': None, 'honourific': None, 'given': 'Deny Sapto Chondro'}, 'id': 'deny.utomo@fp.unila.ac.id'}, {'id': 'munti.sarida@fp.unila.ac.id', 'name': {'given': 'Munti', 'family': 'Sarida', 'lineage': None, 'honourific': None}}]",show,2021-11-15 10:33:57,archive,36880,2021-11-15 10:33:57,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 157797, 'main': '13075-38766-1-PB.pdf', 'files': [{'mtime': '2021-11-15 07:19:32', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/423844', 'filename': '13075-38766-1-PB.pdf', 'objectid': 157797, 'filesize': 908195, 'hash': 'f9900db83fbc428f1f2656efff590b14', 'mime_type': 'application/pdf', 'fileid': 423844, 'datasetid': 'document'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157797', 'eprintid': 36880, 'placement': 1}]",,234,[{'url': 'http://dx.doi.org/10.36706/jari.v9i1.13075'}],23032960,TRUE,30-40,,https://ejournal.unsri.ac.id/index.php/jari/index,1.0,Jurnal Akuakultur Rawa Indonesia,9.0,,,,,,
3,['FP3'],Universitas Sriwijaya,disk0/00/03/55/16,7,pub,public,2021-11-08 10:12:31,published,['SH'],2021-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/35516,"Masalah dalam budidaya lele adalah masih terhambatya produksi larva dan benih lele yang disebabkan oleh siklus reproduksi secara musima serta spesies lele masuk dalam kelompok ikan yang pemijahan satu kali dalam musim. Tujuan dari penelitian ini untuk mempelajari pengaruh pemberian oodev dan estradiol-17ß terhadap kematangan gonad ikan lele mutiara (Clarias gariepinus) betina dan menentukan dosis terbaik pada kematangan gonad ikan lele mutiara (Clarias gariepinus) betina. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) yang terdiri dari 5 perlakuan dan 3 ulangan individu. Perlakuan terdiri dari (oodev + estradiol-17ß ml/kg pakan) : (0+0, A), (0,5+0, B), (0+0,6, C), (0,5+0,6, D), (1+1, E). Hasil penelitian ini menunjukkan bahwa pemberian hormon oodev dan estradiol-17ß dapat meningkatkan TKG dan IKG dibandingkan kontrol dan dosis yang terbaik untuk mempercepat kematangan gonad ikan lele mutiara adalah pemberian kombinasi oodev 1 ml/kg pakan + estradiol-17ß 1 ml/kg pakan.",,MATURASI LELE MUTIARA Clarias gariepinus BETINA MELALUI PENAMBAHAN HORMON OODEV DAN ESTRADIOL-17ß PADA PAKAN,article,"[{'name': {'given': 'Oktavia Rugus Ayu', 'honourific': None, 'family': 'Enditha', 'lineage': None}, 'id': None}, {'name': {'family': 'Utomo', 'lineage': None, 'honourific': None, 'given': 'Deny Sapto Chondro'}, 'id': 'deny.utomo@fp.unila.ac.id'}, {'id': 'munti.sarida@fp.unila.ac.id', 'name': {'given': 'Munti', 'honourific': None, 'family': 'Sarida', 'lineage': None}}]",show,2021-11-08 10:12:31,archive,35516,2021-11-08 10:12:31,"[{'main': '13075-38766-1-PB.pdf', 'docid': 156389, 'files': [{'mime_type': 'application/pdf', 'hash': 'f9900db83fbc428f1f2656efff590b14', 'datasetid': 'document', 'fileid': 413797, 'uri': 'http://repository.lppm.unila.ac.id/id/file/413797', 'filename': '13075-38766-1-PB.pdf', 'objectid': 156389, 'filesize': 908195, 'mtime': '2021-11-08 08:28:04', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 3, 'content': 'published', 'placement': 1, 'eprintid': 35516, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156389', 'pos': 1, 'security': 'public'}]",,1193,,ISSN : 2303-2960,TRUE,30-40,https://doi.org/10.36706/jari.v9i1.13075,https://ejournal.unsri.ac.id/index.php/jari/article/view/13075,1.0,"Jurnal Akuakultur Rawa Indonesia,",9.0,,,,,,
4,['FP3'],Universitas Sriwijaya,disk0/00/03/68/79,6,pub,public,2021-11-15 10:33:54,published,['SF'],1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/36879,"Some problems in catfish culture are the spawning circle, female catfish begin to mature 
gonad at 10 months, and after 1,5 months can spawn again. The purpose of this study was 
to evaluate the process of accelerating maturation female mutiara catfish with the addition 
Estradiol-17β by oral treatments. The study was design used 3 treatments : 0 ml/kg feed, 
0,4 ml/kg feed, 0,6 ml/kg feed with three individual replications. The result showed that 
the addition of Estradiol-17β significantly affected on reproductive performance : Gonado 
Somatic Index (GSI) 102,3% and eggs diameter 16,4% in female mutiara catfish 
compared with 0 ml/kg feed.",,"MATURASI IKAN LELE MUTIARA Clarias gariepinus BETINA DENGAN 
ESTRADIOL-17β MELALUI PAKAN",article,"[{'id': 'risafebriyanti99@gmail.com', 'name': {'given': 'Risa', 'honourific': None, 'lineage': None, 'family': 'Febriyanti'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Utomo', 'given': 'Deny Sapto Chondro'}, 'id': 'deny.utomo@fp.unila.ac.id'}, {'id': 'munti.sarida@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Sarida', 'honourific': None, 'given': 'Munti'}}]",show,2021-11-15 10:33:54,archive,36879,2021-11-15 10:33:54,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 1189286, 'objectid': 157796, 'uri': 'http://repository.lppm.unila.ac.id/id/file/423836', 'filename': '13963-38831-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-15 07:03:25', 'datasetid': 'document', 'fileid': 423836, 'mime_type': 'application/pdf', 'hash': 'd39e31fdc979aa367dacd8976c13e885'}], 'main': '13963-38831-1-PB.pdf', 'docid': 157796, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157796', 'security': 'public', 'placement': 1, 'eprintid': 36879}]",,234,"[{'type': 'pub', 'url': 'https://doi.org/10.36706/jari.v9i1.13963'}]",23032960,TRUE,73-85,,https://ejournal.unsri.ac.id/index.php/jari/index,1.0,Jurnal Akuakultur Rawa Indonesia,9.0,,,,,,
5,['FP3'],Universitas Sriwijaya,disk0/00/03/55/14,10,pub,public,2021-11-08 08:28:26,published,['SH'],2021-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/35514,"Beberapa permasalahan dalam budidaya lele adalah siklus pemijahannya, lele Mutiara betina mulai matang gonad pada saat mencapai umur 10 bulan dan setelah 1,5 bulan baru dapat memijah kembali. Tujuan dari penelitian ini adalah untuk mengevaluasi proses percepatan maturasi pada lele mutiara betina dengan penambahan hormon Estradiol-17ß melalui pakan. Rancangan penelitian menggunakan tiga perlakuan : 0 ml/kg pakan, 0,4 ml/kg pakan, 0,6 ml/kg pakan dengan tiga ulangan individu. Hasil penelitian menunjukan bahwa penambahan Estradiol-17ß berpengaruh nyata terhadap performa reproduksi : Indeks Kematangan Gonad (IKG) 102,3% dan diameter telur 16,4% pada lele mutiara dibandingkan dengan perlakuan 0 ml/kg pakan.",,MATURASI IKAN LELE MUTIARA Clarias gariepinus BETINA DENGAN ESTRADIOL-17β MELALUI PAKAN,article,"[{'name': {'given': 'Risa', 'family': 'Febriyanti', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Utomo', 'lineage': None, 'given': 'Deny Sapto Chondro'}, 'id': 'deny.utomo@fp.unila.ac.id'}, {'id': 'munti.sarida@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Sarida', 'given': 'Munti'}}]",show,2021-11-08 08:28:26,archive,35514,2021-11-08 08:28:26,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/156388', 'pos': 2, 'eprintid': 35514, 'placement': 2, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3, 'format': 'text', 'main': '13963-38831-1-PB.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'd39e31fdc979aa367dacd8976c13e885', 'fileid': 413781, 'datasetid': 'document', 'mtime': '2021-11-08 08:21:33', 'hash_type': 'MD5', 'filename': '13963-38831-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/413781', 'objectid': 156388, 'filesize': 1189286}], 'docid': 156388}]",,1193,,ISSN : 2303-2960,TRUE,73-85,https://doi.org/10.36706/jari.v9i1.13963,https://ejournal.unsri.ac.id/index.php/jari/article/view/13963/6255,1.0,"Jurnal Akuakultur Rawa Indonesia,",9.0,,,,,,
6,['FP3'],"Journal of The European Academy of Science and Arts, Salzburg, Austria",disk0/00/03/37/23,6,pub,public,2021-08-30 00:58:34,published,['SH'],2021-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/33723,"Cantrang is a section of seine nets which has been banned in all regions of Indonesia. However, this policy can stir to pros and cons due to implementation. The purpose of this study is to analyze the success of the stage and the effectiveness of policy implementation on cantrang prohibition in Lampung Bay, Indonesia. Data were collected by interview, observation, and documentation studies, next the policy implementation was reviewed by the mar-keting policy studies then for further analyze was using ambiguity-conflict matrix. The result of this research shows the unsuccessful of the policy marketing on implementing cantrang prohibition policy from policy ac-ceptance side and policy adoption, also on readiness strategy side is failed. Fisher community do not fulfil the policy and not become a part of it, hesitancy of local government as an executor of the policy, vertical conflict between fisherman and government. The analysis of ambiguity-conflict matrix gives the choice of effectiveness politic model implementation and experimentation, replace the administrative policy implementation. Effective but non-destructive fishing gear can be encouraged to be developed by the government through studies that in-volving all stakeholders including fisherman and academics. The government is also expected to replace the pro-hibition policy with a regulatory policy on the cantrang construction and capture area arrangement. In addition, the government is expected to create legal certainty in the field, so it may minimize the fisherman's conflicts and opposition to cantrang prohibition policies.
Key words: fishing gear, IUU fishing, Lampung Bay, policy implementation, cantrang",,"Cantrang: A Dilemma in Policy Implementation
(Case in Lampung Bay, Indonesia)",article,"[{'name': {'honourific': None, 'family': 'Febryano', 'lineage': None, 'given': 'Indra Gumay'}, 'id': 'indragumay@yahoo.com'}, {'id': 'supono_unila@yahoo.com', 'name': {'family': 'Supono', 'lineage': None, 'honourific': None, 'given': 'Supono'}}, {'name': {'given': 'Debi', 'honourific': None, 'family': 'Hardian', 'lineage': None}, 'id': 'debihardian2@gmail.com'}, {'id': None, 'name': {'lineage': None, 'family': 'Damai', 'honourific': None, 'given': 'Abdullah Aman'}}]",show,2021-08-30 00:58:34,archive,33723,2021-08-30 00:58:34,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'cantrang.pdf', 'files': [{'datasetid': 'document', 'fileid': 399458, 'mime_type': 'application/pdf', 'hash': '2f3f9229322068d156c1ffb56a0b3185', 'objectid': 153947, 'filesize': 3541130, 'uri': 'http://repository.lppm.unila.ac.id/id/file/399458', 'filename': 'cantrang.pdf', 'hash_type': 'MD5', 'mtime': '2021-08-29 14:54:07'}], 'docid': 153947, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153947', 'security': 'public', 'placement': 1, 'eprintid': 33723}]",,333,,2080-1971,TRUE,133-142,10.35784/pe.2021.1.14,https://ekorozwoj.pollub.pl/,1.0,PROBLEMY EKOROZWOJU – PROBLEMS OF SUSTAINABLE DEVELOPMENT,16.0,,,,,,
7,['FP3'],"Journal of The European Academy of Science and Arts, Salzburg, Austria",disk0/00/03/41/64,8,pub,public,2021-09-27 01:01:34,published,['SH'],1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/34164,Hasil Review,,"Cantrang: A Dilemma in Policy Implementation  Case in Lampung Bay, Indonesia)",other,"[{'name': {'given': 'Indra Gumay', 'honourific': None, 'lineage': None, 'family': 'Febyano'}, 'id': None}, {'name': {'lineage': None, 'family': 'Supono', 'honourific': None, 'given': 'Supono'}, 'id': 'supono_unila@yahoo.com'}, {'name': {'given': 'Abdullah Aman', 'honourific': None, 'family': 'Damai', 'lineage': None}, 'id': None}, {'name': {'given': 'Novita', 'family': 'Tresiana', 'lineage': None, 'honourific': None}, 'id': 'novita.tresiana@fisip.unila.ac.id'}, {'id': 'debihardian2@gmail.com', 'name': {'given': 'Debi', 'family': 'Hardian', 'lineage': None, 'honourific': None}}]",show,2021-09-27 01:01:34,archive,34164,2021-09-27 01:01:34,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 154662, 'main': '1. Cantrang.pdf', 'files': [{'hash': '4b6d68993061ed63bb53c67e46d4168b', 'mime_type': 'application/pdf', 'fileid': 403035, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/403035', 'filename': '1. Cantrang.pdf', 'filesize': 720892, 'objectid': 154662, 'mtime': '2021-09-26 04:32:56', 'hash_type': 'MD5'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154662', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 34164}]",,333,,,,,,,,,,,,,,,
8,['FP3'],"Jurusan Akuakultur, Universitas Bangka Belitung",disk0/00/03/32/27,7,pub,public,2021-07-14 03:49:35,published,"['QR', 'SH']",1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/33227,"Catfish is one of leading fishery commodity in Indonesia that nowadays is using intensive technology. One of the problems in cultivating catfish is the invasion of bacteria Aeromonas hyprophila which can cause Motile Aetomonas Septicemia disease. Information regarding the antibacterial activity of shell and rubber seed extract on Aeromonas hydrophila is not yet known. Therefore it is necessary to do a research about the antibacterial activities of the shell and rubber seed extract against the pathogenic bacteria, Aeromonas hydrophila. This research method was sample preparation, extraction, phytochemical test, preparation of bacterial suspension, antibacterial test with agar diffusion method, minimum inhibitory concentration test. The result shows that the rubber seed shell extract contains antibacterial compounds such as saponin, terpenoids and flavonoids. While the rubber seed extract contains terpenoid and flavonoid compounds. The shell and rubber seed extract at a concentration of 0.5-4 mg/mL showed very weak inhibition.

Keywords: Rubber seed, Rubber seed shell, Antibacterial, Aeromonas hydrophila",,IN VITRO TEST OF ANTIBACTERIAL ACTIVITY OF SHELL AND RUBBER SEED EXTRACTS AGAINST Aeromonas hydrophila,article,"[{'name': {'honourific': None, 'family': 'Fidyandini', 'lineage': None, 'given': 'Hilma Putri'}, 'id': 'hilma.putri@fp.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Silviana', 'given': 'Lisa'}}]",show,2021-07-14 03:49:35,archive,33227,2021-07-14 03:49:35,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'UJI IN VITRO AKTIVITAS ANTIBAKTERI EKSTRAK CANGKANG BIJI KARET DAN BIJI KARET TERHADAP Aeromonas hydrophila (2).pdf', 'files': [{'hash': '2187417448c0c2d8537213aaf2b487cc', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 393621, 'filename': 'UJI IN VITRO AKTIVITAS ANTIBAKTERI EKSTRAK CANGKANG BIJI KARET DAN BIJI KARET TERHADAP Aeromonas hydrophila (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/393621', 'objectid': 151731, 'filesize': 578143, 'mtime': '2021-07-13 09:44:05', 'hash_type': 'MD5'}], 'docid': 151731, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/151731', 'security': 'public', 'placement': 1, 'eprintid': 33227}]",,3281,,2407-3601,TRUE,8-12,https://doi.org/10.33019/aquatropica.v6i1.2459,https://journal.ubb.ac.id/index.php/aquatropica/article/view/2459,1.0,Journal of Aquatropica Asia,6.0,,,,,,
9,['FP3'],"Jurusan Akuakultur, Universitas Bangka Belitung",disk0/00/03/56/24,7,pub,public,2021-11-09 04:18:08,published,['SH'],2021-07-09 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/35624,"kan   kakap   putih   merupakan   ikan   yang   memiliki   nilai   ekonomis   tinggi   namundalam   menunjang pertumbuhan  yang  baikketersedianpakandalam  budidaya  belum  cukup.Penelitian  ini  bertujuan  untuk mengetahui  dosis  asam  amino  lisin  terbaik  dalam  pakan  formulasi  bagi  pertumbuhan  ikan  kakap  putih (Lates  calcarifer)  pada  fase  pembesaran.  Rancangan  penelitian  menggunakan  tiga  perlakuan  dan  tiga ulangan   dengan   metode   rancangan   acak   lengkap   (RAL) yaitu   kontrol   pakan   formulasi   dengan penambahan  lisin  0%,  P1  pakan  formulasi  dengan  penambahan  lisin  0,2%,  dan  P2  pakan  formulasi dengan  lisin  0,4%.  Ikan  uji  yang  digunakan  adalah  ikan  kakap  putih  dengan  berat  rata-rata  90  g.  Ikan dipelihara  pada  bak  fiberbervolume  2  m3 dengan  pada  tebar  6  ekor/m3.  Hasil  penelitian  menunjukkan pemberian pakan formulasi P2 berpengaruh nyata terhadap pertumbuhan bobot mutlak, panjang mutlak, laju  pertumbuhan  harian, rasio  koversi  pakan, retensi protein  namun  tidak  berpengaruh  nyata  pada tingkat  kelangsungan  hidup  dan retensi  asam  amino  lisin.  Pakan  P2  (pakan  formulasi  dengan  lisin  0,4%) dapat digunakan untuk mendukung pertumbuhan ikan kakap putih.

Kata Kunci: Lates calcarifer, Pertumbuhan, Pembesaran, Lisin",,PEFORMA PERTUMBUHAN IKAN KAKAP PUTIH (Lates calcarifer) PADA FASE PEMBESARAN YANG DIBERI PAKAN DENGAN PENAMBAHAN LISIN BERBEDA,article,"[{'name': {'given': 'Dina Nur', 'lineage': None, 'family': 'Imani', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Santoso', 'given': 'Limin'}, 'id': 'limin.sentiko@gmail.com'}, {'id': None, 'name': {'given': 'Supriya', 'lineage': None, 'family': 'Supriya', 'honourific': None}}]",show,2021-11-09 04:18:08,archive,35624,2021-11-09 04:18:08,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156521', 'security': 'public', 'placement': 1, 'eprintid': 35624, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 156521, 'main': 'JAA Dina Nur Imani dkk.pdf', 'files': [{'datasetid': 'document', 'fileid': 414701, 'hash': 'e5a74617b9371935f5f2c1489eb6bfdb', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-11-09 03:38:03', 'objectid': 156521, 'filesize': 522484, 'uri': 'http://repository.lppm.unila.ac.id/id/file/414701', 'filename': 'JAA Dina Nur Imani dkk.pdf'}], 'format': 'text'}]",,651,[{'url': 'https://journal.ubb.ac.id/index.php/aquatropica/article/view/2467/1514'}],2721-7574,TRUE,13-20,https://doi.org/10.33019/aquatropica.v6i1.2467,https://journal.ubb.ac.id/index.php/aquatropica,1.0,Journal of Aquatropica Asia,6.0,,,,,,
