,pagerange,metadata_visibility,id_number,eprint_status,eprintid,datestamp,documents,official_url,lastmod,number,userid,refereed,title,type,creators,subjects,date_type,date,uri,volume,abstract,divisions,publisher,publication,dir,related_url,rev_number,ispublished,status_changed,full_text_status,issn,place_of_pub,corp_creators,book_title,editors,pages,isbn,monograph_type,event_type,event_title,event_location,event_dates,pres_type
0,136-162,show,10.23960/jsl.v11i1.647,archive,51155,2023-05-08 02:05:54,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190877', 'pos': 1, 'eprintid': 51155, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 549825, 'mime_type': 'application/pdf', 'hash': '8ff0feb4057c06ea242614e4696531df', 'filesize': 2079672, 'objectid': 190877, 'filename': '2023_Influence of Puspa Wood and Coconut Trunk Combination.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549825', 'hash_type': 'MD5', 'mtime': '2023-05-07 03:24:07'}], 'main': '2023_Influence of Puspa Wood and Coconut Trunk Combination.pdf', 'docid': 190877}]",https://sylvalestari.fp.unila.ac.id/index.php/JHT/article/view/647,2023-05-08 02:05:54,1.0,144,TRUE,Influence of Puspa Wood and Coconut Trunk Combination on the Characteristics of Cross-Laminated Timber Bonded with Polyurethane Adhesive,article,"[{'name': {'given': 'Siti', 'family': 'Aisyah', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Hadi', 'honourific': None, 'given': 'Yusuf Sudo'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Lubis', 'honourific': None, 'given': 'Muhammad Adly Rahandi'}}, {'name': {'family': 'Baskara', 'lineage': None, 'honourific': None, 'given': 'Muhammad Iqbal Adi'}, 'id': None}, {'id': None, 'name': {'given': 'Rita Kartika', 'honourific': None, 'family': 'Sari', 'lineage': None}}, {'name': {'given': 'Wahyu', 'honourific': None, 'family': 'Hidayat', 'lineage': None}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}]","['S1', 'SD']",published,2023-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51155,11.0,"The purpose of this study was to evaluate the characteristic of cross-laminated timber (CLT) made from puspa (Schima wallichii) wood, coconut (Cocos nucifera) trunk, and their combination using a polyurethane (PU) adhesive. The manufacturing of CLT begins with the characterization of the adhesive and wood materials used in this study. The CLT panels are made with dimensions of 100 cm × 30 cm × 3.6 cm. The laminate was organized into three layers with the face/core/back, namely puspa wood (PPP), coconut trunk (CCC), and their combination (PCP and CPC), perpendicular to each other using polyurethane adhesive with a glue spread of 160 g.m-2. The physical and mechanical properties of the CLT were assessed according to the JAS 3079 (2019) standard. The results showed that the polyurethane adhesive used in this study could cure optimally at a temperature of 30°C for 200 minutes. Puspa wood and coconut trunk had different physical and chemical properties but had similar wettability to polyurethane adhesives. The physical and mechanical characteristics of coconut CLT were better than puspa CLT. Based on the overall test results, the puspa hybrid CLT is better than the single wood species of the CLT. In contrast to coconut hybrid CLT, the single CLT of CCC was better than its hybrid CLT.

Keywords: Coconut trunk, cross-laminated timber, layer combination, polyurethane adhesive, puspa wood",['FP5'],"Department of Forestry, Faculty of Agriculture, University of Lampung",Jurnal Sylva Lestari,disk0_bak/00/05/11/55,"[{'type': 'pub', 'url': 'https://sylvalestari.fp.unila.ac.id/index.php/JHT/article/view/647'}]",8,pub,2023-05-08 02:05:54,public,2549-5747,,,,,,,,,,,,
1,407-413,show,10.18280/ijdne.180218,archive,51162,2023-05-08 02:06:31,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '2023_Production and Characterization of Bio-Briquettes from the Cassava Stems and Bamboo.pdf', 'files': [{'fileid': 549887, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b7a825d07a2454e94c0ca8caabdd853e', 'objectid': 190884, 'filesize': 1170827, 'filename': '2023_Production and Characterization of Bio-Briquettes from the Cassava Stems and Bamboo.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549887', 'hash_type': 'MD5', 'mtime': '2023-05-07 04:07:01'}], 'docid': 190884, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190884', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51162}]",https://www.iieta.org/journals/ijdne/paper/10.18280/ijdne.180218,2023-05-08 02:06:31,2.0,144,TRUE,Production and Characterization of Bio-Briquettes from the Cassava Stems and Bamboo Charcoal Bonded with Organic Adhesive,article,"[{'name': {'family': 'Asmara', 'lineage': None, 'honourific': None, 'given': 'Sandi'}, 'id': 'Shandiasmara@yahoo.com'}, {'id': None, 'name': {'given': 'Tamrin', 'family': 'Tamrin', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Purba', 'lineage': None, 'given': 'Fijriani Juli Kartika'}}, {'name': {'given': 'Intan Fajar', 'honourific': None, 'family': 'Suri', 'lineage': None}, 'id': None}, {'id': 'wahyu.hidayat@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Hidayat', 'lineage': None, 'given': 'Wahyu'}}]","['S1', 'SD']",published,2023-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51162,18.0,"This study aimed to determine the effects of a materials combination used by the waste biomass of bamboo and cassava stem mixed with a tapioca adhesive on the quality of charcoal briquettes. The briquettes were made with a combination of the raw materials between the cassava stem and bamboo of 75%:25%, 50%:50%, and 25%:75%. Then, the used charcoal materials were mixed with three tapioca concentrations of 8%, 10%, and 12%. The characteristics of the charcoal briquettes, such as density, moisture content, shatter resistance index, calorific value, combustion rate, and compressive strength were observed. The charcoal briquettes with a high percentage of bamboo combination showed to increase the calorific value and the compressive strength but decreased the rate of combustion. In contrast, the low concentration of tapioca glue increased the density, compressive strength, and shatter resistance index but decreased the combustion rate. It was revealed that the used material combination and the adhesive content affected various properties of charcoal briquettes. Therefore, it can be suggested that the materials combination of bamboo and cassava stems waste can be utilized for making briquettes with a low percentage of tapioca adhesive.",['FP5'],International Information and Engineering Technology Association (IIETA),International Journal of Design and Nature and Ecodynamics,disk0_bak/00/05/11/62,"[{'type': 'pub', 'url': 'https://www.iieta.org/journals/ijdne/paper/10.18280/ijdne.180218'}]",8,pub,2023-05-08 02:06:31,public,1755-7437,,,,,,,,,,,,
2,,show,,archive,52134,2023-06-13 03:13:02,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '49351d56d8679292c67c203065fed43b', 'fileid': 617717, 'datasetid': 'document', 'filename': 'SUMMARY BUKTI 2 KONTRAK PENELITIAN_compressed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/617717', 'filesize': 3022678, 'objectid': 252285, 'mtime': '2023-06-13 02:48:22', 'hash_type': 'MD5'}], 'main': 'SUMMARY BUKTI 2 KONTRAK PENELITIAN_compressed.pdf', 'docid': 252285, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/252285', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 52134}]",,2023-06-13 03:13:02,,753,,Bukti Menerima Hibah Penelitian Total Rp100 juta lebih,other,"[{'name': {'given': 'Samsul', 'family': 'Bakri', 'lineage': None, 'honourific': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}]","['GE', 'H1', 'RA', 'SD']",completed,1970-01-01 00:00:00.000002023,http://repository.lppm.unila.ac.id/id/eprint/52134,,Kontrak Skema Penelitian Multisdisiplin 2022 dan Penelitian Pascasarjana 2021  Samsul Bakri,['FP5'],LPPM Unila,,disk0_bak/00/05/21/34,,10,unpub,2023-06-13 03:13:02,public,,,,,,,,,,,,,
3,1404-1416,show,DOI: 10.47750/pnr.2023.14.02.179,archive,50889,2023-05-02 01:42:56,"[{'format': 'text', 'docid': 190603, 'main': 'Simple model samsul dkk 2023.pdf', 'files': [{'fileid': 547804, 'datasetid': 'document', 'hash': '445251070db7385b41ce86e100118d4a', 'mime_type': 'application/pdf', 'filesize': 320156, 'objectid': 190603, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547804', 'filename': 'Simple model samsul dkk 2023.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-01 10:12:33'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 50889, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190603'}]",https://www.pnrjournal.com/index.php/home/issue/view/35,2023-05-02 01:42:56,2.0,933,TRUE,A Simple Model To Estimate Carbon Stock Based On River Discharge: Supporting The Next Implementation Of Redd+ In Indonesia Under Paris Agreement Regime,article,"[{'name': {'given': 'Samsul', 'family': 'Bakri', 'lineage': None, 'honourific': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Dian', 'honourific': None, 'lineage': None, 'family': 'Aprianto'}}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'given': 'Slamet Budi', 'honourific': None, 'lineage': None, 'family': 'Yuwono'}}, {'id': 'melya.riniarti@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Riniarti', 'given': 'Melya'}}, {'id': 'hari.kaskoyo@fp.unila.ac.id', 'name': {'family': 'Kaskoyo', 'lineage': None, 'honourific': None, 'given': 'Hari'}}, {'id': None, 'name': {'family': 'Artika', 'lineage': None, 'honourific': None, 'given': 'Emi'}}]",['SD'],published,2023-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50889,14.0,"Land covers is the main determinant of river discharge rate of a watershed. The land cover, on the other hand, also contain the carbon stock accumulated above ground over watershed. This relation is very useful in carbon stock monitoring to support Paris Agreement implementation especially for tropical countries where the MRV activities are commonly very expensive. In this research the ordinary least square models were employed at significant level of 95%. First model was the river discharge, [YD], as the function of rainfall [RAIN] (mm/year) and the acreage of land covers area (ha) namely the forest [FREST], shrub [SRHB], plantation [PLNT], up land crop [UPLND], mix farming [MIXFM], and settlement [SETL]. The second model was to express the carbon stock [YC] (ton/ha) as the function of the [YD]. Data series of [RAIN], [YD] and lands covers of 2011, 2014, 2017 covering 3 watershed (Way Pengubuan, Way Bulok, and Way Besai) lies at Lampung Province, Republic of Indonesia. We employed Minitab 16 for parameter model estimation. The simple models achieved for river discharge was [YD]i=13,612.00 +0.1192[RAIN]I -238,00[FREST]i-129,08[SRHB]i-107.46[PLNT]i-184.16[SETL]i-131.08[UPLND]i-30.97[MIXFM]i-127.01[PADY]i with P=0.000 and R.Sq (adjt) =96.6%; and the carbon stock expressed by [Yc]i=17.2237 - 0.0212 [YD]i with P=0.0006 and the Rsq(adjt)= 0.5283",['FP5'],Walter Kluwer Mediknow Publications,Journal of Pharmaceutical Negative Results,disk0_bak/00/05/08/89,,7,pub,2023-05-02 01:42:56,public,"09769234, 22297723",,,,,,,,,,,,
4,,show,,archive,48542,2023-02-24 02:43:09,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187842', 'eprintid': 48542, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 187842, 'main': 'Samsul Bakri SIMILIRATY.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '9eb33b1226f6a345ca4e7aaa870ed524', 'datasetid': 'document', 'fileid': 529433, 'filename': 'Samsul Bakri SIMILIRATY.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529433', 'filesize': 364302, 'objectid': 187842, 'mtime': '2023-02-23 15:40:50', 'hash_type': 'MD5'}]}]",,2023-02-24 02:43:09,,753,,"7% SIMILARITY OF PAPER ENTITLE ""SIMPLE MODEL...""",other,"[{'name': {'given': 'Samsul', 'honourific': None, 'lineage': None, 'family': 'Bakri'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Aprianto', 'honourific': None, 'given': 'Dian'}, 'id': None}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'family': 'Yuwono', 'lineage': None, 'honourific': None, 'given': 'Slamet Budi'}}, {'name': {'given': 'Melya', 'honourific': None, 'family': 'Riniarti', 'lineage': None}, 'id': 'melya.riniarti@fp.unila.ac.id'}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}}, {'id': 'hari.kaskoyo@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Kaskoyo', 'given': 'Hari'}}, {'name': {'honourific': None, 'family': 'Artika', 'lineage': None, 'given': 'Emi'}, 'id': None}]","['GB', 'GE', 'SD']",completed,1970-01-01 00:00:00.000002023,http://repository.lppm.unila.ac.id/id/eprint/48542,,"ONLY 7% SIMILARITY OF PAPER ENTITLE ""SIMPLE MODEL...""",['FP5'],"Association of Indian pharmacist-AIP, Published by ResearchTrentz",,disk0_bak/00/04/85/42,,10,unpub,2023-02-24 02:43:09,public,,,,,,,,,,,,,
5,,show,,archive,48544,2023-02-24 02:43:14,"[{'placement': 1, 'eprintid': 48544, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187844', 'security': 'public', 'main': 'Samsul Bakri SIMILIRATY.pdf', 'docid': 187844, 'files': [{'datasetid': 'document', 'fileid': 529451, 'mime_type': 'application/pdf', 'hash': '9eb33b1226f6a345ca4e7aaa870ed524', 'filesize': 364302, 'objectid': 187844, 'filename': 'Samsul Bakri SIMILIRATY.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529451', 'hash_type': 'MD5', 'mtime': '2023-02-23 16:48:06'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,2023-02-24 02:43:14,,753,,"7% Similarity paper berjudul: ""Simple Model...""",other,"[{'name': {'given': 'Samsul', 'family': 'Bakri', 'lineage': None, 'honourific': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Dian', 'family': 'Aprianto', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Slamet Budi', 'honourific': None, 'lineage': None, 'family': 'Yuwono'}, 'id': 'sbyuwono_unila@yahoo.com'}, {'id': 'melya.riniarti@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Riniarti', 'given': 'Melya'}}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Abidin', 'given': 'Zainal'}}, {'name': {'given': 'Hari', 'honourific': None, 'family': 'Kaskoyo', 'lineage': None}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Artika', 'honourific': None, 'given': 'Emi'}, 'id': None}]",['SD'],completed,1970-01-01 00:00:00.000002023,http://repository.lppm.unila.ac.id/id/eprint/48544,,Abstract,['FP5'],LPPM Unila,,disk0_bak/00/04/85/44,,8,unpub,2023-02-24 02:43:14,public,,,,,,,,,,,,,
6,,show,,archive,48543,2023-02-24 02:43:11,"[{'eprintid': 48543, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187843', 'pos': 1, 'format': 'text', 'docid': 187843, 'main': 'BUKTI KORESPONDENSI SIMPLE MODEL.pdf', 'files': [{'mtime': '2023-02-23 16:40:38', 'hash_type': 'MD5', 'filename': 'BUKTI KORESPONDENSI SIMPLE MODEL.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529443', 'filesize': 570471, 'objectid': 187843, 'hash': '6ad45bf047b4e828942c18d665372ecd', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 529443}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,2023-02-24 02:43:11,,753,,"Bukti Korespondensi Paper Berjudul ""Simple Model...""",other,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'family': 'Bakri', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Dian', 'lineage': None, 'family': 'Aprianto', 'honourific': None}}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'lineage': None, 'family': 'Yuwono', 'honourific': None, 'given': 'Slamet Budi'}}, {'name': {'given': 'Melya', 'family': 'Riniarti', 'lineage': None, 'honourific': None}, 'id': 'melya.riniarti@fp.unila.ac.id'}, {'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'name': {'family': 'Kaskoyo', 'lineage': None, 'honourific': None, 'given': 'Hari'}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Artika', 'given': 'Emi'}, 'id': None}]",['SD'],completed,2023-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48543,,Abstract,['FP5'],LPPM Unila,,disk0_bak/00/04/85/43,,8,unpub,2023-02-24 02:43:11,public,,,,,,,,,,,,,
7,,show,,archive,52045,2023-05-29 01:33:15,"[{'placement': 1, 'eprintid': 52045, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251826', 'security': 'public', 'main': '7% Similarity_Mesaruring the Sustainability.pdf', 'docid': 251826, 'files': [{'objectid': 251826, 'filesize': 165407, 'filename': '7% Similarity_Mesaruring the Sustainability.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/616667', 'hash_type': 'MD5', 'mtime': '2023-05-28 14:40:53', 'datasetid': 'document', 'fileid': 616667, 'mime_type': 'application/pdf', 'hash': 'a16508fe9c14ecc5f92f9f3773d481d3'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,2023-05-29 01:33:15,,753,,7% Similarity,other,"[{'name': {'given': 'Samsul', 'honourific': None, 'family': 'Bakri', 'lineage': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'id': 'henrie.buchari@fp.unila.ac.id', 'name': {'given': 'Henrie', 'family': 'Buchari', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Widiastuti', 'lineage': None, 'honourific': None, 'given': 'Endang Linirin'}, 'id': 'endang.linirin@fmipa.unila.ac.id'}, {'name': {'given': 'parjito', 'lineage': None, 'family': 'Parjito', 'honourific': None}, 'id': None}, {'name': {'given': 'Siti Herwati', 'family': 'Sitorus', 'lineage': None, 'honourific': None}, 'id': None}]","['G1', 'GC', 'SD']",,2023-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52045,,"Paper entitel ""Measuring the Sustainability of Ecotourism...""",['FP5'],Horizon Research Publishing Company,,disk0_bak/00/05/20/45,,10,pub,2023-05-29 01:33:15,public,,,,,,,,,,,,,
8,,show,,archive,48917,2023-03-13 03:21:02,"[{'placement': 1, 'eprintid': 48917, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188358', 'pos': 1, 'security': 'public', 'docid': 188358, 'main': 'similarity Water Polution pdf-153432-87896(2).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-03-12 10:25:38', 'filesize': 5586849, 'objectid': 188358, 'filename': 'similarity Water Polution pdf-153432-87896(2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/532385', 'fileid': 532385, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2aa65f8c9e47230b4cc94ebc2aacb26c'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,2023-03-13 03:21:02,,753,,"8% Similarity of paper entitel ""Water polution and Water Qulaity...""",other,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'honourific': None, 'family': 'Bakri', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Yushananta', 'given': 'Prayudhy'}, 'id': ': prayudhiyushananta@poltekkes-tjk.ac.id'}]","['GE', 'SD']",published,2023-01-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48917,,"he Way Kuripan River is an important water resource in Bandar Lampung City. However,
its quality deteriorates continuously due to land use change accompanied by housing expansion and
open areas. This study aims at analyzing its water quality and pollution level based on the present
land-use zoning. Three zones are determined based on the dominant land use covering the riverbank
sides. Water sampling was carried out at nine settling points (3 samples per zone) to measure the level of
BOD5, COD, TSS, Escherichia coli contends, and also Pollution Index (PI), as well as the Biodegradable
Index (BI). The results showed that the water has been experiencing pollution for grade-C river overall
data. However, based on the zoning, all of the parameters of the upstream sides are below quality
standard (QS), while at the middle stream, the BOD5 has exceeded QS (21.9-26.4 mg/L), whereas
at the downstream, the parameters of BOD5, COD, and Escherichia coli have exceeded from the QS.
The PI and BI values indicated moderately polluted downstream, with the average biodegradable.
For this reason, paying attention to land use change is important to assess the level of river pollution.
The study results also found that organic matter from domestic is the primary pollutant of the river.
Therefore controlling the upstream in accordance with regional spatial planning regulations and
followed by a conservation movement as well as change people’s behavior to be more caring about
environmental management for catchment areas are the urgent actions for restoring and improving
the river water quality.",['FP5'],Hard Publisher,,disk0_bak/00/04/89/17,,8,pub,2023-03-13 03:21:02,public,,,,,,,,,,,,,
9,,show,10.15244/pjoes/153432,archive,48578,2023-02-27 01:02:15,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187888', 'pos': 1, 'eprintid': 48578, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mtime': '2023-02-26 00:02:44', 'hash_type': 'MD5', 'filename': 'SIMILARITY pdf-153432-87896(2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529684', 'objectid': 187888, 'filesize': 5586849, 'mime_type': 'application/pdf', 'hash': '2aa65f8c9e47230b4cc94ebc2aacb26c', 'datasetid': 'document', 'fileid': 529684}], 'main': 'SIMILARITY pdf-153432-87896(2).pdf', 'docid': 187888}]","http://www.pjoes.com/Water-Pollution-and-Water-Quality-Assessment-nof-the-Way-Kuripan-River-in-Bandar,153432,0,2.html",2023-02-27 01:02:15,,753,,PJOES_Water Quality_Bakri_Yushananta,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Bakri', 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'id': ': prayudhiyushananta@poltekkes-tjk.ac.id', 'name': {'family': 'Yushananta', 'lineage': None, 'honourific': None, 'given': 'Prayudhy'}}]","['GE', 'SD']",published,2023-01-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48578,,8% Similarity_PJOES_Water Quality_Bakri_Yushananta,['FP5'],HARD,,disk0_bak/00/04/85/78,,8,pub,2023-02-27 01:02:15,public,,Polandia,,,,,,,,,,,
