,lastmod,documents,userid,metadata_visibility,datestamp,id_number,eprintid,eprint_status,title,refereed,creators,type,uri,date,abstract,corp_creators,date_type,subjects,rev_number,ispublished,full_text_status,issn,status_changed,publisher,publication,dir,divisions,number,pagerange,volume,official_url,pres_type,event_type,event_title,related_url,succeeds,contributors,event_location,event_dates,contact_email
0,2020-02-17 03:46:40,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 30674, 'main': 'J Sains Mipa V 13 No 2-2007.pdf', 'files': [{'hash': 'a429c2fbf2ba203572b00df5a8e741df', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 148289, 'mtime': '2020-01-11 08:04:12', 'hash_type': 'MD5', 'filename': 'J Sains Mipa V 13 No 2-2007.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148289', 'objectid': 30674, 'filesize': 2275570}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30674', 'pos': 1, 'eprintid': 17546, 'placement': 1}]",662,show,2020-02-17 03:46:40,"Vol. 13, No. 2,",17546,archive,"Identifikasi Zona Perubahan Massa Bawah Permukaan dan Subsidence Dengan Metode Gayaberatmikro 4D, Gradien Vertikal Gayaberatmikro dan Inversi Linier, Studi Kasus: Lapangan Panasbumi Kamojang",TRUE,"[{'name': {'honourific': None, 'family': 'Ahmad', 'lineage': None, 'given': 'Zaenudin'}, 'id': 'zaenudin7209@gmail.com'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Kadir,', 'given': 'W.G.A'}}, {'id': None, 'name': {'given': 'D.', 'honourific': None, 'lineage': None, 'family': 'SANTOSO,'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Raharjo,', 'given': 'I'}, 'id': None}]",article,http://repository.lppm.unila.ac.id/id/eprint/17546,2007-08-01 00:00:00.000000000,"The major causes of gravity change are mass change in reservoir (subsurface) and vertcal ground movement (subsidence). While the observed gravity change, called as time-lapse microgravity anomaly, is as superposition of all the causes, hence how to identify each source is very important because some of causes could have similar response. As example is increase of subsurface density (mass) and subsidence. In order to minimaize this uncertainty, time-lapse vertical gradient microgravity associated with its time-lapse microgravity is analyzed. Microgravity ang vertical-gradient measurement has been conducted at 87 station which distributed in geothermal field of Kamojang and anlyzed to identify subsurface source. The time-lapse microgravity anomaly of June-November 2006 periode showed the anomaly value in range of -240 to 120 microgal and vertical-gradient in the range of -200 to 240 microgral. The time-lapse microgravity anomaly of June-November 2006 periode showed the anomaly value in range of -240 to 120 microgal that relate with the existance of density change in the range of -0.25 to 0.30 g/cc. This density contrast could be used as a representation of not only for fluid and pressure increase for positive density contras but also fluid and pressure decrease for negative density contrast.",['Teknik Geofisika'],published,['QC'],7,pub,public,1978-1873,2020-02-17 03:46:40,FMIPA Universitas Lampung,Jurnal Sains MIPA,disk0/00/01/75/46,['FT1'],,,,,,,,,,,,,
1,2019-04-29 07:54:28,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published', 'files': [{'filename': 'JURNAL MIPA VOL.30 (2007).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/101653', 'objectid': 24114, 'filesize': 10256566, 'mtime': '2019-04-10 02:51:48', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '0efedb8086d05333b2991adf363bb123', 'datasetid': 'document', 'fileid': 101653}], 'main': 'JURNAL MIPA VOL.30 (2007).pdf', 'docid': 24114, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24114', 'security': 'public', 'placement': 1, 'eprintid': 11117}]",662,show,2019-04-29 07:54:28,,11117,archive,Metode Gayaberat Mikro4D untuk Monitoring Lapangan Panas Bumi,TRUE,"[{'id': 'zaenudin7209@gmail.com', 'name': {'lineage': None, 'family': 'Ahmad', 'honourific': None, 'given': 'Zaenudin'}}, {'id': None, 'name': {'lineage': None, 'family': 'W.G.A.', 'honourific': None, 'given': 'Kadir'}}, {'name': {'given': 'Santoso', 'honourific': None, 'lineage': None, 'family': 'Djoko'}, 'id': None}]",article,http://repository.lppm.unila.ac.id/id/eprint/11117,2007-12-01 00:00:00.000000000,"Produksi uap-air pada lapangan panas bumi mengakibatkan perubahan temperatur, tekanan, dan pengurasan massa di reservoir. Pengurasan massa sebagai representasi perubahan rapat-massa atau saturasi uap-air pada zona 2-fase dapat dideteksi dengan gayaberat mikro. Anomali negatif menunjukkan pengurangan massa dan sebaliknya anomali positif menunjukkan penambahan massa dan atau subsidence. Interpretasi menggunakan anomali gayaberat mikro antar-waktu (4D) dan gradien vertikal gayaberat mikro 4D dapat mendeliniasi area-area yabng mengalami pengurangan massa atau subsidence saja atau kombinasi dari keduanya. Pengetahuan ini dapat digunakan untuk mendesain penempatan posisi sumur-sumur produksi dan reinjeksi yang tepat agar produksi uap dapat dipertahankan lama.


Kata kunci: gayaberat mikro 4D, rapat-massa, saturasi, subsidence","['Jurusan Fisika FMIPA Universitas Lampung', 'Teknik Geofisika Institut Teknologi Bandung']",published,['QE'],7,pub,public,0215-9945,2019-04-29 07:54:28,Fakultas MIPA Universitas Negeri Semarang,Jurnal MIPA,disk0/00/01/11/17,['FT1'],3.0,173-183,30.0,,,,,,,,,,
2,2022-07-07 02:42:42,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 164888, 'main': '21. Plagiarism Checker X, Jurnal MIPA FMIPA Universitas Lampung, Edisi Khusus Fisika 2007, Vol. 13, No. 3, Hal 240-245.pdf', 'files': [{'datasetid': 'document', 'fileid': 470996, 'mime_type': 'application/pdf', 'hash': 'b61df8c0dc0ab64e94758d7151866fe4', 'filesize': 142334, 'objectid': 164888, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470996', 'filename': '21. Plagiarism Checker X, Jurnal MIPA FMIPA Universitas Lampung, Edisi Khusus Fisika 2007, Vol. 13, No. 3, Hal 240-245.pdf', 'hash_type': 'MD5', 'mtime': '2022-07-06 09:29:38'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164888', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 43034}]",946,show,2022-07-07 02:42:42,,43034,archive,"ANALISIS PERUBAHAN SIFAT FISIKA BATUAN TERHADAP AWAL 
TERBENTUKNYA MINYAK BUMI PADA BATUAN RESERVOIR",,"[{'id': 'ordasdewanto@gmail.com', 'name': {'given': 'Ordas', 'honourific': None, 'lineage': None, 'family': 'Dewanto'}}, {'name': {'lineage': None, 'family': 'Surtono', 'honourific': None, 'given': 'Arif'}, 'id': 'arif.surtono@fmipa.unila.ac.id'}, {'name': {'given': 'rendy', 'lineage': None, 'family': 'fatridal', 'honourific': None}, 'id': None}]",other,http://repository.lppm.unila.ac.id/id/eprint/43034,1970-01-01 00:00:00.000002007,"The change of rocks physical characteristics caused by the natural geology activities will affect the reservoir rocks
characteristic. This change behavior has been analyzed in order to predict the early generation oil also the maturate oil. The analysis method is to define the reservoir rocks physics parameter in laboratory, such as; overburden, litology, porosity, rocks heat conductivity, temperature gradient, and heat flow. One of the alternative ways to determine the rocks 
physical parameter is to calculate the heat capacity in every different depth of well observed. The results showed the 
early model of oil generation in reservoir rocks, and will be used as the basic information to understand the oil generation 
process.",,published,"['Q1', 'QE']",8,pub,public,,2022-07-07 02:42:42,FMIPA Universitas Lampung,,disk0/00/04/30/34,['FT1'],,,,https://jurnal.fmipa.unila.ac.id/sains/issue/view/28,,,,,,,,,
3,2021-08-20 01:38:10,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/153559', 'pos': 1, 'eprintid': 33511, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '21. ORDAS DEWANTO,  Arif Surtono, Rendy Fatridal (297-926-1-PB),  Jurnal Sains MIPA Universitas Lampung. Edisi Khusus .pdf', 'docid': 153559, 'files': [{'hash_type': 'MD5', 'mtime': '2021-08-19 04:43:43', 'filesize': 152498, 'objectid': 153559, 'uri': 'http://repository.lppm.unila.ac.id/id/file/397479', 'filename': '21. ORDAS DEWANTO,  Arif Surtono, Rendy Fatridal (297-926-1-PB),  Jurnal Sains MIPA Universitas Lampung. Edisi Khusus .pdf', 'fileid': 397479, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '0a54a948565987ae91d93f5b463fc010'}]}]",946,show,2021-08-20 01:38:10,,33511,archive,Analisis Perubahan Sifat Fisika Batuan Terhadap Awal Terbentuknya Minyak Bumi Pada Batuan Reservoir,TRUE,"[{'id': 'ordas.dewanto@eng.unila.ac.id', 'name': {'family': 'Dewanto', 'lineage': None, 'honourific': None, 'given': 'Ordas'}}, {'id': 'arif.surtono@fmipa.unila.ac.id', 'name': {'given': 'Arif', 'honourific': None, 'family': 'Surtono', 'lineage': None}}, {'name': {'given': 'rendy', 'family': 'fatridal', 'lineage': None, 'honourific': None}, 'id': None}]",article,http://repository.lppm.unila.ac.id/id/eprint/33511,2007-06-09 00:00:00.000000000,"The change of rocks physical characteristics caused by the natural geology activities will affect the reservoir rocks
characteristic. This change behavior has been analyzed in order to predict the early generation oil also the maturate oil. The analysis method is to define the reservoir rocks physics parameter in laboratory, such as; overburden, litology, porosity, rocks heat conductivity, temperature gradient, and heat flow. One of the alternative ways to determine the rocks 
physical parameter is to calculate the heat capacity in every different depth of well observed. The results showed the 
early model of oil generation in reservoir rocks, and will be used as the basic information to understand the oil generation 
process.",,published,"['Q1', 'QC', 'QE']",8,pub,public,1978-1873,2021-08-20 01:38:10,FMIPA Universitas Lampung,"Jurnal MIPA FMIPA Universitas Lampung, Edisi Khusus Fisika 2007",disk0/00/03/35/11,['FT1'],3.0,240-245,13.0,https://jurnal.fmipa.unila.ac.id/sains/issue/view/28,,,,,,,,,
4,2021-08-18 01:17:41,"[{'eprintid': 33446, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153197', 'format': 'text', 'main': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'files': [{'filename': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/396701', 'objectid': 153197, 'filesize': 1457684, 'mtime': '2021-08-17 12:42:00', 'hash_type': 'MD5', 'hash': '459b03bfc2cc1eb1279d8c7f56a3503d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 396701}], 'docid': 153197, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",946,show,2021-08-18 01:17:41,,33446,archive,ESTIMASI NILAI TEMPERATUR FORMASI PADA SUMUR MINYAK MENGGUNAKAN METODE CORE DAN LOG,TRUE,"[{'name': {'given': 'Ordas', 'lineage': None, 'family': 'Dewanto', 'honourific': None}, 'id': 'ordas.dewanto@eng.unila.ac.id'}, {'name': {'family': 'hermanto', 'lineage': None, 'honourific': None, 'given': 'hermanto'}, 'id': None}]",conference_item,http://repository.lppm.unila.ac.id/id/eprint/33446,2007-09-10 00:00:00.000000000,"Nilai temperatur di dalam suatu ruang batuan merupakan parameter yang penting dalam proses memprediksi kematangan 
hidrokarbon di dalam batuan sedimen atau karbonat, selain itu dapat digunakan juga sebagai salah satu dasar penelitian 
yang berhubungan dengan reservoar panas bumi. Riset ini memperkirakan besarnya temperatur pada masing-masing 
kedalaman, dengan syarat sumur tersebut diketahui harga temperatur permukaan dan Bore Hole Temperature (BHT) nya. 
Metode yang digunakan untuk memperkirakan nilai temperatur tersebut adalah dengan cara mengembangkan konsep dasar 
aliran panas bumi yang diharapkan dapat membantu menentukan nilai temperatur pada masing-masing kedalaman formasi, 
yaitu dengan cara pengukuran core di laboratorium dan perhitungan berdasarkan data log. Riset ini menghasilkan perkiraan 
nilai temperatur berdasarkan hasil perhitungan konduktivitas panas batuan, mempunyai nilai yang hampir sama dengan nilai 
temperatur berdasarkan hasil pengukuran konduktivitas panas batuan, untuk masing-masing formasi pada sumur minyak. 
Nilai-nilai temperatur pada sumur A-1 dengan kedalaman 6443.4 ft berkisar antara 27OC (dari permukaan) sampai 127OC 
(basement), sedangkan sumur B-1 dengan kedalaman 4606 ft berkisar antara 30OC (dari permukaan) sampai 100OC 
(basement).",,published,"['Q1', 'QC', 'QE']",9,pub,public,,2021-08-18 01:17:41,,,disk0/00/03/34/46,['FT1'],,237-245,,https://prosidingpenelitianpengabdiansep2007.000webhostapp.com/Prosiding_Penelitian_Pengabdian_Sep_2007.pdf,lecture,conference,Seminar Hasil Penelitian dan Pengadian Kepada Masyarakat September 2007,,,,,,
5,2022-07-05 02:22:19,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164702', 'pos': 1, 'eprintid': 42918, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'files': [{'mtime': '2022-07-05 01:21:53', 'hash_type': 'MD5', 'filename': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/469952', 'objectid': 164702, 'filesize': 167875, 'hash': '31c91bc52f821223f2953ba8644af272', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 469952}], 'docid': 164702}]",946,show,2022-07-05 02:22:19,,42918,archive,ESTIMASI NILAI TEMPERATUR FORMASI PADA SUMUR MINYAK MENGGUNAKAN METODE CORE DAN LOG,,"[{'id': 'ordasdewanto@gmail.com', 'name': {'given': 'Ordas', 'family': 'Dewanto', 'lineage': None, 'honourific': None}}, {'name': {'given': 'hermanto', 'honourific': None, 'lineage': None, 'family': 'hermanto'}, 'id': None}]",other,http://repository.lppm.unila.ac.id/id/eprint/42918,2007-09-12 00:00:00.000000000,"Nilai temperatur di dalam suatu ruang batuan merupakan parameter yang penting dalam proses memprediksi kematangan hidrokarbon di dalam batuan sedimen atau karbonat, selain itu dapat digunakan juga sebagai salah satu dasar penelitian yang berhubungan dengan reservoar panas bumi.  Riset ini memperkirakan besarnya temperatur pada masing-masing kedalaman, dengan syarat sumur tersebut diketahui harga temperatur permukaan dan Bore Hole Temperature (BHT) nya.  Metode yang digunakan untuk memperkirakan nilai temperatur tersebut adalah dengan cara mengembangkan konsep dasar aliran panas bumi yang diharapkan dapat membantu menentukan nilai temperatur pada masing-masing kedalaman formasi, yaitu dengan cara pengukuran core di laboratorium dan perhitungan berdasarkan data log.  Riset ini menghasilkan perkiraan nilai temperatur berdasarkan hasil perhitungan konduktivitas panas batuan, mempunyai nilai yang hampir sama dengan nilai temperatur berdasarkan hasil pengukuran konduktivitas panas batuan, untuk masing-masing formasi pada sumur minyak.  Nilai-nilai temperatur pada sumur A-1 dengan kedalaman 6443.4 ft berkisar antara 27OC (dari permukaan) sampai 127OC (basement), sedangkan sumur B-1 dengan kedalaman 4606 ft berkisar antara 30OC  (dari  permukaan)  sampai  100OC (basement).",,published,"['Q1', 'QE']",8,pub,public,,2022-07-05 02:22:19,"Lembaga Penelitian, Universitas Lampung",,disk0/00/04/29/18,['FT1'],,,,https://prosidingpenelitianpengabdiansep2007.000webhostapp.com/Prosiding_Penelitian_Pengabdian_Sep_2007.pdf,,,,,,,,,
6,2022-07-22 01:04:50,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165518', 'eprintid': 43573, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'c579b480643c08e75c6780545cdd8e10', 'fileid': 475405, 'datasetid': 'document', 'filename': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/475405', 'objectid': 165518, 'filesize': 1517447, 'mtime': '2022-07-21 08:14:07', 'hash_type': 'MD5'}], 'docid': 165518}]",946,show,2022-07-22 01:04:50,,43573,archive,Estimasi Nilai Temperatur Formasi Pada Sumur Minyak Menggunakan Metode Core Dan Log,,"[{'name': {'given': 'Ordas', 'lineage': None, 'family': 'Dewanto', 'honourific': None}, 'id': 'ordasdewanto@gmail.com'}, {'name': {'given': 'hermanto', 'honourific': None, 'lineage': None, 'family': 'hermanto'}, 'id': None}]",other,http://repository.lppm.unila.ac.id/id/eprint/43573,2007-09-10 00:00:00.000000000,"Nilai temperatur di dalam suatu ruang batuan merupakan parameter yang penting dalam proses memprediksi kematangan 
hidrokarbon di dalam batuan sedimen atau karbonat, selain itu dapat digunakan juga sebagai salah satu dasar penelitian 
yang berhubungan dengan reservoar panas bumi. Riset ini memperkirakan besarnya temperatur pada masing-masing 
kedalaman, dengan syarat sumur tersebut diketahui harga temperatur permukaan dan Bore Hole Temperature (BHT) nya. 
Metode yang digunakan untuk memperkirakan nilai temperatur tersebut adalah dengan cara mengembangkan konsep dasar 
aliran panas bumi yang diharapkan dapat membantu menentukan nilai temperatur pada masing-masing kedalaman formasi, 
yaitu dengan cara pengukuran core di laboratorium dan perhitungan berdasarkan data log. Riset ini menghasilkan perkiraan 
nilai temperatur berdasarkan hasil perhitungan konduktivitas panas batuan, mempunyai nilai yang hampir sama dengan nilai 
temperatur berdasarkan hasil pengukuran konduktivitas panas batuan, untuk masing-masing formasi pada sumur minyak. 
Nilai-nilai temperatur pada sumur A-1 dengan kedalaman 6443.4 ft berkisar antara 27OC (dari permukaan) sampai 127OC 
(basement), sedangkan sumur B-1 dengan kedalaman 4606 ft berkisar antara 30OC (dari permukaan) sampai 100OC 
(basement).",,,"['Q1', 'QE']",8,pub,public,,2022-07-22 01:04:50,"Lembaga Penelitian, Universitas Lampung",,disk0/00/04/35/73,['FT1'],,,,https://prosidingpenelitianpengabdiansep2007.000webhostapp.com/Prosiding_Penelitian_Pengabdian_Sep_2007.pdf,,,,,,,,,
7,2020-06-25 01:00:55,"[{'eprintid': 22740, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36245', 'pos': 1, 'format': 'text', 'main': 'index.html', 'files': [{'datasetid': 'document', 'fileid': 208700, 'mime_type': 'text/html', 'hash': '1101eaf8f248a9852a24a91d3f5b40e1', 'hash_type': 'MD5', 'mtime': '2020-06-24 12:10:17', 'objectid': 36245, 'filesize': 22133, 'filename': 'index.html', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208700'}], 'docid': 36245, 'language': 'en', 'mime_type': 'text/html', 'rev_number': 2}]",642,show,2020-06-25 01:00:55,,22740,archive,IDENTIFIKASI SRUKTUR BATUAN BASEMENT MENGGUNAKAN METODE RESISTIVITAS 2D SEPANJANG JALAN-LINTAS PROPINSI DI DAERAH POTENSI LONGSOR SUMBERJAYA LAMPUNG BARAT,TRUE,"[{'id': 'syamsurijal.rasimeng@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Rasimeng', 'lineage': None, 'given': 'Syamsurijal'}}, {'id': None, 'name': {'family': 'Dasaputra', 'lineage': None, 'honourific': None, 'given': 'Andius'}}, {'id': 'alimuddin.geofisika@eng.unila.ac.id', 'name': {'given': 'Alimuddin', 'family': 'Muchtar', 'lineage': None, 'honourific': None}}]",article,http://repository.lppm.unila.ac.id/id/eprint/22740,2007-07-01 00:00:00.000000000,"Have been done by a research identify the structure of rock basement as long as roadway province at potency area landslide the District of Sumberjaya West Lampung, using method of resistivity of configuration Wenner-Schlumberger. The conducted to data processing use the program Res2Dinv and yield the model of rock layer which have potency to slide. Be base on to model analysis can be interpretation that geology structure of under surface at research area highly varied, consisted of the young rock volcanic sediment which mixed with the alluvium occupy the topmost position representing top soil. Hereinafter there are claystone-tuff layer, certain period the interlude by sandstone-tuff is located until deepness 20 meter. Last of more compact at the resistivity more than 250 ohm.m interpreted as basement in the form of rock andesitic at deepness more than 20 meter. Interpreted to this top soil experience of landslide in infiltration of the rains arrive which is resulted from a high level steepness store and incidence of instability effect of the infiltration rainwater. Besides existence of sandstone-tuff of below top soil layer cause the degradation to rock rigidity of effect of side by water which is because of height of the rock porosity.",,published,"['Q1', 'TA']",8,pub,public,1410-5888,2020-06-25 01:00:55,LPPM Universitas Sanata Dharma,Jurnal Sains dan Teknologi SIGMA,disk0/00/02/27/40,['FT1'],2.0,151-158,10.0,https://lib.atmajaya.ac.id/default.aspx?tabID=61&src=l&id=133249,,,,[{'url': 'http://repository.lppm.unila.ac.id/18893/'}],,,,,
8,2021-09-22 09:37:19,"[{'docid': 154542, 'main': '2007_Penentuan Kadar Air Sebagai Variabel Longsor.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-22 07:01:24', 'objectid': 154542, 'filesize': 587807, 'filename': '2007_Penentuan Kadar Air Sebagai Variabel Longsor.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/402401', 'datasetid': 'document', 'fileid': 402401, 'hash': '30431b253d485beebbce87abaef7026c', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'id', 'rev_number': 9, 'mime_type': 'application/pdf', 'content': 'published', 'placement': 1, 'eprintid': 34092, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154542', 'pos': 1, 'security': 'staffonly'}]",642,show,2021-09-22 09:37:19,,34092,archive,PENENTUAN KADAR AIR SEBAGAI VARIABEL PENYEBAB LONGSOR PADA JALAN-LINTAS PROPINSI DI KECAMATAN SUMBERJAYA LAMPUNG BARAT,TRUE,"[{'id': 'syamsurijal.rasimeng@eng.unila.ac.id', 'name': {'given': 'Syamsurijal', 'honourific': None, 'family': 'Rasimeng', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Dasaputra', 'given': 'Andius'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Muchtar', 'given': 'Alimuddin'}, 'id': 'alimuddin.geofisika@eng.unila.ac.id'}]",article,http://repository.lppm.unila.ac.id/id/eprint/34092,1970-01-01 00:00:00.000002007,"It has been done the research on the determination of land water content which has slided in a few province road sides at Sumberjaya, West Lampung. The land layers which have slided were dominated by clay-tufaan, and sand-tufaan caused by the water infiltration when it rained. The high level of the rain and difficulty in the surface topography in the area of research were the main sources of the land sliding in this area. The water content on the land which has slided was 32.745, which means that every 100 g of land contains 32.700 mm3 and has a great probability to slide again. While the province road at Wonosari Sumberjaya the level of water content was 32.72%-34.83% which is equaled to 32.720-34.830 mm3 water for every 100 g of land which has slided. In the rest area the level of water content which has slided was 29.84%-32.54% which is equaled to 29.840-32.540 mm3 water for every 100 g of land. At Sukajaya village (T4)there was 34.370 mm3 water for every 100 g of land or 34.37%.","['Program Studi Teknik Geofisika Fakultas Teknik Universitas Lampung', 'Jurusan Sipil Fakultas Teknik Universitas Lampung', 'Program Studi Teknik Geofisika Fakultas Teknik Universitas Lampung']",published,"['QE', 'TD']",4,pub,restricted,0853-733X,2021-09-22 09:37:19,Fakultas MIPA UNIVERSITAS LAMPUNG,PENENTUAN KADAR AIR SEBAGAI VARIABEL PENYEBAB LONGSOR PADA JALAN-LINTAS PROPINSI DI KECAMATAN SUMBERJAYA LAMPUNG BARAT,disk0/00/03/40/92,['FT1'],3.0,246-250,13.0,http://jurnal.fmipa.unila.ac.id/sains/article/view/298,,,,[{'url': 'http://jurnal.fmipa.unila.ac.id/sains/article/view/298'}],22703.0,"[{'name': {'given': 'Syamsurijal', 'honourific': None, 'lineage': None, 'family': 'Rasimeng'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'syamsurijal.rasimeng@eng.unila.ac.id'}, {'id': None, 'name': {'given': 'Andius', 'family': 'Dasaputra', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'id': 'alimuddin.geofisika@eng.unila.ac.id', 'name': {'family': 'Alimuddin', 'lineage': None, 'honourific': None, 'given': 'Alimuddin'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,
9,2023-05-22 01:06:52,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '4cfe2514099f50c7ab0f10645703b410', 'datasetid': 'document', 'fileid': 615304, 'uri': 'http://repository.lppm.unila.ac.id/id/file/615304', 'filename': 'Penentuan Lithologi Batuan Bawah Permukaan Menggunakan Metode Resistivitas Sounding.pdf', 'filesize': 2522990, 'objectid': 251201, 'mtime': '2023-05-21 10:36:40', 'hash_type': 'MD5'}], 'main': 'Penentuan Lithologi Batuan Bawah Permukaan Menggunakan Metode Resistivitas Sounding.pdf', 'docid': 251201, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251201', 'eprintid': 51931, 'placement': 1}]",569,show,2023-05-22 01:06:52,,51931,archive,Penentuan Lithologi Batuan Bawah Permukaan Menggunakan Metode Resistivitas Sounding di Daerah Prospek Geothermal Gunung Rajabasa,TRUE,"[{'name': {'given': 'Syamsurijal', 'honourific': None, 'lineage': None, 'family': 'Rasimeng'}, 'id': 'syamsurijal.rasimeng@eng.unila.ac.id'}, {'name': {'given': 'Nandi', 'family': 'Haerudin', 'lineage': None, 'honourific': None}, 'id': 'nandi.haerudin@eng.unila.ac.id'}, {'id': 'harmen.1969@eng.unila.ac.id', 'name': {'given': 'Harmen', 'honourific': None, 'lineage': None, 'family': 'Harmen'}}]",conference_item,http://repository.lppm.unila.ac.id/id/eprint/51931,2007-09-01 00:00:00.000000000,"The Rajabasa is one of volcano strato with level of activity type B which located in province Lampung. Existence of fluid geothermal in north caster (Sukamandi and Kecapi), south caster (Kunjir and coast Wartawan) and south-east caster (Simpur) be form of desorption of temperature dissociation energy of diatomic pickings coming from within the mount body. The geothermal fluid comes from a source interpreted as magma chamber. Resistivity methods with configuraton schlumberger done to interpret lithology of rock around district manisfestation ""Belerang Kering"" (Sukamandi). Based on result of analysis obtained layer controlling fluid flow geothermal is high porosity rock layer so that loaded by fluid geothermal. The sandstone layer lays in various depth of 3-14 meter from surface. Besides lithologi rock also occupied by clay-tuff, gravel, and volcano deposit as top soil. While below sandstone layer there is rock layer which more compact (andesitic-basaltic?) as basement rock.","['Jurusan Teknik Geofisika Fakultas Teknik Universitas Lampung', 'Jurusan Teknik Geofisika Fakultas Teknik Universitas Lampung', 'Jurusan Teknik Mesin Fakultas Teknik Universitas Lampung']",published,['TN'],7,pub,public,,2023-05-22 01:06:52,,,disk0_bak/00/05/19/31,['FT1'],,135-140,,,paper,conference,Seminar Nasional Hasil Penelitian dan Pengabdian Masyarakat Universitas Lampung 2007,,,,Bandar Lampung,September 2007,
