,divisions,publisher,dir,rev_number,ispublished,full_text_status,status_changed,date_type,subjects,uri,date,abstract,title,type,creators,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,documents,userid,succeeds,refereed,number,pagerange,issn,publication,volume,place_of_pub,official_url,id_number,related_url
0,['FT11'],"Department Geofisika, Universitas Hasanuddin",disk0_bak/00/05/00/49,7,pub,public,2023-04-10 07:10:52,published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/50049,2023-04-01,"Pasaran Island is a small island connected to the mainland island of Sumatra and located in Bandar Lampung. Pasaran Island is one of the supports for the economy in Bandar Lampung. This is in line with the 2011-2030 RTRW of Bandar Lampung as a strategic minapolitan area (Pasaran and Lempasing) in driving the regional economy and utilizing appropriate technology. Pasaran Island is dominated by fishing villages and seafood processing centers in Lampung. With a population of ± 1,233 people in an area of ± 12 Ha, Pasaran Island has the potential for continued development. A study of the density of Built-up Land on Pasaran Island needs to be carried out so that it can become important information and data in managing the development of Pasaran Island in the future. Remote sensing technology using UAV was carried out to retrieve accurate and precise large-scale mapping information that allows the level of detail of Built-up Land to be mapped according to the original conditions in the field. In this study, the data used to extract Built-up Land was orthophoto which was produced through visual interpretation methods, and to determine the level of density and efficiency of Built-up Land conditions the digitization method and spatial analysis was by calculating the area of Built-up Land and calculating the percentage of Built-up Land density in Pasaran Island. The results of this study consisted of two maps, namely a map of the classification of Built-up and Non-Built-up Land and a map of Built-up Land types. The percentage of Built-up Land density was obtained from the calculation of the area of Built-up Land classes divided by the area of Pasaran Island, which resulted in a built-up density of 87.15% consisting of building classes, open land, public facilities and road networks. As for the results of the non-built density was 12.84%, which consisted of a vegetation class where the vegetation is in the tree-shaped form, the population density and building density of Pasaran Island are low density.
 
Keywords: Pasaran Island; Built-up Land; UAV; Orthophoto.","Review A STUDY OF THE DENSITY OF BUILT-UP LAND BASED ON AERIAL PHOTOGRAPHS IN PASARAN ISLAND, BANDAR LAMPUNG",other,"[{'id': 'rahma.anisa@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Anisa', 'honourific': None, 'given': 'Rahma'}}]",show,2023-04-10 07:10:52,archive,50049,2023-04-10 07:10:52,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'LEMBAR HASIL PENILAIAN GABUNGAN.pdf', 'files': [{'mtime': '2023-04-10 05:18:12', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541427', 'filename': 'LEMBAR HASIL PENILAIAN GABUNGAN.pdf', 'objectid': 189745, 'filesize': 932058, 'hash': 'a8eed8a4d04cb3ff10e7ca1707bf4c20', 'mime_type': 'application/pdf', 'fileid': 541427, 'datasetid': 'document'}], 'docid': 189745, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189745', 'pos': 1, 'eprintid': 50049, 'placement': 1}]",18876,,,,,,,,,,,
1,['FT11'],syntax literate,disk0_bak/00/05/00/65,5,pub,public,2023-04-10 07:11:15,published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/50065,2023-04-01,"Jalan merupakan infrastruktur yang penting dalam menunjang kemajuan suatu wilayah. Survey kondisi jalan merupakan salah satu aspek kegiatan dalam pemeliharaan jalan tujuannya agar jalan dapat terpelihara dan terawasi. Kegiatan
survey kondisi jalan dapat memanfaatkan teknologi fotogrametri menggunakan wahana tanpa awak dengan kamera non metrik karena dapat menyediakan data detail/situasi jalan dan cukup efektif dalam menunjang pekerjaan survey kondisi
jalan. Detail/situasi jalan dapat diidentifikasi berdasarkan orthophoto yang dihasilkan melalui pengolahan data foto dari kegiatan pemotretan udara. Penelitian
ini bertujuan untuk mengetahui ketelitian geometri orthophoto. Data yang digunakan dalam pengujian menggunakan hasil pengolahan foto udara berupa orthophoto. Metode yang digunakan dalam menguji akurasi geometrik orthophoto
merujuk pada Peraturan Kepala Badan Informasi Geospasial No 8 tahun 2018. Hasil uji akurasi geometri horizontal (CE90) sebesar 0,018 (RMSE 0,012) dan vertikal (LE90) sebesar 0,026m (RMSE 0,016). Sehingga dinyatakan orthophoto ini memiliki ketelitian horizontal sebesar 0,018meter dan ketelitian vertikal sebesar 0,026m. Kelas ketelitian horizontal orthophoto adalah kelas 1 dan kelas ketelitian
vertikal orthophoto ini adalah kelas 1.

Kata Kunci: uji ketelitian; horizontal; vertikal; orthophoto","Review KAJIAN AKURASI GEOMETRI ORTHOPHOTO DARI AKUISISI DATA
PESAWAT TANPA AWAK",other,"[{'id': 'rahma.anisa@eng.unila.ac.id', 'name': {'given': 'Rahma', 'honourific': None, 'family': 'Anisa', 'lineage': None}}]",show,2023-04-10 07:11:15,archive,50065,2023-04-10 07:11:15,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/189762', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 50065, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'docid': 189762, 'main': 'LEMBAR HASIL PENILAIAN GABUNGAN (1).pdf', 'files': [{'datasetid': 'document', 'fileid': 541531, 'hash': 'e0bb21aee3cabed2ae783f58c4e33570', 'mime_type': 'application/pdf', 'objectid': 189762, 'filesize': 772552, 'filename': 'LEMBAR HASIL PENILAIAN GABUNGAN (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541531', 'hash_type': 'MD5', 'mtime': '2023-04-10 06:08:50'}], 'format': 'text'}]",18876,50064.0,,,,,,,,,,
2,['FT11'],Jurnal Geocelebes,disk0_bak/00/04/96/78,7,pub,public,2023-04-05 07:16:27,published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/49678,2023-04-01,"Abstract 
Pasaran Island is a small island connected to the mainland island of Sumatra and located in Bandar
Lampung. Pasaran Island is one of the supports for the economy in Bandar Lampung. This is in line
with the 2011-2030 RTRW of Bandar Lampung as a strategic minapolitan area (Pasaran and
Lempasing) in driving the regional economy and utilizing appropriate technology. Pasaran Island is
dominated by fishing villages and seafood processing centers in Lampung. With a population of ± 1,233
people in an area of ± 12 Ha, Pasaran Island has the potential for continued development. A study of
the density of Built-up Land on Pasaran Island needs to be carried out so that it can become important
information and data in managing the development of Pasaran Island in the future. Remote sensing
technology using UAV was carried out to retrieve accurate and precise large-scale mapping information
that allows the level of detail of Built-up Land to be mapped according to the original conditions in the
field. In this study, the data used to extract Built-up Land was orthophoto which was produced through
visual interpretation methods, and to determine the level of density and efficiency of Built-up Land
conditions the digitization method and spatial analysis was by calculating the area of Built-up Land and
calculating the percentage of Built-up Land density in Pasaran Island. The results of this study consisted
of two maps, namely a map of the classification of Built-up and Non-Built-up Land and a map of Builtup
Land
types.
The
percentage
of
Built-up
Land
density
was
obtained
from
the
calculation
of
the
area

of
Built-up
Land
classes
divided
by
the
area
of

Pasaran Island, which resulted in a built-up density of
87.15% consisting of building classes, open land, public facilities and road networks. As for the results
of the non-built density was 12.84%, which consisted of a vegetation class where the vegetation is in
the tree-shaped form, the population density and building density of Pasaran Island are low density.
 
Keywords: Pasaran Island; Built-up Land; UAV; Orthophoto.","A STUDY OF THE DENSITY OF BUILT-UP LAND BASED ON 
AERIAL PHOTOGRAPHS IN PASARAN ISLAND, BANDAR
LAMPUNG",other,"[{'name': {'honourific': None, 'family': 'Anisa', 'lineage': None, 'given': 'Rahma'}, 'id': 'rahma.anisa@eng.unila.ac.id'}, {'name': {'family': 'Dewi', 'lineage': None, 'honourific': None, 'given': 'Citra'}, 'id': 'citradewirohana@yahoo.com'}, {'name': {'honourific': None, 'family': 'Suyadi', 'lineage': None, 'given': 'Suyadi'}, 'id': 'suyadi.1974@eng.unila.ac.id'}]",show,2023-04-05 07:16:27,archive,49678,2023-04-05 07:16:27,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Korespondensi rahma anisa.pdf', 'files': [{'filename': 'Korespondensi rahma anisa.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/538465', 'objectid': 189318, 'filesize': 1389065, 'mtime': '2023-04-05 06:25:33', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f1a4204fc6cad9be7aa978e6fecda57c', 'fileid': 538465, 'datasetid': 'document'}], 'docid': 189318, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189318', 'security': 'public', 'placement': 1, 'eprintid': 49678}]",18876,,,,,,,,,,,
3,['FT11'],"Department Geofisika, Universitas Hasanuddin",disk0_bak/00/05/09/42,6,pub,public,2023-05-02 07:35:48,published,"['TA', 'TR']",http://repository.lppm.unila.ac.id/id/eprint/50942,2023-04-01,"Pasaran Island is a small island connected to the mainland island of Sumatra and located in Bandar Lampung. Pasaran Island is one of the supports for the economy in Bandar Lampung. This is in line with the 2011-2030 RTRW of Bandar Lampung as a strategic minapolitan area (Pasaran and Lempasing) in driving the regional economy and utilizing appropriate technology. Pasaran Island is dominated by fishing villages and seafood processing centers in Lampung. With a population of ± 1,233 people in an area of ± 12 Ha, Pasaran Island has the potential for continued development. A study of the density of Built-up Land on Pasaran Island needs to be carried out so that it can become important information and data in managing the development of Pasaran Island in the future. Remote sensing technology using UAV was carried out to retrieve accurate and precise large-scale mapping information that allows the level of detail of Built-up Land to be mapped according to the original conditions in the field. In this study, the data used to extract Built-up Land was orthophoto which was produced through visual interpretation methods, and to determine the level of density and efficiency of Built-up Land conditions the digitization method and spatial analysis was by calculating the area of Built-up Land and calculating the percentage of Built-up Land density in Pasaran Island. The results of this study consisted of two maps, namely a map of the classification of Built-up and Non-Built-up Land and a map of Built-up Land types. The percentage of Built-up Land density was obtained from the calculation of the area of Built-up Land classes divided by the area of Pasaran Island, which resulted in a built-up density of 87.15% consisting of building classes, open land, public facilities and road networks. As for the results of the non-built density was 12.84%, which consisted of a vegetation class where the vegetation is in the tree-shaped form, the population density and building density of Pasaran Island are low density.
 
Keywords: Pasaran Island; Built-up Land; UAV; Orthophoto.","A STUDY OF THE DENSITY OF BUILT-UP LAND BASED ON AERIAL PHOTOGRAPHS IN PASARAN ISLAND, BANDAR LAMPUNG",article,"[{'id': 'rahma.anisa@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Anisa', 'given': 'Rahma'}}, {'id': 'suyadi.1974@eng.unila.ac.id', 'name': {'given': 'Suyadi', 'honourific': None, 'family': 'Suyadi', 'lineage': None}}]",show,2023-05-02 07:35:48,archive,50942,2023-05-02 07:35:48,"[{'eprintid': 50942, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190656', 'format': 'text', 'main': '23196-Article Text-85676-1-10-20230428.pdf', 'docid': 190656, 'files': [{'mtime': '2023-05-02 06:54:33', 'hash_type': 'MD5', 'filename': '23196-Article Text-85676-1-10-20230428.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/548220', 'objectid': 190656, 'filesize': 1188667, 'mime_type': 'application/pdf', 'hash': 'bae701365e0f2ff6c4f2f44a880b3514', 'datasetid': 'document', 'fileid': 548220}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",18876,49667.0,TRUE,1.0,53-63,2579–5546,JURNAL GEOCELEBES,7.0,,,,
4,['FT11'],"Departement of Geophysics, Faculty of Mathematics and Natural Sciences, Hasanuddin University",disk0_bak/00/04/98/15,9,pub,public,2023-04-08 13:24:00,published,"['GE', 'Q1', 'TC']",http://repository.lppm.unila.ac.id/id/eprint/49815,2023-04-01,"Abstract This study specifically aims to identify coastal abrasion as seen from the coastline shift, from 1989 to 2020 in Pesisir Utara Sub-district and Lemong Sub-district, Pesisir Barat Regency, Lampung Province, by interpreting remote sensing data. The data used are Landsat satellite imagery for 1989, 2000, 2006, and 2020. Landsat satellite imagery are corrected by radiometric and geometric correction. The geometric correction is registered to Landsat imagery in 1989. The corrected satellite imagery is digitized for the coastline. The results of the digitized coastline were then overlaid, then the coastline shift was calculated from 1989 to 2020. The coastline shift calculation was carried out at 16 locations in Pesisir Utara Sub-district and Lemong Sub-district. The results of calculations at 16 sample locations show that there has been a shift in the coastline due to coastal abrasion from 1989 to 2020 of 2.0 m/yr. For areas where the coastal conditions are rocky and there are shallow rocks in front of it, the coastline shift is only small, such as in the cape area before Walur Village. This coastline shift was also evidenced by direct checking of the area and asking local residents, the results showed that the overall shift of the coastline was caused by coastal abrasion. Keywords: coastal; landsat; geometric correction; abrasion.",Review jurnal: Study of Coastline Shifts on the West Coast of Lampung Using Remote Sensing Data. Jurnal Geocelebes,other,"[{'id': 'romi.fadly@eng.unila.ac.id', 'name': {'given': 'Romi', 'lineage': None, 'family': 'Fadly', 'honourific': None}}]",show,2023-04-08 13:24:00,archive,49815,2023-04-08 13:24:00,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189454', 'eprintid': 49815, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 189454, 'main': 'SEJAWAT SEBIDANG atau PEER REVIEW (7).pdf', 'files': [{'mtime': '2023-04-06 21:05:10', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/539527', 'filename': 'SEJAWAT SEBIDANG atau PEER REVIEW (7).pdf', 'objectid': 189454, 'filesize': 981814, 'mime_type': 'application/pdf', 'hash': 'bd667e072ceced11c81e42aa4871f182', 'datasetid': 'document', 'fileid': 539527}]}]",240,,,,,,,,http://repository.lppm.unila.ac.id/49665/1/Study%20Of%20Coastline%20Shifts.pdf,http://repository.lppm.unila.ac.id/49665/1/Study%20Of%20Coastline%20Shifts.pdf,,
5,['FT11'],Jurnal Geocelebes,disk0_bak/00/04/96/73,8,pub,public,2023-04-05 07:16:07,published,['TC'],http://repository.lppm.unila.ac.id/id/eprint/49673,2023-04-01,"Abstract 
This study specifically aims to identify coastal abrasion as seen from the coastline shift, from 1989 to
2020 in Pesisir Utara Sub-district and Lemong Sub-district, Pesisir Barat Regency, Lampung
Province, by interpreting remote sensing data. The data used are Landsat satellite imagery for 1989,
2000, 2006, and 2020. Landsat satellite imagery are corrected by radiometric and geometric
correction. The geometric correction is registered to Landsat imagery in 1989. The corrected satellite
imagery is digitized for the coastline. The results of the digitized coastline were then overlaid, then
the coastline shift was calculated from 1989 to 2020. The coastline shift calculation was carried out at
16 locations in Pesisir Utara Sub-district and Lemong Sub-district. The results of calculations at 16
sample locations show that there has been a shift in the coastline due to coastal abrasion from 1989 to
2020 of 2.0 m/yr. For areas where the coastal conditions are rocky and there are shallow rocks in front
of it, the coastline shift is only small, such as in the cape area before Walur Village. This coastline
shift was also evidenced by direct checking of the area and asking local residents, the results showed
that the overall shift of the coastline was caused by coastal abrasion. 
Keywords: coastal; landsat; geometric correction; abrasion.","Study of Coastline Shifts on the West Coast of Lampung 
Using Remote Sensing Data",other,"[{'name': {'given': 'Romi', 'family': 'Fadly', 'lineage': None, 'honourific': None}, 'id': 'romi.fadly@eng.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Dewi', 'lineage': None, 'given': 'Citra'}, 'id': 'citradewirohana@yahoo.com'}, {'name': {'given': 'Fajriyanto', 'family': 'Fajriyanto', 'lineage': None, 'honourific': None}, 'id': 'fajriyanto.fajroyanto@eng.unila.ac.id'}]",show,2023-04-05 07:16:07,archive,49673,2023-04-05 07:16:07,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'filename': 'Korespondensi_Jurnal Geocelebes.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/538427', 'objectid': 189313, 'filesize': 933252, 'mtime': '2023-04-05 06:05:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '639afb04508ee5777f1396386b90952a', 'fileid': 538427, 'datasetid': 'document'}], 'main': 'Korespondensi_Jurnal Geocelebes.pdf', 'docid': 189313, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189313', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 49673}]",240,,,,,,,,,,,
6,['FT11'],"Departement of Geophysics, Faculty of Mathematics and Natural Sciences, Hasanuddin University, Makassar, Indonesia",disk0_bak/00/05/07/81,14,pub,public,2023-04-27 06:15:30,published,"['GE', 'Q1', 'TC']",http://repository.lppm.unila.ac.id/id/eprint/50781,2023-04-27,"Abstract 
This study specifically aims to identify coastal abrasion as seen from the coastline shift, from 1989 to
2020 in Pesisir Utara Sub-district and Lemong Sub-district, Pesisir Barat Regency, Lampung
Province, by interpreting remote sensing data. The data used are Landsat satellite imagery for 1989,
2000, 2006, and 2020. Landsat satellite imagery are corrected by radiometric and geometric
correction. The geometric correction is registered to Landsat imagery in 1989. The corrected satellite
imagery is digitized for the coastline. The results of the digitized coastline were then overlaid, then
the coastline shift was calculated from 1989 to 2020. The coastline shift calculation was carried out at
16 locations in Pesisir Utara Sub-district and Lemong Sub-district. The results of calculations at 16
sample locations show that there has been a shift in the coastline due to coastal abrasion from 1989 to
2020 of 2.0 m/yr. For areas where the coastal conditions are rocky and there are shallow rocks in front
of it, the coastline shift is only small, such as in the cape area before Walur Village. This coastline
shift was also evidenced by direct checking of the area and asking local residents, the results showed
that the overall shift of the coastline was caused by coastal abrasion. 
Keywords: coastal; landsat; geometric correction; abrasion.","Study of Coastline Shifts on the West Coast of Lampung 
Using Remote Sensing Data",article,"[{'id': 'romi.fadly@eng.unila.ac.id', 'name': {'given': 'Romi', 'honourific': None, 'family': 'Fadly', 'lineage': None}}, {'id': 'citradewirohana@yahoo.com', 'name': {'given': 'Citra', 'lineage': None, 'family': 'Dewi', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Fajriyanto', 'honourific': None, 'given': 'Fajriyanto'}, 'id': 'fajriyanto.fajroyanto@eng.unila.ac.id'}]",show,2023-04-27 06:15:30,archive,50781,2023-04-27 06:15:30,"[{'placement': 3, 'eprintid': 50781, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190490', 'pos': 3, 'security': 'public', 'docid': 190490, 'main': '23183-Article Text-85645-1-10-20230427_g.pdf', 'files': [{'fileid': 547054, 'datasetid': 'document', 'hash': '4b0216c58ca8209a98213db8f310eccd', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-27 03:56:01', 'filesize': 881524, 'objectid': 190490, 'filename': '23183-Article Text-85645-1-10-20230427_g.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/547054'}], 'format': 'text', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}]",240,49665.0,TRUE,1.0,44-52,2579-5546,Jurnal Geocelebes,7.0,,https://journal.unhas.ac.id/index.php/geocelebes/article/view/23183,https://doi.org/10.20956/geocelebes.v7i1.23183,"[{'url': 'https://journal.unhas.ac.id/index.php/geocelebes/article/view/23183', 'type': 'pub'}]"
7,['FT11'],Department of Geomatics Engineering - ITS,disk0_bak/00/04/86/81,6,pub,public,2023-03-01 07:45:45,published,['G1'],http://repository.lppm.unila.ac.id/id/eprint/48681,2023-02-01,"Abstrak: Perkembangan perekonomian di Kota Metro yang didominasi bidang industri, jasa dan pertanian berbanding
lurus dengan peningkatan kebutuhan akan lahan. Pemenuhan kebutuhan akan lahan yang berimplikasi dengan kondisi
ekonomi pada tingkat kabupaten/kota membutuhkan penggunaan lahan yang selaras dengan acuan yang ada agar
mencapai tujuan pembangunan. Penelitian ini dilakukan dengan mengolah data citra landsat 8 menggunakan metode
klasifikasi terbimbing dan pengujian hasil klasifikasi dengan menggunakan matriks konfusi. Proses analisis kesesuaian penggunaan lahan terhadap pola ruang dilakukan dengan menggunakan teknik overlay. Hasil penelitian menunjukkan kelas penggunaan lahan terdapat 4 kelas yaitu pemukiman, pertanian, tanah terbuka dan tubuh air. Luas penggunaan lahan yang sesuai dengan pola ruang sebesar 5416,75 Ha, sedangkan luas penggunaan lahan yang tidak sesuai sebesar 1457,25 Ha.",Kesesuaian Penggunaan Lahan di Kota Metro Terhadap Pola Ruang,article,"[{'id': 'eko.rahmadi@eng.unila.ac.id', 'name': {'given': 'Eko', 'lineage': None, 'family': 'Rahmadi', 'honourific': None}}, {'name': {'family': 'Dewi', 'lineage': None, 'honourific': None, 'given': 'Citra'}, 'id': 'citra.dewi@eng.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Anisa', 'given': 'Rahma'}, 'id': 'rahma.anisa@eng.unila.ac.id'}, {'name': {'given': 'Fajriyanto', 'family': 'Fajriyanto', 'lineage': None, 'honourific': None}, 'id': 'fajriyanto.fajriyanto@eng.unila.ac.id'}]",show,2023-03-01 07:45:45,archive,48681,2023-03-01 07:45:45,"[{'placement': 1, 'eprintid': 48681, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188039', 'security': 'public', 'main': '15568-38529-1-PB (1).pdf', 'docid': 188039, 'files': [{'fileid': 530564, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '63a57d6b4e14c18c94a0ac562e3c9f89', 'objectid': 188039, 'filesize': 609610, 'filename': '15568-38529-1-PB (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/530564', 'hash_type': 'MD5', 'mtime': '2023-03-01 04:49:05'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",100,,TRUE,2.0,237-242,1858-2281,Geoid Journal of Geodesy and Geomatics,18.0,,https://iptek.its.ac.id/index.php/geoid/article/view/15568,,
8,['FT11'],Department of Geomatics Engineering - ITS,disk0_bak/00/04/88/35,7,pub,public,2023-03-07 07:08:26,published,['T1'],http://repository.lppm.unila.ac.id/id/eprint/48835,2023-02-01,"Perkembangan perekonomian di Kota Metro yang didominasi bidang industri, jasa dan pertanian berbanding
lurus dengan peningkatan kebutuhan akan lahan. Pemenuhan kebutuhan akan lahan yang berimplikasi dengan kondisi
ekonomi pada tingkat kabupaten/kota membutuhkan penggunaan lahan yang selaras dengan acuan yang ada agar
mencapai tujuan pembangunan. Penelitian ini dilakukan dengan mengolah data citra landsat 8 menggunakan metode
klasifikasi terbimbing dan pengujian hasil klasifikasi dengan menggunakan matriks konfusi. Proses analisis kesesuaian
penggunaan lahan terhadap pola ruang dilakukan dengan menggunakan teknik overlay. Hasil penelitian menunjukkan
kelas penggunaan lahan terdapat 4 kelas yaitu pemukiman, pertanian, tanah terbuka dan tubuh air. Luas penggunaan
lahan yang sesuai dengan pola ruang sebesar 5416,75 Ha, sedangkan luas penggunaan lahan yang tidak sesuai sebesar
1457,25 Ha",Kesesuaian Penggunaan Lahan di Kota Metro Terhadap Pola Ruang,other,"[{'id': 'eko.rahmadi@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Rahmadi', 'given': 'Eko'}}, {'id': 'citra.dewi@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Dewi', 'lineage': None, 'given': 'Citra'}}, {'id': 'rahma.anisa@eng.unila.ac.id', 'name': {'given': 'Rahma', 'honourific': None, 'family': 'Anisa', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Fajriyanto', 'given': 'Fajriyanto'}, 'id': 'fajriyanto.fajroyanto@eng.unila.ac.id'}]",show,2023-03-07 07:08:26,archive,48835,2023-03-07 07:08:26,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188276', 'eprintid': 48835, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 188276, 'main': 'Kesesuaian Penggunaan Lahan.pdf', 'files': [{'mtime': '2023-03-07 05:18:26', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/531795', 'filename': 'Kesesuaian Penggunaan Lahan.pdf', 'objectid': 188276, 'filesize': 820045, 'hash': 'ab5fe9165842e157b4355060b4023beb', 'mime_type': 'application/pdf', 'fileid': 531795, 'datasetid': 'document'}]}]",100,,,,,,,,Geoid Journal of Geodesy and Geomatics,https://iptek.its.ac.id/index.php/geoid/article/view/15568/7337,,
9,['FT11'],Department of Geomatics Engineering - ITS,disk0_bak/00/04/86/88,7,pub,public,2023-03-01 07:46:02,published,['G1'],http://repository.lppm.unila.ac.id/id/eprint/48688,2023-02-01,"Abstrak: Perkembangan perekonomian di Kota Metro yang didominasi bidang industri, jasa dan pertanian berbanding
lurus dengan peningkatan kebutuhan akan lahan. Pemenuhan kebutuhan akan lahan yang berimplikasi dengan kondisi
ekonomi pada tingkat kabupaten/kota membutuhkan penggunaan lahan yang selaras dengan acuan yang ada agar
mencapai tujuan pembangunan. Penelitian ini dilakukan dengan mengolah data citra landsat 8 menggunakan metode
klasifikasi terbimbing dan pengujian hasil klasifikasi dengan menggunakan matriks konfusi. Proses analisis kesesuaian
penggunaan lahan terhadap pola ruang dilakukan dengan menggunakan teknik overlay. Hasil penelitian menunjukkan
kelas penggunaan lahan terdapat 4 kelas yaitu pemukiman, pertanian, tanah terbuka dan tubuh air. Luas penggunaan
lahan yang sesuai dengan pola ruang sebesar 5416,75 Ha, sedangkan luas penggunaan lahan yang tidak sesuai sebesar
1457,25 Ha.",Kesesuaian Penggunaan Lahan di Kota Metro Terhadap Pola Ruang,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Rahmadi', 'given': 'Eko'}, 'id': 'eko.rahmadi@eng.unila.ac.id'}, {'id': 'citra.dewi@eng.unila.ac.id', 'name': {'family': 'dewi', 'lineage': None, 'honourific': None, 'given': 'citra'}}, {'name': {'family': 'Anisa', 'lineage': None, 'honourific': None, 'given': 'Rahma'}, 'id': 'rahma.anisa@eng.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Fajriyanto', 'given': 'Fajriyanto'}, 'id': 'fajriyanto.fajroyanto@eng.unila.ac.id'}]",show,2023-03-01 07:46:02,archive,48688,2023-03-01 07:46:02,"[{'placement': 1, 'eprintid': 48688, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188059', 'pos': 1, 'security': 'public', 'main': 'korespondensi.pdf', 'files': [{'fileid': 530660, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f36b36c160a4809ed01b1ba3b0be380a', 'filesize': 324217, 'objectid': 188059, 'filename': 'korespondensi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/530660', 'hash_type': 'MD5', 'mtime': '2023-03-01 05:18:01'}], 'docid': 188059, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",100,,,,,,,,Geoid Journal of Geodesy and Geomatics,https://iptek.its.ac.id/index.php/geoid/article/view/15568,,
