,subjects,date_type,date,uri,abstract,dir,publisher,divisions,rev_number,ispublished,status_changed,full_text_status,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,userid,title,type,creators,volume,publication,related_url,issn,pagerange,number,refereed,id_number,event_type,event_title,event_dates,pres_type,event_location,official_url,referencetext,contact_email,funders,projects,corp_creators,contributors,succeeds,note,place_of_pub,keywords
0,['TA'],published,1970-01-01 00:00:00.000002016,http://repository.lppm.unila.ac.id/id/eprint/41330,Penelitian Hibah Bersaing Lanjutan 2016,disk0/00/04/13/30,DIKTI,['FT4'],7,pub,2022-04-14 03:14:06,public,show,archive,41330,2022-04-14 03:14:06,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162920', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41330, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'mime_type': 'application/pdf', 'hash': '64b26381aec1467b50f218337213e0a6', 'fileid': 458242, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/458242', 'filename': 'Kontrak Penelitian Hibah Bersaing Lanjutan 2016.pdf', 'filesize': 1176039, 'objectid': 162920, 'mtime': '2022-04-14 03:06:23', 'hash_type': 'MD5'}], 'main': 'Kontrak Penelitian Hibah Bersaing Lanjutan 2016.pdf', 'docid': 162920, 'format': 'text'}]",2022-04-14 03:14:06,808,"Surat Penugasan Penelitian Hibah Bersaing Lanjutan ""Pemodelan Perkuatan Tanah Dengan Matras Beton Sebagai Perkuatan Jalan Diatas Tanah Lempung dengan Sistem Pengontrolan Microkontroler Arduino Uno""",other,"[{'name': {'lineage': None, 'family': 'Afriani', 'honourific': None, 'given': 'Lusmeilia'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,,,,,
1,['TA'],published,2016-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/27146,"Nilai CBR adalah digunakan sebagai indeks kekuatan tanah dan melihat nilai daya dukung
tanahnya. Nilai ini digunakan dan diterapkan dalam desain dasar dan bahan sebagai bahan
perkerasan tanah dasar. Tanah yang ditemuakan dilapangan sering mendapatkan tanah yang tidak
stabil, oleh sebab itu tanah tersebut dicoba untuk memperbaiki dengan penambahan fraksi pasir
yaitu yaitu tertahan di ayakan nomor 2 dan sampai nomor 200. Biasanya pekerjaan ini juga untuk
timbunan dan tanggul. Pasir -stabilized tanah sering digunakan untuk pembangunan lapisan
perkerasan ini dan juga untuk tanggul. CBR-nilai adalah tes indikator akrab digunakan untuk
mengevaluasi kekuatan tanah untuk aplikasi ini. CBR-test dilakukan untuk mengkarakterisasi
kekuatan dan daya dukung tanah dipelajari dan campuran mereka dengan pasir. CBR-nilai dari
tanah perubahannya, dipadatkan pada kadar air optimum, batas Atterbeg diberikan dalam laporan
ini. Semua spesimen disusun menggunakan tes proctor standar.
Hasil penelitian yang akan dilakukan dalam bentuk grafik pada hubungan antara nilai CBR dengan
batas cair., LL, maksimum kepadatan kering. Hasil ini juga akan menampilkan hubungan grafis
antara indeks plastisitas dengan kandungan fraksi pasir dan fraksi tanah lempung. Hasil yang
didapat menunjukan bahwa
Hubungan nilai CBR dan nilai LL hal ini terlihat bahwa semangkin rendah nilai LL maka akan
meningkatkan nilai CBRnya. Hasil penelitian memperlihatkan bahwa kandungan pasir dapat
meningkatkan nilai CBRnya. Nilai CBR tertinggi ada pada kandungan pasir 71,11%.",disk0/00/02/71/46,Jurusan Teknik Sipil Universitas Lampung,['FT4'],6,pub,2020-12-28 01:45:34,public,show,archive,27146,2020-12-28 01:45:34,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 41165, 'main': 'Artikel LA_YJ_2016.pdf', 'files': [{'hash': 'f9dc5195fc09b92d81f1af89fb16f564', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 243311, 'mtime': '2020-12-27 04:36:28', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/243311', 'filename': 'Artikel LA_YJ_2016.pdf', 'filesize': 817540, 'objectid': 41165}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41165', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 27146}]",2020-12-28 01:45:34,808,"Pengaruh Fraksi Pasir Dalam Campuran Tanah Lempung Terhadap Nilai
CBR dan Indeks Plastisitas Untuk Meningkatkan Daya Dukung Tanah Dasar",article,"[{'name': {'given': 'Lusmeilia', 'honourific': None, 'lineage': None, 'family': 'Afriani'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Juansyah', 'honourific': None, 'given': 'Yan'}, 'id': 'juansyah1@yahoo.com'}]",20.0,Rekayasa : Jurnal Ilmiah Fakultas Teknik Universitas Lampung,[{'url': 'http://ft-sipil.unila.ac.id/ejournals/index.php/jrekayasa/article/view/229/pdf'}],0852-7733,23-32,1.0,TRUE,,,,,,,,,,,,,,,,,
2,['TA'],published,2016-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/38380,Similarity Cek,disk0/00/03/83/80,Jurnal Rekayasa,['FT4'],7,pub,2022-01-26 06:21:48,public,show,archive,38380,2022-01-26 06:21:48,"[{'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '3787dfd9f053410d7468319285546ce2', 'datasetid': 'document', 'fileid': 435081, 'mtime': '2022-01-26 05:05:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/435081', 'filename': 'Plagiarisme_Jurnal Tidak terakreditasi (5)_Pengaruh Fraksi Pasir Dalam Campuran Tanah Lempung Terhadap Nilai CBR dan Indeks Plastisitas Untuk Meningkatkan Daya Dukung Tanah Dasar.pdf', 'filesize': 2136020, 'objectid': 159476}], 'main': 'Plagiarisme_Jurnal Tidak terakreditasi (5)_Pengaruh Fraksi Pasir Dalam Campuran Tanah Lempung Terhadap Nilai CBR dan Indeks Plastisitas Untuk Meningkatkan Daya Dukung Tanah Dasar.pdf', 'docid': 159476, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 38380, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159476', 'pos': 1}]",2022-01-26 06:21:48,808,Pengaruh Fraksi Pasir Dalam Campuran Tanah Lempung Terhadap Nilai CBR dan Indeks Plastisitas Untuk Meningkatkan Daya Dukung Tanah Dasar,other,"[{'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'given': 'Lusmeilia', 'family': 'Afriani', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Yan', 'honourific': None, 'lineage': None, 'family': 'Juansyah'}, 'id': 'juansyah1@yahoo.com'}]",,,,,,,,,,,,,,,,,,,,,,,,
3,['TA'],published,2016-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/41229,"CBR-value is used as an index of soil strength and bearing capacity. This value is broadly used
and applied in design of the base and the sub-base material for pavement. Sand –stabilized soils
are often used for the construction of these pavement layers and also for embankments. CBR-value
is a familiar indicator test used to evaluate the strength of soils for these applications. CBR-test
was conducted to characterize the strength and the bearing capacity of the studied soils and their
mixtures with sand. CBR-values of  the diference soils, compacted at optimum water content,
Atterbeg limit are given in  this report. All the specimens were prepared using a standard proctor
test.
The results of the research will be made in the form of a graph on the relationship between the
value of CBR to the liquid limit.,  LL,  maximum dry density.  The results also will  display the
graphic relationship between the plasticity index with content of sand fraction and clay fraction.
The test results show that the Atterberg limits that a percentage of the original soil and addition of
sand. ff (loose soil). The results showed that Relationships LL CBR value and the fraction of sand
fraction that the lower the value of LL will increase the value CBRnya. The results showed that the
content of the sand can increase the value CBRn. CBR value is highest at 71.11% sand content.
Keywords: CBR Value, plasticity index, soil physic.",disk0/00/04/12/29,,['FT4'],7,pub,2022-04-12 01:22:28,public,show,archive,41229,2022-04-12 01:22:28,"[{'placement': 1, 'eprintid': 41229, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162891', 'security': 'public', 'main': '6.Dok Lengkap_Pengaruh Fraksi Pasir Dalam Campuran Tanah Lempung Terha.pdf', 'docid': 162891, 'files': [{'filesize': 1568970, 'objectid': 162891, 'filename': '6.Dok Lengkap_Pengaruh Fraksi Pasir Dalam Campuran Tanah Lempung Terha.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/458026', 'hash_type': 'MD5', 'mtime': '2022-04-13 02:29:05', 'fileid': 458026, 'datasetid': 'document', 'hash': '94f3d1ef1e50589d9f793b905338afaa', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-04-13 02:29:05,808,Pengaruh Fraksi Pasir Dalam Campuran Tanah Lempung Terhadap Nilai CBR dan Indeks Plastisitas Untuk Meningkatkan Daya Dukung Tanah Dasar,article,"[{'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'given': 'Lusmeilia', 'honourific': None, 'family': 'Afriani', 'lineage': None}}, {'name': {'given': 'Yan', 'family': 'Juansyah', 'lineage': None, 'honourific': None}, 'id': 'juansyah1@yahoo.com'}]",20.0,Rekayasa: Jurnal Ilmiah,,0852-7733,23-32,1.0,TRUE,,,,,,,,,,,,,,,,,
4,['TA'],,2016-06-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47220,"ABSTRACT: The slaking phenomenon of geo-materials derived from weak rocks such as mudstone or shale may cause the deformation of earth structures. Thus it should be properly considered in the process of design and construction. Previous researches indicated that slaking causes variation in particle size distribution and change in mechanical properties. However, mechanism of slaking phenomena and its mechanical consequence needs to be studied carefully. Therefore, investigation of slaking and deformation behavior through several laboratory tests was performed. In order to discuss the fundamental slaking phenomena, laboratory experiments such as ordinary acceleration slaking tests, X-Ray Fluorescence tests (XR-F) and Scanning Electron Microscopy (SEM) observation have been performed. Moreover, in order to observe the slaking phenomena and its effect on compression behavior, we modified one dimensional compression slaking test in which cyclic processes of wetting and drying is given. Kobe mudstone and Kakegawa mudstone were used to perform one-dimensional compression slaking test. The experimental results of one dimensional compression slaking tests showed that particle crushing phenomenon during the compressive stress contributes to increasing compressibility. The compressive slaking revealed that slaking under reaction stress cause the large compression even the mudstone specimens compacted to medium density. The study also suggested that it is possible to describe the slaking phenomenon in a similar way as the particle-crushing phenomenon using the scaler grading index that represents particle characteristics.   Key words: Slaking, mudstone, particle size distribution, particle crushing, grading index",disk0/00/04/72/20,American Rock Mechanics Association (ARMA),['FT4'],8,pub,2022-12-15 08:00:30,public,show,archive,47220,2022-12-15 08:00:30,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186194', 'pos': 1, 'eprintid': 47220, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'format': 'text', 'main': 'Slaking of Mudstone and Its Mechanical Consequences in 1D Compression Condition.pdf', 'files': [{'fileid': 518444, 'datasetid': 'document', 'hash': 'f55bce185536953008edfdbb49280197', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-12-14 10:39:15', 'filesize': 944614, 'objectid': 186194, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518444', 'filename': 'Slaking of Mudstone and Its Mechanical Consequences in 1D Compression Condition.pdf'}], 'docid': 186194}]",2022-12-15 08:00:30,186,Slaking of Mudstone and its Mechanical Consequences in                        1D compression condition,other,"[{'id': 'andius.dasaputra@eng.unila.ac.id', 'name': {'given': 'Dasa Putra', 'lineage': None, 'family': 'Andius', 'honourific': None}}]",,,,,,,,ARMA-2016-116,,,,,,,,,,,,,,,,
5,['TA'],,2016-06-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/45658,"The slaking phenomenon of geo-materials derived from weak rocks such as mudstone or shale may cause the deformation of earth structures. Thus it should be properly considered in the process of design and construction. Previous researches indicated that slaking causes variation in particle size distribution and change in mechanical properties. However, mechanism of slaking phenomena and its mechanical consequence needs to be studied carefully. Therefore, investigation of slaking and deformation behavior through several laboratory tests was performed. In order to discuss the fundamental slaking phenomena, laboratory experiments such as ordinary acceleration slaking tests, X-Ray Fluorescence tests (XR-F) and Scanning Electron Microscopy (SEM) observation have been performed. Moreover, in order to observe the slaking phenomena and its effect on compression behavior, we modified one dimensional compression slaking test in which cyclic processes of wetting and drying is given. Kobe mudstone and Kakegawa mudstone were used to perform one-dimensional compression slaking test. The experimental results of one dimensional compression slaking tests showed that particle crushing phenomenon during the compressive stress contributes to increasing compressibility. The compressive slaking revealed that slaking under reaction stress cause the large compression even the mudstone specimens compacted to medium density. The study also suggested that it is possible to describe the slaking phenomenon in a similar way as the particle-crushing phenomenon using the scaler grading index that represents particle characteristics.   Key words: Slaking, mudstone, particle size distribution, particle crushing, grading index",disk0/00/04/56/58,,['FT4'],7,pub,2022-10-13 01:18:36,public,show,archive,45658,2022-10-13 01:18:36,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 184467, 'main': 'Slaking of Mudstone and Its Mechanical Consequences in 1D Compression Condition.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-10-12 11:54:23', 'filesize': 849595, 'objectid': 184467, 'filename': 'Slaking of Mudstone and Its Mechanical Consequences in 1D Compression Condition.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506544', 'fileid': 506544, 'datasetid': 'document', 'hash': '15db0b90e4c4e2d9d047b734180ad48d', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184467', 'pos': 1, 'eprintid': 45658, 'placement': 1}]",2022-10-13 01:18:36,186,Slaking of Mudstone and Its Mechanical Consequences in 1D Compression Condition,conference_item,"[{'id': 'andius.dasaputra@eng.unila.ac.id', 'name': {'family': 'Andius', 'lineage': None, 'honourific': None, 'given': 'Dasa Putra'}}, {'name': {'given': 'Kikumoto', 'honourific': None, 'family': 'Mamoru', 'lineage': None}, 'id': None}]",,,,,,,TRUE,,conference,50th U.S. Rock Mechanics/Geomechanics Symposium,26-29 Juni 2016,paper,"Houston, Texas",https://onepetro.org/,,,,,,,,,,
6,['TA'],,1970-01-01 00:00:00.000002016,http://repository.lppm.unila.ac.id/id/eprint/45662,"This paper investigates the slaking behavior of several kinds of mudstone and the mechanical consequences using a comprehensive set of experimental data obtained through accelerated slaking tests and newly developed one-dimensional compression slaking tests. These data confirm that slaking in crushed mudstone is accompanied by a variation in the particle size distribution during wetting and drying cycles, and a variation in grading results in an irreversible change in mechanical characteristics, such as the reference packing density. Significant compression is also found to occur without any change in effective confining stress. The results of XRD (X-ray diffraction) analysis and scanning electron microscopy (SEM) are also used to elucidate the effects of mineralogy and particle texture on the slaking characteristics of crushed mudstone. Finally, it is also mentioned that constitutive modelling can take slaking into consideration by describing the evolution of an appropriate grading index due to slaking, and then linking this to reference packing density. Keywords— compressibility, particle size distribution, accelerated-slaking, microscopy, mineralogy, mudstones.",disk0/00/04/56/62,,['FT4'],9,pub,2022-10-13 01:18:44,public,show,archive,45662,2022-10-13 01:18:44,"[{'main': 'Weathering of Geomaterials and Deformation Behaviour.pdf', 'docid': 184470, 'files': [{'mtime': '2022-10-12 14:32:27', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506570', 'filename': 'Weathering of Geomaterials and Deformation Behaviour.pdf', 'objectid': 184470, 'filesize': 2133310, 'hash': 'cdf97548f9c071841717d38b9c13e8fe', 'mime_type': 'application/pdf', 'fileid': 506570, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 45662, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184470', 'pos': 1, 'security': 'public'}]",2022-10-13 01:18:44,186,Weathering of geomaterials and deformation behavior,conference_item,"[{'id': 'andius.dasaputra@eng.unila.ac.id', 'name': {'given': 'Dasa Putra', 'honourific': None, 'lineage': None, 'family': 'Andius'}}, {'name': {'family': 'Mamoru', 'lineage': None, 'honourific': None, 'given': 'Kikumoto'}, 'id': None}]",,,,,,,TRUE,,conference,"IC-STAR The 2th International Conference On Science, Technology, And Interdisciplinary Research 2016",22-25 Agustus 2016,paper,Bandar Lampung,https://ic-star.unila.ac.id/,,,,,,,,,,
7,['TA'],,2016-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47222,"Abstract—This paper investigates the slaking behavior of several kinds of mudstone and the mechanical consequences using a comprehensive set of experimental data obtained through accelerated slaking tests and newly developed one-dimensional compression slaking tests. These data confirm that slaking in crushed mudstone is accompanied by a variation in the particle size distribution during wetting and drying cycles, and a variation in grading results in an irreversible change in mechanical characteristics, such as the reference packing density. Significant compression is also found to occur without any change in effective confining stress. The results of XRD (X-ray diffraction) analysis and scanning electron microscopy (SEM) are also used to elucidate the effects of mineralogy and particle texture on the slaking characteristics of crushed mudstone. Finally, it is also mentioned that constitutive modelling can take slaking into consideration by describing the evolution of an appropriate grading index due to slaking, and then linking this to reference packing density. Keywords— compressibility, particle size distribution, accelerated-slaking, microscopy, mineralogy, mudstones",disk0/00/04/72/22,IC-STAR 2016,['FT4'],7,pub,2022-12-15 08:00:32,public,show,archive,47222,2022-12-15 08:00:32,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Weathering of Geomaterials and Deformation Behaviour.pdf', 'docid': 186196, 'files': [{'hash_type': 'MD5', 'mtime': '2022-12-14 10:48:36', 'objectid': 186196, 'filesize': 2226018, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518458', 'filename': 'Weathering of Geomaterials and Deformation Behaviour.pdf', 'datasetid': 'document', 'fileid': 518458, 'mime_type': 'application/pdf', 'hash': '888d6bc284bd98b2d384238b40c08887'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186196', 'pos': 1, 'eprintid': 47222, 'placement': 1}]",2022-12-15 08:00:32,186,Weathering of geomaterials and deformation behavior,other,"[{'name': {'given': 'Dasa Putra', 'honourific': None, 'lineage': None, 'family': 'Andius'}, 'id': 'andius.dasaputra@eng.unila.ac.id'}, {'id': None, 'name': {'given': 'Kikumoto', 'honourific': None, 'lineage': None, 'family': 'Mamoru'}}]",,,,,,,,,,,,,,,,,,,,,,,,
8,['TA'],published,2016-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3126,"BThis study was conducted to determine how the existing drainage system is already optimal and
how the capacity of the existing channels are still adequate or not.
In practical analysis of hydrology and hydraulics. Hydrological analysis using the data after the
maximum rainfall was measured dispersion through the calculation of statistical parameters.
Followed by choosing the type of distribution to get a way to process data rainfall measurement
and calculation of rainfall intensity plan. Analissis hydraulics drainage discharge capacity of the
existing form, after it created the system and the appropriate dimensions.
The results based on measurements obtained dispersion suitable distribution is the distribution of
Log Pearson III and precipitation values obtained plans for a return period of 2 years at
101.7983739 mm watershed drainage coefficient obtained at 0.8961 with a basin area 501.32 m2.
Values rain discharge for return period of 2 years with a rational method obtained value 2.1172
m3 / sec. Qhujan value is 2.1172 m3 / sec while the value Qteoritis is 0.0833 m3 / sec. Because
Qhujan larger than Qteoritis, it can be concluded that the existing drainage channels is not
enough anymore to accommodate the existing flood discharge.
Keywords: drainage, hydrology analysis, hydraulics analysis, distribution log pearson III,
drainage coefficient, discharge.",disk0/00/00/31/26,Jurusan Teknik Sipil,['FT4'],11,pub,2017-06-08 04:45:49,public,show,archive,3126,2017-06-08 04:37:35,"[{'format': 'text', 'main': '403-891-1-PB riko ok.pdf', 'docid': 3111, 'files': [{'hash_type': 'MD5', 'mtime': '2017-06-03 01:01:00', 'objectid': 3111, 'filesize': 119896, 'filename': '403-891-1-PB riko ok.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/22409', 'fileid': 22409, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7017afeaad2c7cb006132d182032a425'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 3126, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3111'}]",2017-06-08 04:45:49,491,"Study System Drainase di Fakultas Teknik
Universitas Lampung",article,"[{'id': 'rikoberliardian074@gmail.com', 'name': {'given': 'Riko', 'lineage': None, 'family': 'Berlian', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Zakaria', 'lineage': None, 'given': 'Ahmad'}, 'id': 'ahmad.zakaria@eng.unila.ac.id'}, {'id': 'gatot89@yahoo.ca', 'name': {'family': 'Susilo', 'lineage': None, 'honourific': None, 'given': 'Gatot'}}]",4.0,Jurnal Rekayasa Sipil dan Desain (JRSDD),,ISSN:2303-0011,503-512,3.0,TRUE,,,,,,,http://journal.eng.unila.ac.id/,"Harto, Sri, 2004, Analisis Hidrologi, Gramedia Pustaka Utama, Yogyakarta.
Joesron Loebis, 1992, Banjir Rencana Untuk Bangunan Air, Departemen Pekerjaan
Umum.
Lakitan, B. 2002, Dasar-dasar klimatologi, RajaGrafindo Persada, Jakarta, 174 hlm.
Suhardjono, 1984, Drainasi, Fakultas Teknik Universitas Brawijaya, Malang.
Suripin, 2004, Sistem Drainase Perkotaan yang Berkelanjutan. ANDI, Yogyakarta, hal.
384",ahmad.zakaria@eng.unila.ac.id,,,,,,,,
9,['TA'],published,2016-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/41231,"Brick is a material t hat  made of clay. Bricks were made with or without additional mixturel through
some processes and stages. I n  t his study used the clay with additional mixture 2500 ISS ( Ionic Soil
Stabilizer ) which has variety levels mixture of 0,9 ml, 1,2 ml , 1,5 ml and 2,1 ml with the intention to improve
the quality of brick. It is necessary to do the research , so this study can be compared with SNI standards.
The tested samples in this study are clay that comes from jl . Nunyai , Rajabasa . It sample was curing for 7
day and then, the samples will be done with or without burning process.
Based on the results of physical testing the samples, USCS classify soil samples as clay with low plasticity
and belongs to the ML group . After doing research of compressive strength testing of with and without
burning process from four levels generating the compressive strength maximum average at a level of 2.1 ml
both of them. With value 21,24 kg / cm
2
 for burning process and 4.25 kg / cm
2
 for without burning process.
Which is both of those treatments are not included into 25 classes based on tables strength of compressed
bricks ( SNI 1991 ).
Keywords: brick, clay, iss 2500 (ionic soil stabilizer), compressive strength.",disk0/00/04/12/31,Jurusan Teknik Sipil Universitas Lampung,['FT4'],7,pub,2022-04-12 01:22:35,public,show,archive,41231,2022-04-12 01:22:35,"[{'format': 'text', 'main': '8. Dok Lengkap_Analisis Pengaruh Penambahan Zat Additive Iss 2500 Terhadap Kuat Tekan Batu Bata Dan Tanpa Proses Pembak.pdf', 'docid': 162894, 'files': [{'mtime': '2022-04-13 02:32:32', 'hash_type': 'MD5', 'filename': '8. Dok Lengkap_Analisis Pengaruh Penambahan Zat Additive Iss 2500 Terhadap Kuat Tekan Batu Bata Dan Tanpa Proses Pembak.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/458033', 'objectid': 162894, 'filesize': 864439, 'mime_type': 'application/pdf', 'hash': '2daf19fcebdda9c02afbc0a499af2869', 'datasetid': 'document', 'fileid': 458033}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 41231, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162894'}]",2022-04-13 02:32:32,808,Analisa Pengaruh PenambahanZat AdditiveISS 2500 Terhadap Kuat Tekan Batu Bata dan Tanpa Proses Pembakaran,article,"[{'name': {'given': 'Aria', 'lineage': None, 'family': 'Febriantama', 'honourific': None}, 'id': None}, {'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Afriani', 'lineage': None, 'given': 'Lusmeilia'}}, {'id': 'setyanto@eng.unila.ac.id', 'name': {'family': 'Setyanto', 'lineage': None, 'honourific': None, 'given': 'Setyanto'}}]",4.0,Jurnal Rekayasa Sipil Dan Disain (JRSDD),,P-ISSN: 2303-0011 (Print); E-ISSN: 2715-0690 (Online),59-66,1.0,TRUE,,,,,,,,,,,,,,,,,
