,divisions,publisher,dir,full_text_status,status_changed,rev_number,ispublished,subjects,abstract,date,uri,creators,type,title,datestamp,eprintid,eprint_status,metadata_visibility,userid,lastmod,documents,publication,issn,refereed,pagerange,id_number,official_url,number,related_url,date_type,pages,patent_applicant,succeeds,contributors,volume,corp_creators,event_location,pres_type,event_dates,event_type,event_title,referencetext,funders,contact_email,keywords,place_of_pub
0,['FT4'],LPPM UNILA,disk0/00/00/18/50,public,2017-05-29 08:08:24,8,unpub,['TA'],"Fiber Reinforced Polymer (FRP) merupakan material yang sudah cukup lama dipergunakan dalam bidang teknik sipil sebagai perkuatan struktur (ACI 440.2R, 2008). Namun penggunakan material ini baru mulai di gunakan di Indonesia dalam satu dekade terakhir ini karena merupakan material import dan mahal harganya. Keuntungan material ini dibandingkan dengan baja tulangan adalah sifatnya yang tahan terhadap korosi, kekuatan yang tinggi dan ringan, serta tidak menghantarkan daya listrik sehingga cocok untuk dipergunakan sebagai pengganti tulangan baja di dalam struktur beton. Berdasarkan uraian di atas, maka pemanfaatn teknologi komputer akan sangat membantu para insinyur dalam melakukan analisis dan perhitungan dalam mendesain  beton yang ditulangi secara internal oleh  FRP. Selain itu iterasi maupun cara coba-coba dapat dilakukan dengan komputer secara cepat dan akurat sehingga akan memberikan efisiensi waktu juga.",2017-05-05 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1850,"[{'name': {'given': 'FIKRI', 'honourific': None, 'family': 'ALAMI', 'lineage': None}, 'id': 'fikri.alami@eng.unila.ac.id'}]",other,PEMBUATAN SOFTWARE ANALISIS DAN DESAIN LENTUR BALOK BETON DITULANGI FIBER REINFORCED POLYMER (FRP) MEMAKAI PROGRAM BORLAND DELPHI,2017-05-29 08:08:24,1850,archive,show,399,2017-05-29 08:08:24,"[{'eprintid': 1850, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1704', 'pos': 1, 'format': 'image', 'docid': 1704, 'main': 'PengesahanPenelitianDosenMuda.jpg', 'files': [{'datasetid': 'document', 'fileid': 12933, 'mime_type': 'image/jpeg', 'hash': '0da0164e3a3647353e432781aff5b3b5', 'objectid': 1704, 'filesize': 1809918, 'uri': 'http://repository.lppm.unila.ac.id/id/file/12933', 'filename': 'PengesahanPenelitianDosenMuda.jpg', 'hash_type': 'MD5', 'mtime': '2017-05-29 07:08:54'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'image/jpeg'}]",,,,,,,,,,,,,,,,,,,,,,,,,
1,['FT4'],LPPM Unila,disk0/00/00/25/35,public,2017-07-20 08:54:39,7,unpub,['TH'],"Retrofitting adalah suatu metode perbaikan dan perkuatan pada strukur yang sudah berdiri dikarenakan struktur tersebut mengalami penurunan performance atau kerusakan, atau perubahan fungsi sehingga memerlukan perkuatan. Teknik ini pada tiga decade terakhir melibatkan material dan teknik yang sudah maju. 
Perlunya penyebarluasan metode retrofitting ini secara khusus dalam buku-buku ajar maupun buku teks untuk mendukung perkuliahan. Juga bagi para praktisi/insinyur di bidang teknik sipil, dirasa buku panduan ini akan sangat membantu dalam menyelesaikan masalah-masalah di dalam industri konstruksi.
Oleh karena itu, pembuatan buku ajar untuk mata kuliah Retrofitting pada jurusan teknik sipil Universitas Lampung akan sangat membantu dalam proses belajar mengajar maupun penelitian.",2017-04-21 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/2535,"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'given': 'FIKRI', 'family': 'ALAMI', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Helmi', 'given': 'Masdar'}, 'id': 'masdar.helmi@eng.unila.ac.id'}, {'name': {'given': 'mohd', 'honourific': None, 'lineage': None, 'family': 'Isneini'}, 'id': 'isneini.m@gmail.com'}]",other,Pembuatan Buku Ajar Mata Kuliah Retrofitting,2017-07-20 08:54:39,2535,archive,show,1021,2017-07-20 08:54:39,"[{'eprintid': 2535, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2419', 'format': 'text', 'docid': 2419, 'main': 'Pengesahan buku ajar.docx', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/17530', 'filename': 'Pengesahan buku ajar.docx', 'objectid': 2419, 'filesize': 246258, 'mtime': '2017-05-31 07:16:03', 'hash_type': 'MD5', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'b68ef8e8fe554f82f83c0a5aaeea0c60', 'fileid': 17530, 'datasetid': 'document'}], 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1}]",,,,,,,,,,,,,,,,,,,,,,,,,
2,['FT4'],,disk0/00/01/42/24,public,2019-11-04 02:21:53,7,pub,"['TA', 'TH']","Namosain box-girder bridge was located in Kupang City at Province of Nusa Tenggara Timur (NTT). This bridge was built in 2008 and recently suffered any cracks on the bottom of slab of the box girder during its service load. This bridge was retrofitted using Glass Fiber Reinforced Polymer (GFRP) to reinstate and improve its performance against live loading. Two layers of GFRP, one in longitudinal direction and another in transverse direction was bonded on the bottom of box girder using epoxy resin. The stiffness of the bridge was improved significantly by evaluating its deflection before and after strengthening. Static loading test by using truck loading was performed after 30 days of retrofitting. Stiffness of the bridge was increased by 45% to 70%


Keywords

bridge, box girder, GFRP, static loading",1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/14224,"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'family': 'ALAMI', 'lineage': None, 'honourific': None, 'given': 'FIKRI'}}, {'name': {'given': 'SJ', 'honourific': None, 'lineage': None, 'family': 'Lanoe'}, 'id': 'sjul14n@gmail.com'}, {'id': 'isneini.m@gmail.com', 'name': {'given': 'mohd', 'lineage': None, 'family': 'Isneini', 'honourific': None}}]",article,Retrofitting and Investigation of Performance of Box Girder Bridge Using Glass Fiber Reinforced Polymer (GFRP),2019-11-04 02:21:53,14224,archive,show,648,2019-11-04 02:21:53,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 27279, 'main': 'retrofiting and investigations kupang.pdf', 'files': [{'objectid': 27279, 'filesize': 250630, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123521', 'filename': 'retrofiting and investigations kupang.pdf', 'hash_type': 'MD5', 'mtime': '2019-09-15 06:32:26', 'fileid': 123521, 'datasetid': 'document', 'hash': 'c245e974cd73e1f2152257f13edc00d8', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27279', 'pos': 1, 'eprintid': 14224, 'placement': 1}]",International Conference on Engineering and Technology Development (ICETD) Bandar Lampung University,2301-5690,TRUE,339-344,,,,,,,,,,,,,,,,,,,,,
3,['FT4'],Institution of Civil Engineers,disk0/00/00/68/79,public,2018-05-28 03:42:45,6,pub,['TA'],"The paper reports results of an experimental investigation into load response and failure behaviour of rectangular
prismatic concrete beams reinforced with a combined flexural and shear reinforcement system made from carbon fibre-reinforced polymer (CFRP) fabric. It is shown that CFRP U-channels with aggregate coating and an anchorage
system consisting of a lipped channel section with intermittent closed loops were found to provide improved
composite action between the CFRP reinforcement and concrete. These CFRP channels also ensured adequate
strength and ductility before failure. Possible modes of failure of the beams are discussed, as is the effect of the
design parameters on the failure mode and the failure load. It is anticipated that the findings of this paper could be
effectively used in other applications such as non-prismatic concrete geometries and as permanent
formwork/reinforcement in thin concrete members where the flexible characteristics of dry CFRP fabrics are most
useful.",2017-10-23 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6879,"[{'id': 'Mithila.Achintha@soton.ac.uk', 'name': {'family': 'Achintha', 'lineage': None, 'honourific': None, 'given': 'Mithila'}}, {'id': 'fikri.alami@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'ALAMI', 'given': 'FIKRI'}}, {'name': {'given': 'Sian', 'family': 'Harry', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'Alan', 'honourific': None, 'family': 'Bloodworth', 'lineage': None}}]",article,Towards innovative FRP fabric reinforcement in concrete beams: concrete–CFRP bond,2018-05-28 03:42:45,6879,archive,show,399,2018-05-28 03:42:45,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19858', 'eprintid': 6879, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Journal-jmacr.17.00016_offprint.pdf', 'docid': 19858, 'files': [{'hash_type': 'MD5', 'mtime': '2018-05-09 15:53:38', 'filesize': 1782441, 'objectid': 19858, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63179', 'filename': 'Journal-jmacr.17.00016_offprint.pdf', 'datasetid': 'document', 'fileid': 63179, 'hash': '8880d6ccb156f0e172b4a069aa94f35e', 'mime_type': 'application/pdf'}]}]",Magazine of Concrete Research,,TRUE,1-13,http://dx.doi.org/10.1680/jmacr.17.00016,https://www.ice.org.uk/,170001.0,"[{'url': 'http://dx.doi.org/10.1680/jmacr.17.00016', 'type': 'org'}]",published,,,,,,,,,,,,,,,,
4,['FT4'],Institution of Civil Engineers,disk0/00/00/68/78,public,2018-06-21 08:10:03,7,pub,['TA'],"The paper reports results of an experimental investigation into load response and failure behaviour of rectangular prismatic concrete beams reinforced with a combined flexural and shear reinforcement system made from carbon fibre-reinforced polymer (CFRP) fabric. It is shown that CFRP U-channels with aggregate coating and an anchorage system consisting of a lipped channel section with intermittent closed loops were found to provide improved composite action between the CFRP reinforcement and concrete. These CFRP channels also ensured adequate
strength and ductility before failure. Possible modes of failure of the beams are discussed, as is the effect of the design parameters on the failure mode and the failure load. It is anticipated that the findings of this paper could be effectively used in other applications such as non-prismatic concrete geometries and as permanent
formwork/reinforcement in thin concrete members where the flexible characteristics of dry CFRP fabrics are most useful.",2017-10-23 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6878,"[{'name': {'given': 'Mithila', 'family': 'Achintha', 'lineage': None, 'honourific': None}, 'id': 'Mithila.Achintha@soton.ac.uk'}, {'id': 'fikri.alami@eng.unila.ac.id', 'name': {'given': 'FIKRI', 'lineage': None, 'family': 'ALAMI', 'honourific': None}}, {'name': {'given': 'Sian', 'lineage': None, 'family': 'Harry', 'honourific': None}, 'id': None}, {'name': {'given': 'Alan', 'family': 'Bloodworth', 'lineage': None, 'honourific': None}, 'id': 'a.bloodworth@warwick.ac.uk'}]",article,Towards innovative FRP fabric reinforcement in concrete beams: concrete–CFRP bond,2018-06-21 08:10:03,6878,archive,show,399,2018-06-21 08:10:03,"[{'placement': 1, 'eprintid': 6878, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19857', 'pos': 1, 'security': 'public', 'docid': 19857, 'main': 'jmacr.17.00016_offprint.pdf', 'files': [{'fileid': 63176, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8880d6ccb156f0e172b4a069aa94f35e', 'objectid': 19857, 'filesize': 1782441, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63176', 'filename': 'jmacr.17.00016_offprint.pdf', 'hash_type': 'MD5', 'mtime': '2018-05-09 15:30:35'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published'}]",Magazine of Conrete Research,,TRUE,,http://dx.doi.org/10.1680/jmacr.17.00016,http://dx.doi.org/10.1680/jmacr.17.00016,,,published,,,,,,,,,,,,,,,,
5,['FT4'],Asian Research Publishing Network (ARPN),disk0/00/04/72/24,public,2022-12-15 08:00:37,7,pub,['TA'],"This paper investigates the slaking behaviour of several kinds of crushed mudstone and its mechanical consequences using a comprehensive set of experimental data obtained through accelerated slaking tests and newly developed one-dimensional compression slaking tests. These data confirm that slaking in crushed mudstone is accompanied by a variation in the particle size distribution during wetting and drying cycles, and a variation in grading results in an irreversible change in mechanical characteristics, such as the reference packing density. Significant compression is also found to occur without any change in effective confining stress. The results of XRD (X-ray diffraction) analysis and scanning electron microscopy (SEM) are also used to elucidate the effects of mineralogy and particle texture on the slaking characteristics of crushed mudstone. Finally, it is also mentioned that constitutive modelling can take slaking into consideration by describing the evolution of an appropriate grading index due to slaking, and then linking this to reference packing density. 
 
Keywords: compressibility, SEM, XRD, particle size distribution, mudstones",2017-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47224,"[{'name': {'lineage': None, 'family': 'Andius', 'honourific': None, 'given': 'Dasa Putra'}, 'id': 'andius.dasaputra@eng.unila.ac.id'}, {'name': {'given': 'Kikumoto', 'family': 'Mamoru', 'lineage': None, 'honourific': None}, 'id': None}]",other,WEATHERING-INDUCED DEFORMATION OFGEOMATERIALS DERIVED FROM WEAKROCKS,2022-12-15 08:00:37,47224,archive,show,186,2022-12-15 08:00:37,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 186198, 'main': 'WEATHERING-INDUCED DEFORMATION OFGEOMATERIALS DERIVED FROM WEAKROCKS.pdf', 'files': [{'mtime': '2022-12-14 10:59:25', 'hash_type': 'MD5', 'filename': 'WEATHERING-INDUCED DEFORMATION OFGEOMATERIALS DERIVED FROM WEAKROCKS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518472', 'objectid': 186198, 'filesize': 877875, 'hash': 'b3b475889ab46c1ad4389312ff829058', 'mime_type': 'application/pdf', 'fileid': 518472, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186198', 'security': 'public', 'placement': 1, 'eprintid': 47224}]",,,,,,,,[{'url': 'http://www.arpnjournals.org'}],,,,,,,,,,,,,,,,,
6,['FT4'],,disk0/00/02/32/65,public,2020-07-21 04:14:17,5,pub,['TA'],Suatu konstruksi jalan di atas tanah lunak menggunakan matras-dinding ferosemen yang terdiri dari: matras berupa susunan  panel ferosemen berbentuk kotak yang terbuka pada salah satu sisi terluasnya dan terdapat lobang udara pada keempat sisi sampingnya; dinding berupa rangkaian panel panjang ferosemen berpenampang kanal yang disusun zig-zag berhadap-hadapan di kedua sisi badan jalan; cerucuk berupa batang bambu berpenampang bundar; timbunan berupa tanah berpasir yang dipadatkan; dan lapisan penutup jalan berupa beton bertulang sebagai satu kesatuan invensi.,2017-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23265,"[{'id': 'masdar.helmi@eng.unila.ac.id', 'name': {'family': 'Helmi', 'lineage': None, 'honourific': None, 'given': 'Masdar'}}]",patent,KONSTRUKSI JALAN DI ATAS TANAH LUNAK MENGGUNAKAN MATRAS-PANEL FEROSEMEN,2020-07-21 04:14:17,23265,archive,show,1021,2020-07-21 04:14:17,"[{'format': 'text', 'docid': 36828, 'main': 'Sertifikat -paten2 jalan ferosemen.pdf', 'files': [{'datasetid': 'document', 'fileid': 212963, 'mime_type': 'application/pdf', 'hash': '3e0ebff9be5f623e64e76a9f601e1158', 'hash_type': 'MD5', 'mtime': '2020-02-05 03:07:23', 'objectid': 36828, 'filesize': 1542622, 'filename': 'Sertifikat -paten2 jalan ferosemen.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/212963'}], 'language': 'en', 'rev_number': 3, 'mime_type': 'application/pdf', 'eprintid': 23265, 'placement': 7, 'security': 'public', 'pos': 7, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36828'}]",,,,,IDP 000044839,http://e-statushki.dgip.go.id/index.php/penelusuran/paten/P00201100525,,,published,11.0,P00201100525,1866.0,,,,,,,,,,,,,
7,['FT4'],UNJ,disk0/00/00/47/22,public,2017-11-16 03:22:49,7,pub,"['G1', 'Q1']","Kabupaten Pesisir Barat yang terletak pada sepanjang pesisir barat wilayah Lampung merupakan wilayah yang berkaitan erat dengan pengembangan biota-biota laut. Perlindungan dari biota-biota laut tersebut yaitu dalam hal perlindungan terhadap ekosistem terumbu karang. Salah satu upaya dalam perlindungan ekosistem tersebut dapat berupa rehabilitasi untuk mengembalikan keberadaan dan kondisi ekosistem tersebut. Tujuan dari penelitian Terumbu Karang Kabupaten Pesisir Barat ini adalah untuk mengetahui kondisi terumbu karang yang ada di Kabupaten Pesisir Barat dan aplikasi ekowisata bahari terhadap kondisi terumbu karang yang ada. Metode yang digunakan dalam penelitian ini yaitu: 1) Studi literatur; 2) Pengambilan data dengan menggunakan metode transek garis (LIT); 3) Analisa data. Pengambilan data dilakukan pada 3 kecamatan di Kabupaten Pesisir Barat, yaitu Kecamatan Pesisir Selatan, Kecamatan Ngambur dan Kecamatan Bengkunat. Berdasarkan hasil dari penelitian didapatkan tutpan karang hidup di Kecamatan Pesisir Selatan sebesar 33%, di Kecamatan Ngambur 45% dan Kecamatan Bengkunat sebesar 36,6%. Dari ketiga data diatas dapat diambil kesimpulan bahwa kondisi terumbu karang di Kabupaten Pesisir Barat masuk dalam kondisi sedang, untuk kondisi terumbu karang yang demikian sangat baik dilakukan penerapan konsep ekowisata bahari dalam proses pengembangan penggelolaan wilayah pesisir. Pengembangan potensi ekowisata bahari pada wilayah pesisir Kabupaten Pesisir Barat dilakukan bukan berdasarkan longitudinal section akan tetapi juga dikembangkan juga dengan potongan cross section.

Kata Kunci : Terumbu Karang, Pesisir Barat, Ekowisata",2017-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4722,"[{'name': {'lineage': None, 'family': 'Herison', 'honourific': None, 'given': 'Ahmad'}, 'id': 'ahmadherison@yahoo.com'}]",article,"APLIKASI EKOWISATA BAHARI TERHADAP PERKEMBANGAN TERUMBU KARANG
DISISI BARAT PULAU SUMATERA
(Studi Kasus di Kabupaten Pesisir Barat)",2017-11-16 03:22:49,4722,archive,show,686,2017-11-16 03:22:49,"[{'main': 'Spatial Jurnal - Ekowisata.pdf', 'files': [{'datasetid': 'document', 'fileid': 46162, 'hash': '0b44608553298df680efa81f337c31e1', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-06 06:46:26', 'filesize': 12511522, 'objectid': 17644, 'uri': 'http://repository.lppm.unila.ac.id/id/file/46162', 'filename': 'Spatial Jurnal - Ekowisata.pdf'}], 'docid': 17644, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 4722, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17644', 'pos': 1, 'security': 'public'}]",Jurnal Spatial,1693-1408,TRUE,55-66,,,1.0,,published,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],17,,,,,,,,,,,
8,['FT4'],Lembaga penelitian dan pengabdian kepada masyarakat universitas lampung,disk0/00/03/33/53,public,2021-08-08 15:25:59,9,pub,['Q1'],"Coral reefs are coastal marine biota biodiversity. Ketapang beach is one of the tourism destinations in the province of Lampung, therefore there are many activities that can be identified damage to the coral reef at the beach area, so that the necessary steps anticipatory one of them is to transplant corals. The purpose of this service activities 1) Knowing the causes of coral reef degradation in Ketapang Beach, 2) Implement saving coral reefs on the coast of Ketapang, Ketapang District of Pesawaran District. The method is performed in the context of community service are 1) Extension to the public on the importance of coral reef ecosystems, 2) Doing tranplastasi coral fragmentation method using acropora seed. Event followed by several stakeholders from the public and the government. This activity can be concluded: 1) The activities of Ketapang beach tourism indicate damage to coral reefs in the region, it is necessary for coral reef conservation efforts with transplant method. 2) The activity of saving coral reefs done by: transplants used is the fragmentation method. And to preserve the coral reef ecosystem, program outreach to the community is also an effort to prevent the destruction of coral reefs.",1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/33353,"[{'name': {'family': 'Herison', 'lineage': None, 'honourific': None, 'given': 'Ahmad'}, 'id': 'ahmadherison@yahoo.com'}, {'name': {'lineage': None, 'family': 'Romdania', 'honourific': None, 'given': 'Yuda'}, 'id': 'yudaromdania@yahoo.com'}]",article,Bantuan Penyuluhan dan Kegiatan Transplantasi Terumbu Karang di Pantai Ketapang Kabupaten Pesawaran,2021-08-08 15:25:59,33353,archive,show,686,2021-08-08 15:25:59,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Bantuan Penyuluhan dan Kegiatan Transplantasi Terumbu Karang di Pantai Ketapang Kabupaten Pesawaran.pdf', 'docid': 152656, 'files': [{'datasetid': 'document', 'fileid': 395478, 'mime_type': 'application/pdf', 'hash': '7ce28da7e6eb55d448fe77ca9c529682', 'objectid': 152656, 'filesize': 769439, 'uri': 'http://repository.lppm.unila.ac.id/id/file/395478', 'filename': 'Bantuan Penyuluhan dan Kegiatan Transplantasi Terumbu Karang di Pantai Ketapang Kabupaten Pesawaran.pdf', 'hash_type': 'MD5', 'mtime': '2021-08-08 08:25:01'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/152656', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33353}]",Jurnal Sakai Sambayan,2550-1089,TRUE,23-28,,http://jss.lppm.unila.ac.id/index.php/ojs/article/view/14,1.0,[{'url': 'http://jss.lppm.unila.ac.id/index.php/ojs/article/view/14/12'}],published,,,,,1,['Lampung University'],,,,,,,,,,
9,['FT4'],,disk0/00/00/47/15,public,2017-11-16 07:21:26,7,pub,['TD'],"Mangrove ecosystems have ecological functions and physical protection functions to the coast. Mangrove function can perform wave attenuation naturally. The purpose of this research are : (1). To know the function of Avicennia marina mangrove to wave attenuation. (2). To obtain the function of wave attenuation for alternative coastal buildings. Research located in Lampung Mangrove Center (LMC) Lampung University, East Lampung Regency, Indonesia. Wave attenuation measurements carried out on the thickness of 3m, 5m, 10m, 20mand50m. The instrument for measured wave are used the type SBE26 and RBRDUO T.D., cooperation between DISHIDROS TNI Navy with the University of Lampung. The measurement method was done directly at the station point. The conclusion of this research are: (1)Avicennia marina mangrove at a distance of 0 - 50 m capable of performed wave attenuation ranges from 60% to 98%.(2) Obtained a wave attenuation formula of thickness, is ΔH = -0,022x2 + 0,259x + 0,393, Avicennia marina mangrove can be used as a natural breakwater and environmentally friendly.

Keywords: Mangrove; Avicennia marina; Ecocity; Wave reduction; East Lampung",2017-10-06 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4715,"[{'id': 'ahmadherison@yahoo.com', 'name': {'family': 'Herison', 'lineage': None, 'honourific': None, 'given': 'Ahmad'}}, {'id': 'yudaromdania@yahoo.com', 'name': {'honourific': None, 'family': 'Romdania', 'lineage': None, 'given': 'Yuda'}}, {'name': {'given': 'Dietrich', 'honourific': None, 'lineage': None, 'family': 'Bengen'}, 'id': None}, {'name': {'honourific': None, 'family': 'Al Safar', 'lineage': None, 'given': 'Rizky'}, 'id': None}]",conference_item,"Contribution of Avicennia marina Mangrove to Wave Reduction for The Importance of Abrasion As An Alternative to Coastal Buildings
(Case Study at Lampung Lampung Mangrove Center, East Lampung Regency, Indonesia)",2017-11-16 07:21:26,4715,archive,show,393,2017-11-16 07:21:26,"[{'placement': 1, 'eprintid': 4715, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17624', 'pos': 1, 'security': 'public', 'main': '9a3. Proceeding IRES.pdf', 'files': [{'datasetid': 'document', 'fileid': 46027, 'mime_type': 'application/pdf', 'hash': '8fee3449362e775aa946d70fd732bf98', 'objectid': 17624, 'filesize': 772302, 'filename': '9a3. Proceeding IRES.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/46027', 'hash_type': 'MD5', 'mtime': '2017-11-06 05:00:17'}], 'docid': 17624, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,,TRUE,1-6,,,,,published,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/SPK'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,"Bangkok, Thailand",paper,6 Oktober 2017,conference,The IRES – 286TH International Conferences Engineering And Natural Science (INCES),,,,,
