,rev_number,ispublished,full_text_status,status_changed,divisions,publisher,dir,date,uri,subjects,title,type,creators,lastmod,documents,userid,metadata_visibility,datestamp,eprintid,eprint_status,pagerange,refereed,abstract,date_type,publication,issn,volume,official_url,number,isbn,place_of_pub,book_title,related_url,contact_email,series,pages,id_number
0,7,pub,public,2020-06-11 06:38:25,['FT5'],Universitas Lampung,disk0/00/02/22/50,2008-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22250,['TK'],Peer Review Karya Ilmiah : Jurnal Nasional dengan Judul Identifikasi Panas Objek Menggunakan Citra Termal,other,"[{'id': None, 'name': {'given': 'Marta Yose', 'honourific': None, 'family': 'Aulia', 'lineage': None}}, {'id': 'sr_sulistiyanti@eng.unila.ac.id', 'name': {'family': 'Sulistiyanti', 'lineage': None, 'honourific': None, 'given': 'Sri Ratna'}}]",2020-06-11 06:38:25,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Identifikasi Panas Objek Menggunakan Citra Thermal (ELECTRICIAN).pdf', 'files': [{'datasetid': 'document', 'fileid': 204701, 'mime_type': 'application/pdf', 'hash': '7566f59ce9a2f8f03a3b6dd5c3ba17ed', 'hash_type': 'MD5', 'mtime': '2020-06-11 04:17:55', 'objectid': 35667, 'filesize': 907810, 'uri': 'http://repository.lppm.unila.ac.id/id/file/204701', 'filename': 'Identifikasi Panas Objek Menggunakan Citra Thermal (ELECTRICIAN).pdf'}], 'docid': 35667, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35667', 'eprintid': 22250, 'placement': 1}]",586,show,2020-06-11 06:38:25,22250,archive,,,,,,,,,,,,,,,,,
1,7,pub,public,2020-06-11 06:38:20,['FT5'],Universitas Lampung,disk0/00/02/22/49,2008-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22249,['TK'],Peer Review Karya Ilmiah: Jurnal Nasional dengan Judul Identifikasi Panas Objek Menggunakan Citra Thermal,other,"[{'name': {'given': 'Yopi', 'honourific': None, 'lineage': None, 'family': 'Marjuki'}, 'id': None}, {'name': {'given': 'Sri Ratna', 'lineage': None, 'family': 'Sulistiyanti', 'honourific': None}, 'id': 'sr_sulistiyanti@eng.unila.ac.id'}, {'id': 'fx.arinto@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Setyawan', 'honourific': None, 'given': 'FX Arinto'}}]",2020-06-11 06:38:20,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Identifikasi Panas Objek Menggunakan Citra Thermal (ELECTRICIAN).pdf', 'docid': 35666, 'files': [{'mime_type': 'application/pdf', 'hash': '7566f59ce9a2f8f03a3b6dd5c3ba17ed', 'datasetid': 'document', 'fileid': 204694, 'filename': 'Identifikasi Panas Objek Menggunakan Citra Thermal (ELECTRICIAN).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204694', 'filesize': 907810, 'objectid': 35666, 'mtime': '2020-06-11 04:06:07', 'hash_type': 'MD5'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35666', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22249}]",586,show,2020-06-11 06:38:20,22249,archive,,,,,,,,,,,,,,,,,
2,8,pub,public,2019-03-15 02:54:29,['FT5'],LPPM Unila,disk0/00/01/07/46,1970-01-01 00:00:00.000002008,http://repository.lppm.unila.ac.id/id/eprint/10746,['TK'],"Penentuan Letak Derau pada Citra Berderau Salt And Pepper
Berdasarkan Sifat Ketetanggaan Piksel",article,"[{'id': 'sri.purwiyanti@eng.unila.ac.id', 'name': {'given': 'Sri', 'family': 'Purwiyanti', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Setyawan', 'given': 'FX. Arinto'}, 'id': 'fx.arinto@eng.unila.ac.id'}]",2019-03-15 02:54:29,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23760', 'security': 'public', 'placement': 1, 'eprintid': 10746, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'datasetid': 'document', 'fileid': 99178, 'hash': 'ef0bdfe4b922c294c75a23870258c5d4', 'mime_type': 'application/pdf', 'objectid': 23760, 'filesize': 316226, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99178', 'filename': 'SRI PURWIYANTI 216-223.pdf', 'hash_type': 'MD5', 'mtime': '2019-02-12 02:43:31'}], 'main': 'SRI PURWIYANTI 216-223.pdf', 'docid': 23760, 'format': 'text'}]",56,show,2019-03-15 02:54:29,10746,archive,216-223,TRUE,"Salt and Pepper noise is caused by malfunctioning pixel in camera sensor, defect in memory
locations of hardware or transmission in a noisy channel. The image pixel will be seen different
from its neighbour pixel. For images corrupted by salt-and-pepper noise, the noisy pixels can
take only the maximum and the minimum values in the dynamic range. This noise can be
represented with black or white dot in the image.
The median filter was once the most popular nonlinear filter for removing salt and pepper noise,
because of its good power denoising and computational efficiency. However, the median filter
method caused all pixel of the restored image will be changed, so the image become not
original. Restored can be done for degraded pixel to keep the originality of image. Degraded
pixel determination can be determinate by seeing neighbour pixels and its compared with salt
and pepper noise characteristic. Pixel has degraded if it has been black or white color and its
surrounding has not the same color.
Proposed method has been tested to standard image, i.e. Lena and Mandrill with noise which has
0.01-0.7 density. The result of the Lena image is 97.7% and in the Mandrill is 98.05%.",published,Prosiding Seminar Hasil Penelitian dan Pengabdian Masyarakat,,,,,,,,,,,,
3,6,pub,public,2016-09-23 07:30:49,['FT5'],Universitas Ahmad Dahlan,disk0/00/00/06/47,2008-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/647,['TK'],Studi Penggunaan Penyearah 18 Pulsa dengan Transformator 3 Fasa ke 9 Fasa Hubungan Segienam,article,"[{'name': {'family': 'Samosir', 'lineage': None, 'honourific': None, 'given': 'Ahmad Saudi'}, 'id': 'ahmad.saudi@eng.unila.ac.id'}]",2016-09-23 07:30:49,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'hash': '8cb31775c14b41ea34c45bfaff97c35b', 'mime_type': 'application/pdf', 'fileid': 3582, 'datasetid': 'document', 'mtime': '2016-09-23 05:57:43', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/3582', 'filename': '13_Jurnal Nasional Telkomnika 2008.pdf', 'filesize': 191763, 'objectid': 551}], 'main': '13_Jurnal Nasional Telkomnika 2008.pdf', 'docid': 551, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/551', 'security': 'public', 'placement': 1, 'eprintid': 647}]",504,show,2016-09-23 07:30:49,647,archive,21-32,TRUE,Karya Ilmiah ini mepresentasikan tentang Studi Penggunaan Penyearah 18 Pulsa. Pada aplikasinya penyearah 18 Pulsa memerlukan sumber AC 9 fasa. Pada tulisan ini diusulkan rancangan transformator untuk mengubah sumber 3 fasa menjadi 9 fasa dengan menggunakan transformator 3 fasa ke 9 fasa Hubungan Segi enam. Desain rancangan dan perhitungan dibahas secara detil pada tulisan ini. Kemudian sumber 9 fasa yang dihasilkan disearahkan dengan penyearah 9 fasa gelombang penuh dan menghasilkan penyearah 18 pulsa.,published,TELKOMNIKA,1693-6930,6.0,http://telkomnika.ee.uad.ac.id/n9/files/Vol.6No.1Apr08/6.1.4.08.04.pdf,1.0,,,,,,,,
4,7,pub,public,2016-09-23 07:22:58,['FT5'],Penerbit UTM Press,disk0/00/00/06/30,1970-01-01 00:00:00.000002008,http://repository.lppm.unila.ac.id/id/eprint/630,['TK'],Dynamic Evolution Control For Step Down DC-DC Converter,book_section,"[{'id': 'ahmad.saudi@eng.unila.ac.id', 'name': {'given': 'Ahmad Saudi', 'honourific': None, 'lineage': None, 'family': 'Samosir'}}, {'name': {'lineage': None, 'family': 'Mohd Yatim', 'honourific': None, 'given': 'Abdul Halim'}, 'id': 'halim@fke.utm.my'}]",2016-09-23 07:22:58,"[{'format': 'text', 'main': '01_Book Chapter UTM.pdf', 'docid': 534, 'files': [{'hash_type': 'MD5', 'mtime': '2016-09-21 04:47:08', 'filesize': 1073855, 'objectid': 534, 'filename': '01_Book Chapter UTM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/3476', 'datasetid': 'document', 'fileid': 3476, 'hash': '004be1688e558a6b4b18f27bf11b8664', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 630, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/534'}]",504,show,2016-09-23 07:22:58,630,archive,37-49,TRUE,"Karya ilmiah ini mepresentasikan tentang sebuah teknik untuk mengontrol keluaran Konverter Elektronika Daya dari jenis Step down Converter menggunakan Teknik Dynamic Evolution Control. Tulisan ini membahas antara lain Dynamic Evolution Control Theory, synthesis penurunan formula kontroler untuk step down dc-dc converter, serta pembuatan model dan simulasi computer untuk memverifikasi unjuk kerja kontroler.",published,,,,https://scholar.google.com/scholar?oi=bibs&cluster=11116253314912557823&btnI=1&hl=en,,978-983-52-0648-1,"Johor, Malaysia",Modeling and Control of Power Converters and Drives,,,,,
5,7,pub,public,2023-04-11 07:37:59,['FT5'],Universitas Lampung,disk0_bak/00/05/02/41,2008-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50241,['TK'],Respons Impuls Pada Elektroda Pentanahan Batang Tunggal Untuk Menentukan Nilai Impedansi Pentanahan,article,"[{'id': 'herman.h.sinaga@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Sinaga', 'lineage': None, 'given': 'Herman Halomoan'}}, {'name': {'given': 'Gamaliel', 'lineage': None, 'family': 'Ketaren', 'honourific': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Sunardi', 'lineage': None, 'given': 'Anang'}}]",2023-04-11 07:37:59,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'fileid': 542871, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9c8ba8ab6c0adcf56b6457b790da5adc', 'hash_type': 'MD5', 'mtime': '2023-04-11 07:29:27', 'filesize': 379082, 'objectid': 189940, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542871', 'filename': 'Respons Impuls Pada Elektroda Pentanahan Batang Tunggal Untuk Menentukan Nilai Impedansi Pentanahan.pdf'}], 'main': 'Respons Impuls Pada Elektroda Pentanahan Batang Tunggal Untuk Menentukan Nilai Impedansi Pentanahan.pdf', 'docid': 189940, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189940', 'security': 'public', 'placement': 1, 'eprintid': 50241}]",689,show,2023-04-11 07:37:59,50241,archive,,TRUE,"A good grounding system belived if the its resistance has a small value that measured with DC source or low frquency. Meanwhile, lightning stroke that caused impulse current with high frequency up to kHz, so when gounding system work when striking by lightning, its impedance not only mark out by resisftif component but also will affected by induktif and capasitif value. In this paper discussed impedance of grounding system for driven rod that burried with varying dept from 2 to 6 meter. Then impulse injected to imitate lightning stroke as a voltage source with high frequency. From measurement and calculation result  shows that the lowest grounding system was 23,01 ohm when the dept of driven rod 6 m and grounding impedance decrease abut 5.25 ohm pe meter. Experiment result compare with simulasion using EMTP. EMTP model for driven rod using a R-L-C model. The result shows the magnitude of voltage and current for both experiment and simulation have a good correspondingly, but response for simulation has a far farter tail time impulse. Keyword: impulse response, grounding impedance, driven rod grounding",published,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,1978-6042,,https://electrician.unila.ac.id/index.php/ojs/issue/view/3,,,,,[{'url': 'https://electrician.unila.ac.id/index.php/ojs/article/view/ele-200805-02-02-04'}],,,,
6,7,pub,public,2023-04-11 07:38:02,['FT5'],Universitas Lampung,disk0_bak/00/05/02/37,2008-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50237,['TK'],Analisis Karakteristik Gangguan Hubung Singkat Antar Belitan Transformator Menggunakan Transformasi Wavelet Diskrit,article,"[{'name': {'given': 'Herman Halomoan', 'honourific': None, 'lineage': None, 'family': 'Sinaga'}, 'id': 'herman.h.sinaga@eng.unila.ac.id'}, {'name': {'given': 'Henry B.H.', 'family': 'Sitorus', 'lineage': None, 'honourific': None}, 'id': 'hbhstr@gmail.com'}, {'name': {'given': 'Risky', 'lineage': None, 'family': 'Risky', 'honourific': None}, 'id': None}]",2023-04-11 07:38:02,"[{'format': 'text', 'files': [{'fileid': 542833, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f66a03440c864c3fb38658af097f1f13', 'hash_type': 'MD5', 'mtime': '2023-04-11 07:24:24', 'filesize': 355249, 'objectid': 189938, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542833', 'filename': 'Analisis Karakteristik Gangguan Hubung Singkat Antar Belitan Transformator Menggunakan Transformasi Wavelet Diskrit.pdf'}], 'main': 'Analisis Karakteristik Gangguan Hubung Singkat Antar Belitan Transformator Menggunakan Transformasi Wavelet Diskrit.pdf', 'docid': 189938, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 50237, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189938'}]",689,show,2023-04-11 07:38:02,50237,archive,,TRUE,"Transient fault could occur on transformer in power system. This is could be because of internal fault or external fault. Disturbance could be because of short circuit between winding of transformer or because of short circuit on load. Short circuit on transformer winding could lead to catastrophic failure of transformer. So itâ€™s needed to detect short circuit between winding on transformer before it breakdown. On this paper discussed experiment using a step transformer 220/500 volt with 5 tap on primer side and 10 tap on secondary side. Each tap on primary and secondary side is connected to simulated short circuit evidence in transformer winding. The transformer connected to resistif load that have 10 tap to simulated short circuit on load side. Measurements conduct on both side and analysis done using wavelet transformation analysis. Experiment result shows measurement result on secondary side gave wavelet decomposition that easier to discriminate fault result from normal condition. Fault condition could be known from spike thatâ€™s occurs on wavelet decomposition. Keywords : wavelet transformation, short circuit fault, wavelet decomposition",published,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,1978-6042,,https://electrician.unila.ac.id/index.php/ojs/issue/view/2,,,,,[{'url': 'https://electrician.unila.ac.id/index.php/ojs/article/view/ele-200801-02-01-06'}],,,,
7,7,pub,public,2020-06-11 08:38:21,['FT5'],Universitas Lampung,disk0/00/02/22/78,2008-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22278,['TK'],Peer Review Karya Ilmiah : Jurnal Nasional dengan Judul Rancang Bangun Model Sistem Pemantauan Tinggi Muka Air Sungai Menggunakan Telemetri Radio,other,"[{'id': 'sr_sulistiyanti@eng.unila.ac.id', 'name': {'given': 'Sri Ratna', 'honourific': None, 'lineage': None, 'family': 'Sulistiyanti'}}, {'id': 'warsito@fmipa.unila.ac.id', 'name': {'given': 'Warsito', 'family': 'Warsito', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Darmawan', 'given': 'Andi'}}]",2020-06-11 08:38:21,"[{'format': 'text', 'main': 'Rancang Bangun Model Sistem Pemantau Tinggu Muka Air (ELECTRICIAN).pdf', 'files': [{'fileid': 204882, 'datasetid': 'document', 'hash': 'd01b8543d1a7200d88f9adbb316fe2e2', 'mime_type': 'application/pdf', 'filesize': 924298, 'objectid': 35694, 'filename': 'Rancang Bangun Model Sistem Pemantau Tinggu Muka Air (ELECTRICIAN).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204882', 'hash_type': 'MD5', 'mtime': '2020-06-11 07:47:56'}], 'docid': 35694, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22278, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35694'}]",586,show,2020-06-11 08:38:21,22278,archive,,,,,,,,,,,,,,,,,
8,8,pub,public,2022-11-28 02:13:28,['FT5'],SPRINGER,disk0/00/04/69/01,1970-01-01 00:00:00.000002008,http://repository.lppm.unila.ac.id/id/eprint/46901,['TK'],BUKTI KORESPONDENSI IFIP-AICT 2008,other,"[{'id': 'ardian.ulvan@eng.unila.ac.id', 'name': {'family': 'Ulvan', 'lineage': None, 'honourific': None, 'given': 'Ardian'}}]",2022-11-28 02:13:28,"[{'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'docid': 185840, 'main': 'BUKTI KORESPONDENSI IFIP-AICT 2008.pdf', 'files': [{'filesize': 205267, 'objectid': 185840, 'uri': 'http://repository.lppm.unila.ac.id/id/file/515924', 'filename': 'BUKTI KORESPONDENSI IFIP-AICT 2008.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-26 03:04:11', 'fileid': 515924, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e62acc1251b407c9020c76dc179c256c'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185840', 'pos': 1, 'formatdesc': 'BUKTI KORESPONDENSI IFIP-AICT 284', 'security': 'public', 'placement': 1, 'eprintid': 46901}]",668,show,2022-11-28 02:13:28,46901,archive,,,,,,,,,,,,,,,,,
9,9,pub,public,2022-11-28 02:13:34,['FT5'],SPRINGER,disk0/00/04/69/07,1970-01-01 00:00:00.000002008,http://repository.lppm.unila.ac.id/id/eprint/46907,['TK'],BUKTI KORESPONDENSI SPRINGER IFIP-AICT 284 2008,other,"[{'name': {'lineage': None, 'family': 'Ulvan', 'honourific': None, 'given': 'Ardian'}, 'id': 'ardian.ulvan@eng.unila.ac.id'}]",2022-11-28 02:13:34,"[{'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'files': [{'mtime': '2022-11-26 05:04:49', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515958', 'filename': 'BUKTI KORESPONDENSI SPRINGER IFIP-AICT 284 2008.pdf', 'objectid': 185844, 'filesize': 160692, 'hash': '689466377ef077a6fbfcb578cbf5af59', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 515958}], 'main': 'BUKTI KORESPONDENSI SPRINGER IFIP-AICT 284 2008.pdf', 'docid': 185844, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185844', 'pos': 1, 'security': 'public', 'formatdesc': 'BUKTI KORESPONDENSI SPRINGER IFIP-AICT 284 2008', 'placement': 1, 'eprintid': 46907}]",668,show,2022-11-28 02:13:34,46907,archive,,,,,,,,,,,,,,,,,
