,date_type,subjects,uri,date,abstract,volume,publisher,publication,dir,divisions,rev_number,ispublished,full_text_status,issn,succeeds,status_changed,metadata_visibility,pagerange,datestamp,eprintid,eprint_status,official_url,lastmod,documents,userid,number,title,refereed,type,creators,contact_email,id_number,related_url,place_of_pub,contributors,keywords,referencetext,event_type,event_title,event_location,pres_type,event_dates,funders,corp_creators,pages,patent_applicant,book_title,series,isbn,editors
0,published,"['S1', 'TJ']",http://repository.lppm.unila.ac.id/id/eprint/49466,1970-01-01 00:00:00.000002020,"Kebutuhan manusia semakin lama semakin meningkat, berkembang dan bervariasi, untuk memenuhi kebutuhan tersebut industri membutuhkan suatu alat yang dapat mengontrol dan mengendalikan proses permesinan secara otomatis. Diantaranya industri yang memerlukan pengendalian kualitas secara otomatis adalah industri makanan dan minuman instan. Di Indonesia, industri minuman didominasi oleh hasil olahan minuman instan bubuk dan cair. Salah satunya minuman instan kopi, minuman kopi membutuhkan beberapa tahap pengolahan, salah satu yang terpenting adalah proses pemutuan biji kopi. Saat ini industri masih menggunakan tenaga konvensional yang memakan waktu, biaya, tenaga operator. Penentuan mutu dengan cara seperti ini mempunyai kelemahan dari sisi subyektivitas yang memungkinkan terjadinya kesalahan akibat kelelahan mata manusia terhadap contoh yang dianalisis. Untuk menanggulangi masalah tersebut perlu adanya mesin pemutuan biji kopi dengan sistem otomasi berdasarkan parameter besar dan kecilnya biji kopi. Dengan cara menghitung banyaknya biji kopi pada sampel 300 gram biji kopi. Penyelesaian rancang bangun ini dilakukan dengan 2 tahapan yaitu perancangan konveyor sabuk dan perancangan otomasi. Perancangan konveyor sabuk pemilah terdiri dari pemilihan konsep, desain rinci menggunakan aplikasi Solidwork dan proses pembuatan berdasarkan desain. Selanjutnya, perancangan otomasi menggunakan mikrokontroller Arduino Uno, sensor load cell dan sensor FC-51. Setelah peralatan sudah dipasang semua selanjutnya dilakukan pengujian didapatkan dari 300 gram biji kopi terhitung jumlah biji kopi yang bervariasi yaitu 907, 954, 976, 1007, dan 1036 biji kopi. Kemudian, ketinggian sensor yang optimal 6 cm dari permukaan belt conveyor dan kecepatan conveyor 1,52 m/menit agar pembacaan sensor FC-51 akurat.",5,Universitas Singaperbangsa Karawang,BAROMETER,disk0_bak/00/04/94/66,['FT7'],7,pub,public,1979-889X,26363.0,2023-03-31 00:49:30,show,267-271,2023-03-31 00:49:30,49466,archive,https://journal.unsika.ac.id/index.php/barometer/article/view/3816,2023-03-31 00:49:30,"[{'docid': 189060, 'main': '3816-Article Text-9597-1-10-20200913.pdf', 'files': [{'mtime': '2020-11-19 19:22:47', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/536710', 'filename': '3816-Article Text-9597-1-10-20200913.pdf', 'objectid': 189060, 'filesize': 252713, 'hash': '13a6900f47d1c2c24b29628c33366efb', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 536710}], 'format': 'text', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'placement': 1, 'eprintid': 49466, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189060', 'formatdesc': 'Artikel', 'security': 'public'}, {'formatdesc': 'Similiarity', 'security': 'public', 'pos': 7, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189066', 'eprintid': 49466, 'placement': 7, 'content': 'other', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3, 'format': 'text', 'main': 'martinus+meizano-jurnal-2020-BIJI KOPI.pdf.pdf', 'docid': 189066, 'files': [{'hash_type': 'MD5', 'mtime': '2023-03-30 18:09:05', 'objectid': 189066, 'filesize': 281013, 'filename': 'martinus+meizano-jurnal-2020-BIJI KOPI.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/536717', 'fileid': 536717, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '33c8ab2d3290d7a37cc9d8eaf6325cf4'}]}]",217,2,RANCANG BANGUN SISTEM PENGHITUNG JUMLAH DAN MASSA BIJI KOPI BERBASIS MIKROKONTROLER PADA KONVEYOR SABUK,TRUE,article,"[{'name': {'given': 'Martinus', 'honourific': None, 'lineage': None, 'family': '.'}, 'id': 'martinus@eng.unila.ac.id'}, {'name': {'given': 'Adi', 'honourific': None, 'lineage': None, 'family': 'Susilo'}, 'id': None}, {'id': 'mareli.telaumbanua@fp.unila.ac.id', 'name': {'family': 'Telaumbanua', 'lineage': None, 'honourific': None, 'given': 'Mareli'}}, {'name': {'lineage': None, 'family': 'Muhammad', 'honourific': None, 'given': 'Meizano Ardhi'}, 'id': 'meizano@eng.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,
1,published,['TJ'],http://repository.lppm.unila.ac.id/id/eprint/21741,2020-06-01 00:00:00.000000000,"Proses pembakaran adalah proses transfer energi panas yang terjadi pada ruang bakar yang disebabkan karena terjadinya proses kimiawi antara bahan bakar dan oksigen yang menggunakan panas awal. Komponen utama dalam pembakaran adalah udara, panas dan bahan bakar. Oleh karena itu, dalam  penelitian ini kemampuan campuran zeolit dan arang sekam sebagai adsorben (mampu untuk menyerap) yang dijadikan sebagai filter udara dimanfaatkan untuk menyaring udara pembakaran guna meningkatkan prestasi mesin motor bensin 4-langkah yang dipengaruhi oleh peningkatan akselerasi mesin. Untuk mengetahui pengaruh penggunaan filter zeolit dan arang sekam teraktivasi fisik terhadap prestasi mesin maka, dilakukan pengujian akselerasi dengan kecepatan 0-80 km/jam dan kecepatan 40-80 km/jam. Komposisi campuran zeolit-arang sekam disimbolkan dengan Z0-S100, Z25-S75, Z50-S50, Z75-S25 dan Z100-S0 yang telah dilakukan proses aktivasi fisik dengan variasi temperatur 175 0C, 200 0C dan 225 0C selama 60 menit. Filter terbaik yang mampu meningkatkan akselerasi mesin pada kecepatan 0-80 km/jam dan 40-80 km/jam adalah sama pada komposisi (Z75-S25) temperatur aktivasi fisik 225 0C. Pada kecepatan 0-80 km/jam mampu meningkatkan akselerasi sebesar 24,67% dan pada kecepatan 40-80 km/jam mampu meningkatkan akselerasi sebesar 27,65%.
Kata kunci : Filter zeolit-arang sekam, aktivasi fisik, prestasi motor bensin",8,Fakultas Teknik Universitas Lampung,Jurnal Ilmiah Teknik Mesin,disk0/00/02/17/41,['FT7'],6,pub,public,2337 4780,,2020-06-04 03:14:57,show,29-33,2020-06-04 03:14:57,21741,archive,http://fema.eng.unila.ac.id/index.php/ojs/issue/view/1,2020-06-04 03:14:57,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 35142, 'main': 'Artikel A.YudiER di FEMA Vol VIII No.2.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '3815ddf0d51f23d6edd3b0f5e53022a6', 'fileid': 201178, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/201178', 'filename': 'Artikel A.YudiER di FEMA Vol VIII No.2.pdf', 'objectid': 35142, 'filesize': 307424, 'mtime': '2020-06-04 02:40:42', 'hash_type': 'MD5'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35142', 'eprintid': 21741, 'placement': 1}]",303,2,Pemanfaatan Campuran Zeolit dan Arang Sekam Teraktifasi Fisik Sebagai Filter Udara Untuk Meningkatkan Akselerasi Mesin Sepeda Motor Bensin 4-Langkah,FALSE,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Adi Sembiring', 'given': 'Janwira'}, 'id': 'wirakembaren@gmail.com'}, {'name': {'given': 'Herry', 'honourific': None, 'family': 'Wardono', 'lineage': None}, 'id': 'herryw22@gmail.com'}, {'id': 'yudi_95@yahoo.com', 'name': {'given': 'A. Yudi', 'honourific': None, 'family': 'Eka Risano', 'lineage': None}}]",yudi.eka@eng.unila.ac.id,6-26-1-PB,[{'url': 'http://fema.eng.unila.ac.id/index.php/ojs/article/view/6/16'}],,,,,,,,,,,,,,,,,
2,,['TP'],http://repository.lppm.unila.ac.id/id/eprint/18970,2020-01-01 00:00:00.000000000,,,DJKI Kemhukham RI,,disk0/00/01/89/70,['FT7'],7,pub,public,,,2020-04-06 01:20:04,show,,2020-04-06 01:20:04,18970,archive,,2020-04-06 01:20:04,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Turnitin Paten Glukoamilase Repository Unila.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/159175', 'filename': 'Turnitin Paten Glukoamilase Repository Unila.pdf', 'filesize': 326801, 'objectid': 32210, 'mtime': '2020-04-05 07:43:27', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '1e39279830a8d8a1cda992d4516a5882', 'fileid': 159175, 'datasetid': 'document'}], 'docid': 32210, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32210', 'pos': 1, 'eprintid': 18970, 'placement': 1}]",390,,Similarity Check: Turnitin PROSES PEMBUATAN ENZIM GLUKOAMILASE TERIMOBILISASI PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR SECARA ADSORPSI,,other,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'honourific': None, 'lineage': None, 'family': 'Agustian'}}]",,,,,,,,,,,,,,,,,,,,
3,,"['TH', 'TJ']",http://repository.lppm.unila.ac.id/id/eprint/18747,2020-03-16 00:00:00.000000000,,,Elsevier,,disk0/00/01/87/47,['FT7'],8,pub,public,,,2020-03-17 01:40:06,show,,2020-03-17 01:40:06,18747,archive,https://www.sciencedirect.com/science/article/abs/pii/S0950061819326455,2020-03-17 01:40:06,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Hasil peer review gabungan_An experimental investigation of the mechanical strength of cold-drawn AISI 1018 steel under high-temperature steady- and transient-state conditions.pdf', 'docid': 31932, 'files': [{'hash_type': 'MD5', 'mtime': '2020-03-16 09:20:20', 'filesize': 2635641, 'objectid': 31932, 'filename': 'Hasil peer review gabungan_An experimental investigation of the mechanical strength of cold-drawn AISI 1018 steel under high-temperature steady- and transient-state conditions.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/157403', 'datasetid': 'document', 'fileid': 157403, 'mime_type': 'application/pdf', 'hash': '27185d2d6847fe55ac07ce26a52c14e4'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31932', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18747}]",451,,Hasil peer review gabungan_An experimental investigation of the mechanical strength of cold-drawn AISI 1018 steel under high-temperature steady- and transient-state conditions,,other,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Badaruddin', 'given': 'Mohammad'}}]",,https://doi.org/10.1016/j.conbuildmat.2019.117193,,Construction and Building Materials,,,,,,,,,,,,,,,,
4,,"['TH', 'TJ']",http://repository.lppm.unila.ac.id/id/eprint/18755,2020-03-16 00:00:00.000000000,,,Elsevier,,disk0/00/01/87/55,['FT7'],8,pub,public,,,2020-03-17 01:53:27,show,,2020-03-17 01:53:27,18755,archive,https://www.sciencedirect.com/science/article/pii/S2238785419302467,2020-03-17 01:53:27,"[{'format': 'text', 'docid': 31940, 'main': 'Hasil peer review gabungan_Experimental investigation of mechanical properties of cold-drawn AISI 1018 steel at high-temperature steady-state conditions.pdf', 'files': [{'hash': 'eab33a0f3ce9a02a5c28a75ca3422ca2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 157456, 'mtime': '2020-03-16 09:54:52', 'hash_type': 'MD5', 'filename': 'Hasil peer review gabungan_Experimental investigation of mechanical properties of cold-drawn AISI 1018 steel at high-temperature steady-state conditions.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/157456', 'objectid': 31940, 'filesize': 2456217}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 18755, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31940', 'pos': 1}]",451,,Hasil peer review gabungan_Experimental investigation of mechanical properties of cold-drawn AISI 1018 steel at high-temperature steady-state conditions,,other,"[{'name': {'given': 'Mohammad', 'lineage': None, 'family': 'Badaruddin', 'honourific': None}, 'id': 'mbruddin@eng.unila.ac.id'}]",,https://doi.org/10.1016/j.jmrt.2019.12.021,,Journal of Materials Research and Technology,,,,,,,,,,,,,,,,
5,,['TJ'],http://repository.lppm.unila.ac.id/id/eprint/18749,2020-03-16 00:00:00.000000000,,,Indian Academy of Sciences-Springer,,disk0/00/01/87/49,['FT7'],7,pub,public,,,2020-03-17 01:40:36,show,,2020-03-17 01:40:36,18749,archive,https://link.springer.com/article/10.1007/s12034-019-1984-0,2020-03-17 01:40:36,"[{'placement': 1, 'eprintid': 18749, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31933', 'security': 'public', 'files': [{'fileid': 157412, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1a4b12ca933ee8ea6502cb5f59a42a08', 'filesize': 2435789, 'objectid': 31933, 'uri': 'http://repository.lppm.unila.ac.id/id/file/157412', 'filename': 'Hasil peer review gabungan_High-temperature corrosion of aluminized-AISI 1020 steel with NaCl and Na2SO4 deposits.pdf', 'hash_type': 'MD5', 'mtime': '2020-03-16 09:24:20'}], 'main': 'Hasil peer review gabungan_High-temperature corrosion of aluminized-AISI 1020 steel with NaCl and Na2SO4 deposits.pdf', 'docid': 31933, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",451,,Hasil peer review gabungan_High-temperature corrosion of aluminized-AISI 1020 steel with NaCl and Na2SO4 deposits,,other,"[{'name': {'given': 'Mohammad', 'honourific': None, 'lineage': None, 'family': 'Badaruddin'}, 'id': 'mbruddin@eng.unila.ac.id'}]",,https://doi.org/10.1007/s12034-019-1984-0,,Bulletin of Materials Science,,,,,,,,,,,,,,,,
6,,['TJ'],http://repository.lppm.unila.ac.id/id/eprint/18750,2020-03-16 00:00:00.000000000,,,American Institute of Physics Publishing Ltd,,disk0/00/01/87/50,['FT7'],7,pub,public,,,2020-03-17 01:40:55,show,,2020-03-17 01:40:55,18750,archive,https://aip.scitation.org/toc/apc/1711/1,2020-03-17 01:40:55,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31935', 'security': 'public', 'placement': 1, 'eprintid': 18750, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mtime': '2020-03-16 09:27:37', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/157421', 'filename': 'Hasil peer review gabungan_High-temperature oxidation behavior of aluminized AISI 4130 steel.pdf', 'filesize': 2757983, 'objectid': 31935, 'mime_type': 'application/pdf', 'hash': '84fb80c5f0e44a7a00eb397e1424014b', 'datasetid': 'document', 'fileid': 157421}], 'main': 'Hasil peer review gabungan_High-temperature oxidation behavior of aluminized AISI 4130 steel.pdf', 'docid': 31935, 'format': 'text'}]",451,,Hasil peer review gabungan_High-temperature oxidation behavior of aluminized AISI 4130 steel,,other,"[{'name': {'given': 'Mohammad', 'honourific': None, 'lineage': None, 'family': 'Badaruddin'}, 'id': 'mbruddin@eng.unila.ac.id'}]",,https://aip.scitation.org/doi/abs/10.1063/1.4941624,,AIP Conference Proceeeding: ISFAP 2015,,,,,,,,,,,,,,,,
7,,['TJ'],http://repository.lppm.unila.ac.id/id/eprint/18751,2020-03-16 00:00:00.000000000,,,American Institute of Physics Publishing Ltd.,,disk0/00/01/87/51,['FT7'],7,pub,public,,,2020-03-17 01:47:46,show,,2020-03-17 01:47:46,18751,archive,http://aip.scitation.org/toc/apc/1983/1,2020-03-17 01:47:46,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31936', 'security': 'public', 'placement': 1, 'eprintid': 18751, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Hasil peer review gabungan_Hot-corrosion of AISI 1020 steel in a molten NaCl-Na2SO4 eutectic at 700°C.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '69c6ef76aacbeee98176f391f7ece387', 'datasetid': 'document', 'fileid': 157428, 'mtime': '2020-03-16 09:31:01', 'hash_type': 'MD5', 'filename': 'Hasil peer review gabungan_Hot-corrosion of AISI 1020 steel in a molten NaCl-Na2SO4 eutectic at 700°C.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/157428', 'objectid': 31936, 'filesize': 2741164}], 'docid': 31936, 'format': 'text'}]",451,,Hasil peer review gabungan_Hot-corrosion of AISI 1020 steel in a molten NaCl-Na2SO4 eutectic at 700°C,,other,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'honourific': None, 'family': 'Badaruddin', 'lineage': None}}]",,http://dx.doi.org/10.1063/1.4968319,,AIP Conference Proceeeding: ICESNANO 2016,,,,,,,,,,,,,,,,
8,,['TJ'],http://repository.lppm.unila.ac.id/id/eprint/18746,2020-03-16 00:00:00.000000000,,,Elsevier,,disk0/00/01/87/46,['FT7'],7,pub,public,,,2020-03-17 01:39:49,show,,2020-03-17 01:39:49,18746,archive,https://www.sciencedirect.com/science/article/abs/pii/S0142112319301434,2020-03-17 01:39:49,"[{'eprintid': 18746, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31931', 'pos': 1, 'format': 'text', 'main': 'Hasil peer review gabungan_Improvement of low-cycle fatigue resistance in AISI 4140 steel by annealing treatment.pdf', 'docid': 31931, 'files': [{'hash': 'f5e119476f9d3dfbd4b86e34731f9466', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 157396, 'mtime': '2020-03-16 09:17:48', 'hash_type': 'MD5', 'filename': 'Hasil peer review gabungan_Improvement of low-cycle fatigue resistance in AISI 4140 steel by annealing treatment.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/157396', 'filesize': 2591845, 'objectid': 31931}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",451,,Hasil peer review gabungan_Improvement of low-cycle fatigue resistance in AISI 4140 steel by annealing treatment,,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Badaruddin', 'given': 'Mohammad'}, 'id': 'mbruddin@eng.unila.ac.id'}]",,https://doi.org/10.1016/j.ijfatigue.2019.04.020,,International Journal of Fatigue,,,,,,,,,,,,,,,,
9,,['TJ'],http://repository.lppm.unila.ac.id/id/eprint/18758,2020-03-16 00:00:00.000000000,,,"Penerbit Jurusan Teknik Mesin, Universitas Trisakti-Jakarta",,disk0/00/01/87/58,['FT7'],7,pub,public,,,2020-03-17 01:55:03,show,,2020-03-17 01:55:03,18758,archive,http://prosiding.bkstm.org/prosiding/seminar/2019,2020-03-17 01:55:03,"[{'format': 'text', 'main': 'Hasil peer review gabungan_ncreasing of mild steel ST 41 grade hardness by carburizing treatment using an active carbon from coconut shell and CaCO3 catalyst from chicken eggshell.pdf', 'files': [{'hash': 'c4ab9fd4e3a414c5eec47cd748be3c24', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 157478, 'filename': 'Hasil peer review gabungan_ncreasing of mild steel ST 41 grade hardness by carburizing treatment using an active carbon from coconut shell and CaCO3 catalyst from chicken eggshell.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/157478', 'objectid': 31943, 'filesize': 2504963, 'mtime': '2020-03-16 10:03:41', 'hash_type': 'MD5'}], 'docid': 31943, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 18758, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31943', 'pos': 1}]",451,,Hasil peer review gabungan_Increasing of mild steel ST 41 grade hardness by carburizing treatment using an active carbon from coconut shell and CaCO3 catalyst from chicken eggshell,,other,"[{'name': {'given': 'Mohammad', 'honourific': None, 'family': 'Badaruddin', 'lineage': None}, 'id': 'mbruddin@eng.unila.ac.id'}]",,,,Prosiding SNTTM 2019,,,,,,,,,,,,,,,,
