,rev_number,ispublished,status_changed,full_text_status,divisions,publication,dir,uri,abstract,subjects,refereed,title,type,creators,documents,lastmod,userid,metadata_visibility,eprint_status,eprintid,datestamp,publisher,issn,corp_creators,funders,official_url,number,volume,date_type,place_of_pub,related_url,id_number,pagerange,contributors,contact_email,event_title,event_type,event_dates,pres_type,event_location,succeeds,referencetext
0,6,pub,2022-08-22 01:39:55,public,['FT7'],IOP Conference Series: Materials Science and Engineering,disk0/00/04/41/71,http://repository.lppm.unila.ac.id/id/eprint/44171,"Solar panel can act as a medium for transforming sunlight into electrical energy.
Nevertheless, not all of the sunlight received on this device can be converted into electrical
energy and the remainder will be dissipated into thermal energy. If a solar panel is continuously
exposed to the sun, so its temperature will increase and thereby reduce its electrical efficiency.
To deal with the issue, it may combine a PV panel with a thermal collector which is called a
hybrid PV/T collector. Furthermore, in the present study the effects of fluid flow direction and
mass flow rate on the thermal and electrical efficiency of the PV/T collectors are extensively
analyzed. Single and double pass collectors with rectangular plate fin absorber were attached to
backside of the PV panel. They were tested using a solar simulator with different flow rate
ranging between 0.01 and 0.05 kg/s of the working fluid. The results show that the use of double
pass PV/T air collector increase its performance compared with the single pass one. The highest
values obtained from this type collector are found to be 73.23% in the thermal efficiency and
10.16% in the electrical efficiency with the working fluid mass flow rate of 0.048 kg/s.",['TJ'],TRUE,"Performance comparison of single and double
pass PV/T solar collectors integrated with
rectangular plate fin absorber",article,"[{'id': 'amrizal@eng.unila.ac.id', 'name': {'family': 'Amrizal', 'lineage': None, 'honourific': None, 'given': 'Amrizal'}}, {'name': {'given': 'P', 'lineage': None, 'family': 'Yandi', 'honourific': None}, 'id': 'Hidayat'}, {'id': None, 'name': {'family': 'Muhammad', 'lineage': None, 'honourific': None, 'given': 'Irsyad'}}]","[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'filename': 'Amrizal_2021_IOP_Conf._Ser.__Mater._Sci._Eng._1173_012023.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/480202', 'objectid': 166222, 'filesize': 781748, 'mtime': '2022-08-21 09:12:09', 'hash_type': 'MD5', 'hash': '11b50f53663adb2c7ea43e347e138c70', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 480202}], 'main': 'Amrizal_2021_IOP_Conf._Ser.__Mater._Sci._Eng._1173_012023.pdf', 'docid': 166222, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166222', 'eprintid': 44171, 'placement': 1}]",2022-08-22 01:39:55,716,show,archive,44171,2022-08-22 01:39:55,,,,,,,,,,,,,,,,,,,,,
1,6,pub,2022-11-28 07:44:53,public,['FT7'],Mechanical Jurnal Ilmiah Teknik Mesin,disk0/00/04/69/72,http://repository.lppm.unila.ac.id/id/eprint/46972,,['TJ'],TRUE,"Studi Eksperimental Sudut Nosel Dan Sudut Sudu
Terhadap Kinerja Turbin Cross-flow",article,"[{'name': {'given': 'Amrul', 'honourific': None, 'family': 'Amrul', 'lineage': None}, 'id': 'amrul@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Amrizal', 'honourific': None, 'given': 'Amrizal'}, 'id': 'amrizal@eng.unila.ac.id'}]","[{'eprintid': 46972, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185915', 'pos': 1, 'format': 'text', 'main': 'Mafrudin Mechanical 2017.pdf', 'docid': 185915, 'files': [{'datasetid': 'document', 'fileid': 516457, 'mime_type': 'application/pdf', 'hash': '8a4c07b2c90e2d61c2564d1fd15eb8a1', 'filesize': 978372, 'objectid': 185915, 'filename': 'Mafrudin Mechanical 2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/516457', 'hash_type': 'MD5', 'mtime': '2022-11-28 07:26:30'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-11-28 07:44:54,716,show,archive,46972,2022-11-28 07:44:54,Jurusan Teknik Mesin Universitas Lampung,2087-1880,['Mafrudin'],,,,,,,,,,,,,,,,,,
2,13,inpress,2017-11-16 04:58:31,public,['FT7'],Prosiding Seminar Nasional Tahunan Teknik Mesin XVI tahun 2017,disk0/00/00/55/79,http://repository.lppm.unila.ac.id/id/eprint/5579,"Torefaksi adalah salah satu metode pengolahan sampah melalui proses termal menjadi bahan bakar padat berkualitas setara batubara subbituminus. Untuk mendapatkan bahan bakar padat dari proses torefaksi sampah dalam jumlah yang cukup besar perlu dikembangkan sebuah sistem torefaksi kontinu. Jenis reaktor yang dikembangkan adalah reaktor kontinu tipe tubular dengan sistem pemanas selimut fluida (fluid jacket heater). Dalam penelitian ini dilakukan simulasi untuk menentukan temperatur input yang sesuai untuk mendapatkan temperatur reaktor sebesar 275–300oC. Material yang digunakan untuk reaktor adalah carbon steel AISI 1045 dengan dimensi; diameter screw 195 mm, jarak pitch 100 mm, diameter tabung 203 mm dan panjang reaktor 1600 mm. Analisis keseimbangan energi menunjukkan bahwa kebutuhan panas untuk proses torefaksi ini adalah sebesar 1,27 kW. Untuk temperatur dalam reaktor sebesar 275oC didapatkan temperatur luar sebesar 311oC. Simulasi untuk membuat permodelan 3D dan sistem pemanas selimut tabung fluida (molten salt) menggunakan perangkat lunak Solidworks.",['TJ'],TRUE,SIMULASI TERMAL REAKTOR TOREFAKSI KONTINU TIPE TUBULAR UNTUK PRODUKSI BAHAN BAKAR PADAT DARI SAMPAH KOTA,article,"[{'id': 'amrul@eng.unila.ac.id', 'name': {'given': 'Amrul', 'honourific': None, 'lineage': None, 'family': 'Amrul'}}, {'name': {'family': 'Muhammad', 'lineage': None, 'honourific': None, 'given': 'Fariz'}, 'id': 'basefmuhammadfariz@gmail.com'}, {'id': 'indra.mamad@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Indra Mamad', 'lineage': None, 'given': 'Gandidi'}}]","[{'security': 'public', 'formatdesc': 'Makalah Prosiding SNTTM XVI 2017', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18529', 'pos': 1, 'eprintid': 5579, 'placement': 1, 'content': 'accepted', 'language': 'id', 'rev_number': 2, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 52268, 'hash': '2e7b386f8c993a30433e9db2838eb003', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash_type': 'MD5', 'mtime': '2017-11-15 07:30:38', 'filesize': 990077, 'objectid': 18529, 'filename': 'Makalah Prosiding SNTTM XVI 2017.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/52268'}], 'main': 'Makalah Prosiding SNTTM XVI 2017.docx', 'docid': 18529}]",2017-11-16 04:58:31,693,show,archive,5579,2017-11-16 04:58:31,,,,['Kemenristekdikti dan LPPM Unila'],,,,,,,,,,,,,,,,,
3,7,pub,2022-11-14 03:25:15,public,['FT7'],ENGINEERING JOURNAL,disk0/00/04/65/21,http://repository.lppm.unila.ac.id/id/eprint/46521,"PV panel connected within both fins and TEG that is well known as a PV/T-TEG system. The system increases the electrical efficiency affected by the thermal collector and contributes to additional electricity due to the temperature difference of the TEG sides. However, optimizing the thermal performance of the system involved the geometry parameters and operating conditions, it still requires many combinations of factors and levels. In the present study, Taguchi Method with five factors, three levels, and two responses is then implemented to reduce the number of combinations which are related to fin geometry, air mass flow rate and solar irradiation under different operating conditions. Air as a working fluid is applied with the inlet fluid temperature based on the tropical climate in Indonesia. The two responses are needed to be lower in temperature of the PV panel and higher in temperature difference of TEG sides respectively. Furthermore, Computational Fluid Dynamics (CFD) method is applied as an approach to generate the responses numerically. The results revealed that the combinations of the geometric parameters and operating conditions for achieving the optimal PV temperature are found to be the full fin arrangement, fin height of 75 mm, fin thickness of 3 mm, and air mass flow of 0.08 kg/s and heat absorbed of 400 W/m2. Thus, the combinations to obtain the optimal TEG temperature difference are staggered fin arrangement, fin height of 25 mm, fin thickness of 1 mm, the mass flow of 0.08 kg/s and heat absorbed of 800 W/m2. Additionally, the heat absorbed factor has the biggest impact on PV temperature change with the contribution of 47.57% of the total five factors. Meanwhile, fin arrangement is the factor that has the biggest impact on the temperature difference of TEG sides with a contribution of 33.31%.",['TJ'],TRUE,Geometry Optimization of PV/T-TEG Collector under Different Operating Conditions Using CFD Simulation and Taguchi Method,article,"[{'id': 'angga.darma1013@students.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Angga', 'given': 'Darma P'}}, {'id': 'amrizal@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Amrizal', 'lineage': None, 'given': 'Amrizal'}}, {'id': 'gusri.akhyar@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Gusri', 'honourific': None, 'given': 'Akhyar'}}]","[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 513083, 'hash': '9b36c561c6eca601f4ad9bfc3fcca035', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-11 13:03:54', 'filesize': 630977, 'objectid': 185400, 'filename': '4451-Article Text-20871-1-10-20220831.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513083'}], 'main': '4451-Article Text-20871-1-10-20220831.pdf', 'docid': 185400, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185400', 'pos': 1, 'eprintid': 46521, 'placement': 1}]",2022-11-14 03:25:15,716,show,archive,46521,2022-11-14 03:25:15,,,,,,,,,,,,,,,,,,,,,
4,6,pub,2022-06-12 11:34:17,public,['FT7'],Jurnal Pengabdian Kepada Masyarakat Ungu (,disk0/00/04/23/10,http://repository.lppm.unila.ac.id/id/eprint/42310,"Palembapang mempunyai produk unggulan berupa asesoris cui, cincin dan produk rumah 
tangga berbahan batok kelapa. Usaha Kerajinan asesoris Batok kelapa yang dilakukan oleh 
kelompok masyarakat yang saat ini sedang mendapat perhatiaan dari pemerintah Daerah 
Lampung Selatan , namun masalah yang dihadapi adalah kualitas produk kerajinan kurang 
bagus, biaya produksi tinggi, jumlah produksi sedikit, proses produksi yang dilakukan tidak 
efisien, pemasaran belum berkembang dan menejemen pengelolaan belum effesien. Oleh 
karena itu perlu dilakukan usaha perbaikan dalam rangka peningkatan pengetahuan kelompok 
usaha kreatif ini. Permasalahan utama adalah 1) kualitas dan kapasitas produksi yang rendah, 
sehingga biaya produksi tinggi, 2) alat produksi yang masih sederhana, yaitu sebagian besar 
dikerjakan dengan manual, hal ini tidak efisien dan efektif. Pemasaran yang masih kurang 
berkembang. 
Metode yang digunakan adalah metode transfer teknologi Four in one untuk produksi asesoris, 
pelatihan dan pendampingan yang berguna untuk perbaikan mutu proses produksi, peningkatan 
pengelolaan dan penangan produk serta peningkatan pasar produk kreatif yang dapat 
memberikan pengetahuan untuk memperbaikan produk kerajinan batok kelapa. Untuk 
mengatasi masalah tersebut dilakukan introduksi/pengenalan dan cara menggunakan serta 
maintenens alat produksi Four in one yaitu alat potong, alat gerinda dan alat pengamplas yang 
dibuat dalam satu rangkaian alat. Begitu pula dengan proses perbaikan manejemen pemasaran.
Tujuan dari pengabdian ini adalah untuk meningkatkan profit dan memanfaatkan peluang 
usaha baru bagi kelompok pemuda di desa Pelembapang. Jumlah peserta yang ikut adalah 10
orang yang berasal dari kelompok Pemuda. Pelatihan dianggap berhasil jika 95 % peserta 
dapat menyelesaikan seluruh program pelatihan. Luaran yang dihasilkan adalah menghasilkan 
1 unit rangkaian teknologi produksi four in one untuk membuat kerajianan asesoris, 
peningkatan daya saing (kualitas, kuantitas, nilai tambah produk dan SDM, serta peningkatan 
penerapan IPTEK, dan perbaikan tata nilai masyarakat (Sosial).
Hasil yang diperoleh adalah pelatihan diikuti lebih dari 10 orang, ketercapaian keberhasilan 
program hanya 85%, penyerapan pembelajaran belum maksimal. Hal ini disebabkan karena 
pandemi dan diberlakukannya PPKM di Palembapang",['TS'],TRUE,"MENINGKATKAN KUALITAS DAN KUANTITAS KERAJINAN 
ASESORIS BERBAHAN BATOK KELAPA SEBAGAI PRODUK 
UNGGULAN DESA PALEMBAPANG KECAMATAN
KALIANDA LAMPUNG SELATAN",article,"[{'name': {'family': 'Arinal', 'lineage': None, 'honourific': None, 'given': 'Hamni'}, 'id': 'arinal.hamni@yahoo.com'}, {'id': 'gusri.akhyar@eng.unila.ac.id', 'name': {'given': 'Akhyar', 'lineage': None, 'family': 'Gusri', 'honourific': None}}, {'name': {'given': 'ulya', 'lineage': None, 'family': 'ridho', 'honourific': None}, 'id': '-'}]","[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '454-Article Text-1073-2-10-20220430.pdf', 'docid': 164015, 'files': [{'mtime': '2022-06-10 09:22:43', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465576', 'filename': '454-Article Text-1073-2-10-20220430.pdf', 'objectid': 164015, 'filesize': 642127, 'hash': 'deb359c78438f44c6fcf0719e445a2c9', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 465576}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164015', 'eprintid': 42310, 'placement': 1}]",2022-06-12 11:34:17,528,show,archive,42310,2022-06-12 11:34:17,Universitas Asyiah Pringsewu,2715-9558,,,http://journal.aisyahuniversity.ac.id/index.php/Abdi/article/view/kualitasarinal,1,4,published,,,,,,,,,,,,,
5,7,pub,2020-04-28 00:43:24,public,['FT7'],,disk0/00/01/93/56,http://repository.lppm.unila.ac.id/id/eprint/19356,"High-temperature corrosion of aluminized-American Iron and Steel Institute (AISI) 1020 steel with sodium chloride (NaCl) and sodium sulphate (Naat 700◦C for 49 h. NaCl and Na2SO42SO4) deposits was studied using isothermal oxidization in a dry air environment deposits on the aluminide layer interfered with protective alumina/aluminium oxide (Al2O3) scale formation on the steel substrate. Chlorine and sulphur gases (Cl2g and S, respectively) released into the atmosphere corroded the protective Al2O3 layer. Corrosion of the Al2O3g layer was also due to local formation of iron oxide (Fe2O3). Fe2O3 growth is attributed to ferric chloride (FeCl3) vaporization. Sg diffusion into the Al scale via Al3+ vacancy defects led to the formation of aluminium sulphide on the aluminide layer surface. Cl and S consequently induced hot corrosion of the aluminized steel, thereby increasing cyclic oxychloridation and sulphidation rates at high temperatures.",['TA'],,"High-temperature corrosion of aluminized-AISI 1020 steel with
NaCl and Na2SO4 deposits",other,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Badaruddin', 'lineage': None, 'given': 'Mohammad'}}, {'id': 'sugiyanto.1957@eng.unila.ac.id', 'name': {'given': 'Sugiyanto', 'honourific': None, 'family': 'Sugiyanto', 'lineage': None}}, {'name': {'family': 'Asmi', 'lineage': None, 'honourific': None, 'given': 'Dwi'}, 'id': 'dwiasmi82@yahoo.com'}]","[{'placement': 1, 'eprintid': 19356, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32585', 'security': 'public', 'main': 'file Peer Review.pdf', 'files': [{'mtime': '2020-04-27 08:31:59', 'hash_type': 'MD5', 'filename': 'file Peer Review.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/161916', 'filesize': 323355, 'objectid': 32585, 'mime_type': 'application/pdf', 'hash': '0c22cc4d5015dfc63202612ca20e6fe4', 'fileid': 161916, 'datasetid': 'document'}], 'docid': 32585, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-04-28 00:43:24,1133,show,archive,19356,2020-04-28 00:43:24,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,,,,,,,,,
6,8,pub,2020-04-28 00:42:01,public,['FT7'],,disk0/00/01/93/52,http://repository.lppm.unila.ac.id/id/eprint/19352,"High-temperature corrosion of aluminized-American Iron and Steel Institute (AISI) 1020 steel with sodium chloride (NaCl) and sodium sulphate (Naat 700◦C for 49 h. NaCl and Na2SO42SO4) deposits was studied using isothermal oxidization in a dry air environment deposits on the aluminide layer interfered with protective alumina/aluminium oxide (Al2O3) scale formation on the steel substrate. Chlorine and sulphur gases (Cl2g and S, respectively) released into the atmosphere corroded the protective Al2O3 layer. Corrosion of the Al2O3g layer was also due to local formation of iron oxide (Fe2O3). Fe2O3 growth is attributed to ferric chloride (FeCl3) vaporization. Sg diffusion into the Al scale via Al3+ vacancy defects led to the formation of aluminium sulphide on the aluminide layer surface. Cl and S consequently induced hot corrosion of the aluminized steel, thereby increasing cyclic oxychloridation and sulphidation rates at high temperatures.",['TA'],,High-temperature corrosion of aluminized-AISI 1020 steel with NaCl and Na2SO4 deposits,other,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'honourific': None, 'lineage': None, 'family': 'Badaruddin'}}, {'id': 'sugiyanto.1957@eng.unila.ac.id', 'name': {'given': 'Sugiyanto', 'honourific': None, 'family': 'Sugiyanto', 'lineage': None}}, {'name': {'given': 'Dwi', 'honourific': None, 'lineage': None, 'family': 'Asmi'}, 'id': 'dwiasmi82@yahoo.com'}]","[{'format': 'text', 'main': 'Similarity Artikel Badar, Sugi, Dwi.doc', 'docid': 32581, 'files': [{'datasetid': 'document', 'fileid': 161885, 'hash': '2948a5097ef4bfdd97aeb7f0207ef0d2', 'mime_type': 'text/rtf', 'objectid': 32581, 'filesize': 131214, 'uri': 'http://repository.lppm.unila.ac.id/id/file/161885', 'filename': 'Similarity Artikel Badar, Sugi, Dwi.doc', 'hash_type': 'MD5', 'mtime': '2020-04-27 08:09:56'}], 'language': 'en', 'mime_type': 'text/rtf', 'rev_number': 1, 'eprintid': 19352, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32581'}]",2020-04-28 00:42:01,1133,show,archive,19352,2020-04-28 00:42:01,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,,,,,,,,,
7,7,pub,2019-04-29 07:14:33,public,['FT7'],International Journal of Fatigue,disk0/00/01/13/29,http://repository.lppm.unila.ac.id/id/eprint/11329,"The  low-cycle fatigue (LCF) behaviour of AISI 4140  steel  under annealed and  as-received conditions was  in- vestigated at room  temperature. The annealing treatment causes  a marked decrease in mechanical strength but an increase in plastic energy and  ductility. The annealing treatment of AISI 4140  steel signiﬁcantly increases the LCF resistance of the material. In addition, the steel exhibits a transitional behaviour from initial cyclic softening to  stable cyclic  hardening with  increasing strain amplitude. By contrast, the  as-received AISI 4140  steel  un- dergoes progressive cyclic  softening until  failure. Microstructural changes induced in the  annealed steel  cause near-Masing-type behaviour at  low  and  high  strain amplitudes. The  enhancement of the  LCF resistance of the annealed steel  is attributed to the  high  magnitude of the  compressive stress,  which is dependent on the  applied strain amplitude. A good  correlation of the  total  failure cycles  with  plastic strain and  elastic strain provides a precise equation model  for predicting the  LCF life of annealing-treated AISI 4140  steel.",['TJ'],TRUE,Improvement of low-cycle fatigue resistance in AISI 4140 steel by annealing treatment,article,"[{'name': {'given': 'Mohammad', 'honourific': None, 'lineage': None, 'family': 'Badaruddin'}, 'id': 'mbruddin@eng.unila.ac.id'}, {'id': 'sugiyanto.1957@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Sugiyanto', 'given': 'Sugiyanto'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Herry', 'given': 'Wardono'}, 'id': 'herryw22@gmail.com'}]","[{'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'a5d065920c2fc0fa4ce75f3c81f78c5f', 'datasetid': 'document', 'fileid': 103098, 'mtime': '2019-04-26 10:23:25', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/103098', 'filename': 'International Journal of Fatigue Volume 125 Badaruddin, M.; Sugiyanto, dkk.pdf', 'objectid': 24327, 'filesize': 12552401}], 'main': 'International Journal of Fatigue Volume 125 Badaruddin, M.; Sugiyanto, dkk.pdf', 'docid': 24327, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 11329, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24327'}]",2019-04-29 07:14:33,1133,show,archive,11329,2019-04-29 07:14:33,Elsevier,406–417,,,http://www.elsevier.com/locate/ijfatigue,,125,,,[{'url': 'http://www.elsevier.com/locate/ijfatigue'}],,,,,,,,,,,
8,8,pub,2020-03-17 08:50:19,public,['FT7'],Makara Journal of Technology,disk0/00/01/87/40,http://repository.lppm.unila.ac.id/id/eprint/18740,"The high temperature corrosion of AISI 4130 steel can be increased by hot-dip aluminizing coating. The aluminized steel specimens with the deposit composition of 100/0, 30/70, 50/50, 70/30, and 0/100 (wt.%) NaCl/Na2SO4 were oxidized at 750 °C for 1-49 h periods. According to a parabolic rate constant (kp) value, the aluminized steel with deposit composition of 70/30 NaCl/Na2SO4 shows the highest kp value (3.71 × 10-11 g2cm- 4s-1), later followed by the kp value of 3.35 × 10-11 g2cm-4s-1 for 100/0 and the lowest kp value is 7.731 × 10-12 g2cm-4s-1 for 0/100. Whereas, the kp value for the aluminized steel without NaCl/Na2SO4 deposit is around 2.23 × 10-13 g2cm-4s-1. The presence of both salts and their mixtures destroyed protective Al2O3 layer on the aluminized steel, leading to the Fe2O3 growth locally. Whereas, the penetration of sulfur into the Al2O3 scale lead to the formation of Al2S3 and FeS in the aluminide coating. Therefore, the kinetics rate was increased. Furthermore, mixtures of 70 wt. % NaCl in Na2SO4 depositing on the aluminized steel produced the highest parabolic rate constant because the aluminide layer on the steel substrate experienced severe corrosion attack, leading to fail in formation of protective Al2O3 layer.",['TJ'],TRUE,High Temperature Corrosion of Aluminized AISI 4130 Steel with the Different Composition of NaCl/Na2SO4 Deposits,article,"[{'name': {'lineage': None, 'family': 'Badaruddin', 'honourific': None, 'given': 'Mohammad'}, 'id': 'mbruddin@eng.unila.ac.id'}, {'name': {'given': 'Chaur Chaur', 'honourific': None, 'family': 'Wang', 'lineage': None}, 'id': 'cjwang@mail.ntust.edu.tw'}, {'name': {'given': 'Yudhistyra', 'lineage': None, 'family': 'Saputra', 'honourific': None}, 'id': 'yudis@gmail.com'}, {'name': {'given': 'Abdul Rouf Amarulloh', 'honourific': None, 'family': 'Khalil', 'lineage': None}, 'id': 'abkhalid@yahoo.com'}]","[{'docid': 31925, 'main': '3136-703-1-SM.pdf', 'files': [{'fileid': 157352, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3a7521047005499035a4096fe8e1112f', 'hash_type': 'MD5', 'mtime': '2020-03-16 06:05:09', 'objectid': 31925, 'filesize': 1831918, 'filename': '3136-703-1-SM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/157352'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 18740, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31925', 'security': 'public'}]",2020-03-17 08:50:19,451,show,archive,18740,2020-03-17 08:50:19,"Directorate of Research and Community Services, Universitas Indonesia",2355-2786,,,http://journal.ui.ac.id/technology/journal/index,2,19,published,,,10.7454/mst.v19i2.3033.,45-50,,,,,,,,,
9,13,pub,2020-05-05 04:54:08,public,['FT7'],,disk0/00/01/94/45,http://repository.lppm.unila.ac.id/id/eprint/19445,"The mechanical and the low cycle fatigue (LCF) properties of cold-drawn AISI 1018 steel (CDS 1018) with and without hot-dip aluminizing (HDA) coating had been experimentally investigated at room temperature. The tensile properties and the LCF properties were determined from tensile test results and cyclic strain-fatigue test results, respectively. The aluminide coating on the CDS 1018 significantly decreases the mechanical properties and the strain-fatigue life of the steel. With increasing in strain amplitude levels, CDS 1018 experienced continuously cyclic softening behaviour after cyclic loading in few cycles. By contrast, the cyclic softening of HAD steel was observed in few cycles and HDA steel continuously exhibits the stably cyclic hardening behaviour until failure. CDS 1018 with aluminide coating results the longer transition fatigue cycles (Nt) than those of CDS 1018 without aluminide coating by a factor of 3.0. CDS 1018 with HDA coating can be used for material components which the components are safely designed under cyclic loading below the yield strength of the material.",['TA'],,Low Cycle Fatigue Properties of Aluminizing Coating on Cold-Drawn AISI 1018 Steel,other,"[{'name': {'given': 'Mohammad', 'lineage': None, 'family': 'Badaruddin', 'honourific': None}, 'id': 'mbruddin@eng.unila.ac.id'}, {'name': {'given': 'RD', 'honourific': None, 'lineage': None, 'family': 'kurniawan'}, 'id': None}, {'name': {'given': 'Sugiyanto', 'family': 'Sugiyanto', 'lineage': None, 'honourific': None}, 'id': 'sugiyanto.1957@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Pambudi', 'honourific': None, 'given': 'A'}, 'id': None}]","[{'format': 'text', 'docid': 32680, 'main': 'Peer Review.pdf', 'files': [{'hash': '14a5a3a32f6d27b70b334b6f1f613985', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 162606, 'filename': 'Peer Review.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/162606', 'objectid': 32680, 'filesize': 358032, 'mtime': '2020-05-05 04:18:24', 'hash_type': 'MD5'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 19445, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32680', 'pos': 1}]",2020-05-05 04:54:08,1133,show,archive,19445,2020-05-05 04:54:08,IOP Publishing,,,,,,,,,,doi:10.1088/1757-899X/807/1/012019,,,,,,,,,,
