,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,official_url,documents,userid,title,type,creators,place_of_pub,date_type,subjects,date,uri,abstract,corp_creators,dir,publisher,divisions,rev_number,ispublished,full_text_status,status_changed,volume,publication,funders,number,pagerange,refereed,issn,related_url,output_media,contributors,event_title,event_type,event_location,pres_type,event_dates,contact_email
0,show,2019-11-08 05:08:54,archive,14580,2019-11-08 05:08:55,http://journal2.undip.ac.id/index.php/tataloka/issue/view/141,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'R4-jurnaltataloka-citrapersada.pdf', 'docid': 27671, 'files': [{'datasetid': 'document', 'fileid': 126361, 'hash': 'eddaa090ab6db525dc7f3e6ca7d5fb4a', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-10-21 13:49:22', 'filesize': 587044, 'objectid': 27671, 'filename': 'R4-jurnaltataloka-citrapersada.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/126361'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27671', 'security': 'public', 'placement': 1, 'eprintid': 14580}]",408,Perwujudan Pariwisata Berkelanjutan Melalui Pemberdayaan Masyarakat Lokal di Pulau Pahawang Kabupaten Pesawaran Provinsi Lampung,other,"[{'id': None, 'name': {'lineage': None, 'family': 'Alvi', 'honourific': None, 'given': 'Nava Neilulfar'}}, {'id': None, 'name': {'given': 'Isye Nurhasanah', 'family': 'Susana', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Citra', 'honourific': None, 'family': 'Persada', 'lineage': None}, 'id': 'citra.persada@eng.unila.ac.id'}]",Semarang,published,['T1'],2017-05-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/14580,URL Penilaian Teman Sejawat/Peer Review,"['Institut Teknologi Sumatera', 'Institut Teknologi Sumatera', 'Universitas Lampung']",disk0/00/01/45/80,UNDIP,['FT9'],7,pub,public,2019-11-08 05:08:54,,,,,,,,,,,,,,,,
1,show,2021-10-07 10:02:49,archive,34375,2021-10-07 10:02:49,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'GSG.pdf', 'docid': 154886, 'files': [{'filename': 'GSG.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/404795', 'objectid': 154886, 'filesize': 4617212, 'mtime': '2021-10-07 08:18:07', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '9b825ac7776de86f4aea6c487d449492', 'fileid': 404795, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154886', 'security': 'public', 'placement': 1, 'eprintid': 34375}]",190,Laporan Perancangan Renovasi Gedung Serba Guna (GSG) Universitas Lampung,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Basuki', 'given': 'Kelik Hendro'}, 'id': 'jaya_setika@yahoo.com'}]",,,['NA'],1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/34375,"Pencapaian visi dan sasaran RPJP Unila memerlukan dukungan 
sarana dan prasarana kegiatan yang memadai, agar dapat mengakomodasi perkembangan Unila. Salah satu sarana dan prasarana yang penting di lingkungan Kampus Unila adalah Gedung Serba Guna (GSG) Unila. Kondisi bangunan publik seperti GSG Unila tersebut menjadi cerminan suasana pelayanan pendidikan baik untuk civitas akademik maupun masyarakat umum. Ditinjau dari umur bangunan, bentuk, kondisi, dan
pelayanan bangunan tersebut sangat perlu diadakan ehabilitasi berat terhadap fisik gedung GSG Unila tersebut.",,disk0/00/03/43/75,Jurusan Arsitektur Universitas Lampung,['FT9'],8,unpub,public,2021-10-07 10:02:49,,,,,,,,,,,,,,,,
2,show,2019-11-08 05:09:32,archive,14584,2019-11-08 05:09:32,http://ejounal2.undip.ac.id/index.php/ijpd/article/view/1224,"[{'docid': 27676, 'main': 'R3-IJPD-citrapersada.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-10-21 14:24:22', 'filesize': 592600, 'objectid': 27676, 'filename': 'R3-IJPD-citrapersada.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/126384', 'fileid': 126384, 'datasetid': 'document', 'hash': 'f69d8256aea7ae82c20d7dcb6e2883c7', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 14584, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27676', 'pos': 1, 'security': 'public'}]",408,Priority Factors for Community Participation in the Planning Stage of Neighborhood Upgrading Shelter and Sector Project in Bandarlampung,other,"[{'id': None, 'name': {'lineage': None, 'family': 'Gunari', 'honourific': None, 'given': 'Balqis Febriyantina'}}, {'name': {'given': 'Citra', 'honourific': None, 'lineage': None, 'family': 'Persada'}, 'id': 'citra.persada@eng.unila.ac.id'}, {'name': {'given': 'Zulqadri', 'family': 'Ansar', 'lineage': None, 'honourific': None}, 'id': None}]",Semarang,published,['T1'],2017-10-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/14584,URL Penilaian Teman Sejawat/Peer Review,"['Institut Teknologi Sumatera', 'Universitas Lampung', 'Institut Teknologi Sumatera']",disk0/00/01/45/84,UNDIP,['FT9'],7,pub,public,2019-11-08 05:09:32,,,,,,,,,,,,,,,,
3,show,2019-11-08 05:04:58,archive,8723,2019-11-08 05:04:58,http://dx.doi.org/10.14710/ijpd.2.287-93,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21802', 'pos': 2, 'eprintid': 8723, 'placement': 3, 'content': 'published', 'language': 'id', 'rev_number': 3, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 85096, 'datasetid': 'document', 'hash': 'd64ec8a40557eefedf9103b0e27b0662', 'mime_type': 'application/pdf', 'filesize': 530747, 'objectid': 21802, 'filename': 'partisipasi-citra-IJPD.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85096', 'hash_type': 'MD5', 'mtime': '2018-08-15 13:30:03'}], 'main': 'partisipasi-citra-IJPD.pdf', 'docid': 21802}, {'format': 'text', 'docid': 21803, 'main': 'puhawang-citra-madani.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-08-15 13:45:12', 'objectid': 21803, 'filesize': 660746, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85099', 'filename': 'puhawang-citra-madani.pdf', 'datasetid': 'document', 'fileid': 85099, 'hash': '9c58626ee05cf6979f4d25b0a3fcf091', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'eprintid': 8723, 'placement': 2, 'security': 'public', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21803'}]",408,Priority Factrors for Cummunity Participation in The Planning Stage of Neighborhood Upgrading Shelter and Sector Project in Bandarlampung,article,"[{'name': {'honourific': None, 'family': 'Gunari', 'lineage': None, 'given': 'Balqis Febriyantina'}, 'id': 'balqisfebriantina@gamil.com'}, {'name': {'given': 'Citra', 'honourific': None, 'family': 'Persada', 'lineage': None}, 'id': 'citrapersada65@gmail.com'}, {'name': {'given': 'Zulqodri', 'honourific': None, 'lineage': None, 'family': 'Ansar'}, 'id': 'zulqodri@gmail.com'}]",,published,['T1'],2017-10-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/8723,"Abstract  The purpose of this research is to identify priority factors for community participation in the planning stage of Neighborhood Upgrading Shelter and Sector Project (NUSSP) in Bandar Lampung. The analytical method used is Analytical Hierarchy Process (AHP) to obtain the priority factors gathered from nine key informants, and factor analysis method to analyze data taken from 101 participating communities in Kota Karang settlement as the case. The result shows that the priority factors causing community participation are: 1) a good cooperation among the key stakeholders involving the local government, the village head, the chairman of the neighborhood association, the community’s public figures, and nongovernmental organization (NGO) represented in the community self-reliance organization (Lembaga Keswadayaan Masyarakat/LKM); 2) community inclusion by the NGO In the LKM; 3) community’s cooperative behaviour in the neighborhood; 4) clarity of the program socialization by the local government with an easy-to-understand language; 5) the lowincome community in decent life; 6) proper acknowledgement to community opinion; 7) community freedom to speak in the public meeting.  
 
Keywords: AHP; community participation; factor analysis; NUSSP Program","['Institut Teknologi Sumatera', 'Universitas Lampung']",disk0/00/00/87/23,UNDIP,['FT9'],10,pub,public,2019-11-08 05:04:58,2.0,The Indonesian Journal of Planning and Development,['ITERA'],2.0,87-93,FALSE,P-ISSN:2087-9733 E-ISSN:2442-983X,"[{'type': 'org', 'url': 'http://ejournal2.undip.ac.id/Index.php/ijpd'}]",,,,,,,,
4,show,2019-08-01 07:38:01,archive,13347,2019-08-01 07:38:01,https://www.youtube.com/,"[{'language': 'en', 'mime_type': 'text/html', 'rev_number': 3, 'content': 'presentation', 'main': 'watch_v=l-36-RAHEzY&feature=youtu.be', 'files': [{'datasetid': 'document', 'fileid': 116953, 'hash': '7307afe885972379106f4fa4db4c584a', 'mime_type': 'text/html', 'objectid': 26353, 'filesize': 167647, 'uri': 'http://repository.lppm.unila.ac.id/id/file/116953', 'filename': 'watch_v=l-36-RAHEzY&feature=youtu.be', 'hash_type': 'MD5', 'mtime': '2019-05-28 14:58:49'}], 'docid': 26353, 'format': 'video', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26353', 'formatdesc': 'Animasi LPPM UNILA', 'security': 'public', 'placement': 1, 'eprintid': 13347}]",72,Animasi LPPM UNILA,video,"[{'name': {'given': 'PANJI', 'honourific': None, 'family': 'KURNIAWAN', 'lineage': None}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",,published,"['N1', 'NA', 'NC']",2017-12-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13347,,,disk0/00/01/33/47,www.panjikurniawan.com,['FT9'],11,pub,public,2019-08-01 07:38:01,,,,,,,,"[{'type': 'pub', 'url': 'https://youtu.be/l-36-RAHEzY'}]",Youtube,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'KURNIAWAN', 'given': 'PANJI'}, 'type': 'http://www.loc.gov/loc.terms/relators/ANM'}, {'name': {'lineage': None, 'family': 'HENDRO', 'honourific': None, 'given': 'KELIK'}, 'type': 'http://www.loc.gov/loc.terms/relators/ARC', 'id': 'Kelik.Hendro@eng.unila.ac.id'}]",,,,,,
5,show,2019-08-01 07:37:53,archive,13342,2019-08-01 07:37:53,https://www.youtube.com/,"[{'files': [{'mime_type': 'text/html', 'hash': '286bc01657b00b0731475d77ca45e82c', 'fileid': 116891, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/116891', 'filename': 'watch_v=Yzu5LziWS9w&feature=youtu.be', 'filesize': 167796, 'objectid': 26348, 'mtime': '2019-05-28 14:41:59', 'hash_type': 'MD5'}], 'main': 'watch_v=Yzu5LziWS9w&feature=youtu.be', 'docid': 26348, 'format': 'video', 'rev_number': 3, 'language': 'en', 'mime_type': 'text/html', 'content': 'presentation', 'placement': 1, 'eprintid': 13342, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26348', 'formatdesc': 'Animasi Masjid Murattal Haq Pondok Pesantren Al Hanif', 'security': 'public'}]",72,Animasi Masjid Murattal Haq Pondok Pesantren Al Hanif,video,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'KURNIAWAN', 'honourific': None, 'given': 'PANJI'}}]",,published,"['N1', 'NA', 'NC']",2017-11-05 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13342,,,disk0/00/01/33/42,www.panjikurniawan.com,['FT9'],12,pub,public,2019-08-01 07:37:53,,,,,,,,"[{'type': 'pub', 'url': 'https://youtu.be/Yzu5LziWS9w'}]",Youtube,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'given': 'PANJI', 'lineage': None, 'family': 'KURNIAWAN', 'honourific': None}}]",,,,,,
6,show,2019-08-01 07:37:58,archive,13345,2019-08-01 07:37:58,https://www.youtube.com/,"[{'format': 'video', 'docid': 26351, 'main': 'watch_v=ESfWKuK1OV4&feature=youtu.be', 'files': [{'mtime': '2019-05-28 14:51:54', 'hash_type': 'MD5', 'filename': 'watch_v=ESfWKuK1OV4&feature=youtu.be', 'uri': 'http://repository.lppm.unila.ac.id/id/file/116930', 'objectid': 26351, 'filesize': 168723, 'mime_type': 'text/html', 'hash': 'e6452e0b879b5f968d03d416572f97d0', 'datasetid': 'document', 'fileid': 116930}], 'content': 'presentation', 'language': 'en', 'mime_type': 'text/html', 'rev_number': 3, 'eprintid': 13345, 'placement': 1, 'formatdesc': 'Animasi Metode Pekerjaan Tunnel', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26351'}]",72,Animasi Metode Pekerjaan Tunnel,video,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'KURNIAWAN', 'given': 'PANJI'}}]",,published,"['N1', 'NA', 'NC']",2017-08-29 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13345,,,disk0/00/01/33/45,www.panjikurniawan.com,['FT9'],11,pub,public,2019-08-01 07:37:58,,,,,,,,"[{'url': 'https://youtu.be/ESfWKuK1OV4', 'type': 'pub'}]",Youtube,"[{'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'name': {'family': 'KURNIAWAN', 'lineage': None, 'honourific': None, 'given': 'PANJI'}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",,,,,,
7,show,2019-08-01 07:37:57,archive,13344,2019-08-01 07:37:57,https://www.youtube.com/,"[{'security': 'public', 'formatdesc': 'Animasi Rencana Penataan Pasar Pandan Sari, Sukoharjo, Pringsewu', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26350', 'pos': 1, 'eprintid': 13344, 'placement': 1, 'content': 'presentation', 'language': 'en', 'mime_type': 'text/html', 'rev_number': 3, 'format': 'video', 'docid': 26350, 'main': 'watch_v=-zTfioiRP0U&feature=youtu.be', 'files': [{'filename': 'watch_v=-zTfioiRP0U&feature=youtu.be', 'uri': 'http://repository.lppm.unila.ac.id/id/file/116919', 'filesize': 169533, 'objectid': 26350, 'mtime': '2019-05-28 14:48:57', 'hash_type': 'MD5', 'hash': 'd592fee7e866520f212cbc141c1b4ef9', 'mime_type': 'text/html', 'fileid': 116919, 'datasetid': 'document'}]}]",72,"Animasi Rencana Penataan Pasar Pandan Sari, Sukoharjo, Pringsewu",video,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'KURNIAWAN', 'lineage': None, 'given': 'PANJI'}}]",,published,"['N1', 'NA', 'NC']",2017-10-18 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13344,,,disk0/00/01/33/44,www.panjikurniawan.com,['FT9'],11,pub,public,2019-08-01 07:37:57,,,,,,,,"[{'type': 'pub', 'url': 'https://youtu.be/-zTfioiRP0U'}]",Youtube,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'name': {'honourific': None, 'family': 'KURNIAWAN', 'lineage': None, 'given': 'PANJI'}}]",,,,,,
8,show,2019-08-01 07:37:55,archive,13343,2019-08-01 07:37:55,https://www.youtube.com/,"[{'language': 'en', 'mime_type': 'text/html', 'rev_number': 3, 'content': 'presentation', 'main': 'watch_v=TTG6ysrrqWs&feature=youtu.be', 'files': [{'hash': 'c769ff4611021956ae670c1daae0ba73', 'mime_type': 'text/html', 'datasetid': 'document', 'fileid': 116907, 'mtime': '2019-05-28 14:45:02', 'hash_type': 'MD5', 'filename': 'watch_v=TTG6ysrrqWs&feature=youtu.be', 'uri': 'http://repository.lppm.unila.ac.id/id/file/116907', 'objectid': 26349, 'filesize': 172399}], 'docid': 26349, 'format': 'video', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26349', 'pos': 1, 'formatdesc': 'Animasi Ruang Terbuka Hijau (RTH) Sukoharjo', 'security': 'public', 'placement': 1, 'eprintid': 13343}]",72,Animasi Ruang Terbuka Hijau (RTH) Sukoharjo,video,"[{'name': {'family': 'KURNIAWAN', 'lineage': None, 'honourific': None, 'given': 'PANJI'}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",,published,"['N1', 'NA', 'NC']",2017-10-18 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13343,,,disk0/00/01/33/43,www.panjikurniawan.com,['FT9'],11,pub,public,2019-08-01 07:37:55,,,,,,,,"[{'type': 'pub', 'url': 'https://youtu.be/TTG6ysrrqWs'}]",Youtube,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'name': {'given': 'PANJI', 'lineage': None, 'family': 'KURNIAWAN', 'honourific': None}}]",,,,,,
9,show,2019-08-01 07:37:52,archive,13340,2019-08-01 07:37:52,https://www.youtube.com/,"[{'formatdesc': 'Animasi Tugu Gajah Mada Sukoharjo Pringsewu', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26345', 'pos': 1, 'eprintid': 13340, 'placement': 1, 'content': 'presentation', 'language': 'en', 'mime_type': 'text/html', 'rev_number': 3, 'format': 'video', 'main': 'watch_v=NGYmJRp6jtQ&feature=youtu.be', 'docid': 26345, 'files': [{'mime_type': 'text/html', 'hash': '128164dbfcf3105662b6eab132566a10', 'datasetid': 'document', 'fileid': 116868, 'uri': 'http://repository.lppm.unila.ac.id/id/file/116868', 'filename': 'watch_v=NGYmJRp6jtQ&feature=youtu.be', 'objectid': 26345, 'filesize': 160635, 'mtime': '2019-05-28 14:37:35', 'hash_type': 'MD5'}]}]",72,Animasi Tugu Gajah Mada Sukoharjo Pringsewu,video,"[{'name': {'given': 'PANJI', 'honourific': None, 'family': 'KURNIAWAN', 'lineage': None}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",,published,"['N1', 'NA', 'NC']",2017-10-24 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13340,,,disk0/00/01/33/40,www.panjikurniawan.com,['FT9'],11,pub,public,2019-08-01 07:37:52,,,,,,,,[{'url': 'https://youtu.be/NGYmJRp6jtQ'}],Youtube,"[{'name': {'given': 'PANJI', 'family': 'KURNIAWAN', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'id': 'panji.kurniawan@eng.unila.ac.id'}]",,,,,,
