,abstract,date,publisher,issn,full_text_status,ispublished,eprint_status,eprintid,datestamp,pagerange,userid,documents,pres_type,event_dates,refereed,event_location,event_title,subjects,date_type,uri,dir,publication,divisions,event_type,status_changed,succeeds,rev_number,metadata_visibility,lastmod,type,creators,title,official_url,funders,related_url,output_media,contributors,corp_creators,id_number,number,volume,book_title,pages,editors,place_of_pub,isbn,referencetext,contact_email,projects
0,"Abstract. This paper introduces the special feature of cultural heritage documentation; conservation and society entitled “The Importance of Cultural Heritage Conservation in Society”. Cultural heritage in Indonesia has been developed after the establishment of Bataviaasch Genootschapvan Kunsten en Wetenschappen (1778) and De Outdheidkundige Diest (1913 – 1928 for Lampung Region) by the Netherlands Indies Government. Cultural heritage draw from a theory based in living system, developing strategies both for adopting impact and mitigation those threats by sustaining building and natural environment. Cities like Bandar Lampung are high complex living organism and are subjects to continue transformation produced by the requirement that vary from multi-ethnic of community, the political, economical, cultural and above all changing climate factored. All of factors are able to maintain normative developmental task that occur at various stage of live in the future. However, the preliminary problem of developing future cities in Bandar Lampung is related to existing social condition of modern society, which threatens the existence of local social community. The loss of heritage has to be avoided; its purposeful destruction at the hand of terrorists has been recently declared a war crime and its conservation calls for coordinated actions. To overcome this shortage, we need understanding factors affecting issue, including neighbourhood characteristic such as socio economic factor, residential pattern, social value, and stressful life events and insufficient resources. This paper investigate paradigm the role of cultural heritage conservation in society and become an important approach in develop innovation in both architecture and urban design. With present paper we aim to increase the awareness of learning cultural diversity form cultural heritage conservation and re interpreting them in establishment of urban system strategies for future cities.
Keyword: Cultural, Heritage, Conservation, Future Cities, and Bandar Lampung",2020-01-01 00:00:00.000000000,IOP Publishing,1755-1315,public,pub,archive,20258,2020-05-22 01:53:15,1-6,31,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published', 'docid': 33593, 'main': 'Nugroho_2020_IOP_Conf._Ser.%3A_Earth_Environ._Sci._409_012013.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-20 12:10:08', 'filesize': 354445, 'objectid': 33593, 'filename': 'Nugroho_2020_IOP_Conf._Ser.%3A_Earth_Environ._Sci._409_012013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/190844', 'fileid': 190844, 'datasetid': 'document', 'hash': '98c2552d8b6f714d453260d504e96e2c', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33593', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 20258}]",paper,10 September 2019,TRUE,Semarang,ICUDEP 2019,"['H1', 'NA']",published,http://repository.lppm.unila.ac.id/id/eprint/20258,disk0/00/02/02/58,IOP Conference Series: Earth and Environmental Science,['FT9'],conference,2020-05-22 01:53:15,14719.0,11,show,2020-05-22 01:53:15,article,"[{'name': {'given': 'Agung', 'honourific': None, 'lineage': None, 'family': 'Agung Nugroho'}, 'id': 'agungcnugroho@yahoo.com'}, {'id': 'dinihd90@gmail.com', 'name': {'family': 'Hardilla', 'lineage': None, 'honourific': None, 'given': 'Dini'}}]","The Importance of Cultural Heritage Conservation in Society: A Review and Prospect for Future Cities, with Bandar Lampung as Cased Study",,,,,,,,,,,,,,,,,
1,"Perubahan yang terjadi di masyarakat akibat adanya dinamika perkembanan zaman, secara garis besar menimbulkan terjadinya perubahan dalam kontek social dan budaya masyarakat. Perubahan-perubahan ini yang kemudian dimanifestasikan dalam perilaku masyarakat di berbagai hal dalam kehidupan sehari-hari, tidak terkecuali dalam kegiatan pembuatan arsitektur rumah tinggal. Arsitektur yang seyogyana merupakan hasil pemahan dan pemikiran manusia yang dituangkan dalam sebuah tatanan fisik dan diwujudkan melalui keberagaman budaya. Arsitektur memberikan pemahaman tentang bagaimana identitas social baik masayrakat maupun lingkungannya, sebagai pertanda bahwa dimanika budaya telah mengalami perkembangannya seara pesat. Oleh karenanya, untuk menghasilkan sebuah design arsitektur yang kreatif dan inovatif diperlukan adanya kajian kontektualisasi dinamika social dan budaya masyarakat melalui penelitian ini. 
Penelitian ini menggunakan metodologi analisis rasionalisme dalam bentuk kualitatif dan merupakan penelitian etnografi yang menitikberatkan pada dinamika perubahan social dan budaya masyakarat, sehingga dapat menghasilkan sebuah ancangan design arsitektur yang kreatif pada masa yang akan datang. Bila dilihat dari kedalaman analisisnya, maka jenis penelitian ini bersifat deskriptif, yakni menganalisis dan menyajikan data perilaku social dan budaya masyarakat yang ada di wilayah studi kasus yaitu Kota Metro. 
Kata Kunci: Dinamika, Sosial, Budaya, Arsitektur, Kreatif",2020-09-21 00:00:00.000000000,Fakultas Teknik Universitas Lampung,,public,unpub,archive,51220,2023-05-08 07:47:43,,190,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190953', 'pos': 1, 'eprintid': 51220, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'format': 'text', 'main': 'LAPAK FT 2020 Kelik-dini-nug.pdf', 'files': [{'mtime': '2021-11-20 01:19:17', 'hash_type': 'MD5', 'filename': 'LAPAK FT 2020 Kelik-dini-nug.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550339', 'objectid': 190953, 'filesize': 1350034, 'hash': '8dffeeb34994b4f9b3c23e4ae3caa29d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 550339}], 'docid': 190953}]",,,,,,['NA'],,http://repository.lppm.unila.ac.id/id/eprint/51220,disk0_bak/00/05/12/20,,['FT9'],,2023-05-08 07:47:43,37054.0,4,show,2023-05-08 07:47:43,other,"[{'id': 'kelik.hendro@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Basuki', 'lineage': None, 'given': 'Kelik Hendro'}}, {'name': {'given': 'Dini', 'family': 'Hardilla', 'lineage': None, 'honourific': None}, 'id': 'dinihd90@gmail.com'}, {'id': 'nug.ifadianto@gmail.com', 'name': {'given': 'Nugroho', 'honourific': None, 'family': 'Ifadianto', 'lineage': None}}]","KAJIAN KONTEKTUALISASI DINAMIKA SOSIAL DAN BUDAYA DALAM
PERENCANAAN ARSITEKTUR KREATIF",,,,,,,,,,,,,,,,,
2,"Desa Sukamarga memiliki beberapa obyek wisata yang sangat menarik untuk dikunjungi seperti keramikan dan kawah nirwana. Semua obyek wisata tersebut berada di alam bebas 
yang sangat beresiko dan wajib memperhatikan keselamatan pengunjung. Pengelolaan keselamatan wisata akan selalu terkait dengan upaya-upaya meminimalkan risiko dan 
kecelakaan. Tujuan dari pengabdian ini adalah: memetakan kondisi eksisting obyek geowisata keramikan dan kawah nirwana berbasis photo udara, mengedukasi masyarakat akan prinsip-prinsip pengelolaan keselamatan wisata, dan mengintegrasikan data geospasial dan nonspasial 
dari kelompok masyarakat dalam pembuatan peta zonasi risiko. Kelompok masyarakat yang tergabung dalam Kelompok Sadar Wisata (Pokdarwis) Desa Sukamarga merupakan subjek 
utama dalam proses pemetaan partisipatif. Proses pemetaan melalui tahap Focus Group Discussion dan in-depth interview berkaitan dengan risiko keselamatan pengunjung. Sistem informasi geografis kemudian mentransformasikan hasil pemetaan partisipatif dalam bentuk digital. Hasil dari penelitian ini adalah peta partisipatif zona risiko keselamatan pengunjung di obyek wisata keramikan dan kawah nirwana yang secara geologi berada di manifestasi 
panasbumi.",2020-01-30 00:00:00.000000000,,,public,pub,archive,20284,2020-05-22 02:49:05,110-119,2724,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/33627', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 20284, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 33627, 'main': 'Prosiding Semnas FEB 2019 - Kelik.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '8ecb609848988030d039fca2e4ad387c', 'datasetid': 'document', 'fileid': 191042, 'filename': 'Prosiding Semnas FEB 2019 - Kelik.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/191042', 'filesize': 1273758, 'objectid': 33627, 'mtime': '2020-05-21 02:56:30', 'hash_type': 'MD5'}], 'format': 'text'}]",paper,,TRUE,Lampung,SEMNAS FEB 2019,['HN'],published,http://repository.lppm.unila.ac.id/id/eprint/20284,disk0/00/02/02/84,,['FT9'],conference,2020-05-22 02:49:05,,7,show,2020-05-22 02:49:05,conference_item,"[{'name': {'lineage': None, 'family': 'Basuki', 'honourific': None, 'given': 'Kelik Hendro'}, 'id': 'jaya_setika@yahoo.com'}, {'id': 'sarkov323@yahoo.com', 'name': {'lineage': None, 'family': 'Sarkowi', 'honourific': None, 'given': 'Muh'}}, {'id': 'catur3712@gmail.com', 'name': {'lineage': None, 'family': 'Wibowo', 'honourific': None, 'given': 'Rahmat Catur'}}]",Pemberdayaan Masyarakat Dalam Pembuatan Peta Zonasi Partisipatif di Kawasan Obyek Wisata Keramikan dan Kawah Nirwana Desa Sukamarga,http://feb.unila.ac.id/id/semnasfeb/,,,,,,,,,,,,,,,,
3,"Abstract. Vernacular architecture as a part of cultural heritage and could be one of cultural tourism has own social environment characteristics that indirectly affects the shape of building typology, including Wana Village. Wana is a traditional village, which is asset belonging to the Melinting tribe, one of the oldest tribes in Lampung and a part of the cultural tourism destinations in East Lampung. There are several factors that influence the typology of buildings in Wana Village including the varied transformation of multi-ethnic communities - Palembang, Lampung and Banten; politics, economy and culture. However, in recent years vernacular architecture in Wana has been forgotten by local community. Because the number of vernacular buildings left in this village is reduced, we intend to study the building typology, as an effort to re-interpret the cultural heritage, which can later be earmarked as a cultural tourism destination. With present paper we aim to collect typology data, asset values and the development of vernacular architecture in Wana through digital photography and making techniques and schematic maps.
Keyword: Vernacular Architecture, Typology, Heritage, Cultural Tourism, Wana Village",2020-09-07 00:00:00.000000000,,,public,inpress,archive,24901,2020-11-11 05:18:33,,31,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'fileid': 225556, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f7dcf514237c952568fac294fbc9129e', 'filesize': 667566, 'objectid': 38645, 'uri': 'http://repository.lppm.unila.ac.id/id/file/225556', 'filename': 'Vernacular Architectural- Typology, Heritage, and Cultural Tourism Key Issue in Wana‘s Traditional Village  .pdf', 'hash_type': 'MD5', 'mtime': '2020-11-11 04:02:32'}], 'main': 'Vernacular Architectural- Typology, Heritage, and Cultural Tourism Key Issue in Wana‘s Traditional Village  .pdf', 'docid': 38645, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38645', 'security': 'public', 'placement': 1, 'eprintid': 24901}]",paper,15-16 Oktober 2020,TRUE,UGM Yogyakarta,"International Conference on Indonesian Architecture and Planning : Compelxity Design, Planning and Innovation 2020","['H1', 'NA']",submitted,http://repository.lppm.unila.ac.id/id/eprint/24901,disk0/00/02/49/01,,['FT9'],conference,2020-11-11 05:18:33,,8,show,2020-11-11 05:18:33,conference_item,"[{'id': 'dinihd90@gmail.com', 'name': {'given': 'Dini', 'honourific': None, 'lineage': None, 'family': 'Hardilla'}}, {'id': 'agung.cahyo@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Nugroho', 'given': 'Agung Cahyo'}}]","Vernacular Architecture: Typology, Heritage, and Cultural Tourism",,['DIPA BLU UNILA'],,,,,,,,,,,,,,,
4,,2020-11-22 00:00:00.000000000,https://www.youtube.com/,,public,pub,archive,26587,2020-11-22 11:44:45,,72,"[{'format': 'video', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-22 05:51:31', 'filesize': 42674865, 'objectid': 40485, 'filename': 'RTH STADION UNILA.mp4', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239012', 'datasetid': 'document', 'fileid': 239012, 'mime_type': 'video/mp4', 'hash': '348ad3852f8db90be1ec861da50eb5be'}], 'main': 'RTH STADION UNILA.mp4', 'docid': 40485, 'rev_number': 1, 'language': 'en', 'mime_type': 'video/mp4', 'eprintid': 26587, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40485', 'pos': 1}]",,,,,,['NA'],published,http://repository.lppm.unila.ac.id/id/eprint/26587,disk0/00/02/65/87,,['FT9'],,2020-11-22 11:44:45,,5,show,2020-11-22 11:44:45,video,"[{'name': {'given': 'PANJI', 'family': 'KURNIAWAN', 'lineage': None, 'honourific': None}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",Animasi Ruang Terbuka Hijau Stadion Universitas Lampung,https://www.youtube.com/c/wwwpanjikurniawancom,,[{'url': 'https://youtu.be/OSdx147-ctQ'}],video,,,,,,,,,,,,,
5,"Pembangunan diberbagai bidang terus berkembang saat ini. Peningkatan terhadap kualitas hidup, tidak hanya tidak hanya di tandai dengan meningkatnya kesejahteraan, namun juga pada konteks hubungan dengan sang maha pencipta, Allah SWT. Hubungan komunikasi antara mahluk dan tuhannya di wadahi pada bentuk fisik tertentu. Misalnya yang dilakukan pada pengabdian kali ini yaitu Rencana Renovasi Masjid Osman Hosen yang berada di kompleks Pesantren Putra-Puteri Perkemas dusun Sidorejo, desa Branti Raya, Kecamatan Natar, Lampung Selatan. Dalam Rencana Renovasi dari Masjid ini membutuhkan pendanaan yang cukup besar mengingat luasannya yang terbilang besar. Oleh sebab itu diperlukan sebuah konsep pembangunan yang terencana dan membutuhkan urun saran dari berbagai pihak. Langkah awal yang dapat di lakukan adalah dengan menginformasikan tentang rencana tersebut dalam sebuah gambar simulasi yang akan di gunakan dalam Proposal Pembangunan. Dari sisi disiplin ilmu yang kami coba berikan bantuan adalah simulasi 3D bangunan Masjid Osman Hosen sebagai langkah awal yang akan menggambarkan bentuk fisik jika bangunan tersebut telah terbangun di kemudian hari.
Kata kunci: Renovasi, 3D Visual.",2020-09-01 00:00:00.000000000,,,public,inpress,archive,25133,2020-11-16 01:49:15,,72,"[{'docid': 38921, 'main': 'SENAPATI_PANJI KURNIAWAN_ARSITEKTUR _FT_UNILA.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/227463', 'filename': 'SENAPATI_PANJI KURNIAWAN_ARSITEKTUR _FT_UNILA.pdf', 'filesize': 1597517, 'objectid': 38921, 'mtime': '2020-11-13 05:43:59', 'hash_type': 'MD5', 'hash': 'ba234559d05ee3b504be382b43e097db', 'mime_type': 'application/pdf', 'fileid': 227463, 'datasetid': 'document'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 25133, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38921', 'security': 'public'}]",paper,,TRUE,,“Sinergi Perguruan Tinggi dengan Masyarakat untuk Pembangunan Berkelanjutan”,"['NA', 'NC']",published,http://repository.lppm.unila.ac.id/id/eprint/25133,disk0/00/02/51/33,,['FT9'],conference,2020-11-16 01:49:15,,8,show,2020-11-16 01:49:15,conference_item,"[{'name': {'given': 'PANJI', 'family': 'KURNIAWAN', 'lineage': None, 'honourific': None}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]","Bantuan Teknis Desain dan 3d Visual 
Renovasi Masjid Osman Hosen 
Pondok Pesantren Putra-Puteri Perkemas Dusun Sidorejo, Desa Branti Raya, Kecamatan Natar, Lampung Selatan",http://senapati.eng.unila.ac.id/,,,,,,,,,,,,,,,,
6,"ARTI LOGO :

Bentuk Setengah Lingkaran Berwarna Kuning, memiliki arti Surya/Matahari yang bersinar dengan membawa kemakmuran, kegemilangan, berwarna kuning denan latar depan siluet orang dengan keceriaan, merupakan dominasi warna Universitas Lampung, sebagai wadah pendidikan yang mampu menghantarkan civitas akademisnya meraih kesuksesan.
Siluet Garis Horizon berwarna Biru, merupakan Fakultas Penyelenggara yang dalam Hal ini adalah FKIP dan Fakultas Teknik.
Riak Gelombang Ungu yang menyerupai tangan menengadah, merupakan refleksi keluasan ilmu pengetahuan, dan keleluasaan keilmuan (kurikulum merdeka) yang mampu mencapai ke seluruh ruang dan tempat dan mampu beradaptasi dengan kondisi apapun dan dimanapun, dengan tetap menjadikan kebesaran Tuhan YME, Allah SWT sebagai satu-satunya sumber dari segala Ilmu dalam Kehidupan.
Siluet Pohon, Orang sebagai Tunas, dengan Daun Berwarna-warni, merefleksikan Kemampuan & Komitmen Unila untuk mampu Menciptakan Generasi yang Unggul, melalui sejumlah Fakultas yang dimilikinya.",2020-07-01 00:00:00.000000000,Dies Natalis 55 Unila,,public,pub,archive,24661,2020-11-09 09:13:13,,72,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 38406, 'main': 'LOGO Dies 55 Unila.pdf', 'files': [{'mtime': '2020-11-08 01:27:14', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/223843', 'filename': 'LOGO Dies 55 Unila.pdf', 'objectid': 38406, 'filesize': 695889, 'hash': 'f55b953e01bfe38e42bac7bb9c63b3f1', 'mime_type': 'application/pdf', 'fileid': 223843, 'datasetid': 'document'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38406', 'eprintid': 24661, 'placement': 1}]",,,,,,"['N1', 'NC', 'ND', 'NE', 'NK', 'NX']",published,http://repository.lppm.unila.ac.id/id/eprint/24661,disk0/00/02/46/61,,['FT9'],,2020-11-09 09:13:13,,12,show,2020-11-09 09:13:13,image,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'given': 'PANJI', 'family': 'KURNIAWAN', 'lineage': None, 'honourific': None}}]",LOGO DIES 55 UNIVERSITAS LAMPUNG,,,,IMAGE,,,,,,,,,,,,,
7,,2020-05-23 00:00:00.000000000,https://www.youtube.com/,,public,pub,archive,21897,2020-06-04 17:08:14,,72,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35316', 'security': 'public', 'placement': 1, 'eprintid': 21897, 'rev_number': 3, 'language': 'en', 'mime_type': 'text/html', 'content': 'published', 'main': 'watch_v=TkGgU_oGJkQ&feature=youtu.be', 'docid': 35316, 'files': [{'datasetid': 'document', 'fileid': 202281, 'hash': 'fef197b868217bf7612ef985e9454f6a', 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2020-06-04 16:12:58', 'filesize': 264450, 'objectid': 35316, 'filename': 'watch_v=TkGgU_oGJkQ&feature=youtu.be', 'uri': 'http://repository.lppm.unila.ac.id/id/file/202281'}], 'format': 'video'}]",,,,,,"['N1', 'NA', 'NX']",published,http://repository.lppm.unila.ac.id/id/eprint/21897,disk0/00/02/18/97,,['FT9'],,2020-06-04 17:08:14,,11,show,2020-06-04 17:08:14,video,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'family': 'KURNIAWAN', 'lineage': None, 'honourific': None, 'given': 'PANJI'}}]",Membuat Animasi 3D Bangunan Masjid pada Narasi Idul Fitri 1441 Hijriah,https://www.youtube.com/channel/UCPZn5FccLtU7ARxMkmKGURg/videos,,"[{'type': 'author', 'url': 'https://youtu.be/TkGgU_oGJkQ'}]",,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'name': {'lineage': None, 'family': 'KURNIAWAN', 'honourific': None, 'given': 'PANJI'}}]",,,,,,,,,,,,
8,"Pembuatan Karya Video Animasi Layanan Fasilitas Pendidikan Universitas Lampung, Publikasi Tim Kerja Rektor, Tim Feasibility Studi.",2020-11-05 00:00:00.000000000,https://youtube.com/c/wwwpanjikurniawancom,,public,pub,archive,24660,2020-11-09 09:13:26,,72,"[{'eprintid': 24660, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38405', 'format': 'video', 'main': 'LAYANAN FASILITAS PENDIDIKAN UNILA.mp4', 'files': [{'hash': 'ac0fbee8720c1d0b047d75b0b17daf3b', 'mime_type': 'video/mp4', 'datasetid': 'document', 'fileid': 223829, 'mtime': '2020-11-08 01:16:43', 'hash_type': 'MD5', 'filename': 'LAYANAN FASILITAS PENDIDIKAN UNILA.mp4', 'uri': 'http://repository.lppm.unila.ac.id/id/file/223829', 'filesize': 93750040, 'objectid': 38405}], 'docid': 38405, 'rev_number': 1, 'language': 'en', 'mime_type': 'video/mp4'}]",,,,,,"['N1', 'NA', 'NC']",published,http://repository.lppm.unila.ac.id/id/eprint/24660,disk0/00/02/46/60,,['FT9'],,2020-11-09 09:13:26,,10,show,2020-11-09 09:13:26,video,"[{'name': {'honourific': None, 'lineage': None, 'family': 'KURNIAWAN', 'given': 'PANJI'}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",Pembuatan Karya Video Animasi Layanan Fasilitas Pendidikan Universitas Lampung.,https://youtube.com/,,"[{'type': 'pub', 'url': 'https://youtu.be/gIevVMDOUxI'}]",Video,,,,,,,,,,,,,
9,"In the context of society, the aspects of social, culture economy, politic, are bound together and have a crucial role. Those aspects are the important factors on regional planning considerations, including in terms of architectural such as urban space organization, buildings orientation, public open space availability, impact activities, routines, and behaviors that exist within the society. By the existence of public open spaces, the people within the city will have bigger chance to fulfill their social needs. The development of public open spaces, which based on the society social needs, will raise the effectiveness of their routines. The relation between public open space and city instruments are impacting one another, along with the environment. The City of San Francisco has an attractive amount of public open space, which has regularity and space’s harmony to affect social life of citizens. This paper investigate paradigm of public open space as unifying aspect of society in develop quality of life. With present paper we aim to increase the awareness of public open space in urban planning and design.
Keywords — Public Open Space, Urban Instruments, Society, Building’s Facade, San Francisco",2020-08-27 00:00:00.000000000,,,public,inpress,archive,24930,2020-11-11 07:38:25,,72,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 38674, 'main': 'Public Open Space as Unifying Aspect on Society.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/225770', 'filename': 'Public Open Space as Unifying Aspect on Society.pdf', 'filesize': 573364, 'objectid': 38674, 'mtime': '2020-11-11 06:54:59', 'hash_type': 'MD5', 'hash': 'ecb6a84d10f94a12e340e1f335655469', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 225770}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38674', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24930}]",,,TRUE,,,"['HN', 'NA']",submitted,http://repository.lppm.unila.ac.id/id/eprint/24930,disk0/00/02/49/30,"islivas2020 : Promoting Inclusive, Safe, Resilience, and Sustainable Human Settlement in Disruptive Era",['FT9'],,2020-11-11 07:38:25,,7,show,2020-11-11 07:38:25,article,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'given': 'PANJI', 'family': 'KURNIAWAN', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Hardilla', 'given': 'Dini'}, 'id': 'dinihd90@gmail.com'}]",Public Open Space as Unifying Aspect on Society,http://islivas2020.confbrite.org/,['Student Competition'],,,,"['Azhar, Hafidz Muhamad']",ABS-3,,,,,,,,,,
